id,created_at,text
1247298915499741186,2020-04-06 23:03:29,"I'm hosting a Small Business Solutions Webinar this Wednesday, April 8th from 12 to 1pm to discuss resources  available to small businesses affected by the coronavirus. Register to participate and please share w/ Maryland's #smallbiz community: https://t.co/aiFbSk3Oqa https://t.co/jAN5Dns4AG"
1247255171379400708,2020-04-06 20:09:40,"RT @MDHealthDept: If you or someone you are caring for has #COVID19:

• Practice social distancing within the home
• Wash clothing, towels…"
1247219093918416897,2020-04-06 17:46:18,"If you would like to nominate a local hero who is helping our community through the coronavirus crisis with good deeds, please share their (or your) story with me here and we will recognize #MD08 Local Heroes every Friday: https://t.co/ZXq5nVM6c7 https://t.co/mCco7t4v3T"
1247197973995556866,2020-04-06 16:22:23,"RT @LeaderHoyer: I continue to urge Americans to #StayAtHome during this public health emergency, but if you need to leave the home for ess…"
1247177641024720898,2020-04-06 15:01:35,"RT @MDHealthDept: RELEASE: @MDHealthDept will expand the number of VEIP sites available for #COVID19 testing appointments. 

A total of fiv…"
1247157124456542208,2020-04-06 13:40:04,RT @SocialSecurity: #SocialSecurity Commissioner Saul shares update about #COVID19 economic impact payments for beneficiaries. https://t.co…
1246891685692530688,2020-04-05 20:05:18,"RT @RepRaskin: Join my next #COVID19 tele-town hall about public health &amp; wellness on Tuesday, 4/7, at 2:00 p.m. I'll be joined by Carroll…"
1246485800398749699,2020-04-04 17:12:28,You can also livestream the audio at at any time during the town hall at this link: https://t.co/TjAooRxkxh
1246485590863941632,2020-04-04 17:11:38,"Join my next #COVID19 tele-town hall about public health &amp; wellness on Tuesday, 4/7, at 2:00 p.m. I'll be joined by Carroll County Health Officer Ed Singer, @MoCoDHHS Director Dr. Raymond Crowel &amp; others. RSVP: https://t.co/TjAooRxkxh. You can also join by dialing 877-300-1219."
1246479356198817796,2020-04-04 16:46:51,This is how Americans respond to real leadership and real character. Compare this extraordinarily moving appreciation with Trump’s authoritarian rallies preying on anger and fear. https://t.co/rHeAPB5CYE
1246443076119416834,2020-04-04 14:22:41,RT @NitaLowey: We will get through this crisis together. @HouseDemocrats are committed to supporting working families struggling to pay ren…
1246168430274850822,2020-04-03 20:11:21,RT @Reporterroblang: BREAKING---@GovLarryHogan has signed an executive order banning mortgage foreclosures.  Says Marylanders should contac…
1246157172842643458,2020-04-03 19:26:37,"Honored to speak with Lisa Owen and Tina Hsu, this week’s — and our very first — #MD08 Local Heroes for their amazing work organizing Glen Echo Heights to serve seniors, support food workers, donate to nonprofits and create masks! Check it out: https://t.co/E03MH4Y1SF"
1246096845526482951,2020-04-03 15:26:53,RT @LeaderHoyer: I encourage #veterans to review this FAQ by @DeptVetAffairs on the #coronavirus pandemic and utilize online tools to bette…
1245899590122995712,2020-04-03 02:23:04,"No time to activate the defense sector to mass-produce PPEs for doctors and nurses, but lots of time to spend $45,000 of taxpayer money on a “fleet” of golf carts at an unnamed club in a town where Trump happens to own a golf course. https://t.co/8cR865evAs"
1245825585882050563,2020-04-02 21:29:00,"RT @MDHealthDept: UPDATE: Maryland Medical Assistance is extending Medicaid renewals until May 31, 2020. Medicaid will not cancel coverage…"
1245812616888569857,2020-04-02 20:37:28,"RT @OversightDems: When MD, DE, DC, PA, VA &amp; WV needed medical supplies, 
Trump Admin dropped the ball. @wbalradio

Trump is asking medical…"
1245811337357340688,2020-04-02 20:32:23,"Every day Maryland’s health workers go searching for PPEs. We  asked FEMA to send us 778,129 masks. They sent us a third of that: 264,000. That leaves us a half-million masks short! https://t.co/8dx3ZAIxBY https://t.co/QcwGy2DFWY"
1245804141407952902,2020-04-02 20:03:47,"RT @LGBTEqCaucus: Today, the @US_FDA announced changes to a long-outdated policy that bans many gay and bisexual men from giving blood.
 
T…"
1245802274905042944,2020-04-02 19:56:22,"RT @MDHealthDept: Currently, 71% of confirmed coronavirus cases in Maryland are in patients younger than 60. 

For information and health r…"
1245716215399682050,2020-04-02 14:14:24,Spread the word! The Treasury Department has decided that Social Security beneficiaries will now automatically receive CARES Act payments. People who are Social Security beneficiaries will no longer have to file a simplified tax return to get the payment. Good news! https://t.co/55vJl0Mjeg
1245711124529647616,2020-04-02 13:54:10,RT @seungminkim: This @washingtonpost chart makes the point better than any words can. Stunning. https://t.co/1vcEb49Ifx
1245709512864075776,2020-04-02 13:47:46,"RT @RepTedDeutch: 2 weeks of stunning unemployment claims. 6.6 million last week &amp; total 10 million in the last two reports.
 
We will need…"
1245707975827820544,2020-04-02 13:41:40,RT @hansilowang: NEW: @uscensusbureau missed March 19 deadline to provide detailed explanation of its COVID-19 contingency plans for the #2…
1245707788191436801,2020-04-02 13:40:55,"RT @stherdman: She did get out! Wheels down in 🇺🇸 

Thank you to all who worked to get her home: @RepRaskin @ChrisMurphyCT @VanHollenForMD…"
1245471365626507265,2020-04-01 22:01:27,"RT @micahsherr: PLEASE, if you live in MD and don't have insurance, please get some right now.

* Enroll by April 15, 2020, coverage starts…"
