id,created_at,text
1247305649601622018,2020-04-06 23:30:15,"COVID-19 does not care about your immigration status,  so neither should our response. My legislation will prohibit discrimination when accessing COVID-19 relief programs and get economic assistance to all families—regardless of their immigration status. https://t.co/wcbQb7GNbX"
1247270379183276038,2020-04-06 21:10:06,"Capt Crozier was looking out for the safety of those under his command, and the Defense Department chose to silence him. If we want to #MakeAmericaHealthyAgain and get through this pandemic, we can't simply shut out the voices calling for assistance. https://t.co/wk3xIjUnpu"
1247249025830662146,2020-04-06 19:45:15,"With infections rising in Indian Country, it's critical that the federal government  consult with tribal leadership and work to release tribal funds in the CARES Act to ensure tribal communities have the resources they need to protect their communities. https://t.co/xqD83VCTVU"
1247244431205548036,2020-04-06 19:26:59,"RT @CDCgov: Take action to slow the spread of #COVID19 by wearing a cloth face covering in public spaces, keeping at least 6 feet of physic…"
1247242485744705536,2020-04-06 19:19:15,"RT @NRDems: President Trump shouldn’t use taxpayer dollars to bail out Big Oil during the #CoronavirusPandemic.

Responsible leaders would…"
1247217554474631172,2020-04-06 17:40:11,"Rural communities and smaller cities need relief and funds to combat #COVID19 too. Guidance for the Coronavirus Relief Fundin the CARES Act must ensure that those living in smaller cities and rural areas are not left behind.
https://t.co/U2GlRNdeIp"
1246240120631709697,2020-04-04 00:56:13,"RT @NBCLatino: NEW: @ewarren @NydiaVelazquez @RepRaulGrijalva @JoaquinCastrotx wrote to @VP Mike Pence, giving him two weeks to appease the…"
1246240082299846656,2020-04-04 00:56:04,"RT @NRDems: Chair @RepRaulGrijalva on today's White House fossil fuels roundtable: ""The president’s choice to hold a high-profile meeting w…"
1246176171911524356,2020-04-03 20:42:06,"RT @HouseDemocrats: Todos estamos juntos en luchar contra el virus.

Recuerde:
🧼Lavarse las manos
📍Distanciarse socialmente y quedarse en c…"
1246173203040481280,2020-04-03 20:30:19,"I've sent letters to Secretary Mnuchin and Speaker Pelosi to ensure that rural communities and small cities are not left behind in the distribution of #COVID19 relief. 

The virus doesn't discriminate, and neither should our response.  https://t.co/VO8cvJjIrc"
1246158113805414405,2020-04-03 19:30:21,"Sick people need to stay home from their jobs and stop the spread of #COVID19.

If the Trump Administration is serious about stopping the pandemic, then they shouldn't try to undermine the paid leave provisions Congress enacted. https://t.co/3qcpNs7GzK"
1246069598354649100,2020-04-03 13:38:37,Thank you to all of our frontline healthcare workers who are fighting this crisis day in and day out. #AZTogether https://t.co/weYWI5bElE
1245819580192358401,2020-04-02 21:05:08,"With a current domestic shortage of PPE, we need all the sources we can to keep our frontline healthcare workers safe. 

I sent a letter to Trade Representative Lighthizer to suspend  tariffs on PPE and medical supplies to get them the help they deserve. https://t.co/hYtLtwjD4Y"
1245800694344531972,2020-04-02 19:50:06,"I'm pleased the Trump Administration reversed its course and seniors will get the quick aid they need. It's time for them to do the same for those with SSI benefits and veterans. 

They deserve quick aid too. https://t.co/nrE95Msf88"
1245765549629616128,2020-04-02 17:30:26,"The last thing we want is for #Coronavirus to “find a refuge” in #IndianCountry, where government neglect has led to weak health care infrastructure &amp; sometimes no running water.

Not preparing for a disaster means the most vulnerable suffer the worst. 
https://t.co/WX8zkBL5UR"
1245746632076992512,2020-04-02 16:15:16,"When local health officials start a letter by describing extreme concern, any competent authority would take notice and act immediately. Instead the Interior Department delayed for nearly a week while the governor remained silent.  https://t.co/ACEkrusM4W"
1245728044666499073,2020-04-02 15:01:25,"Republicans wanted to scale back relief for Native Americans. The White House wanted to give $0 to tribes.

Democrats have secured $10 billion for #CoronavirusIndianCountry relief.

We're working to ensure ALL Americans access #COVID19Pandemic resources. https://t.co/PlRLREhA0L"
1245463527579684867,2020-04-01 21:30:19,"Farmworkers are the backbone of our food supply, and it's time we treat them like the essential workers they are &amp; ensure they have the same workplace protections as everyone else.

Thank you to all of our essential workers during this crisis.
https://t.co/eLJZtEul9D"
1245418249837260809,2020-04-01 18:30:24,"We've seen how critical it is to have our hospitals and public health centers funded during this crisis.

Now's your chance to ensure your community receives more critical funding for hospitals, schools, and roads. 

Fill out your #2020Census TODAY at https://t.co/TPEK83MoId."
