id,created_at,text
1247345657616179201,2020-04-07 02:09:13,"RT @DautKesq: Tonight at 6:30pm on ""Coronavirus: Questions Answered,"" our guest is Coachella Valley congressman @RepRaulRuizMD. We plan to…"
1247345605225205760,2020-04-07 02:09:01,"Finishing the day off with interviews on @KESQ and @Kunamundo to give the latest updates on our community’s response to the coronavirus. Clear, consistent communication is key to getting through this public health crisis. https://t.co/TsHOfJNpkG"
1247314645850787840,2020-04-07 00:06:00,"Unsure about what our state's stay at home order means for you and your family? Follow the link below to find answers to your questions.

https://t.co/RdeJDFJtud"
1247259334796627970,2020-04-06 20:26:13,"Whether you're going to the pharmacy or picking up groceries, follow these simple steps on how you can make a cloth face covering out of everyday items that you may already have in your home. Remember to continue practicing social distancing and wash your hands frequently! https://t.co/o3G0es8vxC"
1247234065499127808,2020-04-06 18:45:48,Tune in to @NBCPalmSprings for an update on our nation’s coronavirus response! https://t.co/wsyE0c7Ghu
1247229082032578565,2020-04-06 18:26:00,"Find out about food resources in our community below and share! Together, we can address food insecurity as we fight this pandemic. https://t.co/tq7p54QUpF"
1247189982579765249,2020-04-06 15:50:38,"2) create a federally-managed regional supply chain with clear chain of command to distribute and resupply medical equipment
3) include complete transparency throughout the process to instill trust within states, local governments, and hospitals."
1247189980566429698,2020-04-06 15:50:37,"I'm calling on President Trump to heed this three point plan:
1) use the Defense Production Act comprehensively and strategically to make PPE and other medical supplies"
1247189978859405315,2020-04-06 15:50:37,"We need immediate, rapid action to defend our nation's health.
https://t.co/Cll06GT9aN"
1246932125477146625,2020-04-05 22:46:00,"As the coronavirus has changed nearly everyone's daily lives, our teachers are adapting to meet the needs of their students. Thank you to the educators in #CA36 and around the nation who are working extra hard in this time. https://t.co/EPBxCiOiWk"
1246880787154288640,2020-04-05 19:22:00,ICYMI: Watch as I break down what it means to #flattenthecurve and why it's so important. https://t.co/ZJz2WuPv3r
1246848071587291139,2020-04-05 17:12:00,"This is a good resource for anyone in our community impacted by job loss during this coronavirus pandemic. 

https://t.co/e1J58GDHfe"
