id,created_at,text
1247319862101315584,2020-04-07 00:26:43,@NASCARonNBC @NASCAR The one and only Intimidator! Dale Earnhardt #3 #RIP #RacingWeekNBCSN
1247226692231401474,2020-04-06 18:16:30,RT @ncdhhs: HUGE shout out to all our North Carolina Health Care Workers who are working so hard to take good care of us. Let's do our part…
1247181018815135744,2020-04-06 15:15:01,This #NationalStudentAthleteDay I'd like to give a special shoutout to all the high school and college seniors throughout our region - especially my @Charlotte49ers. Today we recognize your contributions on and off the field throughout your time at school.
1246974489780461570,2020-04-06 01:34:20,"Today we honor our Gold Star Spouses, though you are on my mind everyday. Special best wishes and gratitude to @FtBraggNC Gold Star spouses. #GoldStarSpousesDay https://t.co/srz5guvSly"
1246848984699875329,2020-04-05 17:15:37,RT @IndyFund: Today we recognize Gold Star Spouses. We know the sacrifices these amazing men and women have endured and lift them always. h…
1246834662900674561,2020-04-05 16:18:43,I’m disturbed to learn my friend @DavidDBenham has been arrested for providing #prolife pregnancy counseling outside an abortion clinic. Their counseling should be essential in this time of need and this arrest is wrong and unconstitutional. https://t.co/LlattVH76E
1246824540195434496,2020-04-05 15:38:29,"""Hosanna!"" ""Blessed is he who comes in the name of the Lord!"" ""Blessed is the king of Israel!"" — John 12:13

I miss being in church on this #PalmSunday, but like many of you, Renee and I will be watching services online again today. Wishing you a blessed day."
1246809236820164608,2020-04-05 14:37:41,"RT @SBAgov: 🚨STAY VIGILANT 🚨

There’s no fee to apply for a #PaycheckProtectionProgram loan. Be aware of fraudulent actors who may charge p…"
1246471627321290754,2020-04-04 16:16:08,"RT @ncdhhs: NC food banks need your help to feed those in need during #COVID19NC. Learn how you can help here: https://t.co/hKiPaD3DEt. 
#W…"
1246193847979384836,2020-04-03 21:52:21,This is good news for our state. Our @NCNationalGuard has outstanding capabilities to support NC’s #COVID19 response. #InItTogether https://t.co/HFrAgmAnSF
1246099153186324480,2020-04-03 15:36:04,"Starting TODAY, small businesses can apply for the #PaycheckProtectionProgram to help keep employees on the payroll.

⟶ Visit https://t.co/MxxtGQAUK5 for small business guidance and loan resources."
1245843215300939776,2020-04-02 22:39:03,"TOMORROW: Tune-in to @wbtradio (1110 AM / 99.3 FM) at 8:50am where I’ll be talking with @PatMcCroryNC about our #CoronavirusPandemic response and Day 1 of the Paycheck Protection Program. #ncpol 

Listen here: https://t.co/pyCxjq2loN"
1245732548166193152,2020-04-02 15:19:18,"RT @ncdhhs: Let's do our part to #FlattenTheCurve by staying at home when we can and keeping our distance. North Carolina, we're all in thi…"
1245722426652188672,2020-04-02 14:39:05,RT @SenThomTillis: Hosting a telephone town hall with @RepRichHudson to discuss how we're working to protect North Carolinians as we combat…
1245710962881105921,2020-04-02 13:53:32,"Check out my interview on ""Up Front"" with Cabarrus Magazine about our response to #coronavirus. Thanks for having me on, Jason!  #ncpol 

Listen here: https://t.co/ls73FKxuy6"
1245531559303798784,2020-04-02 02:00:39,RT @stevenmnuchin1: .@SocialSecurity recipients don’t need to file a tax return to receive Economic Impact Payments. Recipients will receiv…
1245469127084556291,2020-04-01 21:52:34,#ncpol https://t.co/MceDxPYGeC
1245469108117913600,2020-04-01 21:52:29,"Thank you to all the #NC08 mayor's and town officials who joined our conference call this afternoon. I will continue to be a voice for our district in Washington as our communities respond to #COVID19. 

(nice #SocialDistanacing demo by my staffer 📸📏) https://t.co/95qkHfyTIc"
1245387354027823105,2020-04-01 16:27:38,It's #CensusDay You can fill out your #Census2020 form today or anytime in the next few weeks at https://t.co/qwaaF5Wjk9 and help our community get the resources that it needs for hospitals and schools. #ncpol
1245365042226311170,2020-04-01 14:58:58,RT @HouseGOP: Most small businesses that need support to keep their employees on the payroll can apply for the Paycheck Protection Program…
