id,created_at,text
1247281687140151297,2020-04-06 21:55:02,RT @WaysMeansCmte: NEWS: Chairman @RepRichardNeal and @SenFinance Chairman @ChuckGrassley are calling for the USITC to conduct an expedited…
1247183632772579329,2020-04-06 15:25:24,"The #covid surge is coming and Massachusetts needs ventilators. My colleagues and I demanded that @fema immediately grant requests submitted by the @MassDPH for additional ventilators from the Strategic National Stockpile.

https://t.co/WNFzxqhUxH"
1247143008774094849,2020-04-06 12:43:58,"To all these frontline workers and more, we thank you. RT to show your appreciation. https://t.co/T5zjrBmG31"
1246462632196034560,2020-04-04 15:40:24,"We call upon Treasury to immediately release guidance clarifying that it will use this existing data to pay rebates automatically to SSI and VA recipients, whether or not they have filed a recent tax return. https://t.co/7TxIhWNWc5"
1246214482105380865,2020-04-03 23:14:20,"RT @WaysMeansCmte: Some veterans, low income seniors, and people with disabilities face an extra hurdle to receive their #coronavirus econo…"
1246214471284068353,2020-04-03 23:14:18,RT @WaysMeansCmte: Chairman @RepRichardNeal and other Democratic health leaders in Congress are calling on the Trump Administration to esta…
1246169864152264704,2020-04-03 20:17:02,RT @SBAgov: #COVID19 UPDATE: Small businesses can now apply for the #PaycheckProtectionProgram. The program is designed to keep small busin…
1246143768442671104,2020-04-03 18:33:21,"RT @HouseDemocrats: The heroes of this crisis are the health care professionals, first responders, grocery store workers, caretakers, janit…"
1246105146200899584,2020-04-03 15:59:53,RT @WaysMeansCmte: Chairman @RepRichardNeal pushed for the Trump Administration to ensure Social Security recipients don’t face additional…
1245760616536702980,2020-04-02 17:10:50,"RT @WaysMeansCmte: With unemployment claims skyrocketing, Chairman @RepRichardNeal today asked the Department of Labor why it has not yet d…"
1245725759643291648,2020-04-02 14:52:20,"RT @RepTerriSewell: This is a HUGE win for the seniors in our district!! 

I worked in tandem with @SpeakerPelosi and @RepRichardNeal to en…"
1245711987193110530,2020-04-02 13:57:36,"As an author of the #CARESAct, I continue to work hard to ensure my constituencies have the adequate funds to fight #COVID19. Over $5M in #CDBG funding awarded to @SpfldMACityHall @CityofHolyoke @Chicopee_MA @Westfield_MA and Pittsfield (c/o @MayorTyer). https://t.co/QNQ9dyAZyx"
1245684909823406080,2020-04-02 12:10:00,This reversal gets us one step closer to accomplishing what we set out to do in the CARES Act—get money in the pockets of struggling Americans as soon as possible. https://t.co/L7rUr4RpsV
1245475317533286402,2020-04-01 22:17:10,"During a national crisis that threatens every community, no state should have an unfair advantage of #PPE and the management of the Strategic National Stockpile must be guided at all times by public health needs. https://t.co/jJzoaaZLWH"
1245446252478816256,2020-04-01 20:21:40,RT @WaysMeansCmte: Chairman @RepRichardNeal and other health leaders in the House and Senate have condemned President Trump’s refusal to ho…
