id,created_at,text
1247234265827495937,2020-04-06 18:46:36,"At a baseline, every public school student must have reliable internet access. 

We weren’t prepared for COVID-19, but that doesn’t excuse the fact that we’ve been failing so many students for so long. 

Schools can’t be the great equalizer if we don't invest in them equally. https://t.co/poJ0lsR1Xs"
1247220761485590531,2020-04-06 17:52:56,"Iran has been one of the hardest hit by the coronavirus. US policy should be flexible and ease some sanctions at a moment like this to ensure Iranians aren’t blocked from accessing food, medicine and other humanitarian supplies.

There is always room for humanity. https://t.co/Xd1TKaKc2g"
1247206528639254539,2020-04-06 16:56:23,".@McDonalds is worth over $170 billion. 

But somehow they can’t afford to protect their own employees? 

Standing in solidarity with these workers today. No one should be risking their life, or public safety, for a paycheck right now. https://t.co/4bNGQBAYee"
1246859396103180290,2020-04-05 17:57:00,"Food insecurity is a reality for too many people in California right now. Here’s more info about the resources available to you and your loved ones right now -&gt;
https://t.co/LdtKCqsJT4"
1246648758063886336,2020-04-05 04:00:00,"People used to say we should all have at least 3 months pay set aside for a rainy day. 

This week, we saw big corporations that, apparently, didn't have enough put aside to make 3 weeks payroll. 

Thats outrageous. Shareholders shouldn’t profit at the expense of their workers. https://t.co/rLyseJ4wVK"
1246566717817585670,2020-04-04 22:34:00,"If you’re an employer, and you are not an essential business, please do the right thing and close. 

Do it for your employers, for our community, and for this country. Health and safety have to come first. #StayHome https://t.co/yD6QU4uUNJ"
1246525948968579072,2020-04-04 19:52:00,"Wondering if you qualify for cash assistance under the #CARESAct?

Not sure your small business is going to get the loan you need? 

Unclear how to apply for unemployment insurance? 


More info here:
https://t.co/Vl7RyALGVd"
1246482412118433792,2020-04-04 16:59:00,"Student loan payments + interest accrual on federal student loans is suspended until September.
 
The last thing students should have to worry about right now is making these payments. These loans should be forgiven, not just postponed.
https://t.co/dJwx34zMQC"
1246465299601391617,2020-04-04 15:51:00,"My Internet Bill of Rights would ensure we know how our data was used, to protect us from manipulation, exploitation, or discrimination.

As we go online during this pandemic data privacy + security are essential.

We can’t rely on an unregulated internet.
https://t.co/qKh3Kmqv5u"
1246437869025030144,2020-04-04 14:02:00,"The absence of American leadership abroad is strengthening dictators at the cost of human rights and human lives. 
https://t.co/bLqscCjH7S"
1246203183912935425,2020-04-03 22:29:27,"If startups don’t get these loans, it’s not the VC investors getting hurt. 

It’s the engineers, the innovators, and a lot of blue collar workers losing their jobs.
 
If we want to maintain our technology lead, we need to keep these startups afloat. https://t.co/WgnTI4LYQk"
1246183693846220806,2020-04-03 21:12:00,"Startups need access to the same SBA loans as their other small business counterparts. 
Proud to lead this effort for some of Silicon Valley’s future leaders. 
https://t.co/w9g4JcMeV7"
1246150659512193026,2020-04-03 19:00:44,"We are LIVE on Facebook right now for our weekly livestream. Tune in and ask me a question in the comments.
https://t.co/i7HNJzVNAT"
1246137348057899010,2020-04-03 18:07:50,"Health care crises are economic crises. 

If we continue to tie health care to jobs, we ⬆️ our exposure and ⬆️ our risk. COVID-19 is making that painfully clear. 

Medicare for All will protect people AND our economy. It isn’t one or the other. https://t.co/7ESrFLO00j"
