id,created_at,text
1246133904446304258,2020-04-03 17:54:09,Suwanee medical students have joined together to offer free grocery service for the elderly and medically isolated individuals. This is yet another incredible example of #GA07 residents going above and beyond to lend a helping hand during this pandemic. https://t.co/s3qrFN45G3
1246081513420095489,2020-04-03 14:25:58,"RT @GwinnettChamber: Join us next week to hear from @RepRobWoodall, @GeoffDuncanGA and @GwinnettGov Board of Commissioners Chairman Charlot…"
1245798325732900866,2020-04-02 19:40:41,"Our local churches and community organizations are collecting canned goods and electronic tablets to help meet the food and educational needs of displaced students. For more information on how you can donate, click here: https://t.co/xgSKtJQf29"
1245384552383725568,2020-04-01 16:16:30,Volunteers in #GA07 have sewed thousands of medical masks and delivered them to local clinics and hospitals to address the current shortage. It’s incredible to see our community unite during these turbulent times and do what is takes to help those in need.https://t.co/5Oo2OWRVpS
1244748277699969024,2020-03-30 22:08:10,"Despite being a difficult time for the industry, restaurants across #GA07 have come together to take care of our health care professionals. These are incredible acts of kindness, and they go a long way to helping our community combat the spread of COVID-19.https://t.co/7z9cypksV6"
1244678066904891393,2020-03-30 17:29:10,"Today on #NationalDoctorsDay, it’s important to recognize the strength and hard work of all our health care professionals who are doing everything possible to care for our friends, neighbors, and loved ones during this pandemic.
 
I thank you for your dedicated service. https://t.co/bjExQKCP7a"
1242063295479193600,2020-03-23 12:19:00,"Tax Day has been officially moved from April 15 to July 15. All taxpayers and businesses can use this additional time to file and make payments without interest or penalties.
https://t.co/qZ8ynAjNNd"
1240715563783028738,2020-03-19 19:03:36,"I’m grateful to the @forsythchamber for offering small businesses assistance with navigating the SBA loan application.
 
Neighbors helping neighbors is how we will get through these turbulent times, and I thank the Chamber for leading the way.
https://t.co/foy1ThIQ4n"
1240665919824764928,2020-03-19 15:46:20,"Emergency loans are now available for Georgia small businesses impacted by the coronavirus pandemic. Click below for more information:
https://t.co/4W4fkeGIJd"
1240316607391576066,2020-03-18 16:38:17,"If you believe that you are experiencing symptoms of COVID-19 or have been exposed to the virus, you can now call Georgia’s new hotline number with any questions or concerns: https://t.co/LWtxUHmAxg"
1239922235705643011,2020-03-17 14:31:12,"Yesterday, President Trump presented his Coronavirus Guidelines for America. I encourage you to read through the steps you can take to reduce the spread of COVID-19. You can also check back here or visit my website for any updates on the virus https://t.co/0o36sa33he"
1239558079584370694,2020-03-16 14:24:10,RT @CDCgov: Everyone can help prevent the spread of #COVID19. Practice healthy habits like avoiding close contact with people who are sick.…
1239557820208615424,2020-03-16 14:23:08,"RT @GovKemp: Please continue to share the following @CDCgov information on #COVID19 with your friends, family, and co-workers &gt;&gt;&gt; 
@GaDPH @…"
1238593742279491584,2020-03-13 22:32:14,"If you or someone you know has a child facing food insecurity during the GCPS Digital Learning Days March 16-20, @GwinnettSchools will be providing those students assistance. Click the link below for the full list of schools participating in the program. https://t.co/HvgzS3kJTp"
1237472943170392064,2020-03-10 20:18:35,"RT @ModernizeCmte: ""ModCom,"" which includes the first 29 recommendations crafted &amp; passed unanimously by Chair @RepDerekKilmer, Vice Chair…"
1237464985481216000,2020-03-10 19:46:58,"Today, the House passed H.Res. 756, which includes a number of bipartisan recommendations issued by the @ModernizeCmte  to improve internal operations and promote transparency in Congress. https://t.co/YtFDgcyJpU"
1237457067524460548,2020-03-10 19:15:30,"For more information on the “Divided Families Reunification Act,” click the link below: 
https://t.co/8Avt5SKSw3"
1237158263063535617,2020-03-09 23:28:09,"Today, the House passed my bill, the “Divided Families Reunification Act,” which would help reunite Korean Americans with family members in North Korea.

I expect this measure to receive similar bipartisan support as it heads to the Senate for further consideration. https://t.co/sI01vX8Tnj"
1235323102290219008,2020-03-04 21:55:53,"Today, the House passed a bipartisan funding bill to help combat the coronavirus. 

These funds will help to expedite vaccine development, procure necessary equipment and hospital supplies, and help local authorities directly address the outbreak."
1234960498292088837,2020-03-03 21:55:01,"Read the current COVID-19 testing protocols if you think you’ve been exposed, and call your doctor before you go to the hospital to prevent further disease spread. I’ll share more CDC-approved info as we get it. https://t.co/eFK3oR3Ooi"
1234960225364520960,2020-03-03 21:53:56,"The CDC has urged Americans to institute normal procedures for preventing disease, including regular hand washing. Visit the CDC’s website for information about how to stay safe. https://t.co/uYs2dbGGhZ"
1234882349571170305,2020-03-03 16:44:29,"Georgia Gwinnett College stopped by my office in Washington yesterday to discuss a variety of issues most important to them.
 
It’s an honor to partner with you all to find meaningful solutions for the greatest number of Americans. https://t.co/hBFa9xWapE"
1233055235729428480,2020-02-27 15:44:11,"The @ModernizeCmte is helping to build a Congress that better serves the American people. 

I would like to thank @RepDerekKilmer and @RepTomGraves who took to the House floor Tuesday to submit the Committee’s first report and highlight our bipartisan work. https://t.co/Ca9zH8GZnI"
1232073026184916998,2020-02-24 22:41:14,"During #NationalPublicSchoolsWeek, I want to recognize all the incredible educators who go above and beyond to prepare our children to be the leaders of tomorrow. 

It's always a privilege to visit these bright young minds and see first-hand the success of our schools. https://t.co/ibgmEsWWcg"
1230878984566706179,2020-02-21 15:36:33,"Today, on National Caregivers Day, I would like to express my deep appreciation for all the dedicated caregivers who work tirelessly to support our friends and neighbors.

Our community is made better through your incredible compassion #ThankACaregiver
https://t.co/hn6GfVX7KF"
1230616318115598338,2020-02-20 22:12:48,"Over the past 17 years, Donald Bagley has been donating platelets nearly twice a month, helping an estimated 750 cancer, surgery, and emergency patients. 

I would like to thank Donald for his dedication to helping others and saving lives. https://t.co/kUlEwbDYle"
1230236648908169217,2020-02-19 21:04:08,"Last week, Forsyth County Schools earned a spot on College Board’s AP District Honor Roll list – 1 of only 5 school districts in GA to receive this honor! 

Congrats to the parents, students, and faculty who worked hard to make this achievement possible. https://t.co/1vLfIG4ctx"
1229884312864116736,2020-02-18 21:44:04,"While Congress is back home this week, don’t miss the opportunity to catch up on Capitol Hill’s latest legislative business: https://t.co/gYawUIZYEf"
