id,created_at,text
1247241571264876544,2020-04-06 19:15:37,Not seeing friends &amp; family can be tough but social distancing helps keep us all healthy. My younger staffers and I made this quick video showing what we're doing to stay healthy &amp; help keep others healthy. https://t.co/GRe219tqKw
1247235761360994304,2020-04-06 18:52:32,"RT @TheBlackCaucus: To all of our delivery workers on the frontlines, thank you for your service.

#USPS #FedEx #UPS #DHL #delivery https:/…"
1247179122075471874,2020-04-06 15:07:28,"On Tuesday morning, I’ll be speaking with our communities’ faith leaders about the challenges created by #COVID19 in serving the most vulnerable. https://t.co/LBjkLK9dRN"
1246154563293450244,2020-04-03 19:16:14,Our nation’s brave first responders are on the frontline during times of crisis. They and their families have unique needs and I want to ensure that I’m advocating for you in Congress. https://t.co/9SbcOnqRFh
1246104877807403010,2020-04-03 15:58:49,"Dialing into my conference call with IL-02 mayors to discuss our communities’ response to #COVID19. To move forward, we all must work together."
1245787460866650112,2020-04-02 18:57:30,Did you know that BILLIONS in federal dollars are spent using automatic formulas based on Census data? Be counted at https://t.co/pifNnlPmNq so your community doesn’t miss out!
1245486464743485441,2020-04-01 23:01:27,"Our faith communities play a unique role in our society. As we work to craft the Phase IV COVID19 response, I’m hosting a call - the 5th in my series - with local faith leaders. https://t.co/K0MLzHXTHs"
1245436192419610625,2020-04-01 19:41:42,Happy #CensusDay! Have you visited https://t.co/pifNnlPmNq and been counted? https://t.co/evL6BHqq8y
1245415065668521992,2020-04-01 18:17:45,"Just wrapped up a call with more than 60 small business owners &amp; leaders. This call, the 3rd in my series, was to inform and collect ideas as we craft our COVID19 Phase IV response. https://t.co/CAXWsCQqVd"
1245390444164517893,2020-04-01 16:39:54,Great to see our @ParkerJrHigh students learning about the importance of the #2020Census. Have you been counted yet? Today is #CensusDay2020! https://t.co/IBSrT2jBTJ
1245117221011144708,2020-03-31 22:34:13,"This #TransDayofVisibilty, I want my trans* and non-binary friends to know that you are seen, heard, loved and valued."
1245026610090295296,2020-03-31 16:34:09,ATTENTION IL-02 small business owners &amp; leaders: please join me and @SBAgov experts on Wednesday morning for my 2nd #COVID19 impact &amp; response conference call. https://t.co/lygKLrStAm
1244991119194193920,2020-03-31 14:13:08,"Last week, Congress passed the 3rd #COVID19 response bill. Here is a quick reference guide for families, small businesses &amp; healthcare leaders of the provisions. https://t.co/0yZzGgtdOC"
1244725972374630406,2020-03-30 20:39:32,"Our local small businesses are facing unprecedented challenges from #COVID19. I will keep working to support them, during &amp; after this crisis, and connect them with federal resources. This week, I will be hosting my second business owner/leader call. https://t.co/aNnaaeZkca"
1244702145909227526,2020-03-30 19:04:51,"Last Monday, I hosted a telephone town hall with more than 6,000 IL-02 residents. Hear our conversation here. https://t.co/xt6BFK3YL4"
1244302859371450369,2020-03-29 16:38:14,"This weekend, we said goodbye to a guiding light within the Civil Rights Movement. Rev. Joseph Lowery, SCLC Founder, supported a generation of leaders who took non-violent action against injustice &amp; changed the world."
1243941116313047040,2020-03-28 16:40:48,"Hearing that the Cook County #Census2020 response rate continues to climb. Have you completed it at https://t.co/pifNnlPmNq, yet?"
1243604155111026695,2020-03-27 18:21:50,"In this week's #RobinsRemix, I recap the just passed third COVID19 response bill that will provide critical resources to families, small businesses, frontline healthcare workers and communities. https://t.co/h3bsxvqxXe"
1243590960803655681,2020-03-27 17:29:24,"The House just passed the third #COVID19 response bill including emergency resources for states, small businesses and American families. While much more work remains, this was a key step forward."
1243559627788357638,2020-03-27 15:24:54,"I host an annual art contest for local students. Unfortunately, #COVID19 closed this year's exhibition to the public but you can check it out digitally. https://t.co/lyihdDt6fQ"
1243273035014180866,2020-03-26 20:26:05,Have you completed the #Census2020 yet? Fill it our &amp; learn more at https://t.co/pifNnlPmNq.
1242242876978999296,2020-03-24 00:12:36,Join me tonight for a #COVID19 telephone town hall for Second District residents.  The call starts at 7:30pm CST.  Hope you can join me then; the participant line is: 877-229-8493 PIN-118484. https://t.co/TcSIXUgUU0
1241047199196352512,2020-03-20 17:01:24,"Are you an IL-02 business owner? Join my #COVID19 call at 2pm to discuss how Congress can help you, your employees, customers and communities weather this storm. https://t.co/YvNyP5BUgz"
1240808881993011205,2020-03-20 01:14:25,"As my colleagues and I work to develop the 3rd #COVID19 response legislation, I want to hear from small business owners &amp; leaders like you. Join me tomorrow at 2pm CST for a conference call discussion and update. https://t.co/yBaSvxhU1o"
1240780087886315520,2020-03-19 23:20:00,Mark your calendar: I will be hosting a public telephone town hall on #COVID19 on Monday. Watch this space for details!
1240704033431547906,2020-03-19 18:17:47,"Thank you to the @NABLEOOrg for your endorsement of the First Responder Resiliency Act (#HR6003.) Together, we can ensure adequate resources so all of our law enforcement &amp; first responders go home safe and healthy. https://t.co/S4vCVBwIRx"
1240367005699579904,2020-03-18 19:58:33,"The Families First Coronavirus Response Act:
✅ No-cost testing 
✅ Child food assistance
✅ Paid leave so sick workers don’t 
have to choose healthcare or a paycheck
https://t.co/lGsJlCGQ7u"
1239735397309190146,2020-03-17 02:08:46,"In order to protect the health of my staff, constituents and the general public, my offices will be working remotely utilizing phone calls &amp; emails. During this time, feel free to call or email me using this form: https://t.co/cFGBeWTUGE"
1239607598690820097,2020-03-16 17:40:56,"Have coronavirus questions?

You can reach the @CDCgov at 800-232-4636 or @IDPH at 800-889-3931. 

Both have also established regularly-updated web portals with information as well."
1239591146629877766,2020-03-16 16:35:34,"As we shutdown to prevent the spread of COVID19, the #Census2020 isn’t shutting down. When you get the mailer, complete and return it OR visit https://t.co/aJMj3nXNmD. Be sure that you are counted!"
1238520708575215617,2020-03-13 17:42:02,"RT @janschakowsky: You can reach @CookCoHealth at 708-633-4000, press 3. You may also call the @IDPH Illinois Department of Public Health c…"
1238240844785778688,2020-03-12 23:09:57,"RT @OversightDems: #2020Census starts today! Tips from Chairwoman @RepMaloney:

✅Can be done online, by phone or mail
✅Has NO citizenship q…"
1238155689392050177,2020-03-12 17:31:34,"REMINDER: The @IDPH has updated information about COVID-19. You can call 1-800-889-3931, email DPH.SICK@Illinois.gov or  https://t.co/ylDuEqewA2."
1238129083495694336,2020-03-12 15:45:51,"When it comes to public health, we are only as protected as the sickest &amp; most vulnerable amongst us. That’s why I’m leading this bill to provide no cost COVID-19 diagnostic testing &amp; provider visits for Medicaid recipients. https://t.co/bycVdfTwcc"
1237436815264690176,2020-03-10 17:55:01,"On  #NWGHAAD, we must remember that we all have an #HIV status. I took the test and know mine - what about you? #preventionstartswithme https://t.co/KrScnrJj3I"
1237409474899566593,2020-03-10 16:06:23,"RT @RepBera: America’s state &amp; local health agencies are essential in fighting #coronavirus.

To help them keep up the fight, our emergency…"
1237065454469947392,2020-03-09 17:19:22,Thank you to the @TheChicagoCru for sharing the news about my First Responder Resiliency bill. It’s clear that we need to do more to ensure that everyone comes home safe &amp; healthy. #HR6003 https://t.co/7hDBD4PVlf
1236810325145653248,2020-03-09 00:25:34,I want to mark #InternationalWomensDay by shouting out all of the women who have fought and who still fight for equality and to make this world a better place.
1236012504943386624,2020-03-06 19:35:19,Check out this week’s #RobinsRemix. I’m discussing #COVID19 and the recent emergency funding passed to protect your health. https://t.co/rotscRz64c
1235999236455575555,2020-03-06 18:42:36,"On #EmployeeAppreciationDay, I want to shout out my amazing team who works tirelessly for the families of the Second District. Know that we are always here to help you! https://t.co/nVXvy7gqr8"
1235985796227833857,2020-03-06 17:49:11,"With more than 90+% of Americans supporting #universalbackgroundchecks, the utter disregard from @SenateMajLdr is despicable. He does not care about any life except his own political life. #BlavityOpEd https://t.co/mmHTkqpTD8"
1235940112699097088,2020-03-06 14:47:40,Suicide continues to claim the lives of more police officers &amp; firefighters than line of duty deaths. My simple bill would expand federal resources for departmental programs to ensure that our first responders come home safe &amp; healthy. #HR6003. https://t.co/hXwGvAYOBl
1235727720140746753,2020-03-06 00:43:41,"Did you know that, by law, Census data must be kept confidential and cannot be traced back to any individual? The Census CANNOT share data with other government agencies or outside groups. #Census2020"
1235686049097146368,2020-03-05 21:58:06,"I was raised to be kind and patient, but it’s time to be honest. Secretary @BetsyDeVosED is the worst thing to happen to our children, their education and our shared future. https://t.co/zfqD9QwSyP"
1235674992949555218,2020-03-05 21:14:10,"As the #COVID19 situation continues to develop, I will be working to share any and all information with you. Here is the most recent information provided to Members of Congress from the @CDCgov. Call 1-800-CDC-INFO with any questions. https://t.co/gYKbuvAfgp"
1235653472487239680,2020-03-05 19:48:39,"The House is done voting for this week. But before I returned to IL, I was glad to join these champions for women &amp; heart health who are advocating for my #MOMMAsAct &amp; #HelpingMOMSAct. #ThankYou https://t.co/lU6sjMoR4E"
1235580784561418241,2020-03-05 14:59:49,"RT @RepKimSchrier: Yesterday, the House passed an $8.3 billion emergency response package that will alleviate the financial burden on local…"
