id,created_at,text
1247338245853241344,2020-04-07 01:39:46,"Chairman Manuel was a respected leader who will truly be missed. My thoughts are with his family, friends, and the Ak-Chin community as they mourn his loss. https://t.co/VLvwrnF8gi"
1247276308310249472,2020-04-06 21:33:39,My statement: https://t.co/8AOIdL9SZw
1247266277011439617,2020-04-06 20:53:48,.@SECNAV Thomas Modly is no longer fit to lead our Navy. @RepTedLieu and I are asking @EsperDoD to fire him. https://t.co/a9ECVX5ygY
1247262471112593409,2020-04-06 20:38:40,Acting @SECNAV Modly shouldn’t resign. He should be fired. Listen to the moment he lost the support of the men and women of the US Navy: https://t.co/zpNy34hIyQ
1247209536953495553,2020-04-06 17:08:20,"RT @MSNBC: Rep. Gallego says the dismissal of Navy Captain Crozier sends a message to officers that it is more important ""to take care of t…"
1246605803982925824,2020-04-05 01:09:19,Supporting our front line responders is critical in this uncertain time &amp; @tide is doing just that with their #LoadsOfHope initiative. Phoenix’s front line responders &amp; their family can get free laundry services at Tide Cleaners. Get more info at https://t.co/N9a4Hp5kXR
1246605518002675713,2020-04-05 01:08:10,"52 years ago today, the world lost a leader, pioneer and champion for justice. 
 
We honor Dr. Martin Luther King Jr. by continuing his fight #ForThePeople.
 
#RestInPower https://t.co/SMjdJzgcSW"
1246604710213234689,2020-04-05 01:04:58,"RT @starsandstripes: In a letter to the inspector general, Reps. Ted Lieu, D-Calif., and Ruben Gallego, D-Ariz., wrote they were “disturbed…"
1246604432466468872,2020-04-05 01:03:52,RT @RepOHalleran: ICYMI: @RepRubenGallego and I led the AZ delegation on a letter urging the speedy distribution of $8 billion of economic…
1246261855246528512,2020-04-04 02:22:35,"Galls did the right thing. 
 
Other companies that provide masks and other personal protective equipment to states, localities, health systems and tribes should do the same.  

Nobody should profit off of the suffering of others during this pandemic. https://t.co/BM0OBxpSnT"
1246254335480266752,2020-04-04 01:52:42,I’ll be joining @amjoyshow tomorrow morning on @MSNBC at 11:45 am ET/8:45 am PT to discuss the firing of Navy Captain Brett Crozier after he raised the alarm about a #coronavirus outbreak aboard the USS Theodore Roosevelt. Tune in!
1246243831969964032,2020-04-04 01:10:58,"RT @HispanicCaucus: Latinos, who have been historically undercounted for decades, need #Census2020 to be done right. @HispanicCaucus is cal…"
1246220718225920000,2020-04-03 23:39:07,"RT @votevets: “For the men and women on the Roosevelt and across the Navy, the message is this,” @RepRubenGallego said. “If the commander i…"
1246220658071265283,2020-04-03 23:38:53,RT @BrentKleinman: Thank you @RepRubenGallego and @RepGregStanton  for your hard work protecting our first responders
1246172442353172480,2020-04-03 20:27:17,RT @RepDonBeyer: Yesterday @stevenmnuchin1 stood at the White House podium and assured American small business owners that the Paycheck Pro…
1246148039363960832,2020-04-03 18:50:19,Last week we passed $8B in COVID-19 relief for Indian Country. The entire AZ delegation is urging @stevenmnuchin1 &amp; @SecBernhardt to quickly and effectively distribute this relief to AZ Tribes. We can’t afford further delay when lives are at stake. #CoronavirusIndianCountry https://t.co/nAn6pZJtQB
1246142363808006147,2020-04-03 18:27:46,"RT @JournoGeoffZ: Interesting ship CO firing timeline shared by a SWO source regarding the Roosevelt: 

USS Fitzgerald Collision: 17 Jun 17…"
1246139928813146113,2020-04-03 18:18:05,"Companies shouldn’t profit at the expense of the health and safety of those on the front lines fighting the #COVID19 pandemic.

AZ AG Mark Brnovich needs to do more to stop medical supply vendors and manufacturers from price gouging.

@RepGregStanton and I told him so today: https://t.co/TuYEalJL82"
