id,created_at,text
1246110398824304640,2020-04-03 16:20:45,"RT @GOPLeader: Small business owners: this is a two-page form for a 100% federally-guaranteed loan. If you use it for payroll, rent, and ut…"
1246103570572808197,2020-04-03 15:53:37,The @usedgov has updated their website with new Q&amp;As regarding the student loan provisions in the CARE Act. More information here:  https://t.co/oKi9kf3ehn
1246093184859602949,2020-04-03 15:12:21,"My office has received many questions from @SocialSecurity recipients who do not typically file taxes, wondering if they will need to file this year in order to receive the economic impact payment. The answer is NO, if you were not previously required to file a tax return. https://t.co/z07S6qDBJ0"
1245779107633410048,2020-04-02 18:24:19,RT @GrayDCnews: .@RepRussFulcher is helping a local ventilator manufacturer connect with states who need the important medical device.  @JL…
1245778999885934594,2020-04-02 18:23:53,"RT @lfinneytweets: Sandpoint company Percussionaire (founded by late Dr. Forrest Bird, an incredible man &amp; inventor credited with helping e…"
1245778699330506752,2020-04-02 18:22:42,"The @USTreasury has announced delays for tax and reporting due dates for alcohol, tobacco, firearms, and ammunition businesses hit by COVID-19. https://t.co/NItZPKo2kz"
1245763911649054725,2020-04-02 17:23:56,RT @JimBridenstine: .@NASASTEM has the resources you need to keep your kids engaged and learning about space! Check out the NASA STEM @ Hom…
1245760039232643076,2020-04-02 17:08:33,Secretary @stevenmnuchin1 @USTreasury is encouraging small businesses to visit https://t.co/wOY8Rpi44H and sign up for the Paycheck Protection Program. These loans are forgivable under certain conditions &amp; will cover up to 8 weeks of payroll and overhead for your small business.
1245745418295705601,2020-04-02 16:10:27,"Reminder: The @SBAgov federal disaster loan application deadline is May 1, 2020. This deadline is for economic injury caused by severe storms, flooding, landslides, and mudslides in Idaho County that occurred April 7-13 of 2019."
1245460570083655682,2020-04-01 21:18:34,"Commissioner Andrew Saul @SocialSecurity confirmed that Social Security &amp; SSI benefit payments will be paid on time during this pandemic. 

There are many scammers trying to take advantage of this situation and spreading falsities. Please help us spread the word!"
1245395299054616577,2020-04-01 16:59:12,"Shout out to the @Rotary Club of Post Falls who gave the Post Falls Food Bank a $1k check to help bolster their food pantry. 

During this difficult time, it's important to highlight so many Idahoans who are stepping up to help our communities."
1245067201238925312,2020-03-31 19:15:27,"Great to hear that Tedder Industries in Hayden, Idaho has stepped up to offer their commercial sewing machines to provide medical masks for Kootenai Health. 

https://t.co/NZyc2MjfPv"
1245056318722977794,2020-03-31 18:32:13,The @DeptVetAffairs Video Connect system enables Veterans to video conference with their VA providers. @TMobile @sprint @verizon and @Tracfone are waiving mobile data costs for veterans using video telehealth technology to connect with their health team. https://t.co/rcZ3oMQu9U
1245033884565360641,2020-03-31 17:03:04,RT @ErinBamer: The Nampa School District is providing free grab-and-go lunches outside some schools and delivering some lunches to bus stop…
1245032495776702464,2020-03-31 16:57:33,"While federal taxes have been delayed to JULY 15th, Idaho State taxes have been delayed to JUNE 15th. More information in the latest state tax filing guidance: https://t.co/7OLEK30l16"
1245007750897246208,2020-03-31 15:19:13,"Round of applause to the many Idahoans sewing medical masks for those in need around the Treasure Valley. We are so appreciative for the countless hours spent volunteering your time for hospitals, companies, and individuals in need. 
https://t.co/N0WPibRpN0"
1244688939958652933,2020-03-30 18:12:23,"Koenig Distillery (Canyon County) is using their resources to help @StLukesHealth combat COVID19. Shoutout to Kevin Cleveland, daughter Kailyn (@IdahoStateU College of Pharmacy), &amp; their whole family who came together to produce 650+ gallons of sanitizer in their first week! https://t.co/WocsIpvjTZ"
1244669354546991104,2020-03-30 16:54:33,"More Resources for Small Businesses and Non-Profits 

https://t.co/hzRilrhPDz"
1244667335690027014,2020-03-30 16:46:32,"Extensive resources from the @SBAgov -- including how small business owners can apply for low-interest economic injury disaster loans.  

https://t.co/Y8fhupk0XE"
1244665242824687621,2020-03-30 16:38:13,"RT @Mike_Pence: To every doctor around the Country tirelessly working to keep the American people healthy and safe, thank you. Our Nation i…"
1244665204094504962,2020-03-30 16:38:04,"RT @CongMikeSimpson: Today is #NationalDoctorsDay 🩺
 
To our heroes in healthcare putting their patients first, today and every day, Thank…"
1244665158456283136,2020-03-30 16:37:53,RT @MikeCrapo: Thank you to all the doctors tirelessly working to keep us safe.  Our country is forever grateful for the sacrifices you’ve…
1243550361551548423,2020-03-27 14:48:04,"Just stepped off of the House floor where I spoke about my upcoming vote on the CARES Act, the third coronavirus releif funding package. My full speech is below. https://t.co/tMJkXQTUlN"
1243242149245849607,2020-03-26 18:23:21,"Our First Congressional District Art Competition is going digital. Students, please submit a high-resolution photo of your art piece and the release form via email. More details here: 
https://t.co/Hzx51u0n1z"
1243227752813203461,2020-03-26 17:26:08,"Glad to see the Hyde Amendment is included in the bill we will be voting on tomorrow-- hundreds of billions of dollars will be protected from funding abortions or abortion coverage, and Planned Parenthood will not qualify for these funds."
1243221347347697665,2020-03-26 17:00:41,Topline summary of the CARES Act from @HouseGOP.  Full bill text here: https://t.co/kHkRDESuIm https://t.co/g7zVb7VJfU
1243012381774667777,2020-03-26 03:10:20,Thank you to @the208KTVB @KTVB for being a positive voice during a trying time.
1242910354365206529,2020-03-25 20:24:55,"Boise Veterans Home is open with phone &amp; telehealth options. If veterans experience heightened stress, anxiety, PTSD, etc, they will make some exceptions to meet in-person. Call 208-342-3612. I am so proud of our facility making sure veterans do not feel alone during this time."
1242897132794843136,2020-03-25 19:32:23,"RT @AjitPaiFCC: Americans' daily lives have been have been disrupted by the #coronavirus pandemic. Mine, too—#telework, teaching kids, worr…"
1242890694945132547,2020-03-25 19:06:48,The Trump Administration @USOPM @DeptVetAffairs has waived a section of federal law to make it easier to rehire retired VA health care workers to help VA facilities bolster their medical staffs during this pandemic. https://t.co/VSBzjCc1Nn
1242875900900847618,2020-03-25 18:08:00,Good news-- @realDonaldTrump @FEMA_Pete announced use of the Defense Production Act for the first time to secure 60K test kits and adding language for 500M N95 masks over the next 18 months.
1242872876539273218,2020-03-25 17:55:59,RT @RepNewhouse: If you or a loved one receive notice that your benefits are being discontinued because of Social Security office closures…
1242872868402352128,2020-03-25 17:55:57,RT @RepNewhouse: SCAM ALERT: The Social Security Administration is NOT suspending or discontinuing benefits because of the COVID-19 outbrea…
1242870728883658752,2020-03-25 17:47:27,RT @GovernorLittle: I will make an important announcement about Idaho’s COVID-19 response today at Gowen Field at 1:30 pm MT. A public rele…
1242497306877927426,2020-03-24 17:03:37,"My latest op-ed on the COVID19 funding package being debated in the Senate. 

https://t.co/qCzrctgc5G"
1242107284555206656,2020-03-23 15:13:48,"The @DeptVetAffairs has information for veterans to protect themselves, and for those experiencing possible symptoms of the coronavirus. More here: https://t.co/9KtOhuRmAn"
1242086111071043585,2020-03-23 13:49:40,RT @SenatorRisch: Ventilators are a critical lifeline for people suffering from respiratory failure. Under the dire circumstances presented…
1242086050211790848,2020-03-23 13:49:25,RT @kevinmillershow: @RepRussFulcher joins us now on @KIDOTalkRadio discussing the latest on the Covid-19 Virus.
1241424265376944128,2020-03-21 17:59:44,"Whether you have kids at home or are looking for interesting downtime diversions, @uscapoffers many ways to experience American history. More on their website here: https://t.co/UmG023QGSL"
1241397985839284225,2020-03-21 16:15:18,The @SBAgov is now offering small businesses in Idaho low-interest federal disaster loans for working capital to those suffering substantial economic injury as a result of the Coronavirus. More info: https://t.co/eZ9fP7Oe14
1241118619737690112,2020-03-20 21:45:12,"There has been an increase in insurance/financial scams, so please take extra caution on the phone &amp; email. @NAIFA is working with the National Business Emergency Operations Center to produce reliable information from licensed professionals. More here: https://t.co/xDwNSaNLwY"
