id,created_at,text
1246117469825228803,2020-04-03 16:48:51,"Today is the beginning of the Small Business Paycheck Protection Program, which provides small businesses with funds to pay up to 8 weeks of payroll costs including benefits, mortgages, rent, and utilities.

For more details, check out the document below.
https://t.co/G4B5uGKiAN"
1245775008258981888,2020-04-02 18:08:02,"To read the full announcement, please click the link below:
https://t.co/VP4yh3zyou"
1245775006992412672,2020-04-02 18:08:01,"Good news for social security beneficiaries! You will NOT need to file a federal tax return to receive your $1,200 stimulus payment. Instead, the IRS will use information already on file to send the payment how you normally receive benefits."
1245756724293914627,2020-04-02 16:55:22,This is life-saving innovation here in Northeast Florida. Thank you @JTAFLA and @MayoClinic for your partnership at this critical time. #COVIDー19 https://t.co/j26e0jwyfc
1245732708535369732,2020-04-02 15:19:56,RT @Yarissa6: Happening now: @RepRutherfordFL addresses Floridians affected by dementia amid COVID-19 pandemic alongside @AlzAdvocacyFL #al…
1245712280702107651,2020-04-02 13:58:46,Register below for our conversation on #COVIDー19! https://t.co/FmBPRSNcBl
1245481637594497025,2020-04-01 22:42:16,"Today, @GovRonDeSantis issued a stay at home order for the state of Florida. For more information on what activities are allowed and prohibited, please check out the story below.
https://t.co/TOmkFVGCsL"
1245394952802222081,2020-04-01 16:57:49,"3) For a comprehensive summary of loans and resources available to small businesses, please click below:
https://t.co/yPZfq9jC2u"
1245394951657177091,2020-04-01 16:57:49,"2) For detailed information on direct payments, please click the following link: https://t.co/GOeed64X1V"
1245394950721863687,2020-04-01 16:57:49,"1) I appreciated the opportunity to present an update on the federal response to #COVIDー19 to the St. Johns County Board of County Commissioners. Specifically, we focused on how the recently passed CARES Act will provide assistance to struggling families and small businesses."
1245372076619444224,2020-04-01 15:26:55,Please read this important announcement for Duval County residents. https://t.co/UZBh7za57E
1245360887369695235,2020-04-01 14:42:27,Looking forward to joining! #ENDALZ https://t.co/PcfQF6YGeG
1244700531815337985,2020-03-30 18:58:26,On #doctorsday2020 we honor the incredible men and women putting their lives on the line to stop the spread of #COVIDー19 and save lives. Thank you to the doctors working around the clock to treat patients and find a cure - you are all heroes! https://t.co/7KUbPYbyuM
1243596243105976322,2020-03-27 17:50:23,"America is resilient in times of crisis – today’s challenges are no exception. The CARES Act will deliver immediate assistance to health care heroes on the front lines &amp; support individual workers &amp; small businesses negatively impacted by the #coronavirus.
https://t.co/rss0BcQJvj"
1242896828837830656,2020-03-25 19:31:10,Thank you @realDonaldTrump for acting quickly to approve a Major Disaster Declaration for the State of Florida. This will give local governments and individual Floridians access to more emergency resources as we work together to defeat the #coronavirus and revive our economy. https://t.co/lUwesWJfv5
1242608917793984515,2020-03-25 00:27:07,The governor also announced bans on gatherings of over 10 people and urged all non-essential businesses to have at least 50% of their employees telecommute. #coronavirus
1242608916959244288,2020-03-25 00:27:07,".@GovRonDeSantis is urging all Florida residents aged 65 and over to stay home for the next 14 days. For those not affected by this advisory, consider helping our neighbors who may need assistance gathering groceries or supplies during these next two weeks. #coronavirus"
1242203486609178624,2020-03-23 21:36:04,"There is a time for discussing the many other challenges that face our country, but not now while Americans are hurting. House leadership must stop playing political games &amp; focus on providing assistance to millions of working families."
1242203484826619904,2020-03-23 21:36:04,".@SpeakerPelosi is also pushing for a government buyout of commercial aircraft. This is an aviation version of ""Cash for Clunkers."" What does this have to do with mitigating the damage caused by #COVIDー19? https://t.co/sNDRqeInaf"
