id,created_at,text
1246577996296790017,2020-04-04 23:18:49,"Volunteers would work for only a few hours, have their temperatures taken before entering the facility and will receive their own masks and gloves for the job. Sewing experience would be well received, however, those who don’t know how to sew will receive training."
1246577994975662080,2020-04-04 23:18:48,".@LBHealth in Baltimore needs volunteers over the next several weeks to help make masks for health care providers. Masks will be made near Northwest Hospital in Randallstown. To volunteer, sign up here: https://t.co/YegYhkEnOm."
1246229933363539968,2020-04-04 00:15:44,"A quick video message to close out the week.

Be safe. Be well. https://t.co/jX1vnG6czW"
1246174398530412544,2020-04-03 20:35:04,"By taking action to flatten the curve, we will be better equipped to fight the virus, and eventually – with all of us working together – life will get back to normal.

Here’s a brief roundup of the latest #COVID_19 developments. #SarbanesStandard https://t.co/OAeYJntW5e"
1246174397922230272,2020-04-03 20:35:03,"To fight #COVID_19 and to save lives, Marylanders are making significant sacrifices. I want to thank you and your families for following the advice of public health officials and staying home to help slow the spread of the virus."
1246138124813709312,2020-04-03 18:10:55,"As the number of #COVID_19 cases and deaths continue to rise, it’s incredibly important for all of us to follow the guidance of public health officials and #StayHome to slow the spread of the virus. https://t.co/IESA6ndmPp"
1245874909076693000,2020-04-03 00:45:00,"With the bipartisan #CARESAct, we delivered critical resources to our frontline health care workers. Moving forward, we must continue to support our health care workforce and ensure they have all of the tools and equipment they need to fight the virus. https://t.co/TVYsunyTgp"
1245847265400545282,2020-04-02 22:55:09,Our state has only received a third of the medical supplies that we've repeatedly requested from FEMA.
1245847264448438272,2020-04-02 22:55:09,"The Maryland Congressional Delegation urged @fema to fulfill Maryland’s request for critical medical supplies to fight #COVID_19, including ventilators, PPE, testing supplies, swabs, pharmaceutical supplies for medical surge sites and mobile medical labs. https://t.co/DDZWhF5pGt"
1245844710222110720,2020-04-02 22:45:00,The #CARESAct provides $350 billion in forgivable loans and $10 billion in grants for small businesses and nonprofits. See here for more information about how small business owners and nonprofits can access these resources: https://t.co/hAPgpCZMw6. https://t.co/i0JsdUXQ1o
1245825836525199367,2020-04-02 21:30:00,"For many Marylanders, the #COVID_19 crisis presents several obstacles to accessing safe and nutritious meals. To learn more about the food security assistance that’s available to you and your families during this challenging time, see here: https://t.co/sAmsXHYyZm. https://t.co/7tKbRUJpU2"
1245805726863368192,2020-04-02 20:10:05,".@HouseDemocrats are working to put #FamiliesFirst as we respond to the coronavirus crisis. To learn more about the federal resources recently made available to you and your family, I encourage you to check out this toolkit: https://t.co/xZwIKL37ty. https://t.co/IVxTM8nah2"
1245774679425646592,2020-04-02 18:06:43,"RT @WYPR881FM: The CARES Act is the largest ever financial stimulus in  U.S. history.

What’s in it? Who will benefit? @RepSarbanes joined…"
1245718630492405760,2020-04-02 14:24:00,"RT @MDHealthDept: Today, @MDHealthDept reports 2,331 confirmed cases of #COVID19 in Maryland. 

Maryland has 36 deaths, 18,890 negative tes…"
1245532679694663680,2020-04-02 02:05:06,Please refer to the below advisory for more information. https://t.co/bMSG4cvYJI
1245532678952300544,2020-04-02 02:05:06,"The @StateDept has issued a Level 4 Global Travel Advisory, which strongly cautions Americans abroad that if they do not make efforts to return to the U.S. in the immediate future, the ability of the State Department to provide repatriation assistance cannot be guaranteed."
1245508794458701825,2020-04-02 00:30:11,"If you’re looking for something to do while you stay at home and help stop the spread of the #coronavirus, I encourage you to participate in the #2020Census. It’s quick. It’s easy. It’s confidential. And it’s safe. #SarbanesStandard #CensusDay 

https://t.co/bvHNpaBACA"
