id,created_at,text
1247278892207034368,2020-04-06 21:43:55,"I’m hosting our fourth COVID-19 Tele-Town Hall, this Wednesday at 3:10pm. Last week, almost 7,000 constituents joined our call, and I look forward to another informative session on Wednesday. Stay tuned for an announcement on our special guests! https://t.co/KjTFKDS2Ww"
1246101848056094724,2020-04-03 15:46:46,"STARTING TODAY: Small businesses can apply for the Paycheck Protection Program, a newly created federal program to provide funds to small businesses during the COVID-19 emergency. To apply for a PPP loan or for more information, visit: https://t.co/ZeVqjA8pea"
1245458079250092033,2020-04-01 21:08:40,"HAPPENING NOW: Join the PA-10 COVID-19 town hall! I’m joined by two leading medical experts and we’re leading an important discussion on the physical, mental and emotional effects of the COVID-19 outbreak. We’re answering your questions, join here: https://t.co/dnLdT49Zv7"
1245362281648738308,2020-04-01 14:48:00,TONIGHT: I’m leading a #COVID19 tele town hall @ 5:05pm! I’ll be joined by a medical expert from @PennStHershey and @Doc_Springer to discuss the ongoing medical risk of COVID-19 as well as the importance of caring for our mental health. Join the call here: https://t.co/dnLdT49Zv7
1245177414717771777,2020-04-01 02:33:24,TUNE IN tomorrow morning to WHYL 102.9FM (960 AM) at 8:10am! I’ll be joining Morning Show Host Scott Johnson to discuss the ongoing outbreak of COVID-19. Listen in if you can!
1245074908180291587,2020-03-31 19:46:05,"Sign up to join the town hall by visiting https://t.co/dnLdT49Zv7 

To hear @Doc_Springer's recent insights on the physical, mental and emotional toll COVID-19 is taking on our communities and neighbors, visit here: https://t.co/nnSyBClI38"
1245074907316342786,2020-03-31 19:46:04,"I’m honored to introduce @Doc_Springer, a nationally trusted expert on trauma recovery, as a guest on our tele town hall on Wed @ 5:05pm! She’ll help us understand how COVID-19 is affecting our mental health and how to create a plan to cope with increased fear, stress and anxiety"
1244752223894110210,2020-03-30 22:23:51,"PA ALERT: Pennsylvania’s primary election date has moved from April 28, 2020 to June 2, 2020 due to the COVID-19 outbreak. https://t.co/ao8iEckMcr"
1244686757955854338,2020-03-30 18:03:42,"DAUPHIN and CUMBERLAND ALERT: Gov. Tom Wolf just placed Cumberland and Dauphin Counties under a stay-at-home order effective TONIGHT at 8pm. In addition, Gov. Wolf extended all stay-at-home orders for Pennsylvania counties to April 30, 2020."
1244666879152660482,2020-03-30 16:44:43,"Today is #NationalDoctorsDay. Our health care providers are on the frontline of the fight against COVID-19. Today, and every day, THANK YOU to our medical professionals for working selflessly to protect the health of our communities. Join me and #ThankaDoctor today! https://t.co/2de0DDSqmv"
1244423786100936705,2020-03-30 00:38:45,"On Vietnam Veterans Day, we honor the courage, sacrifice, and valor of all who served during the Vietnam War. THANK YOU today and every day for your Service to our great Nation. https://t.co/oTRKNHEV0t"
1243588189039853568,2020-03-27 17:18:23,"YORK COUNTY ALERT: Gov. Tom Wolf just issued a stay-at-home order for York County effective 8pm TONIGHT through April 6, 2020. To learn more about what this order means for you, visit https://t.co/tzZIQPOk8h https://t.co/bl1ynpTMrd"
1243274029819191297,2020-03-26 20:30:02,"Working resolutely with gov't officials, manufacturers, and health care institutions to protect our frontline providers. If you're a health care institution IN NEED OF SUPPLIES, OR a manufacturer please visit https://t.co/vXS4Mwdnul to join our effort to get PPE where it’s needed"
1243268256875581440,2020-03-26 20:07:05,"We’re #InItTogether: @Doc_Springer, a nationally trusted expert on trauma, took her learnings from a career treating Veterans to list 5 things we can all do right now to stay mentally balanced. It’s important to take care of yourself – and each other. https://t.co/m29hpIeJy7"
1243183779398717441,2020-03-26 14:31:24,"If you didn’t get a chance to ask a question, give us a call; but don’t worry – I’ll be holding more of these regularly. Please sign up for my e-newsletter on https://t.co/5G9c0e48Dz to be notified by e-mail of our next Tele-Town Hall."
1243183777733660675,2020-03-26 14:31:24,"I partnered with two frontline medical experts in our region to host a Tele-Town Hall on COVID-19. Thank you to the nearly 7,000 constituents that joined us! If you missed our call, please find a full recording here: https://t.co/WwbzatwSJm"
1242873437338689538,2020-03-25 17:58:13,"Tune in NOW! I’m currently hosting a COVID-19 telephone town hall with an Infectious Diseases Specialist at UPMC Pinnacle , and a frontline nurse practitioner in our community. We’ll brief you on COVID-19 and answer your questions. Join the call here: https://t.co/dnLdT49Zv7"
1242176051737919491,2020-03-23 19:47:03,"ATTN PARENTS &amp; GUARDIANS: PA schools will remain closed through at least April 6. I've worked with local leaders to ensure that kids can still receive meals at no cost during the closure. For answers to FAQs, visit: https://t.co/9GzGjK1kH0"
1242150503850618880,2020-03-23 18:05:32,"Our Country is facing a crisis.  This is no time for politics and games.  

Democrat Leadership is risking American jobs and lives in an attempt to score political points and fulfill their liberal wish list.  STOP IT – and work on helping the American People. https://t.co/I4jsQ1wIUP"
