id,created_at,text
1247300154446807040,2020-04-06 23:08:25,"RT @jahimes: There are very few institutions I respect as much as the @USNavy 

The leadership I have witnessed aboard several ships has be…"
1247251761695522822,2020-04-06 19:56:07,"Acting @SECNAV Modly’s comments were beneath the dignity of his office. 

Capt. Crozier did what he thought was right. He sounded the alarm. Now, he &amp; 173 of his former crew have COVID-19.

Modly should be protecting our sailors’ safety &amp; health, not attacking Capt. Crozier. https://t.co/jM4pZwjsUn"
1247232029198028801,2020-04-06 18:37:42,"This can't fly.

The GOP needs to stop standing in the way of common sense efforts to expand unemployment insurance.

We can't let American workers down. https://t.co/l0G1z0w3ag"
1247229971745161219,2020-04-06 18:29:32,"RT @cheddar: “There are lots of ways that we can stimulate this economy, but what’s missing right now is the bipartisanship that we had on…"
1247227938480758784,2020-04-06 18:21:27,"If we're going to save our economy, we've still got a lot of work to do.

A big chunk of that should be undoing all the parts of the GOP tax bill that screwed states like New York out of their state and local tax deductions.

That and infrastructure should be our top priorities."
1247217474417950722,2020-04-06 17:39:52,"What's happening right now isn't working. We need a strong presidential command &amp; control structure governing the acquisition &amp; distribution of equipment like ventilators.

The DPA gives Trump that authority.

It's high time he actually use it. https://t.co/02ze2fNXbH"
1247206910295760896,2020-04-06 16:57:54,"RT @cheddar: “A national testing system is still missing and the president has just failed miserably at that.”

@RepSeanMaloney discusses t…"
1247198869672398849,2020-04-06 16:25:57,"A nationwide stay-at-home order is our #1 weapon against COVID-19.

We don't have a vaccine yet - so, right now, the only way we’re going to win is by staying home and flattening the curve."
1246989755012833285,2020-04-06 02:35:00,"RT @RepAdamSchiff: A powerful message from Inspector Gen. Atkinson after his retaliatory firing:

“The American people deserve an honest an…"
1246946921857646594,2020-04-05 23:44:47,"Everybody needs to stay home.

Don’t go to the store or the pharmacy unless it’s essential.

That’s how we’re going to beat this thing.

👉🏼 Save lives. Protect your family. Stay home."
1246472143749218304,2020-04-04 16:18:12,"Agreed. Congress needs to force President Trump to use the full force of the DPA for test kits, masks, and everything else our health workers need to win this fight. We can't afford to wait another minute. People are dying. https://t.co/c2hVuzUKWd"
1246442847882162176,2020-04-04 14:21:47,"Firing ICIG Michael Atkinson in the middle of the night in the midst of a pandemic is a cowardly act of retribution.

Trump is once again attacking the independence of the Intelligence Community and its adherence to our laws.

That is a slippery slope &amp; it’s plain dangerous. https://t.co/JUQpwTHT8J"
1246437418980593664,2020-04-04 14:00:13,The sailors of USS Roosevelt still know right from wrong. God bless all who truly serve. 🇺🇸💪 https://t.co/WZfYMe3OfF
1246199610827313153,2020-04-03 22:15:15,"There’s so much going on right now and so much of it is negative.

Thought we could all use some good news.

You make New York proud, Miguel. https://t.co/O61F14ZApP"
1246176286986379264,2020-04-03 20:42:34,What just made sense before is now 100% necessary – we've got to expand unemployment insurance across America. What's happening in Florida is plain wrong. https://t.co/PpBS5Wmehu
1246175129077534720,2020-04-03 20:37:58,"Masks. Face shields. Gowns. These are the tools our health care workers need to win this fight. 

That's what the president needs to be focused on right now. That's why we need the DPA."
1246172963935748099,2020-04-03 20:29:22,RT @OutLeadership: Thank you @RepSeanMaloney for Joining @rufusgifford &amp; the #OutLeadership team for yesterday’s broadcast of #ThisWeekInLe…
1246139365702713344,2020-04-03 18:15:51,"I'm about to kick off another telephone town hall. I'll be on the line with thousands of folks across the Hudson Valley to help New Yorkers being hit hard by COVID-19.

Have a question you want answered? Call in now, and I'll do my best to get you the information you need. https://t.co/YgwGb1FfgJ"
