id,created_at,text
1247346057585086464,2020-04-07 02:10:49,"Haiti's resources are stretched impossibly thin. 

Deporting people to Haiti who have been exposed to COVID-19 in the middle of this pandemic is inhumane, unconscionable, and will end in tragedy.

https://t.co/eUIPjLijJi"
1247261909881102336,2020-04-06 20:36:26,".@GovRonDeSantis can't manage in a crisis situation.

He wants FL to process 80k unemployment applications a week, but the state already has a backlog of more than 560k applications and thousands more haven't applied because the website is broken. 🤦🏽‍♀️

https://t.co/VmoR3FIsb7"
1247260987360763910,2020-04-06 20:32:47,"Over 337,000 in the United States and over 13,000 in Florida have been tested positive for #COVID19.

I know there is confusion and stress during these difficult times.

This Wednesday, I look to answer your questions and concerns.

Dial in for free: 855-920-0556
Time: 3:30PM https://t.co/zbzM5eYzEQ"
1247228185818824706,2020-04-06 18:22:26,"If you were as horrified by the scenes of abuse in #TigerKing as I was, there is something you can do about it.

Join the fight to pass the #BigCatPublicSafetyAct and end the private ownership of big cats and the cruelty of cub petting. https://t.co/6SI2yr1acy https://t.co/67Qzyf1GRW"
1247190481357938688,2020-04-06 15:52:37,"Actualmente, el 37.2% del 27° Distrito del Congreso de Florida ha completado el #2020Censo.

Debemos hacer mejor. ¡Asegurémonos de que todos contemos!

¡Envíe su respuesta hoy y asegúrese de ayudar a su vecino!

Participe aquí: https://t.co/msKA3d2ycF"
1247190477797052419,2020-04-06 15:52:36,"As of today, 37.2% of Florida's 27th Congressional District has completed the #2020Census.

We must do better. Let's make sure we all count!

Submit your response today and make sure to help your neighbor!

Take the survey here: https://t.co/eolcWBGMGn"
1247153507850952704,2020-04-06 13:25:41,"RT @HispanicCaucus: 1 in 3 US adults have a pre-existing condition that makes them especially vulnerable to coronavirus.
Please, be aware t…"
1246961755265392642,2020-04-06 00:43:44,"RT @HouseDemocrats: We face an unprecedented crisis. 

That’s why House Democrats fought for:
🏥FREE coronavirus testing to all
💵Paid family…"
1246805835529048067,2020-04-05 14:24:10,"RT @Jenniffer2012: Junto a otros cinco congresistas radiqué el HR 6443, ‘‘Ley para Asegurar la Cadena de Suministro Nacional de 2020”, que…"
1246785490172379147,2020-04-05 13:03:19,".@GovRonDeSantis we need all hands on deck to fight this crisis.

Let health care workers use the full scope of their license.

We need all the help we can get.

https://t.co/InAR2XM8br"
1246595830024482821,2020-04-05 00:29:41,"Dr. Fauci said it best.

Thank you to all the brave health care workers who are going to work every day to keep our country safe.

We owe you a tremendous debt of gratitude. https://t.co/5Hs0mGq6R9"
1246458991879864320,2020-04-04 15:25:56,Hogan I love you but get your paws off my desk. I’m coming back!
1246449403734503424,2020-04-04 14:47:50,"On this day 52 years ago, the world lost a leader, pioneer and champion for justice. 
 
We honor Dr. Martin Luther King Jr. by continuing his fight #ForThePeople.
 
#RestInPower https://t.co/pUZxbR1R29"
1246132502219108353,2020-04-03 17:48:35,"@MikeGrunwald My office would be happy to help!

Please call 305-668-2285 and some one from our staff will assist you."
1246113238208651265,2020-04-03 16:32:02,"Hogan is an intern in our DC office.

He’s sad he can’t see his coworkers every day, but he knows that practicing social distancing will keep us all healthier and safer in the long run.

Be like Hogan: practice social distancing.

#furryfriendsFriday https://t.co/EzvS860ivn"
1246090081359859714,2020-04-03 15:00:01,"Rent is due. The House sent $2.2 trillion in relief to the President to sign last week.

Now, his administration is saying some Americans have to wait 20 WEEKS to get their check. #WhereIsTheMoney https://t.co/rAkJz7yJP8"
1245836314991345665,2020-04-02 22:11:38,"Proud to join my colleagues in urging Governor DeSantis to get those whose jobs have been affected by this crisis the help they need, in spite of the government's shortcomings. https://t.co/QYPppeSTcR"
1245825895778127873,2020-04-02 21:30:14,"Many cities and towns are struggling to respond to this crisis and keep their residents safe.

We need to make sure that they get the funding they need to continue providing critical services to their constituents in this difficult time.

https://t.co/Z20DIeVixf"
1245802498805432320,2020-04-02 19:57:16,RT @kenrussellmiami: We are sending a letter to @GovRonDeSantis today asking for Reemployment Assistance benefits to be retroactive to the…
1245730422438363144,2020-04-02 15:10:51,"RT @congressfdn: For excellence in Constituent Service, we recognize @RepKendraHorn, Rep. @RobWittman, @MikeKellyPA, @RepShalala, @RepCheri…"
1245730403400507392,2020-04-02 15:10:47,"RT @congressfdn: For excellence in “Life in Congress” Workplace Environment, we recognize @RepAOC, @RepShalala, Sen. @SteveDaines, @RepRoKh…"
1245717556477952003,2020-04-02 14:19:44,"RT @jimsciutto: “WE AMERICANS DON'T TURN PEOPLE AWAY. WE DID ONCE, AND TO OUR SHAME, WE TURNED JEWISH REFUGEES DESPERATE JEWISH REFUGEES AW…"
