id,created_at,text
1247189912631291906,2020-04-06 15:50:21,"There is nothing more urgent in the fight against #COVID19 than getting protective equipment to front-line health workers.

I’m fighting alongside @GovWhitmer and the bipartisan Michigan delegation to uncover any source we can find. https://t.co/p47vjel5M3"
1246182455771611138,2020-04-03 21:07:05,"So many crafters &amp; sewers across our state are stepping up to make masks to protect our healthcare workers.

Kudos to the owner of Seams in East Lansing and her sewing community, who are banding together to get masks to Lansing-area healthcare facilities: https://t.co/39YnJQR0RK"
1246133894170247169,2020-04-03 17:54:07,"The CARES Act we passed last week includes $400M in election security funding, which is a good start –– but I’m continuing to push for more funding &amp; flexibility, to make sure all Michiganders can participate in our democratic process come November."
1246133892844851201,2020-04-03 17:54:06,"While America fights #COVID19, election officials like @TLBsStory are doing prudent planning to safeguard our democratic process: https://t.co/eLQJxul6V5"
1246094664534503429,2020-04-03 15:18:14,"Good to see Kroger joining companies like Meijer and Rite Aid recognize the heroism of these @UFCW workers. 

Next time you’re in the store, be sure to thank them."
1246094663251120129,2020-04-03 15:18:13,"In battle, the saying goes, armies march to war on their stomachs –– meaning they can’t win the battle without the supplies that keep them fed.

In the battle against #COVID19, grocery workers and shop employees are the supply heroes, helping feed us despite the risk. https://t.co/vHgtNKDmLW"
1246068478722936832,2020-04-03 13:34:10,#SpartansWill https://t.co/wfwzU4AzQ7
1245793279842664452,2020-04-02 19:20:38,"If Secretary DeVos’s goal is to keep students safe, she should focus her efforts on preventing the spread of #COVID19, and reverse course on these Title IX changes."
1245793278290808832,2020-04-02 19:20:37,"With our schools, students, faculty and staff already under tremendous strain during this unprecedented public health crisis, now is not the time for Secretary DeVos to divert her resources, and theirs, toward implementing these rules."
1245793276315271168,2020-04-02 19:20:37,"I am so disappointed that @BetsyDeVosED is moving forward with Title IX changes that make it harder for survivors to come forward––and that she chose this time of national crisis to do so.

Today I joined @RepSpeier, @RepAnnieKuster &amp; @RepPressley in urging her to reverse course: https://t.co/a5DXMyejpE"
1245789461130215427,2020-04-02 19:05:27,"RT @PostOpinions: The administration should centralize FEMA procurement of medical supplies, writes @RepSlotkin https://t.co/Dj7fcdcaxB"
1245449326605873153,2020-04-01 20:33:53,"According to state officials, more than 2,000 Michigan companies are hiring workers now to help with essential tasks in fighting #COVID19.

Workers and employers can go to: https://t.co/NM7nDLd0Oa

To learn how to volunteer, go to: https://t.co/nFnAiBUKoe"
1245388482610069506,2020-04-01 16:32:07,"Today is the day: remember to take 10 minutes to fill out your 2020 census today, by going to https://t.co/rNJPULLUnt. https://t.co/l4cwO7oEvP"
1245383755126226944,2020-04-01 16:13:19,"Saddened to hear of the passing of Commissioner Dennis Dolan, who served Livingston County for nearly 2 decades as a voice of conscience &amp; integrity. Sending my thoughts to his family &amp; the entire commission, wishing them strength in these difficult times. https://t.co/GU3HQZJei4"
1245379989765345281,2020-04-01 15:58:22,RT @WHMI: Today is #2020Census Day! Taking just 10 mins to complete the census helps to ensure our community services get the funding that…
1245353948590100480,2020-04-01 14:14:53,"Regardless of where you live, you can also use the National Domestic Violence Hotline @ndvh 24/7 at 1-800-799-7233, which is available in more than 200 languages. #SAAM"
1245353947377909773,2020-04-01 14:14:53,"Ingham:
@EVEincLansing 24/7 crisis hotline: 517-372-5572.

@MSUSafePlace: 517-335-1100 or noabuse@msu.edu

Livingston:
@LACASAMichigan: 24/7 help line: 866-522-2725

Oakland:
@HAVEN_Oakland: 24/7 crisis hotline: 248-334-1274 or toll-free at 877-922-1274

#SAAM"
1245353946060914695,2020-04-01 14:14:52,"Today is the first day of Sexual Assault Awareness Month, and an important reminder that for some, staying home poses its own dangers. #SAAM

If you or someone you know is in need of assistance in #MI08, please see the following shelters:"
1245351252776665089,2020-04-01 14:04:10,RT @Local4News: #CensusDay: The census has funding consequences for the next 10 years. Do your part and fill it out today! https://t.co/BpI…
1245101253652361216,2020-03-31 21:30:46,RT @JimBridenstine: .@NASASTEM has the resources you need to keep your kids engaged and learning about space! Check out the NASA STEM @ Hom…
1245045979407056896,2020-03-31 17:51:07,"Quick shout-out to my in-laws in Florida who go and sit outside their friend Ethel’s nursing home with this sign every day.

What are you doing to connect with folks that you love? https://t.co/uKgfpQXvkr"
1245020357620310016,2020-03-31 16:09:19,"I'm so proud that @SenGaryPeters' and my Support for Veterans in Effective Apprenticeships Act has been signed into law.

This bill came straight from concerns raised by Rick, a veteran in our district –– and will now increase work training opportunities available to veterans. https://t.co/8rym32J7RZ"
1244992776204320770,2020-03-31 14:19:43,"This is good news for our state. Our National Guard has outstanding capabilities to support MI's #COVID19 response.

I’m grateful to our National Guard soldiers and airmen for their efforts, and I’m grateful that the administration has taken this action. https://t.co/h1SUBbPL8s"
1244979714474889217,2020-03-31 13:27:49,RT @HenryFordNews: SURPRISE! @lizzo treated our ER staff at #HenryFordHospital to lunch today and shared a message of thanks to our #Health…
1244791521188200460,2020-03-31 01:00:00,"That’s right — Michigan is on the case.

In a crisis, we do what Michiganders always do: we put our heads down and get to work: https://t.co/gC0Id4ZUTw"
1244774511242883072,2020-03-30 23:52:24,"Our health care providers are at war without armor to protect them.

In the @washingtonpost, I outline five ways we can arm them with the tools to fight #COVID19: https://t.co/Z7xzlVtrsJ"
1244754001490595849,2020-03-30 22:30:55,"There has never been a more opportune time to share a heartfelt thanks to our doctors and frontline health care workers. Every day, you are risking your lives to protect us. 

You are the best of us, and we see you for everything you’re doing right now. #NationalDoctorsDay"
1244650731245842432,2020-03-30 15:40:33,"It takes less than 10 minutes but can bring in tens of thousands of dollars to Michigan: Remember to fill out your 2020 census before this Wednesday, April 1st. Go to https://t.co/rNJPULLUnt. https://t.co/7ObflgE4zj"
1244645507869401092,2020-03-30 15:19:48,"A beloved state lawmaker. A WMU student. Assembly line workers, police officers, community leaders. Parents, coworkers &amp; friends. #COVID19 is claiming lives across MI.

We can honor victims of this disease by doing all we can to stop its spread: Stay home. Stay safe. Save lives. https://t.co/XohvfprL0A"
1244315161072144384,2020-03-29 17:27:07,".@Livingston_ESA came through with an amazing donation this week for @stjoelivingston. They were greeted by some very happy and appreciative hospital staff.

You can send a message of thanks to our front-line health care providers at St. Joe's here: https://t.co/LbtGGqdPbZ https://t.co/AsdurUlzBf"
1244286986543865858,2020-03-29 15:35:09,"RT @InghamHealth: At times like this, focus on what you *can* do: Take a walk, cook a meal, call your friends and neighbors to check in, an…"
1243981177012314112,2020-03-28 19:19:59,RT @GovWhitmer: .@Delta’s support will help Michigan hospitals and health care providers address the influx of COVID-19 patients and help u…
1243942775021862912,2020-03-28 16:47:23,"Our state still needs significant federal assistance on medical supplies &amp; equipment. That’s our most urgent need.

And it will continue to be my priority to work with the governor and my colleagues in the congressional delegation to fight for MI’s front-line health providers."
1243942773067259904,2020-03-28 16:47:23,"This provides MI with support for crisis counseling services &amp; some emergency preparedness efforts, which is important.

But the state has also requested aid under a variety of individual &amp; community disaster assistance programs. I urge the admin. to grant these requests as well."
1243942770915540993,2020-03-28 16:47:22,President Trump’s decision to grant @GovWhitmer’s request — one that the bipartisan Michigan congressional delegation supported — for a major disaster declaration for Michigan is a welcome step. But we have much more work to do. https://t.co/HYJEta8hgS
1243916521006645248,2020-03-28 15:03:04,"RT @SparrowHealth: Thank you to the donor who left these kind words at our drop-off site, along with other supplies for our Caregivers. The…"
1243884228728836096,2020-03-28 12:54:45,"RT @MichiganLEO: To help Michiganders receive unemployment benefits as a result of COVID-19, the Michigan Unemployment Insurance Agency has…"
1243712604947742720,2020-03-28 01:32:46,"I still hope the president will work with our state’s leaders and use his lawful authority on behalf of the medical professionals, first responders, and others who are on the front lines of this crisis."
1243712603358220289,2020-03-28 01:32:46,I am invested in this president’s success in defeating this virus. I am invested because the lives of my constituents and people all across this country depend on his success.
1243712602175410183,2020-03-28 01:32:46,GM’s workers and its leaders are ready to do their patriotic duty. The president’s attacks on them are simply inappropriate.
1243712600552214530,2020-03-28 01:32:45,"General Motors is an American icon, but more importantly, it has gone out of its way, despite the absence of comprehensive federal guidance or a plan, to put effort and money into producing respirators to treat COVID-19 patients."
1243712597922283521,2020-03-28 01:32:45,"Gov. Gretchen Whitmer has done nothing but stand up for people of our state, especially our front-line health providers. It’s troubling for the president to suggest that his administration would be less responsive to any state because of differences with its governor."
1243622223572873218,2020-03-27 19:33:38,"We're holding our second telephone town hall now to provide an update and answer your questions about the coronavirus.

You can join us now by calling (855) 933-0829, or by going to https://t.co/8wLETtFFR5"
1243618952409952258,2020-03-27 19:20:38,"I would feel much better telling our nurses, doctors, paramedics, food and delivery workers and others on the frontlines that a single federal coordinator is on the job."
1243618951172677634,2020-03-27 19:20:37,"The federal government must do more to get PPE in the hands of front-line medical staff.

First, we need to cut through the chaos: name an Emergency Medical Supply Czar to develop a unified picture of what we need and a plan to make it happen. https://t.co/rvGbo7dGNm"
1243616445931622401,2020-03-27 19:10:40,RT @RochesterHills: Michigan’s small businesses impacted by the COVID-19 virus can now apply for grants and loans through the Michigan Smal…
1243603751165804544,2020-03-27 18:20:13,"RT @camanpour: .@RepSlotkin: In Michigan, “we just simply don’t have enough tests or personal protective equipment. So that is our singular…"
1243532569225854976,2020-03-27 13:37:22,"I am heartbroken for the family of Lansing native Kious Kelly, who died while caring for others.

Our medical professionals are the front-line troops in this conflict –– we must provide them with the armor to protect themselves while they protect us. https://t.co/cZmjEMloOj"
1243346107066986497,2020-03-27 01:16:26,"Mr. President, we don’t need troops. We need tests. We don’t need the 82nd Airborne on our border—we need N95 masks in our hospitals.

The threat isn’t coming from our friends in Canada, it’s coming from the inability to get the supplies &amp; equipment we need to care for the sick. https://t.co/ouYPTY80HO"
1243326164304871424,2020-03-26 23:57:12,"Would you send our military into war without body armor?

Our heathcare workers are on the frontlines of this battle, and we need to protect them so they can protect us. 

Michigan’s delegation issued a bipartisan call to @VP to mobilize additional supplies to our state: https://t.co/GIRdEDb1Cn"
1242957954376183809,2020-03-25 23:34:04,"I think of our frontline healthcare workers right now the way I thought of the first responders on 9/11.

And not providing them adequate personal protective equipment is like sending our troops into battle without everything that they need. https://t.co/3CPpulsZdj"
1242885891544231936,2020-03-25 18:47:42,"All across #MI08, people are pitching in with urgently needed supplies for the front-line fight against #COVID19. Keep it coming! https://t.co/SIoAWlRoAb"
1242872949746606086,2020-03-25 17:56:17,"Our healthcare workers are on the front lines of this conflict.
We need to treat them the way we would our frontline active duty military in a different conflict –– and get them the supplies they need to fight #COVID19.
Our new bill requires the Admin. to act under the DPA: https://t.co/VLE5Nn0PS6"
1242544389592932354,2020-03-24 20:10:42,"I wouldn't ordinarily advocate for legislation telling the executive branch how to manage a crisis, but I cannot ignore the outcry from my district &amp; state.

We need federal action now, and if the president won't use his authorities, I will do everything I can to push him to act."
1242544388233969669,2020-03-24 20:10:42,"The federal government's most urgent task is to accelerate the flow of vital supplies to our frontline workers.

Today @RepTimRyan, @RepJohnKatko and I are announcing the Medical Supply Chain Emergency Act, which requires the Admin. to implement the DPA to produce those supplies."
