id,created_at,text
1247281671893893122,2020-04-06 21:54:58,"2/2 - To sign up to receive future emails, visit my website at https://t.co/4mtIJVngKw."
1247281671029882886,2020-04-06 21:54:58,"1/2 - My latest eNewsletter was delivered yesterday and discussed the provisions in the CARES Act to help small businesses, families and federal student loan borrowers. Read the newsletter here: https://t.co/hbs1BJkoRC"
1247233079367864325,2020-04-06 18:41:53,"Attention small businesses who want to assist in manufacturing PPE for our heroic healthcare professionals in our community, visit @PADCEDnews Call to Action Portal to help our community today! https://t.co/BpZvLuudaL"
1246897900392570880,2020-04-05 20:30:00,"While America is staying at home to #SlowTheSpread, farmers across the country and especially here in #PA11, are working hard. Thank you to our farmers and agricultural producers who provide for us every day. https://t.co/L3kESXYCDq"
1246817348214022144,2020-04-05 15:09:55,"Read my column in today's @LancasterOnline describing how Congress has responded to the challenge of #COVID19, including the CARES Act.  

Our ingenuity in the face of adversity will see us through to a stronger and more prosperous nation. https://t.co/7SiHlGuGtN"
1246429815818739712,2020-04-04 13:30:00,Are you looking to help? Visit @fema for additional information on how small businesses and the private sector can help our PPE (personal protective equipment) supply chain and for individuals to assist those in need. https://t.co/4xN0PZ0IjL
1246082119719440384,2020-04-03 14:28:23,Social Security recipients will automatically receive the economic impact payment the same way they normally receive their Social Security benefits. See details from #IRS at: https://t.co/p2ZjpVDwAf #COVIDreliefIRS
1245802703592271872,2020-04-02 19:58:05,"🚨ATTENTION ALL SMALL BUSINESSES! 🚨This Friday, you can begin applying for and receiving money to provide payroll through the #PaycheckProtectionProgram. Apply ASAP because there is a funding cap. Click here to read @USTreasury’s fact sheet! 
 
https://t.co/eMh03L3wFd https://t.co/LNgGWsX5aZ"
1245726588538363904,2020-04-02 14:55:37,"🚨Attention Small Businesses impacted by Gov. Wolf’s shutdown order, the deadline for applying for a waiver is TOMORROW, Friday April 3 at 5pm! Read here⬇️for more details! 🚨
https://t.co/926zEBRJ2W"
1245444228940996610,2020-04-01 20:13:38,It is inspiring to see local businesses putting the needs of the community first. We can all do our part to #SlowTheSpread. https://t.co/WJItIKy157
1245079624171892738,2020-03-31 20:04:49,"As parents &amp; students across #PA11 and beyond stay home to #SlowTheSpread, let’s keep the family occupied with educational activities! You can virtually explore so much in the comfort of your own homes. Visit my website to “visit” our nation’s capital. https://t.co/oBbm0isDEE https://t.co/RtBbIHutx2"
1245057417358032902,2020-03-31 18:36:35,RT @IRSnews: #IRS and @USTreasury announce that the distribution of economic impact payments will begin in the next three weeks with no act…
1245012752143433731,2020-03-31 15:39:05,Great story about the hardworking @ProcterGamble employees at their Pennsylvania facility adding PPE to their production. We’re all #InItTogether https://t.co/S56PC1pb3u
1244755914290274313,2020-03-30 22:38:31,"Yesterday, March 29, was observed as National Vietnam War Veterans Day. Thank you to #PA11 resident Sgt. Harold Redding, who advocated to make sure the sacrifices of those who served and those who never returned are remembered. Read more about his work: https://t.co/73FIUlERM6"
1244685825411108865,2020-03-30 18:00:00,"Doctors and nurses are working around the clock to help keep our country safe from #COVID19 Today, on National Doctor’s Day we must take a moment to say thank you to the doctors throughout the country and in #PA11. Spread the support and #ThankADoctor in our community. https://t.co/19MKaTXD91"
1244616119245312001,2020-03-30 13:23:01,"The CARES Act provides significant support to small businesses to ensure they can continue to make payroll, support their employees and gives them the opportunity to stay open for business as our nation responds to #COVID19 https://t.co/SePShbnfst"
1244306952437616641,2020-03-29 16:54:30,"The CARES Act directs financial relief to American families, supports small businesses, invests in healthcare professionals and hospitals, and supports ongoing treatment and vaccine research in the fight against #COVID19 https://t.co/iFRhSIkccJ"
1244036546174562304,2020-03-28 23:00:00,To all working to ensure public health and public safety—thank you for your selfless service. https://t.co/WP013qqgev
1243984543557791744,2020-03-28 19:33:21,ICYMI- Read my statement about the passage of the CARES Act yesterday⬇️ https://t.co/QTii8wCzLC
1243610659700563970,2020-03-27 18:47:41,"Listen to my thoughts below on the final passage of the CARES Act.

“This legislation is a tool to be used by the American people, because it is the American people which will rise and have risen to this unprecedented challenge…"" https://t.co/dTHtGq5udV"
1243589856367988737,2020-03-27 17:25:01,"2/2 - Under this order, individuals must stay at home except to perform certain essential activities – including tasks to maintain health and safety, obtain supplies for the household, care for a family member or pet, and perform work at a life-sustaining business."
1243589850319773696,2020-03-27 17:24:59,1/2 - Breaking: Gov. Tom Wolf has issued a stay-at-home order for York and Lancaster Counties as part of the ongoing response to COVID-19.  View his order for additional details: https://t.co/mqF6qw2FR2 https://t.co/vYS1W1tQSB
1243229728724717568,2020-03-26 17:34:00,"With all the information coming from federal, state, and local governments it can be hard to stay up to date with the most recent information. To stay informed on recent updates visit my dedicated COVID-19 page on my website:   https://t.co/j6rPdseBnH"
1242934282617749508,2020-03-25 22:00:00,"In addition to federally held students loans having 0% interest for the next 60 days, the @usedgov announced it will stop collection actions and return $1.8 billion in offsets to students and families. Read this press release for more information. https://t.co/41OnOslKSs"
1242904084727754752,2020-03-25 20:00:00,"Always be aware of potential Social Security scams, read these tips from the @SocialSecurity Administration’s Inspector General https://t.co/8XMjjyCe7W"
1242887865455050752,2020-03-25 18:55:33,"Today, @HHSGov announced health centers in #PA11 will receive over $125,000 in supplemental support to battle #COVID19. The funding comes from the $8.3 billion response legislation which I supported &amp; provides $100 million nationwide for health centers. https://t.co/qLNlXPTvKp"
1242851235771879425,2020-03-25 16:30:00,It is critical that you receive information about COVID-19 and response efforts from trusted sources. Visit this rumor control page from @fema to ensure the information you’re hearing is correct. https://t.co/7x5xwikNOq
1242825234350292999,2020-03-25 14:46:41,"All of us are #InItTogether even those in the Amish community, who are sewing fabric masks to assist in the event of extreme shortages. We are blessed to live in such a giving community in #PA11  https://t.co/Qm6b7ULt7n"
1242822621600919552,2020-03-25 14:36:18,"RT @Lanc_Chamber: With so much information out there, we wanted to make it as easy as possible for you to access timely resources. Here is…"
