id,created_at,text
1247294816590999554,2020-04-06 22:47:12,"As the #CoronavirusPandemic continues to unfold, it's clear that Congress will have to revisit the evolving needs of our small business owners, working families, and healthcare professionals. Both parties have been guilty of pushing partisan legislation - that must end now. ⬇️ https://t.co/NR82WbvGd4"
1247255639199449088,2020-04-06 20:11:31,"His demonstrated lack of leadership is yet another reason why our nation’s agencies and departments cannot be run by unconfirmed, acting individuals. https://t.co/EK0QioJZdI"
1247255555690856449,2020-04-06 20:11:12,"Acting Navy Secretary Modly’s rant to the sailors aboard the USS Roosevelt demonstrates he is not fit to lead the Navy. @EsperDoD should remove him immediately.
https://t.co/bvPNcGPeYR"
1247239699892252673,2020-04-06 19:08:11,"My team and I have put together a guide to help #VA07 families navigate questions like:

- How much will my direct payment be?

- How are 17 year olds counted?

- Which unemployment programs cover self-employed, gig, and tipped workers?

Download at https://t.co/Pd7qufC6bL https://t.co/6tldYGmAkc"
1247215628232130563,2020-04-06 17:32:32,"Thank you @NationalCorn for having me, and thank you @RepDustyJohnson for a robust conversation! It feels like a lifetime ago, but the same values of bipartisanship and no-nonsense practicality that we discussed are even more important during this crisis. https://t.co/Iyv5RGwaTa"
1246465694264365059,2020-04-04 15:52:34,"RT @NConigliaroNews: As small businesses throughout the country are depleted as a result of COVID-19, the largest small business loan progr…"
1246128103233064963,2020-04-03 17:31:06,"We can &amp; should support American manufacturers, but there simply aren't enough #PPE supplies domestically to meet the need. That's why I'm urging @USTradeRep to suspend Section 301 tariffs on imported PPE and medical supplies. The #CoronavirusPandemic is not business as usual. https://t.co/bZINpT52nF"
1246103702806695939,2020-04-03 15:54:08,"Thank you to Carl Knoblock (@SBA_Virginia), Megan Healy (@GovernorVA), and Shalanda Young (@AppropsDems) for lending your expertise. I also thank all the Virginians who called in. My team and I will continue walking with you every step of the way until we are through this crisis."
1246101229413031939,2020-04-03 15:44:19,"If you missed yesterday's telephone town hall, you can still listen to the discussion &amp; get useful updates for #VA07 small businesses and workers. The recording is up on our YouTube channel and at https://t.co/27AetIgXxQ. https://t.co/h7dGOvFVAn"
1245866717336621056,2020-04-03 00:12:27,"☎️ HAPPENING NOW: Our telephone town hall for #VA07 small business owners and employees is live now. Dial (855) 920-0555 to ask a question about the help that's available during the #CoronavirusPandemic, or listen live at https://t.co/EYVuiVzkme. https://t.co/A3vjMmIyKm"
1245852271595970561,2020-04-02 23:15:03,"⚠️ REMINDER: #VA07, our telephone town hall starts soon. Dial (855) 920-0555 from 7:40-8:40 pm to ask questions and get info on the resources available to small business owners &amp; employees who are suffering because of the #CoronavirusPandemic."
1245807277417943041,2020-04-02 20:16:15,"After widespread, bipartisan concern, @IRS has reversed their decision. Social Security beneficiaries who aren't typically required to file tax returns will NOT need to file to receive the $1,200. I'm glad to see a common-sense change that will deliver relief to Americans faster. https://t.co/DSqlAGOyht"
