id,created_at,text
1247239193660723200,2020-04-06 19:06:11,"As we head into a particularly tough period in the #COVID19 pandemic, remember our local businesses and restaurants and the various ways we all can support them. #InItTogether https://t.co/vB4hsWM5Gi"
1247171503671717888,2020-04-06 14:37:12,"Auto insurers like @Allstate are giving money back to their customers during #COVID19 stay at home orders, including over 330,000 customers in North Carolina. 

This is a great approach and I'd like to see more companies follow it. https://t.co/Qpq59cD3jj"
1247142204285636608,2020-04-06 12:40:46,"While we focus on keeping our country physically healthy, we have to keep an eye on our fiscal health as well. @freedomcaucus https://t.co/8D1lIx5oxB"
1246517770528972801,2020-04-04 19:19:30,A great American Patriot! 🇺🇸🇺🇸🇺🇸 https://t.co/RBGpon6cR0
1246517295477854208,2020-04-04 19:17:37,"RT @SBAJovita: Faith-based organizations have always provided critical social services for people in need, and @SBAgov will make clear that…"
1246205371494150144,2020-04-03 22:38:08,"RT @SBAJovita: Latest #PaycheckProtectionProgram numbers: 13,669 loans valued at more than $4,300,000,000. @SBAgov @USTreasury &amp; local lend…"
1246140968908337162,2020-04-03 18:22:13,"Let’s start highlighting the good that’s happening around our state:

@Lowes donated $10 million directly to medical professionals on the front lines.

@FoodLion donated $3.1 million for medical research related to COVID-19 &amp; delivered meals.

In times of need, Americans step up. https://t.co/JwQnBvNHP3"
1246140889405296642,2020-04-03 18:21:54,"RT @club4growth: “Now is the time to redouble our efforts to look for any opportunity to save taxpayer dollars, so that they can be redirec…"
1246129372756611072,2020-04-03 17:36:09,"RT @GovWaste: Democrats are exploiting the #coronavirus crisis to advance their agenda and waste money. @RepTedBudd is right: ""Every taxpay…"
1246108443691319296,2020-04-03 16:12:59,"Robocall scammers are trying to use the #COVID19 crisis to take advantage of folks. We cannot let that happen. 

I joined a bipartisan group to urge the @FCC &amp; @TheJusticeDept to take action to stop these illegal robocalls. https://t.co/lBQGnqWkmK"
1246100297564504065,2020-04-03 15:40:37,"Now is the time to redouble our efforts to save taxpayer dollars, so they can be redirected to support our neighbors during this time of need. @GovWaste https://t.co/corjfvB5G3"
1246078922980278275,2020-04-03 14:15:40,"Applications are now OPEN for the Paycheck Protection Program. 

If you're a small business owner impacted by #COVID19 and need assistance, click this link for the application.
👇👇👇👇👇
https://t.co/xbnzNYMuhH"
1246069416875491328,2020-04-03 13:37:54,RT @HSBCgop: BREAKING: Applications are open for the Paycheck Protection Program.  These 100% federally guaranteed loans can be forgiven if…
1245794527270572034,2020-04-02 19:25:35,"The Paycheck Protection Program will start taking applications tomorrow. 

Through the CARES Act, nearly $350 billion is available for small business who keep their workers on the payroll during the #Coronavirus pandemic. https://t.co/6Px22ML2e3"
1245774213614632960,2020-04-02 18:04:52,"The #coronavirus is hurting faith-based organizations across our country. 

The @SBAgov should give religious non-profits equal access to the Paycheck Protection Program that was created in the last COVID-19 package. https://t.co/db3f4YLrxt"
1245748329746771968,2020-04-02 16:22:01,"I joined several House colleagues to send a letter to @realDonaldTrump &amp; @VP Pence urging them to reconsider our relationship with the Chinese Communist Party. 

China's #COVID19 lies allowed this virus to spread around the globe. https://t.co/KrMthXh842"
1245734398688923649,2020-04-02 15:26:39,I'm looking forward to seeing my friend @MarkMeadows bring his principled leadership to his new job as @realDonaldTrump's Chief of Staff. https://t.co/YDTnl9iGyQ
1245428100990713856,2020-04-01 19:09:32,Glad to join @RepBryanSteil to redirect $25 million to fight #COVID19. https://t.co/ckCi43D31t
1245422595001978882,2020-04-01 18:47:40,RT @RepDanBishop: Stuck at home? Take this time to fill out your 2020 #census form to ensure NC &amp; your town receive critical resources. Go…
1245420133436325889,2020-04-01 18:37:53,"Mecklenburg County has 444 cases of COVID-19, which would have been preventable had China not lied, and the first reaction is to take political cheap shots. That's not helping anybody. https://t.co/fSoVVsE3zX"
