id,created_at,text
1247336423453265920,2020-04-07 01:32:32,"RT @SBAgov: Have you worked with an SBA Express Lender before? A new program allows #smallbiz owners to access up to $25,000 to help overco…"
1247336394185412614,2020-04-07 01:32:25,"RT @CHHSAgency: Call, text, and (safely) knock on doors to make sure your neighbors, friends, and family are connected and have the support…"
1247269883248881667,2020-04-06 21:08:07,We're requesting @EsperDoD fire Acting Secretary of the Navy Thomas Modly following his comments to sailors aboard the USS THEODORE ROOSEVELT and decision to relieve #CaptainCrozier of command. @SECNAV is no longer fit to lead. Our letter with @RepRubenGallego: https://t.co/4zEUEt6Zyl
1247225034193715202,2020-04-06 18:09:55,South Bay cities in #CA33 want to hear from constituents about #coronavirus #COVID19 concerns. Take the survey ⬇️ https://t.co/c4c7J0VUNb
1247222316922212360,2020-04-06 17:59:07,The City of Santa Monica is assessing the needs of our community during the #coronavirus public health emergency. Take the survey ⬇️ https://t.co/dsRp4mL9jv
1247197724203724803,2020-04-06 16:21:23,"RT @HouseSmallBiz: #COVID19 has caused unprecedented job loss.

@housedemocrats fought to create a new unemployment program under the #CARE…"
1246440596094492673,2020-04-04 14:12:50,RT @CDCgov: #DYK? CDC’s recommendation on wearing a cloth face covering may help protect the most vulnerable from #COVID19. Watch @Surgeon_…
1246439997391220736,2020-04-04 14:10:27,"RT @lapublichealth: Face coverings are an additional tool to help prevent the spread of #COVID19 to others, but are not a replacement for s…"
1246177273314770944,2020-04-03 20:46:29,"RT @GavinNewsom: NEW: With help from @FEMA we’re identifying 15,000 hotel/motel rooms to help house our most vulnerable homeless population…"
1246151556023685122,2020-04-03 19:04:17,"RT @CountyofLA: #COVID19 testing is limited to the most vulnerable LA County residents at this time. 

To learn more about drive-up mobile…"
1246090009402376193,2020-04-03 14:59:44,We’re calling for an investigation into whether @SECNAV acted inappropriately by relieving Captain Brett Crozier who expressed concern about #coronavirus spreading among servicemembers on the USS Theodore Roosevelt. Our letter with @RepRubenGallego ⬇️ https://t.co/WO9ERFLUXz
