id,created_at,text
1247207195076411394,2020-04-06 16:59:01,RT @WOKVNews: Coronavirus in Jacksonville: Helping small businesses financially https://t.co/jzRcAXQN46 https://t.co/ly0KjcbCcQ
1247163988619730944,2020-04-06 14:07:20,"RT @HouseForeignGOP: Appalling that the #ChineseCommunistParty has a voice on the UN Human Rights Council. The CCP:

❌ Censors media &amp; cont…"
1245743136321699845,2020-04-02 16:01:23,"RT @HouseGOP: Stay home + practice good hygiene to help slow the spread:
▪️ wash your hands
▪️ sneeze or cough into a tissue
▪️ disinfect f…"
1245720774314426369,2020-04-02 14:32:31,"In 2015, @BillGates spoke on the exact situation we are facing now.

Americans must do what we have always done, lead during times of crisis. 

Our investment in treatments &amp; vaccines will benefit all of humanity.

#coronavirus #COVIDー19 

https://t.co/cxoUY45v33"
1245519615423324161,2020-04-02 01:13:11,"Here's what #China &amp; the #CCP have been pedaling during the #coronoavirus crisis.

🚫Expulsion of international journalists
🚫Faulty medical equipment
🚫Debunked conspiracy theories
🚫Falsified COVID-19 case numbers

All this to win a ""propaganda battle."" What we need is #truth."
1245466810134278146,2020-04-01 21:43:21,"#China could have been honest when #coronavirus first hit #Wuhan. 

They were not.

A lesson for all nations: never trust information from an authoritarian state. https://t.co/WAnsAGnYMu"
1245426721299578885,2020-04-01 19:04:03,"Feeling like I’m beating a dead horse here...

More evidence that #CCP #China has lied about #coronavirus.

Again, I’m not surprised. 

https://t.co/BFx4jWyZzY"
1245416949338845184,2020-04-01 18:25:14,#Taiwan is sending 10 million masks to #Europe &amp; the US. Mainland #China sends faulty equipment while the world fights a virus let loose by negligent #CCP officials. @WHO should rethink their allegiances when it comes to global health security. @HouseForeignGOP @StateDept
1245415727185747969,2020-04-01 18:20:22,"RT @GovRonDeSantis: As we continue to fight the spread of #COVID19, I encourage every Floridian to utilize the resources available below. M…"
1245384274389368835,2020-04-01 16:15:23,"RT @SBAgov: BREAKING: With $349 billion in emergency #smallbusiness capital cleared, SBA and @USTreasury begin unprecedented public-private…"
