id,created_at,text
1247191429249748997,2020-04-06 15:56:23,"@frooook @gul_garak The massive e.coli recalls and poisonings have all been from USDA approved meat. I’ve never seen it happen with direct to consumer, and if it did, it would be limited because the meat and animals aren’t commingled, and everyone knows who the farmer and butcher is."
1247187947423703042,2020-04-06 15:42:32,".@chelliepingree and I introduced legislation to make it easier for small farms and ranches to serve consumers. The PRIME Act would give states freedom to permit intrastate distribution of custom-slaughtered meat such as beef, pork, or lamb, to consumers:
https://t.co/T9WEi5gToB"
1247186972738760704,2020-04-06 15:38:40,"Some of you have seen dairies pouring out milk because the supply chain isn’t geared for 100% consumer sales.

Same thing is happening for beef and getting worse.

Congress should pass my PRIME Act to make it possible for beef to go from farmers to consumers w/o USDA stopping it."
1247171056479109122,2020-04-06 14:35:25,Which is the bigger threat ?
1246820611206283266,2020-04-05 15:22:53,"@OmahaVike By the way, my macroeconomics (14.02) teacher at MIT was Paul Krugman, so Economics is what it is. I focused on micro after that."
1246818265214656512,2020-04-05 15:13:33,"@OmahaVike In a functional congress, we would have had hearings on this bill, and economists would be called to testify at said hearings."
1246797768636710912,2020-04-05 13:52:07,"Can we put the earmarks, the ass kissing, the cronyism, and the partisan crap aside until this is over?

If Congress won’t meet in person, let’s use a modicum of technology to get all of congress working on this problem.

The alternative is unconstitutional and dangerous."
1246797747988115457,2020-04-05 13:52:02,"So now they’ve defaulted to Congressional paralysis.

They will try to tell us to stay home for the next vote as well.

Like the governors who are wrecking our economy, the top folks in Congress need replaced when this is over.

Never again should they be called “leaders.”"
1246797744762748928,2020-04-05 13:52:01,"The fact that leadership won’t even allow remote voting is indicative of their desire to keep all power to themselves.

The fact that they can’t even hold hearings via teleconference demonstrates their incompetence.

I’m talking about both sides of the aisle."
1246797738295123973,2020-04-05 13:51:59,"Congress is the most dysfunctional enterprise I’ve ever seen.

There are genuinely qualified members from all walks of life, from both sides of aisle, who could help form rational policy.

But power has been consolidated at the top with the most incompetent and power hungry."
1246604331031441414,2020-04-05 01:03:27,"RT @YALiberty: ""This taste of socialism is dangerous because it's going to be sold as what saved us when it's over... The free market could…"
1246447577492570113,2020-04-04 14:40:35,@SarahOfNY @aj502Moonshine That’s what my wife says.
1246447073047851010,2020-04-04 14:38:34,"Looking for a movie to watch while social distancing?

“Off the Grid with Thomas Massie is an intimate look at a congressman's quest for a self-sustainable life on his farm in eastern Kentucky.”

https://t.co/xJfmxvnEwQ

also on YouTube:
https://t.co/NgZg55YZ45"
1246441689088212992,2020-04-04 14:17:11,@aj502Moonshine Blasphemy! Do you see that blue ribbon buddy? 😉 https://t.co/3r7AZ5xQ1W
1246414097165496325,2020-04-04 12:27:32,New bio https://t.co/TAH25miwze
1246199723666612226,2020-04-03 22:15:42,"Ok, this is genuinely sad and funny. (see graphics)

It wasn’t even a real vote, but @justinamash went out of his way to record how he would have voted had there actually been a recorded vote &amp; he’s getting attacked.

This is why my colleagues didn’t want to have a recorded vote! https://t.co/o3JCdNVx5G"
1246150477038751746,2020-04-03 19:00:00,"Thank you, @judgenap, for the kind words. Thanks also to Brian Thomas for hosting this great conversation!

Listen here: https://t.co/JPjdeqAWTF"
1246147712090804227,2020-04-03 18:49:01,"#dystopia

https://t.co/kxbbiH5ton"
1246142609002835968,2020-04-03 18:28:44,".@SpeakerPelosi and @GOPLeader have their heads in the sand. 

They refuse to consider remote voting (during crisis) for Congress.

Not voting is not an option!

The Constitution requires at least half of Congress to pass a bill.

I’m raising this issue NOW.

#SaveThisTweet"
1246042060177707008,2020-04-03 11:49:12,"It’s always in order to share this timeless satire, but this week it’s especially appropriate...
https://t.co/3ZtbTd1aEw"
1246000842072895488,2020-04-03 09:05:24,"RT @alexsalvinews: After Hours on @OANN talked to Rep. Thomas Massie about his objections to the #COVIDー19 relief bill:

@RepThomasMassie:…"
1246000416619454465,2020-04-03 09:03:43,RT @KaitMarieox: So let me get this straight. Democrats got mad at @RepThomasMassie &amp; didn't want to show up in DC to properly vote on how…
1245889469347225600,2020-04-03 01:42:51,RT @RMConservative: It's truly disgraceful how members of congress and legislatures have abdicated their authority at the most important ti…
1245889451211063307,2020-04-03 01:42:47,"RT @RMConservative: Moreover, if its safe enough for amazon delivery people and baggers at supermarkets to work (because that is the last s…"
1245863587253370880,2020-04-03 00:00:00,"ICYMI: I joined the @toddstarnes Radio Show this week to talk about how my effort to force a roll call on the $2.2 trillion coronavirus rescue package was not political, rather grounded in protecting the Constitution.

Miss the interview? Listen here:

https://t.co/Um1sMUzEvG"
1245772991272824835,2020-04-02 18:00:01,"I joined @alexsalvinews on After Hours @OANN to discuss my reservations with the $2.3 Trillion Coronavirus stimulus bill. 

We need to declare war on the virus- NOT THE TAXPAYERS! 

https://t.co/kiK5WFOSnW"
