id,created_at,text
1247298039024246784,2020-04-06 23:00:00,"Even if you are social distancing and staying at home, take a minute to remind yourself of the ways we can all work to #FlattenTheCurve and help prevent the spread of Coronavirus. https://t.co/u0gwIfzPdn"
1247270380621819904,2020-04-06 21:10:06,Wondering what Federal resources are available to you? Need help applying for the expanded unemployment benefits? The office of @SpeakerPelosi has prepared this helpful resource guide. More below and remember you can always call my office if you need help. https://t.co/lA9bezt5FP
1246875251906052096,2020-04-05 19:00:00,Have questions about what is going in our country to #FlattenTheCurve or how Congress is helping people and small businesses hit hard by the Coronavirus. Check out my Coronvirus webpage for resources and answers to the questions I am frequently getting: https://t.co/6XkbnzTXc5.
1246829954840608768,2020-04-05 16:00:00,"Yesterday, Contra Costa County issued an order for everyone who has COVID-19 and all their close contacts to isolate and quarantine themselves to stop the spread and #FlattenTheCurve. Always follow instructions from local health officials. Learn more here: https://t.co/DAjJoRDDGz"
1246784653660471306,2020-04-05 13:00:00,"The weekend is a time for household chores for many people, but it’s important right now to make sure we are extra careful while cleaning. Check out these helpful tips from the @CDCgov and remember to stay home and stay safe so we can #FlattenTheCurve. https://t.co/4bjmv1QaZX"
1246573260776427521,2020-04-04 23:00:00,Seniors – Don’t forget you do NOT have to file a tax return in order to get your rebate check if you are on Social Security. Learn more about this economic impact payment and other things IRS is doing to help taxpayers during the Coronavirus pandemic at https://t.co/ak2QCwcO0u. https://t.co/LSbtLF1ZrP
1246543063478161410,2020-04-04 21:00:00,"Sonoma EOC put out a few helpful tips for people doing the grocery shopping for their household: take a disinfectant with you, clean your hands before and after shopping, only touch what you plan to buy, and have one person do the shopping per house. https://t.co/nXwH5fitF3"
1246513388261384193,2020-04-04 19:02:05,"Too many small businesses are having a hard time taking advantage of the Paycheck Protection Program, which was instituted as part of the CARES Act to help those hit hard by the Coronavirus. I wrote to Treasury telling them to take immediate action to correct this issue. https://t.co/fGEaDNTNOH"
1246182265580904451,2020-04-03 21:06:19,"Joined @SBAgov for a small business owner webinar about how to can take advantage of the resources made available through the CARES Act, which Congress passed last week to bring relief from the Coronavirus pandemic. Will continue working to ensure everyone can access these tools. https://t.co/Ny3pUiBp6S"
1246180675927060487,2020-04-03 21:00:00,ICYMI last night we had more than 300 people join us for my Facebook Live Town Hall to discuss what I am working on to help our district during the Coronavirus pandemic. You can watch the full Town Hall here: https://t.co/I10rCSlAUD
1246131422999588864,2020-04-03 17:44:17,Joined Pat Kerrigan on @KSRO yesterday to talk about how Congress is responding to the Coronavirus pandemic and what I am doing to help our district. Listen here: https://t.co/RXbGMmtsCj
1245827294020632576,2020-04-02 21:35:47,About time – the President just invoked the Defense Production Act which will allow the Administration to compel manufacturing companies to make the ventilators our nation’s hospitals so badly need to help patients. https://t.co/9lBK1G4DQD
1245825836382650369,2020-04-02 21:30:00,"If you have questions about whether you qualify to receive an economic impact payment or how much you are going to receive, be sure to visit the IRS website at https://t.co/1xCmY943BH https://t.co/NvPI9J3jn9"
1245788089194123264,2020-04-02 19:00:00,"If you are abroad, please know the State Dept is asking everyone to get home now and take advantage of the flights currently available. Please consult the below travel advisory and contact your nearest U.S. Embassy or Consulate by calling 1-202-501-4444. https://t.co/yXGPXyCXvN"
1245765489172897793,2020-04-02 17:30:12,I led my @WaysMeansCmte colleagues in asking the Treasury Department to do this to help our seniors. You can read our letter here. https://t.co/85BH8YChWi
1245765487545536515,2020-04-02 17:30:12,"Good news, last night the Treasury Department reversed course and announced that people on Social Security will not have to file a tax return to get their rebate check. Read the announcement here: https://t.co/9QoFHAXBMX"
1245748747390324737,2020-04-02 16:23:40,"Don’t forget, today is my Facebook Live Town Hall. Tune in at 7pm PT on my Facebook page where I am going to be answering as many of your questions as we can get to. Looking forward to answering your questions and remember to stay safe and stay home! https://t.co/Inc4KdZtXx"
1245455899298123777,2020-04-01 21:00:00,ICYMI 32 of my bipartisan colleagues signed my letter to California Insurance Commissioner Lara asking him to ensure businesses can use the interruption insurance they have already paid for to stay solvent during the Coronavirus pandemic. Read our letter here. https://t.co/wc3KTic89e
1245425702557470721,2020-04-01 19:00:01,Local public health officials have extended Shelter at Home in Sonoma and Contra Costa. Follow all guidance from local authorities. It’s on all of us to #FlattenTheCurve. Find out what is going on in your county and get answers about Coronavirus here: https://t.co/fRYOtIlGKO
1245395543334977545,2020-04-01 17:00:10,Visit https://t.co/CJHnbK1v8R to learn how to participate online and help ensure our community gets the resources we need for the coming decade!
1245395540432609281,2020-04-01 17:00:09,"Today is #CensusDay and as many of us are staying at home, it’s a great opportunity to take a minute to participate. Jan and I filled out our census last week and it took just a few minutes. https://t.co/2QahxiCiWs"
1245375195998834689,2020-04-01 15:39:19,"Looking forward to my Facebook Live Town Hall tomorrow night at 7pm PT. Join me to hear about how Congress is responding to the Coronavirus pandemic. If you have a question, comment below and I’ll try to get to as many as I can. Be sure to RSVP here. https://t.co/Inc4KdZtXx"
1245115919606722569,2020-03-31 22:29:03,"Tragic news out of Santa Rosa today that one of its police officers has passed away from COVID-19. Jan and I are thinking of her family, her brothers and sisters on the force and everyone in our community impacted by this news. https://t.co/wdT8q8NZYO"
1245098560175116288,2020-03-31 21:20:04,"On Thursday at 7pm PT, I will be holding a Facebook Live Town Hall to discuss how Congress is responding to Coronavirus. I hope you will submit your questions today and join me on Thursday night! https://t.co/tdHaFGn020"
1245092013483188224,2020-03-31 20:54:03,Wishing my friend @RepDeSaulnier a Happy Birthday and a speedy recovery. Looking forward to seeing him again soon to give him my best wishes in person.
1245072927969685509,2020-03-31 19:38:13,"Just Announced: On Thursday, I will hold a Facebook Live Town Hall on Coronavirus at 7pm PT and answer your questions about Congress's response. Be sure to comment with your questions now. Mark your calendars and see you Thursday night! https://t.co/Inc4KdZtXx"
1245065576944472064,2020-03-31 19:09:00,"REMINDER: we still need to #FlattenTheCurve to keep our community safe from the Coronavirus. NOW is the time to do this and NOW is the time to prevent the situation from getting worse. Stay home, wash your hands and listen to all instructions from local public health authorities. https://t.co/uN1uETyV2J"
1244738672760504320,2020-03-30 21:30:00,Joined Barry Martin this morning on @Kvon1440Am to talk about what I am doing to bring relief from the Coronavirus back to our district and get our health care system the support it needs to respond to this pandemic. Listen to the interview below. https://t.co/rRbvK6n4mM
1244731124577951744,2020-03-30 21:00:00,I coauthored @RepGraceMeng’s resolution condemning anti-Asian sentiment related to Coronavirus. Such hateful rhetoric endangers the lives of our Asian-American neighbors and friends and I was proud to stand strong against it. Read the resolution here: https://t.co/34x2k5SCxQ
1244685825473949698,2020-03-30 18:00:00,Joined a video call with the @sonomachamber today to talk about the provisions in the third Coronavirus relief package that was signed into law on Friday. Will continue working to bring relief to our small businesses in our district. https://t.co/q8LL0vC3lz
1244666973193199616,2020-03-30 16:45:05,"Do you operate a small business and have questions about what resources, like loans or grants, are available to help you during the Coronavirus pandemic? Congress has passed legislation provide financial assistance and you can learn more on the @SBAgov website. https://t.co/y2kOtoQPLl"
1244338536402128896,2020-03-29 19:00:00,Jumped on a video conference call with business owners as part of the Napa Valley Vintners Association to discuss the small business relief and tax relief provisions in the third Coronavirus response package the House passed on Friday. https://t.co/178g84jjYH
1244301913006510081,2020-03-29 16:34:28,The House passed a bill Friday that expands an emergency unemployment insurance program to help more people who are out of work because of the Coronavirus. Read more about what that means and if you qualify here: https://t.co/Xhz9atqC1I
1244251428136288256,2020-03-29 13:13:52,Own a small business forced to close during the Shelter at Home order in CA? You may qualify for an SBA grant or loan as part of the third Coronavirus relief bill passed this week. Learn more here: https://t.co/2neuqvN5WS
1243976151204315137,2020-03-28 19:00:01,"The CARES Act, the third Coronavirus relief package passed yesterday, provides rebate checks to many American families. These direct cash payments are to help people who are out of work or were laid off pay the bills. Learn more here: https://t.co/H0htPYgnFA Act Rebates FAQ.pdf"
1243940361770328064,2020-03-28 16:37:48,"Yesterday the House passed and the President signed into law the third Coronavirus relief bill. This weekend, I‘m sharing a few links to help you learn what is in the bill to help you and your family. To start, here’s a helpful summary of the bill: https://t.co/nGuLGD5diy"
1243659060592775168,2020-03-27 22:00:00,Reminder to be vigilant against scammers trying to take advantage of the Coronavirus pandemic. There are people offering tests to Medicare beneficiaries in exchange for personal data. These are not approved by HHS! Learn how to protect yourself below. https://t.co/Cl3Zp9FGJz
1243637271171141632,2020-03-27 20:33:25,"Today the House passed the third Coronavirus response package. This isn’t a perfect bill, but it prioritizes supporting our health care system and the workers and small businesses who have been hit hard financially. Watch my message about this important legislation below. https://t.co/03K72fsoih"
1243597311420305408,2020-03-27 17:54:38,Know that my work to bring back every Federal dollar and resource continues. We will get through this together.
1243597310568861698,2020-03-27 17:54:38,I have already begun conversations with our local leaders and with my colleagues in Congress what will be in our next relief package.
1243597309662855168,2020-03-27 17:54:38,This is not our last legislative effort to help our district and our nation and the people I represent.
1243597308874362883,2020-03-27 17:54:38,And it boosts our small businesses with grants and emergency loans so they can keep going despite the economic toll this virus is taking.
1243597308048166915,2020-03-27 17:54:37,It helps people who are struggling financially with rebate checks and a strong emergency unemployment program.
1243597307280588807,2020-03-27 17:54:37,"It gives hospitals a massive infusion of support, including medical supplies such as personal protective equipment."
1243597305699340288,2020-03-27 17:54:37,I’ve spent the last several days reviewing the bill and discussing the fine points with leaders in our district who agree this is a good start – this bill will help our communities and get them the assistance they need right away.
1243597304080338944,2020-03-27 17:54:36,Intense negotiations produced a bill that prioritizes the needs of our health system and of working families ahead of big corporations.
1243597303006605315,2020-03-27 17:54:36,"The bill is not perfect, but is an important step forward. I said since the start we had to help workers, small businesses, and health care providers who have been hit."
1243597301958008833,2020-03-27 17:54:36,"THREAD: The House just passed the third Coronavirus response bill, which represents a critical compromise between both parties whose Members came together in light of the Coronavirus pandemic."
1243576542233591816,2020-03-27 16:32:06,"I am so grateful to them and to all our health care workers, first responders, grocery employees, food bank workers, local government staff and so many more. We are so grateful to you and pray you stay safe."
1243576541218574339,2020-03-27 16:32:06,"I want to say thank you to all the essential employees on the front lines right now. In my family, Jan is a nurse in our local hospital, my son Chris is a Fire Captain Paramedic, and my son Jon is a Sergeant with the Sheriff's Department."
1243311802643087362,2020-03-26 23:00:08,It prioritizes our health care system and the workers and small businesses that have been hit hard financially. Read it here: https://t.co/vJE3JMVueN.
1243311801586135051,2020-03-26 23:00:07,Today I am talking with our local elected officials and health and business leaders about the third Coronavirus package that the Senate passed last night and the House will consider tomorrow.
1243251374126534656,2020-03-26 19:00:00,Taking a moment to wish @SpeakerPelosi happy birthday! She works day and night to serve our nation and I am especially grateful for her leadership during this uncertain time. RT to say happy birthday! https://t.co/aWZG9ANE9U
1243228837896499201,2020-03-26 17:30:27,"Let's all pitch in to #FlattenTheCurve: 
 
Wash your hands often with soap and water. 
Cover your mouth and nose to cough or sneeze. 
Clean frequently-touched surfaces and objects like counters and phones.
Stay home except for essentials like getting groceries or prescriptions. https://t.co/sWPFRpEDiF"
1242980944933519362,2020-03-26 01:05:25,Here’s a short update on where things stand with the newly released third Coronavirus relief package. I am reviewing it to ensure it helps working families and small businesses in our district get the help they need. https://t.co/jpNq4dijMc
1242923756877754369,2020-03-25 21:18:10,This will help rural and underserved areas continue to receive care while cutting down on the spread of the virus.
1242923755795623940,2020-03-25 21:18:10,Good news – the Coronavirus response package released today includes my legislation to ensure the Medicare and Medicaid beneficiaries can get medical care through telehealth at Rural Health Clinics and Federally Qualified Health Centers.
1242896570540064770,2020-03-25 19:30:08,I have put together a page on my website to centralize information about how we are responding to this crisis and get you to the resources that will help you. Be sure to visit my website and know you can always call my office if you need help right away. https://t.co/fRYOtIDi9o
1242896569411796998,2020-03-25 19:30:08,Questions about what is happening in each of our counties to respond to the Coronavirus pandemic? Want to know what will happen to your Social Security check?
1242873425657581568,2020-03-25 17:58:10,"Preliminary review of the outline of this package shows investments in these areas have been made, which is a good sign. More will need to be done in future legislation. I will review the full text to ensure this package contains the provisions needed to help our district. https://t.co/TBOlB3smfK"
1242873423765872640,2020-03-25 17:58:10,"Since the start of negotiations, I have stressed the importance of prioritizing funding for hospitals and our health care system, relief for people who have lost their jobs, and support for small businesses that are hurting financially."
1242873422608285697,2020-03-25 17:58:10,Today bipartisan leadership in the House and Senate released an outline of a third package of legislation to help those who need it most.
