id,created_at,text
1247188733062979584,2020-04-06 15:45:40,"RT @SBAgov: #DidYouKnow small businesses impacted by #COVID19 can get a loan advance of up to $10,000? The loan advance does not need to be…"
1246180387769942017,2020-04-03 20:58:52,"RT @SBAJovita: UPDATE – At least 9,970 loans have been processed; $3,200,000,000+ originated. #CARESAct &amp; #PaycheckProtectionProgram offers…"
1246168710005559298,2020-04-03 20:12:27,RT @ColoradoSun: NEW: All Coloradans asked to wear cloth-based face coverings when they leave home https://t.co/yTq1LUGmQx
1246159023650549766,2020-04-03 19:33:58,"""It’s bad enough rural health care providers are still fighting to receive additional personal protective equipment so they can provide care to patients. Added fear that many employees won’t keep their jobs amid a public health crisis is unacceptable."" https://t.co/qmXaGrwOis"
1246151663712378882,2020-04-03 19:04:43,RT @GJEconDev: Small businesses and sole proprietorships can now apply for the Payroll Protection Program: https://t.co/gvaYRmSBHq #COVID19…
1246124338669146112,2020-04-03 17:16:08,"RT @SBAgov: 🚨STAY VIGILANT 🚨

There’s no fee to apply for a #PaycheckProtectionProgram loan. Be aware of fraudulent actors who may charge p…"
1246090235068456960,2020-04-03 15:00:37,RT @WaysandMeansGOP: TODAY small businesses can now apply for the #PaycheckProtectionProgram. Learn more at https://t.co/q27jiVKRqE https:/…
1245820716827709440,2020-04-02 21:09:39,RT @GrandJunctionPD: We mourn this loss with the El Paso County Sheriff's Office. https://t.co/nq226z2Q88
1245797904666820611,2020-04-02 19:39:00,"I've repeatedly asked for immediate attention to the critical and urgent needs of rural communities. This funding will help communities better prepare for the economic hurdles that lie ahead. 

Full statement here⬇️ https://t.co/3KFouJh2rV"
1245779514963243009,2020-04-02 18:25:56,"RT @SBAgov: Small businesses can get up to a $10,000 advance on an Economic Injury Disaster Loan even if your previous application was decl…"
1245769042016731137,2020-04-02 17:44:19,"Communities around Colorado's Third are stepping up to help those in need. Great to see such generosity everywhere! We are all in this together.

More uplifting stories from around the district amid the COVID-19 outbreak here: https://t.co/wzUQpkhjzt https://t.co/S9qJM8mPIY"
1245768585823297537,2020-04-02 17:42:30,"RT @HouseGOP: Help is on the way for #smallbiz.
 
Starting TOMORROW, small businesses can apply for the #PaycheckProtectionProgram to help…"
1245744176047837184,2020-04-02 16:05:31,"RT @KREX5_Fox4: Colorado Cases: 3,342 (an increase of 376 in 24 hours.)
Mesa County Cases: 17
Montrose County Cases: 15
Delta County Cases:…"
