id,created_at,text
1247308481646022656,2020-04-06 23:41:30,"With my support, the House passed a bill guaranteeing that our servicemen and women who had their education interrupted by #COVID19 will have access to their earned education benefits. Learn more about resources available to veterans on my website: https://t.co/2J8x9wbt1D"
1247268775784783873,2020-04-06 21:03:43,Do you have questions about how the new #PaycheckProtectionProgram can help you and your business? Read more here and please contact our office if we can help: https://t.co/l9vBVIFo7d https://t.co/RNdl07NVSF
1246857979359629315,2020-04-05 17:51:22,“Blessed is he who comes in the name of the Lord! Hosanna in the highest heaven!” - Matthew 21:9 Wishing a blessed Palm Sunday to all who observe.
1246091104551940102,2020-04-03 15:04:05,"RT @HouseGOP: The @USTreasury and @SBAgov’s #PaycheckProtectionProgram application is LIVE!

These loans are 𝗳𝗼𝗿𝗴𝗶𝘃𝗮𝗯𝗹𝗲 when used for payro…"
1245860313523609603,2020-04-02 23:47:00,"This week, thousands of Minnesota schools started online learning. For parents &amp; kids, this can mean adapting to new routines. Read more about my tips for families navigating #COVID19 here: https://t.co/BR7yxKdp9i"
1245828997705011200,2020-04-02 21:42:34,"The program, called the Paycheck Protection Program, provides up to 8 weeks in funding to cover payroll, mortgages and utilities for small businesses. Learn more  here: https://t.co/QIt5nryaEO"
1245828715868651520,2020-04-02 21:41:26,"The CARES Act, which I supported, includes a new program to help small businesses bridge the gap in revenue so they can continue to pay their employees despite #COVID19 related closures and lost revenue."
1245786823760269317,2020-04-02 18:54:59,"RT @rollcall: Blockchain technology could help hospitals stay stocked and staffed during pandemics, advocates say https://t.co/mCRsPmy5tG"
1245738592552574979,2020-04-02 15:43:19,"#COVID19 has impacted household incomes across the country, and paying monthly bills might be difficult. If you or a loved one is in need of mortgage relief, @CFPB has guidance! https://t.co/79fTYsCCqP"
1245110257384411136,2020-03-31 22:06:33,"RT @MNNationalGuard: As #WomensHistoryMonth comes to a close, we'd like to take one more opportunity to recognize the women who broke the b…"
1244812900541378560,2020-03-31 02:24:57,You can read more about my vote and this bill here: https://t.co/eJX0R9PfnE
1244810666738843648,2020-03-31 02:16:05,"Last week, I voted in favor of the CARES Act. This bipartisan legislation will provide support for millions of Americans as we fight the spread of #COVID19, for doctors and nurses, small business owners, the recently unemployed, and Americans across the nation. https://t.co/2fW0kc2UQ6"
1244801013154025473,2020-03-31 01:37:43,"Today is #NationalDoctorsDay! Sometime today, join me to #ThankADoctor for keeping our families and communities safe. https://t.co/QJ7lE9DzMW"
1244685268202016770,2020-03-30 17:57:47,RT @mnhealth: We’re working with #CovidNearYou to gather data about #COVID-19. Sign up at https://t.co/kcE1KZSVmL to report how you’re feel…
1244656514977185792,2020-03-30 16:03:32,Our efforts to fight #COVID19 have real impacts on our physical and mental well-being. My office assembled mental health resources for those struggling during this time. Read more here: https://t.co/UkSq61bvla https://t.co/GMVTUtYPY7
1244435815167676427,2020-03-30 01:26:33,"ICYMI: Due to #COVID19 safety concerns, the MN October 1, 2020 deadline for enforcement on #REALID will be pushed back a year to October 1, 2021. https://t.co/BmKJjC7aqn"
1244327391008362496,2020-03-29 18:15:43,"Thanks to @NASA for giving kids a new way to explore during this #shelterinplace, even if it’s just from the living room! https://t.co/i3dXBdSaq4"
1243604848685256710,2020-03-27 18:24:35,"Read my full statement regarding my support for the CARES Act below, or by visiting my website here: https://t.co/eJX0R9PfnE https://t.co/dYjwxfjszB"
1243535125301940224,2020-03-27 13:47:32,RT @BLMNational: Federal Court affirms @Interior decision to renew two Twin Metals hardrock mineral leases in northeastern Minnesota (@BLM_…
1243293978637860869,2020-03-26 21:49:18,"Jacquie and I are praying for comfort for the family and loved ones of my friend, former Senator Steve Dille. It was an honor to serve alongside him in the Minnesota Legislature and represent the shared values of our neighboring communities. He will be missed by so many."
1243281249411751936,2020-03-26 20:58:43,Minnesota’s greatest asset has always been the ingenuity of its people. Proud to see Minnesotans doing their part to support our doctors and nurses at the front lines in our fight against #COVID19! https://t.co/aX3nlzVorW
1243277012304789513,2020-03-26 20:41:53,"It’s incredibly important that we take these directives seriously, as they can directly impact the health of our family, friends and neighbors. Read more about the order and what it means for you here: https://t.co/5MqDorGtOn"
1243261274022187009,2020-03-26 19:39:21,"Essential services like grocery, gas and emergency medical services will continue to operate, and Minnesotans will be able to leave their homes to shop for food, get medical attention, and care for family members &amp; pets."
1243260940436541441,2020-03-26 19:38:01,"BREAKING --&gt; Based on recommendations from @UMNews and @MNHealth, @GovTimWalz announced a “stay at home” order, requiring Minnesotans to stay at home unless absolutely necessary. https://t.co/4L4Ag2A3aM"
1242962727301189632,2020-03-25 23:53:01,"Today, I spoke with the CEO of @Coborns, the @StCldAreaChamb, @MN_Chamber, @mncreditunions and the @MinnBankers - These folks are a huge part of the fight to combat coronavirus and keep our economy and small businesses alive. We can fight this together. https://t.co/zfRI8uQw5w"
1242805926526099456,2020-03-25 13:29:57,Proud to see @3M ramp up their continued production of N95 respirators – with nearly 100 million manufactured per month! You are protecting our front line health care workers around the country – We are grateful. Thank you!  https://t.co/0JCgUGnuMH
1242599870520872960,2020-03-24 23:51:10,"Wishing a happy birthday to the love of my life, my wife Jacquie. https://t.co/zrYTy2rFWf"
1242559102406070275,2020-03-24 21:09:10,"Small businesses are the economic engines of our community, but they are also among the hardest hit by the #COVID19 outbreak. See my toolkit below to learn more about resources for small business owners and employees! Read more here: https://t.co/akWkDJlujl https://t.co/oaor6QhyPE"
1242550528690831362,2020-03-24 20:35:06,"Thank you to the nearly 10,000 constituents who participated in my #COVID19 tele-town hall yesterday! If I didn’t have time to answer your question, you can always email me at https://t.co/8LVIr3NfRr. https://t.co/6pve9R27yI"
1242517678377570305,2020-03-24 18:24:34,"Today is #NationalAgDay! Thank you to our nation’s ag workforce, who are working hard to keep our shelves stocked and our plates full. https://t.co/t3Mg2N0LSW"
1242462565646688256,2020-03-24 14:45:34,Incredible! Minnesota’s backlog of #COVID19 tests has been eliminated with the help of @MayoClinic. https://t.co/Lkl6xCXKJj
