id,created_at,text
1247176301305311239,2020-04-06 14:56:16,"RT @WaysandMeansGOP: We are #InItTogether. Thanks to the CARES Act, small businesses can use the #PaycheckProtectionProgram to keep paying…"
1247167200810524674,2020-04-06 14:20:06,"Even though we are social distancing, I know many of you are looking for ways to help the community. 

From volunteering to donating, click below to see how you can help support your communities! 

Stay home and stay healthy! 

https://t.co/KcZRuTh4PO"
1246054111860199425,2020-04-03 12:37:05,"The Chinese government cost Americans 10 million jobs in just two weeks. 

They must be held accountable for their lack of transparency, secrecy, and propaganda against the US military."
1245470782555328512,2020-04-01 21:59:08,"Tidelands Health and the American Red Cross are teaming up to help replenish a blood supply shortage during the coronavirus pandemic!

https://t.co/6mpw1fcouJ"
1245350949679509506,2020-04-01 14:02:58,"RT @WaysandMeansGOP: TAX DAY IS POSTPONED. Families and small businesses can defer tax payments for 90 days, in the wake of #coronavirus.…"
1244964658743820288,2020-03-31 12:27:59,"“We’re going to have a rough quarter...When we reopen we’ll be ready, and the economy will surge back,” said Secretary of Treasury Steve Mnuchin. 

https://t.co/jO0Tg1Pek9"
1244787125272350728,2020-03-31 00:42:32,"Today @henrymcmaster ordered the closure of all public access points to the state’s beaches, all boat ramps, landings, rivers and waterways.

While this is unfortunate, it is necessary to protect the health and well-being of those in the community.

Stay home and stay healthy!"
1244642793722720257,2020-03-30 15:09:01,"Today is #NationalDoctorsDay! Thank you for the hard work and dedication you have shown, especially during this time while on the front lines of pandemic! 

You are making a difference in our communities. 

Join me in thanking a doctor today!"
1244594345044586497,2020-03-30 11:56:29,"I’ll be on the Dave Priest show this morning at 8:30 to talk about coronavirus response efforts, stimulus checks, and small business loans. Tune in below!

https://t.co/mHOiqMxVHx"
1244251595229089792,2020-03-29 13:14:32,"Great ways to help out your community during this time! #InItTogether 

https://t.co/sfWyO8EbkD"
1243949539247218688,2020-03-28 17:14:16,"Great to see South Carolina organizations coming together to support families during this pandemic. 

https://t.co/JAQ6l4UnLb"
1243948340146065409,2020-03-28 17:09:30,"Abott Laboratories has produced a test for coronavirus that delivers results in as little as five minutes. 

Abott plans to provide 50,000 tests per day starting April 1st. They are small, portable, and can be used in almost any healthcare setting. 

https://t.co/31UDG5U1eT"
1243624885756350467,2020-03-27 19:44:12,"The CARES Act provides:

✔️direct cash payments to Americans
✔️grants and loans for small businesses
✔️relief to healthcare professionals

While this bill is not perfect, it provides relief to those who need it and helps revitalize the economy! 

We will win this fight."
1243623823389450240,2020-03-27 19:39:59,"Great to see companies like Bank of America working hard to make things easier for those struggling during this pandemic. 

https://t.co/Pk6dRK3eew"
1242503639454941187,2020-03-24 17:28:46,I co-sponsored this resolution because China needs to be held accountable for their secrecy and lack of transparency in the handling of COVID-19. https://t.co/S201g8zy7O
1242494669646368769,2020-03-24 16:53:08,"American citizens are looking to @SpeakerPelosi, as a leader, for help. 

Speaker Pelosi is withholding aide to Americans, while prioritizing wind and solar tax credits, and federal takeover of local elections. 

It’s time for the games to end. Americans deserve better."
1242452920626446338,2020-03-24 14:07:14,"More masks, face shields, and gloves are on the way! Awesome teamwork by Harbor Freight. #InItTogether https://t.co/TZCvBjqwGt"
