id,created_at,text
1247161163055538176,2020-04-06 13:56:07,I joined Bloomberg Radio to discuss ensuring this $2 trillion of taxpayer money from the CARES Act is used efficiently and effectively in combatting Coronavirus. You work hard for the money you send to Washington – it always needs to be working for you: https://t.co/xQg4R5eFhK
1245709560020701184,2020-04-02 13:47:57,"To bolster stocks of PPE in southern Indiana, John Riley of Maker13 here in Jeffersonville is turning his co-work space into a medical supplies manufacturer. Another incredible story of Hoosiers getting each other through this pandemic ➡️https://t.co/3zBvdbRxIR @newsandtribune"
1245403026271219715,2020-04-01 17:29:54,"My team has reached out to our local hospitals to check in, many of which are working to keep up with PPE supply needs. While some are seeing shortages in medical supplies, these Johnson County women are spending their social distancing time helping out: https://t.co/exB7QzOGaz"
1245052457987837952,2020-03-31 18:16:52,"RT @WGCLradio: Glass in the Afternoon following Governor Holcomb 3 to 6

*Dr. Markay Winston from @MCCSC_EDU 3:25
*Joe Smith Reports 
*Adam…"
1245052373007032322,2020-03-31 18:16:32,"RT @BAdamsOnTheAir: It was an honor chatting with @RepTrey. If you’d like some great info regarding Covid-19, your stimulus checks or to ju…"
1245052340845019136,2020-03-31 18:16:24,RT @korncountry1003: A big thanks to @RepTrey for joining @BAdamsOnTheAir this morning. Lots of great information regarding Covid-19 includ…
1245018733191606274,2020-03-31 16:02:51,"Listen In: I joined @ChamberBloom to discuss the #CARESAct, what it means for small businesses, and where they can turn to best help their employees + the future of their business. New resources are coming in by the truck load, so Erin and I break everything down for you here → https://t.co/Y30x2Ong5y"
1244984390062653440,2020-03-31 13:46:23,If you visit my website at https://t.co/xwTyB8f3BM you can find information on everything from how to apply for unemployment insurance to resources for veteran healthcare during coronavirus. My team is updating this site daily with new information and the latest guidance.
1244984275285553153,2020-03-31 13:45:56,"Hoosiers, as we work together to fight coronavirus, there are numerous resources available from the Indiana state government, the federal government, and the private sector to help lessen the burden on Hoosiers and help families through this tough time."
1243218830199083011,2020-03-26 16:50:41,"According to the @Indiana_EDC, Employees for essential businesses do NOT need documentation. Law enforcement will not be stopping drivers on their way to work, traveling for an essential activity, or simply taking a walk. For more clarification: https://t.co/umRPGQCNHV"
1242167557337088006,2020-03-23 19:13:18,Today @GovHolcomb announced a statewide order for Hoosiers to stay home in an effort to stop the spread of coronavirus. Head to my website for FAQs on what this stay at home order means for you and your family → https://t.co/umRPGQCNHV https://t.co/3BpmRHE0uf
1242141819300982785,2020-03-23 17:31:02,"Huber’s Starlight Distillery is repurposing its bourbon distilling process to make hand sanitizer and help keep Hoosiers safe and prevent the spread of coronavirus. Thank you, Huber’s, for your contribution to our fight against coronavirus → https://t.co/yEouXe5kmO"
1239608996274876416,2020-03-16 17:46:30,On my website is a list of food banks in IN09 that are here to serve Hoosiers. I'm also doing what I can to work with schools who are putting plans into place to offer pick-up and drop-off meal services as kids’ school lunches have been disrupted: https://t.co/XMZ4skvX6G https://t.co/pg5Z4qRolm
1238685845554638848,2020-03-14 04:38:13,"We have a duty in Congress to keep Americans safe, help our economy heal, &amp; help Hoosiers stay on their feet. I voted tonight for the Families First Coronavirus Response Act to provide necessary and affirmative relief to all sectors of our economy and employees affected. (2/2)"
1238685574778834944,2020-03-14 04:37:09,The deep economic uncertainty caused by social distancing – a necessary effort encouraged by medical professionals to prevent the further spread of coronavirus - is hurting all sectors of our economy including our small businesses. (1/2)
1237818715024089089,2020-03-11 19:12:33,Latest update from the CDC – Indiana is receiving $10 million from the Centers for Disease Control and Prevention (CDC) to assist our state and local health departments who are on the frontlines of our coronavirus response efforts ➡️ https://t.co/qc45jiMTim
1237760137823223819,2020-03-11 15:19:47,.@iafflocal558 + @IAFFLocal4444 were in DC this week to discuss the mental health issues fire fighters face everyday on the front lines of emergencies in our communities. They work round the clock to keep us safe; our country's laws should help keep them safe too. #IAFFLegCon https://t.co/UkHPSbT4DV
1237483699031212032,2020-03-10 21:01:19,RT @PFFUI: .@RepTrey visited with members from  @iafflocal558 and @IAFFLocal4444  today to discuss issues impacting Indiana Fire Fighters.…
1237471421653286913,2020-03-10 20:12:32,"Washing our hands is a simple but effective way to stay healthy during the coronavirus outbreak. Learn more about our country's all-hands-on-deck approach to the coronavirus, and what you and I can do to prevent it from spreading, here → https://t.co/Ft2MRpqOpf https://t.co/mQiShsBP5m"
1237448695030992897,2020-03-10 18:42:14,RT @ladydocperry: Excited to work with @RepTrey to reduce maternal mortality in Indiana and expand women’s health research! #CLC2020 #NoSpi…
1237115899267756033,2020-03-09 20:39:49,"ICYMI: I joined @DanSpehler on @INFocusIndiana to discuss our efforts in Congress to deploy the resources necessary for Hoosiers, including hospitals and first responders, to stay healthy amid the #coronavirus outbreak. Listen here: https://t.co/hL7c9YyFoV"
1237114989179265025,2020-03-09 20:36:12,"Great piece from @ApartmentWire
in @thehill on the Yes in My Backyard Act, which passed the House last week, and the importance of encouraging local communities to expand access to affordable housing →
https://t.co/gBIM4Amxwo"
1235278432759504896,2020-03-04 18:58:23,RT @GOPLeader: Congress should've already passed a funding bill to combat coronavirus. Period. But Democrats are hellbent on sneaking in el…
1235268890571264000,2020-03-04 18:20:28,RT @newsandtribune: The Yes in My Backyard Act aims to incentivize local municipalities to remove barriers that can limit the production of…
1235258791815413764,2020-03-04 17:40:20,"RT @INHumanities: Nice meeting with you, @RepTrey! We appreciate your support. https://t.co/huS9R3ybJ4"
1235239863575814146,2020-03-04 16:25:07,"RT @JesswithMS: @RepTrey Thank you for meeting with us this morning and listening. #MSActivist
#MSPPC20
#AccessToMeds
#MSResearch
#ProtectP…"
1234931327801188353,2020-03-03 19:59:07,"On @BloombergTV: We have to make sure our supplemental funding for #coronavirus is a real and proactive policy response, not a political tool. https://t.co/npVVVCM9J9"
1234928055124209665,2020-03-03 19:46:06,I joined @DavidWestin on @BloombergTV to discuss this morning's Federal Reserve rate cuts. I applaud the Fed in taking preemptive action to ensure we stabilize any economic outcomes because of #coronavirus. https://t.co/aKB8uLJwxI
1234912285115678723,2020-03-03 18:43:26,"RT @RepTomEmmer: Yes, in my backyard of #MN06! I was happy to support this legislation, which will promote affordable housing to communitie…"
1234853400304640000,2020-03-03 14:49:27,"ICYMI → Last night the House passed the Yes in My Backyard Act, legislation that encourages communities to increase availability of affordable housing: https://t.co/4jebIlOsCo"
