id,created_at,text
1247315346387865600,2020-04-07 00:08:47,"Today, I led a letter with @RepAngieCraig and 16 of my colleagues to support Speaker Pelosi in including provisions to lower the cost of health insurance in the next coronavirus relief package. https://t.co/YA9PLOukRP"
1247315344508751872,2020-04-07 00:08:46,"Before #COVID19, quality, affordable health care was out of reach for too many Americans. Now, premiums are likely to spike even higher, so it's essential measures to ensure Americans have access to affordable care are included in a Congressional response to this pandemic."
1247247550584889347,2020-04-06 19:39:23,"As many schools and universities move to online classes, we are grateful to the teachers who are working to educate and support their students during this unprecedented time. Thank you for all you do! https://t.co/pfiVDrZuhf"
1247239463295692801,2020-04-06 19:07:15,"RT @CDCgov: Stop the spread of #COVID19 while working from home. Clean &amp; then disinfect surfaces such as tables, desks, phones, tablets, &amp;…"
1246953497209290752,2020-04-06 00:10:55,"RT @CDCgov: If someone you are caring for has #COVID19:
• Do not shake their clothing, towels or linens.
• Wear disposable gloves while was…"
1246861452906041351,2020-04-05 18:05:10,"RT @RepBillFoster: Join @RepCasten, @RepUnderwood, and me today at 3pm CT for an important FB Live townhall. We'll be providing important u…"
1246176899149303808,2020-04-03 20:45:00,"I’m fighting to bring resources to our community so we can come back from this crisis stronger than ever. These new resources for #IL14 communities will help us meet the new challenges we are facing in the #COVID19 fight. 

https://t.co/aiNj0NiCwr"
1246156011578277892,2020-04-03 19:22:00,"While many are able to stay home during the coronavirus pandemic, postal workers continue to deliver essential goods and communications to our front doors. Their work is incredibly important to keeping our communities connected, and we are so grateful for their dedication. https://t.co/VivUKiXNMK"
1246133472315478023,2020-04-03 17:52:26,"This week, I hosted a Facebook Live discussion with TriCity Family Services to share mental health care resources available to our community, along with wellness tips for staying healthy during the coronavirus pandemic. https://t.co/sO3DTR5hgE"
1246133471036260352,2020-04-03 17:52:26,"I know that many of our neighbors are grappling with new anxieties about healthcare, separation from loved ones, and increased stress. I’m working to connect our community to the resources to navigate this tough time."
1246107006748024833,2020-04-03 16:07:16,Health care workers are in desperate need of PPE. It’s absolutely heartbreaking &amp; unacceptable. We need the President to act immediately to activate the Defense Production Act to get these supplies to health care providers and essential workers. There is no time to wait. https://t.co/vHcxBVnOGl
1245835822013825025,2020-04-02 22:09:41,"RT @VetAffairsDems: Even if you wouldn't ordinarily file, all veterans must file a tax return in order to receive their economic impact pay…"
