id,created_at,text
1247310452276760576,2020-04-06 23:49:20,Joining @AriMelber right now on @MSNBC to discuss the firing of Inspector General Michael Atkinson after he put country first.
1247237473073352709,2020-04-06 18:59:20,"With #TigerKing all the rage right now, I'd like to note that @RepMikeQuigley's #BigCatPublicSafetyAct, which I've cosponsored, would end the cruel private ownership of big cats and end animal abuse associated with their captivity."
1247233457736089601,2020-04-06 18:43:23,"The only way to keep Americans safe is if our leaders are accountable when things go wrong.

We need a new 9/11-style independent commission to investigate the “lost month” that is going to cost tens of thousands of Americans their lives. #COVID19 https://t.co/2SDHnyfPov"
1247233342673760257,2020-04-06 18:42:56,"As unemployment continues to spike, we have to save workers and small businesses.

The $2.2 trillion relief passed by Congress is the largest relief package in history, but we need more.

As JFK said, “we shall pay any price, bear any burden."" Let's keep going."
1247197265917358082,2020-04-06 16:19:34,"It’s important to recognize the facts as what they are, not what we wish they were. https://t.co/S35lgae65w"
1247189495449112582,2020-04-06 15:48:42,"The president needs to fully use the Defense Production Act immediately to get control of the “wild west” market for masks and other critical protective gear.

Florida has been buying “phantom” shipments that never show up. This is outrageous. https://t.co/gZDdRcMLbB"
1247166963677188096,2020-04-06 14:19:10,"In the absence of leadership, good things don't happen fast enough and bad things continue to happen.

As the president continues to be the 'distractor in chief,' others will have to step up and lead the way to protect the American people.

My conversation with @TheRevAl: https://t.co/xvy1j6hHEl"
1247158392679956480,2020-04-06 13:45:06,"We passed $60 million to fix Florida’s broken unemployment system, but in the meantime please be aware that the state will begin accepting paper applications. Call my office if you continue to have problems. https://t.co/UaavVfjIuq"
1247157156090085376,2020-04-06 13:40:11,"I am glad that Florida has finally accepted that a statewide stay-at-home order was necessary. I hope it is not too late.

Now it’s up to all of us to do our part and stop the spread of #COVID19 by staying home as much as possible."
1247156974275493890,2020-04-06 13:39:28,"My office has received countless questions about the emergency relief checks, unemployment insurance, support available for small businesses, and many other issues. The answers to many of those questions are available here: https://t.co/qZrcooxxWa"
1246965958423478279,2020-04-06 01:00:26,RT @TheRevAl: Rep. Val Demings talks about Trump and the absence of national leadership during the current international coronavirus pandem…
1246831205674352640,2020-04-05 16:04:59,An example of what Stay At Home looks like. Father and daughter working together. https://t.co/0aFwKKCezy
1246191339865284611,2020-04-03 21:42:23,"RT @OrangeCoFL: Says @SheriffMina @OrangeCoSheriff: We must all adhere to the Stay At Home Order as it will save more lives. If we don’t, w…"
1246190982544199681,2020-04-03 21:40:58,"@avettandcrayola If you continue to have trouble, please contact my office Monday morning."
1246165596011708417,2020-04-03 20:00:05,"@Msstma He blocked a general special enrollment period which would help people who were already uninsured, but the 60-day post-job period is still available."
1246164637055410178,2020-04-03 19:56:16,"Was Florida’s unemployment system designed to make it harder for people to apply for benefits? “The system was designed to fail.”

We're fighting to fix this system, but later, there will need to be accountability for this. https://t.co/TbNq2alDJj"
1246164227104088066,2020-04-03 19:54:39,"After September 11th, we created an independent commission to find out what went wrong.

The COVID-19 response has gone wrong.

We need a new independent commission to stop it from happening again. https://t.co/NjRT8X9xmH"
1246145711709790208,2020-04-03 18:41:04,"This continues to be a massive issue, including for Florida. https://t.co/ilkKfumb5c"
1246145542331281408,2020-04-03 18:40:24,RT @RepValDemings: Now live: a comprehensive list of Central Florida resources and answers to frequently asked questions as we work to keep…
1246142284317577216,2020-04-03 18:27:27,"Please remember that if you lose your job, you have a sixty-day window to sign up for health care on the Affordable Care Act Marketplace online or at 877-564-5031.

There are trained Navigators who can help you though this process.
https://t.co/bxT2dXN4bg"
1245871335756009473,2020-04-03 00:30:48,@tinatheplantdoc @nikkifried Thanks for joining us Tina. Hope to see you again soon.
1245871084580114432,2020-04-03 00:29:48,@jkmhenry Thank you for joining us.
1245812866483175428,2020-04-02 20:38:28,"As scripture says, “You shall open wide your hand to your brother.” I’m glad to see the great work being done to help those in need in our community. https://t.co/49POMgGWkX"
1245738562391289857,2020-04-02 15:43:12,"It’s heartbreaking to see these empty streets and businesses, but once we do what we must to stop this pandemic, I know that our incredible, welcoming community will be back and ready to reach even greater heights. https://t.co/xN44hRjQuA"
1245707382166093826,2020-04-02 13:39:18,RT @StephanieCNews: Just interviewed @RepValDemings about her letter to AG William Barr and other officials demanding answers on federal pr…
1245452402708418561,2020-04-01 20:46:06,"Are you worried about hospital funding right now? Me too.

Our community's share of health care funding is based on the census results. 

Please #BeCounted. https://t.co/8nbdhO7QKj"
1245450806784135175,2020-04-01 20:39:46,"Haitian Creole: 844-477-2020
Portuguese: 844-474-2020
Japanese: 844-460-2020
English (for Puerto Rico residents): 844-418-2020
Spanish (for Puerto Rico residents): 844-426-2020

For information on services for people who are deaf or hard of hearing: TDD number at 844-467-2020."
