id,created_at,text
1247245056702103559,2020-04-06 19:29:28,The IRS will make about 60 million payments to Americans through direct deposit in mid-April. Please contact my office if you have any questions or concerns. The latest estimated timing from the IRS on economic impact checks ⬇️ https://t.co/TkZcA3c65C
1246197363418464262,2020-04-03 22:06:19,"This afternoon, I sent a letter to small business owners in our district as Coronavirus relief loans become available today. Please check directly with your financial institution for more details. Read my full letter here: https://t.co/T3zGuBAYAn https://t.co/JNXBWzTKey"
1246179003460923392,2020-04-03 20:53:21,"RT @SBAgov: 🚨STAY VIGILANT 🚨

There’s no fee to apply for a #PaycheckProtectionProgram loan. Be aware of fraudulent actors who may charge p…"
1246161757351149569,2020-04-03 19:44:50,The health of the Texas community is our priority. That is why I was proud to join the Texas delegation in urging our state officials to implement a vote-by-mail program for all elections in TX until the end of this year. Read our full statement here ⬇️ https://t.co/qHU2SWJ7s8
1245794931081383940,2020-04-02 19:27:11,"Texans must do everything they can to flatten the curve. I’m glad Governor Abbott listened to my colleagues and I and finally called for a much needed stay at home order that will help save lives.
https://t.co/H41s08vwpM"
1245743531689476096,2020-04-02 16:02:57,"Today at 2 pm CST, in partnership with @GDHCC, I will be participating in a webinar discussing the recently passed CARES Act (Coronavirus Aid, Relief and Economic Security Act) and how the legislation will help North Texas small businesses. 
Register here: https://t.co/Ehl6E1ZtNA"
1245456121986498566,2020-04-01 21:00:53,"Are you a North Texas small business owner that needs assistance? Make sure to join @GDHCC and I tomorrow for a discussion about the recently passed #CARESAct where we’ll answer your questions. 

Follow this link to register:
https://t.co/Ehl6E1ZtNA"
1245426194146877446,2020-04-01 19:01:58,We are proud to partner with @USCensusBureau to encourage a complete and accurate count for the #2020Census. Show that you support the 2020 Census by sharing this post or making the image your profile picture. Don’t forget to complete the census at https://t.co/JE0ELWa7pt! https://t.co/V9VKPTGVHu
1245407809807794177,2020-04-01 17:48:55,"Happy #CensusDay! 

Today is important, because whenever you complete your #2020Census, you should count everyone living (or sleeping) in your home most of the time as of April 1—whether you are related to them or not. 

Respond now at https://t.co/JE0ELWa7pt. https://t.co/EAGRsDVexn"
1245361332955877377,2020-04-01 14:44:14,"Today on #CensusDay, don’t miss your chance to ensure our community receives critical funding for hospitals, schools, and roads. The 2020 Census is our only chance in the next 10 yrs to get an accurate count of our communities.
Fill yours our TODAY at https://t.co/nqJDuKNnQc."
1245098505221390336,2020-03-31 21:19:51,"This global crisis has shown us what we already knew: We are nothing without our workers. This #CesarChavezDay, let us thank and honor our nation’s workers—especially those on the front lines of this crisis. https://t.co/DaM9RE6mOv"
1245065315303731201,2020-03-31 19:07:58,"The average woman in 2019 made just 81% of what her male counterpart earned.

Black women earned 67%.

Hispanic women earned 58%.

Now more than ever, we depend on our workers. ALL must receive #EqualPay. https://t.co/9rfDKjDyPM"
1245023665256828929,2020-03-31 16:22:27,"Our Constitution mandates that every person living in the U.S., not just citizens, must be counted through the census every ten years. 

Fill yours out today at https://t.co/nqJDuKNnQc. #WhyCensusMatters #Census2020"
1244757294451249155,2020-03-30 22:44:00,"If you have questions about the #CARESAct,  my office is here to help answer them.

For information and resources regarding COVID-19 and the CARES Act, check out my webpage here: https://t.co/PpUbXnm6Mt https://t.co/paGluREmrr"
1244736788217937920,2020-03-30 21:22:31,Our state’s leadership must be laser focused on combatting the Coronavirus pandemic. That is why I led a letter asking local officials to reconsider a ban stripping essential access to health care for Texas women. Read my full statement here: https://t.co/lPmTFQwfWj https://t.co/JchMviR2id
1244686224465571843,2020-03-30 18:01:35,"FACT: Legal protections ensure that data collected during the Census is kept confidential and cannot be traced back to any individual. Census data CANNOT be shared with other government agencies or outside groups. 

Fill yours out today at https://t.co/nqJDuKNnQc. #Census2020"
1243609582532005895,2020-03-27 18:43:24,"I applaud the passage of the Families &amp; Workers-First Coronavirus legislation, which will bring urgently needed relief to families, workers and small businesses all across this country, including my great state of Texas. #CARESActStatement https://t.co/i4uP0k2MBV"
1243598701404262402,2020-03-27 18:00:10,Read  my full statement here: https://t.co/LnccThw2Pd
1243243184651743234,2020-03-26 18:27:28,"I spoke to WFAA’s @JasonWhitely about the priorities of Congress during the coronavirus pandemic. We discussed rent relief, disaster checks, and resources for small businesses that need assistance during this trying time.  
Check out our conversation here: https://t.co/pGkVuyjylc"
1243175908028100610,2020-03-26 14:00:08,Small businesses are the backbone of our North Texas economy and we’re fighting to provide the resources they need during this tough time. Get more info about what help is available for small businesses in my resource guide below: https://t.co/04H3M1MUpD
1242964124562317312,2020-03-25 23:58:35,"On this National Medal of Honor Day, we celebrate the sacrifices of our Nation’s brave servicemembers and their brave efforts to keep our country safe.
https://t.co/uA9NxVrBp5"
1242940815665770498,2020-03-25 22:25:57,Our priority should be American workers and families impacted by the pandemic. That is why I joined over 50  of my colleagues to urge congressional leadership to include cash assistance to those living paycheck to paycheck. https://t.co/Dij845KObX
1242902908934344704,2020-03-25 19:55:20,"ATTENTION! Due to COVID-19, the Census Bureau has made adjustments to their #2020Census operations. For updated adjustments, read more here ⬇️
https://t.co/8XQX7b5iy3 https://t.co/W5UTWaxSD1"
1242880884015013889,2020-03-25 18:27:49,"There are now more COVID-19 drive-thru testing locations in the Metroplex. 

To find drive-thru screenings near you, click here: https://t.co/8Z0Lsm3oPN"
1242554682528202753,2020-03-24 20:51:36,"Is your small business impacted by COVID-19? If so, you may be eligible for economic assistance through the Small Business Administration. 

For more information, click here: https://t.co/HAtLZ0yo3c https://t.co/TmiNWg381h"
1242532848558575622,2020-03-24 19:24:50,https://t.co/A2wSB5EeZT
1242531518792249352,2020-03-24 19:19:33,"To protect our most vulnerable, the Fort Worth and Tarrant County have issued a stay at home order. I urge our communities in these locations to avoid spreading COVID-19 by staying home when possible. https://t.co/BoagxT3LRs"
