id,created_at,text
1247303469570109443,2020-04-06 23:21:35,RT @realDonaldTrump: https://t.co/GIzwKSbuuS
1246173809985626118,2020-04-03 20:32:43,"Coronavirus relief payments will help America’s workers, families, and seniors during this challenging time. Here’s everything you need to know, including who qualifies and how to receive the funds:
https://t.co/Wmc2pvGw9j"
1246164849744379911,2020-04-03 19:57:07,RT @US_FDA: FDA is requesting immediate removal of all Rx and over-the-counter ranitidine (Zantac) from the U.S. market. https://t.co/gta7J…
1246102213379985408,2020-04-03 15:48:13,"RT @WaysandMeansGOP: We are #InItTogether. Thanks to the CARES Act, small businesses can use the #PaycheckProtectionProgram to keep paying…"
1245818286958235648,2020-04-02 21:00:00,Social Security beneficiaries who don't normally file tax returns will not be required to file additional paperwork to qualify for the coronavirus relief payment – the funds will be deposited directly into their bank accounts. Here’s what you need to know: https://t.co/ft3xC4JcSY
1245780537232347136,2020-04-02 18:30:00,"If you receive Social Security and do not normally file tax returns, you will receive a direct payment of up to $1,200 per person. You don’t have to do anything to qualify. I applaud the Trump administration for making the right call.

https://t.co/hkTFMie1WM"
1245772987871174656,2020-04-02 18:00:00,"Licensed health care professionals, trained medical volunteers, and Medical Reserve Corps volunteers can find out how to help with the COVID-19 response here: https://t.co/QwONSVGtiT"
1245767014079225858,2020-04-02 17:36:16,Hoosier businesses interested in donating supplies or working with @fema to support COVID-19 response efforts can find contact information and the necessary forms by visiting https://t.co/vpFSKj4Zy0 and clicking “How to Help - Private Sector.”
1245475798259286016,2020-04-01 22:19:04,"By responding to the Census, you help determine the federal resources our state and communities get each year. Make sure you and your family are counted by filling out the Census online, over the phone, or by mail. Visit https://t.co/IDXAtHmPwc for more information. #CensusDay https://t.co/DAVIFxuHy9"
1245440128065159172,2020-04-01 19:57:20,.@WhiteHouse has updated the President’s Coronavirus Guidelines for Americans to help slow the spread and save lives. It is critical we all work together over these next 30 days and heed President Trump’s call to practice social distancing and always maintain good hygiene. https://t.co/Viq6BKAuGN
1245417133980475392,2020-04-01 18:25:58,"RT @WhiteHouse: The next 30 days are a critical opportunity for America to flatten the curve and get to the other side.

More from @Surgeon…"
1245400809711513600,2020-04-01 17:21:06,"RT @USTreasury: With $349 billion in emergency Small Business Capital cleared, Treasury, and SBA begin unprecedented public-private mobilza…"
1245335105155018752,2020-04-01 13:00:00,"If you are a small business owner looking to apply for a Paycheck Protection Program loan or a lender looking to participate in the program, check out these resources provided by @USTreasury to answer frequently asked questions:
https://t.co/yFNmvmoiik"
1245116160300867584,2020-03-31 22:30:00,"Hoosier small business owners with questions about how to apply for loans, debt relief, and other assistance during the coronavirus crisis should visit https://t.co/M2cgKbHKgq.
@SBAgov"
1245101061083287552,2020-03-31 21:30:00,"If you are on Social Security, SSDI, or for any other reason were not required to file a tax return in 2018 or 2019, you are still eligible to receive a $1,200 payment due to the coronavirus emergency. The IRS will be announcing more details soon.
https://t.co/mCqes2k5Vs"
1245085960510918656,2020-03-31 20:30:00,"The economic relief package Congress passed last week means every American except the highest earners will receive $1,200. Check out these frequently asked questions to find out if you qualify: https://t.co/ft3xC4JcSY"
1245070861100515329,2020-03-31 19:30:00,"Small businesses, sole proprietorships, independent contractors, cooperatives, employee-owned businesses, and other entities with under 500 employees can apply for deferable, low-interest Economic Injury Disaster Loans here: https://t.co/SQU1yX2iRj @SBAgov"
1245069323695251456,2020-03-31 19:23:53,RT @SBAgov: STAY UPDATED: Subscribe to our e-newsletter and get updates on SBA programs and resources for small businesses impacted by #COV…
1245069301213782018,2020-03-31 19:23:48,RT @SBA_Indiana: Remember--applying for an #SBA loan--especially those related to declared disasters like #COVID19--is FREE.  If you need h…
1244757360209465345,2020-03-30 22:44:15,@GovHolcomb Today he issued an executive order directing health care facilities &amp; abortion clinics to cancel or postpone elective &amp; non-urgent procedures. I want to thank @GovHolcomb for putting the safety of health care workers and the health of all Hoosiers first. https://t.co/KK9x1IFRK0
1244756718841667585,2020-03-30 22:41:42,Last week I sent @GovHolcomb this letter asking that abortions be classified as non-essential procedures in order to protect the sanctity of life and preserve the personal protective equipment our health care workers need during the coronavirus crisis. https://t.co/hpbhggYs3t
1244729513411518465,2020-03-30 20:53:36,"Be aware of possible scams related to the direct payments to Americans that Congress passed last week. No sign-up is required. If you receive a call, email, text, or letter asking for personal information in order to qualify, hang up or do not respond.
https://t.co/Cpgv1R3ze6"
1244716024139788290,2020-03-30 20:00:00,Thank you to our doctors who are on the front lines of the fight against coronavirus. All our health care workers are true heroes who are putting others first. We are grateful for their incredible strength and the sacrifices they make to care for our fellow Hoosiers. https://t.co/1VHDblfg6b
1243961049193332737,2020-03-28 18:00:00,"Every American has a role to play in slowing the spread of this virus. I’m grateful President Trump signed the #CARESAct into law to provide immediate economic relief to families, workers, and small businesses facing hardship and uncertainty in these challenging days. https://t.co/LtCgBWFBmE"
1243900653857955841,2020-03-28 14:00:01,"The CARES Act will strengthen our local, state, and federal response to #coronavirus. It will boost resources for our hospitals, fund more personal protective equipment for health care workers, and provide $11 billion to support vaccines, therapeutics, and diagnostics. https://t.co/eRMjz8U8he"
1243673581155954695,2020-03-27 22:57:42,"And it will provide critical resources for our nation’s hospitals, health care workers, and state and local response efforts so they can keep fighting coronavirus and keep our communities safe. https://t.co/Cm4vLuLetb"
1243673505616539655,2020-03-27 22:57:24,"For workers who are laid off, the bill will temporarily expand unemployment insurance – including making it available to independent contractors and self-employed individuals."
1243673343091511299,2020-03-27 22:56:45,It will make loans available to small businesses and non-profits to maintain payroll and cover expenses like rent – and these loans will be forgiven as long as employees keep their jobs.
1243673254201561090,2020-03-27 22:56:24,"The bipartisan CARES Act will provide every American, except the highest earners, with $1,200 per adult and $500 per child."
1243673184089579520,2020-03-27 22:56:08,"Coronavirus and the steps necessary to stop it are having a devastating impact on our economy, and many of our friends and neighbors are suddenly facing hardship and uncertainty."
1243673083887661056,2020-03-27 22:55:44,"We are fighting against an invisible enemy, and together we will defeat it. https://t.co/Cm4vLuLetb"
1243670687543431170,2020-03-27 22:46:12,"Today, Congress took action to provide immediate relief to families, workers, and small businesses so they can get through this crisis and be even stronger when it’s over. https://t.co/O1cdFPElXv"
1243643958787338242,2020-03-27 21:00:00,The CARES Act creates a paycheck protection program to provide forgivable loans to keep small businesses from going under and prevent workers from losing their jobs. Glad Congress came together in a bipartisan fashion to send this bill to the president’s desk. https://t.co/oUQBzf2NUA
1243628896949501954,2020-03-27 20:00:09,"With the number of #coronavirus cases rising every day, Congress has taken action to bring much needed relief to families, workers, small businesses, and health care providers so we can continue to fight this invisible enemy, preserve jobs, and save lives. #InItTogether https://t.co/nAnOV3Cx08"
1243304220503298064,2020-03-26 22:30:00,"If you want more information about COVID-19 and what you and your family can do to slow the spread coronavirus, check out this FAQ from the @CDCgov:

https://t.co/XyCBo0QAD8"
1243297752672583681,2020-03-26 22:04:18,"Hoosier students schooling at home can check out these awesome STEM projects and other educational resources created by NASA. Even during this national crisis, our children should have the chance to continue learning and growing through #NASAathome. https://t.co/egxzzy5M8x"
1243295263650963457,2020-03-26 21:54:24,"Local businesses looking to contribute supplies and services to aid in coronavirus response efforts can find out how to connect with @fema here:
https://t.co/gY7SDmUXhJ"
1243293897163526146,2020-03-26 21:48:59,"I love seeing Hoosiers pulling together to help each other in times of need. It’s this kind of compassion and unity that will get us through this crisis. #coronavirus

https://t.co/pqnowyOhwL"
1243208749889748999,2020-03-26 16:10:38,"RT @WaysandMeansGOP: The Senate PASSED The CARES ACT! 

This immediate emergency relief: 

✅Helps small businesses &amp; their employees 

✅Sup…"
1243175877900414977,2020-03-26 14:00:01,"Need assistance returning to the U.S. from abroad?

1) Notify the U.S. embassy at https://t.co/FyZ1Tu5Q7d.

2) Enroll in the Smart Traveler Enrollment Program (STEP): https://t.co/DwX9zTSOoc.

And don't hesitate to contact my office at 574-204-2645 for further assistance."
1242923757733326856,2020-03-25 21:18:10,"In challenging times, we often find comfort in the company of friends and loved ones. To help slow the spread of #coronavirus I encourage you to find new ways to engage in conversation, like writing letters, making phone calls, video chatting, and texting your friends and family. https://t.co/5dQaXgt92U"
1242921825979564033,2020-03-25 21:10:30,"Working alongside local, state, and federal officials, last week we secured shipments of personal protective equipment for Indiana from the Strategic National Stockpile. I’ll continue making sure our health care workers have the critical supplies they need to fight #coronavirus. https://t.co/BPxcdn6OjR"
1242801522758606854,2020-03-25 13:12:27,"Thank you to our doctors, nurses, physician assistants, lab techs, administrators, and so many other health care workers, and to grocery workers, truck and delivery drivers, and manufacturers. Our communities depend on you during these challenging times. https://t.co/ySjKilAh7w"
1242558234910752775,2020-03-24 21:05:43,RT @HouseVetAffairs: The @DeptVetAffairs is here to help in the midst of this pandemic and is posting regular updates on their website for…
1242557691614179329,2020-03-24 21:03:33,Hoosier small business owners who have questions about @SBAgov disaster loans due to the #coronavirus crisis should contact the SBA Indiana District Office at 317-226-7272 or online at: https://t.co/BdG2NPxj2T.
1242200683790688256,2020-03-23 21:24:56,"To help ease the financial impact of #coronavirus on working families and small businesses, #TaxDay will be moved from April 15 to July 15 for all Americans.

https://t.co/9mysbiOGZ9"
1241110975111200768,2020-03-20 21:14:49,I also ran into some folks from @PeruSchools giving out food to their neighbors in need – the kind of thing that makes this community so great! (2/2) https://t.co/4aTJgLLWFu
1241110299199131653,2020-03-20 21:12:08,"Miami County is full of great examples of Hoosiers helping Hoosiers during this national emergency. Today I received important updates from Health Officer Dr. Christi Redmon, Emergency Management Agency Executive Director Kristopher Marks, and Assistant Director Dave Moon. (1/2) https://t.co/RclIx9gpb4"
1241077047629316100,2020-03-20 19:00:00,"Thanks to Miami County Health Officer Dr. Christi Redmon for working to protect our communities and for this important update on what Hoosiers can do to slow the spread of #coronavirus and stay healthy.

https://t.co/bfMs9t1jup"
1241073028995469312,2020-03-20 18:44:02,"Hoosiers should be extra vigilant about possible Social Security scams during this national emergency. If you receive a suspicious call, text, email, or letter about an alleged problem with Social Security, hang up or do not respond. Report scams here: https://t.co/2aOTidM9We."
1241035686242893824,2020-03-20 16:15:39,RT @TravelGov: Travel Advisory: Level 4 - The Department of State advises U.S. citizens to avoid all international travel due to the global…
1241027124972183554,2020-03-20 15:41:38,"RT @RV_Industry: RV industry pens letter to @VP Mike Pence, leader of the Coronavirus Task Force, with their plans to donate RVs to help ho…"
1241026721555664901,2020-03-20 15:40:02,RT @FLOTUS: https://t.co/w9jN0hKu7w
1240750954837872641,2020-03-19 21:24:14,"For the latest information about COVID-19 and steps Hoosiers can take to slow the spread of coronavirus and stay healthy, please visit https://t.co/i7pE7W7xh8."
1240750679792193540,2020-03-19 21:23:08,"My staff can be reached during normal business hours via phone at (574) 204-2645 or (202) 225-3915. Due to high call volume, I encourage Hoosiers to send questions or comments about federal legislation via email at https://t.co/fe9IzP6OMQ."
1240750612381347840,2020-03-19 21:22:52,Hoosiers can rest assured we will be working for them each and every day – with a particular focus on ensuring constituent services continue uninterrupted – and our staff can be reached by phone and online during normal business hours.
1240750544450392065,2020-03-19 21:22:36,"With our country facing an unprecedented crisis, all Americans must take action to slow the spread of coronavirus and keep our communities safe. In light of these circumstances, my staff in Indiana and our nation’s capital are currently working remotely. https://t.co/1Vn1UFGGcm"
1240744857049518080,2020-03-19 21:00:00,"I know many Hoosier families and workers are facing hardship due to the coronavirus crisis, and I’m working with my colleagues on new legislation to provide relief. If you have questions about unemployment insurance or need to apply for benefits, visit: https://t.co/PnR7qgw9QS"
1240725871087976450,2020-03-19 19:44:33,Hoosier small businesses facing challenges due to the coronavirus pandemic are now eligible to apply for low-interest @SBAgov disaster assistance loans. Learn more and submit an application here: https://t.co/NGPQ2V7LGA
1240676611432857600,2020-03-19 16:28:49,RT @WSBT: South Bend's mayor unveiled a new website that provides coronavirus information and resources for residents: https://t.co/rAEj6g5…
1240427110919004161,2020-03-18 23:57:23,RT @WaysandMeansGOP: The Administration is cutting red tape so healthcare providers can provide patients the services they need without pla…
1240385604212359168,2020-03-18 21:12:27,RT @housesciencegop: Learning at home doesn't mean missing out on #STEM. We've compiled resources from our scientific agencies with hundred…
1240382471176425472,2020-03-18 21:00:00,"Attention all Hoosiers! The threat of #coronavirus is real, and the next two weeks are critical. Keep yourself, your family, and your fellow Hoosiers healthy by following President Trump’s guidelines to slow the spread: https://t.co/E8dQK0V53D"
1240337171510431744,2020-03-18 18:00:00,"To help American working families during the #coronavirus emergency, @realDonaldTrump announced the IRS will allow taxpayers to delay payments up to 90 days without interest or penalties. Taxpayers who are able to are still encouraged to file by April 15.
https://t.co/XhkCGbBwGK"
1240306971238113282,2020-03-18 16:00:00,Understanding how #coronavirus spreads is key to slowing the spread of COVID-19. Help #flattenthecurve and keep yourself and your loved ones safe. https://t.co/9qkv6JSr32
1240278276800724992,2020-03-18 14:05:59,"Help #flattenthecurve by knowing the symptoms of COVID-19. If you or someone you know experience fever, cough, or shortness of breath, please contact your health care provider and county health department. https://t.co/6AxxErJMga"
1240275389127294976,2020-03-18 13:54:30,RT @HouseGOP: Are you doing your part to slow the spread of the coronavirus?👇 https://t.co/9UEf1WJbV2
1240029844232114176,2020-03-17 21:38:48,We all have a role to play in slowing the spread of #coronavirus by following President Trump’s guidelines. What are you and your family doing to #FlattenTheCurve? https://t.co/ApTbUrHS0A
1240028753402769409,2020-03-17 21:34:28,RT @Indiana_EDC: Are you a small business owner that has been or anticipates being impacted by the COVID-19 pandemic? Indiana SBDC is colle…
1240004121173921794,2020-03-17 19:56:35,"RT @WhiteHouse: NEW: Medicare will dramatically expand telehealth services in response to the Coronavirus.

Medicare patients can now visit…"
1239992204237692928,2020-03-17 19:09:14,"RT @Mike_Pence: All of our health experts agree, you do not need the results of Coronavirus testing to know what you should do. Every Ameri…"
1239921615653212160,2020-03-17 14:28:44,"RT @SocialSecurity: #BREAKING Due to #COVID19 pandemic, we are closing #SocialSecurity field offices to the public for in-person services,…"
1239757679205244930,2020-03-17 03:37:18,"RT @WhiteHouse: NEW guidelines:

🎒 Work and do school at home.

👥 Avoid gathering in groups.

🚗 Avoid discretionary travel.

🍔 Avoid bars,…"
1239724382278336513,2020-03-17 01:25:00,"I joined @sjchealth Deputy Health Officer Dr. Mark Fox to provide updates on the latest developments in our community regarding coronavirus and what Hoosiers like you can do to slow the spread of the virus and to keep yourself and others safe and healthy.
https://t.co/bIL4nGHmDo"
1239694062195802113,2020-03-16 23:24:31,"RT @WhiteHouse: Even if you are young or healthy, you are at risk of contracting or carrying #COVID19—and your activities can increase the…"
1239692287208194048,2020-03-16 23:17:28,RT @realDonaldTrump: https://t.co/tit0HdkE4e
1239692271244783617,2020-03-16 23:17:24,RT @realDonaldTrump: https://t.co/ZLmk41FA3H
1239604589260931075,2020-03-16 17:28:59,".@DHSgov has established enhanced entry screening capabilities at 13 airports. Americans, legal permanent residents, and their immediate families must travel through these designated airports when arriving home to the U.S.

https://t.co/qQPB7AkPvU"
1239598122361331714,2020-03-16 17:03:17,RT @CDCgov: Social distancing can help slow the spread of #COVID19 in affected communities. This means avoiding crowded places and maintain…
1239583260000358401,2020-03-16 16:04:14,"RT @StateHealthIN: Governor Eric Holcomb just announced additional steps to slow the spread of #COVID19.
 
The guidance covers
✅ New event…"
1239583208209035264,2020-03-16 16:04:01,"RT @GovHolcomb: ➡️Bars, nightclubs and restaurants are required to close to in-person patrons and may provide take-out and delivery service…"
1239583177401937922,2020-03-16 16:03:54,RT @GovHolcomb: ➡️Indiana will adhere to the Centers for Disease Control and Prevention for large events and mass gatherings. The guidance…
1239567203172786177,2020-03-16 15:00:25,RT @INbrightfutures: Child care is essential for many families facing extraordinary circumstances right now. @FSSAIndiana today offered add…
1239567074890076161,2020-03-16 14:59:55,"Hoosier families who need assistance finding or paying for child care can contact Brighter Futures Indiana or their local child care resource and referral agency by calling 800-299-1627.
https://t.co/pI4MUCHLg1"
1239362490313695232,2020-03-16 01:26:58,RT @CDCgov: Everyone has a role to play to reduce and slow transmission of #COVID19. Social distancing is one way to prevent the spread of…
1239362258632953857,2020-03-16 01:26:03,"RT @StateHealthIN: NEW toll free number for Indiana's COVID-19 Call Center - 877-826-0011! 

If you are calling with GENERAL QUESTIONS abou…"
1239361925571579904,2020-03-16 01:24:43,"RT @CDCgov: New: Starting immediately and for the next 8 weeks, CDC recommends cancelling all events of 50 or more people. Full recommendat…"
1238953780412059648,2020-03-14 22:22:54,"RT @StateHealthIN: Some Hoosiers are at a higher risk than others during this health emergency. If you are older, immunocompromised, or hav…"
1238949832716423168,2020-03-14 22:07:13,RT @realDonaldTrump: The @CDCgov has published guidelines on https://t.co/p9j7kZsD7b to enable every American to respond to this epidemic a…
1238696189844914177,2020-03-14 05:19:20,"Along with President Trump’s national emergency declaration, this bill ensures diagnostic testing is free for patients and will get vital resources to health care workers faster. https://t.co/f9qfvmxJoC"
1238696006323245056,2020-03-14 05:18:36,"Over the last days and weeks, I’ve been working constantly with federal, state, and local health officials to ensure those on the front lines have the tools and information they need to keep Hoosiers safe and healthy."
1238695816748990464,2020-03-14 05:17:51,"This bipartisan legislation will provide critical relief for working families impacted by coronavirus, including paid sick leave and nutrition assistance for low-income households with children whose schools are closed."
1238695713070034944,2020-03-14 05:17:26,"As a country, we’re stronger when we work together. Congress and the Trump administration are putting politics aside and putting American families first. #coronavirus https://t.co/f9qfvmxJoC"
1238673776184827904,2020-03-14 03:50:16,"RT @WhiteHouse: ""We'll remove or eliminate every obstacle necessary to deliver our people the care that they need and that they're entitled…"
1238656671884496897,2020-03-14 02:42:18,"RT @realDonaldTrump: It is my great honor to declare Sunday, March 15th as a National Day of Prayer. We are a Country that, throughout our…"
1238506356090572800,2020-03-13 16:45:00,".@StateDept issued a Global Level 3 Health Advisory and is advising all U.S. citizens to reconsider travel abroad due to #coronavirus. If you or someone you know is abroad and needs assistance returning to the U.S., please contact my office or click here: https://t.co/fts4us1V6U"
1238481464817266689,2020-03-13 15:06:05,"RT @CDCgov: Our #COVID19 Twitter Q&amp;A with CDC’s Deputy Director for Infectious Diseases, Dr. Jay Butler, starts now:
 #askCDC"
1238480445916024832,2020-03-13 15:02:02,If you own a small business and your operations are being affected by #coronavirus you may be able to get assistance from @SBAgov. More info here: https://t.co/j7Ti9CeCAR
1238225990620495878,2020-03-12 22:10:55,"RT @WaysandMeansGOP: Under the leadership of @realDonaldTrump, here’s what @HouseGOP has done to protect patients and families from #corona…"
1237926702258536449,2020-03-12 02:21:40,"@GovHolcomb @StateHealthIN @realDonaldTrump It is more important than ever that Hoosiers continue taking simple but important precautions: wash your hands frequently, avoid touching your eyes, nose, and mouth, and stay home if you are sick. https://t.co/FETZmDFf8g"
1237926387312451584,2020-03-12 02:20:24,@GovHolcomb @StateHealthIN As President @realDonaldTrump told the nation tonight: We’re all in this together. I look forward to working with the president to keep our economy on track and ensure American workers and families continue to thrive.
1237926176275996673,2020-03-12 02:19:34,.@GovHolcomb and @StateHealthIN Commissioner Dr. Kris Box are doing a phenomenal job coordinating our state’s response and making sure communities across Indiana are ready to confront coronavirus.
1237925866749014016,2020-03-12 02:18:20,"The arrival of coronavirus in our community is a development our public health authorities and health care workers have been preparing for, and I’m confident they are doing everything possible to protect Hoosiers. https://t.co/4ktXEJu9kv"
1237868326065299465,2020-03-11 22:29:42,"We can all agree that even one American child in poverty is one too many. Moving forward we need to find ways to better target funding, improve state accountability, and strengthen the focus on reducing child poverty. @WaysandMeansGOP

https://t.co/C4cjwJ2a7u"
1237798714351198208,2020-03-11 17:53:05,"As the daughter of a firefighter, it was such an honor to meet with Hoosiers from @PFFUI this week. I had a chance to hear about their priorities and thank them for their courage and selfless commitment to keeping our communities safe. https://t.co/TSV459zeHe"
1237734829560680448,2020-03-11 13:39:14,Proud to cosponsor the Home Health Care Planning and Improvement Act and the Promoting Access to Diabetic Shoes Act and look forward to continuing to work with organizations like the @AANP_NEWS to improve care for patients. https://t.co/5OtvscfJss
1237437760518135809,2020-03-10 17:58:47,".@indiana_sna works hard each day to ensure children across our state have what they need to put their best foot forward, including healthy meals at school. Thanks to all for stopping by today! https://t.co/RDVa84iwUo"
1237389440105869313,2020-03-10 14:46:46,"Attention 2nd District high school students! You can now enter the 2020 Congressional Art Competition, an opportunity to showcase your hard work, creativity, and enthusiasm for art. More details at https://t.co/Zy1rXn6qtW."
1237075679247826951,2020-03-09 18:00:00,"Here’s how to get answers to your coronavirus questions and find out how to keep yourself, your family, and your fellow Hoosiers healthy and safe: https://t.co/i7pE7W7xh8"
1237000185479380992,2020-03-09 13:00:01,I’m working to ensure officials and providers in Indiana have the tools and information they need to protect our communities. You can find updates here: https://t.co/i7pE7W7xh8. https://t.co/Ps0B8d2IPR
1236667995226804226,2020-03-08 15:00:00,"While the immediate health risk to Hoosiers remains low, you should learn about coronavirus symptoms and how to prevent illness from spreading: https://t.co/NbUAcBx8R0 https://t.co/6uZ0Nv7Acu"
1236366002557878272,2020-03-07 19:00:00,"Congress and the Trump administration are working together to ensure seamless coordination among federal agencies and state and local authorities. For updates, visit https://t.co/h8Spc34ivJ."
1236305607000539138,2020-03-07 15:00:00,Find the resources and updates you and your family need to stay informed about coronavirus: https://t.co/lFIZopgIdC
1236008059887120384,2020-03-06 19:17:40,RT @GovHolcomb: Today I declared a public health emergency that calls on state agencies to continue their diligence and cooperation in resp…
1235954762480332800,2020-03-06 15:45:52,"RT @StateHealthIN: Indiana is trained and ready if #COVID19 arrives. 
Read more: https://t.co/FECXJqoxTz 
Sign up for updates here: https:/…"
1235946572522893312,2020-03-06 15:13:20,"The February #jobsreport shows impressive wins for Hoosiers. With 273,000 jobs added, wages up 3% from a year earlier, and unemployment still at 50-year lows, it’s clear our strong economy is keeping the American Dream alive.  

https://t.co/iScaEOTYyC"
