id,created_at,text
1247318362088181760,2020-04-07 00:20:46,"My heart breaks for the nation’s physicians, nurses, and other health-care workers who are putting their lives on the line every day for us, and also overflowing with gratitude. Please retweet with a thank you to them. #COVID19"
1247271662187352064,2020-04-06 21:15:12,"Click here for a handy guide on how to make your own face mask, sewing skills not required. #COVID19 
https://t.co/H1Mx3aFxrx"
1247222056929898498,2020-04-06 17:58:05,"RT @RadioFreeTom: Well, there’s a chyron for you. https://t.co/Uq4ViGi18y"
1247193708317093900,2020-04-06 16:05:26,"The #COVID-19 pandemic has forced many businesses to make difficult decisions about how to spend limited funds. If you have questions about paying rent and how Florida’s eviction and foreclosure moratorium affects you, read this helpful article: https://t.co/K7fki8JeoU."
1247165123179040769,2020-04-06 14:11:51,Please make sure your children are distance learning during the #COVID19 pandemic. Attendance will be taken! https://t.co/BKR1QfmpCS
1247163555293597696,2020-04-06 14:05:37,"ICYMI: #COVID19 
https://t.co/dHdbT9bgNw"
1246832817310437376,2020-04-05 16:11:23,Don’t let the ongoing COVID-19 crisis keep you from exercising your right to vote! Sign up to receive a ballot in the mail for every election through 2022. https://t.co/zuF85Z8UvH
1246788177018474496,2020-04-05 13:14:00,"Grateful to have the support of my colleagues, like @RepAlGreen
 and @RepJeffries, for the #BringBackOurGirls movement. https://t.co/NUNvHvpUOy"
1246499871659565061,2020-04-04 18:08:22,"Thank you, @RepJahanaHayes, for joining the fight to #BringBackOurGirls. https://t.co/GQB8G8ND4m"
1246213623124557824,2020-04-03 23:10:55,"Save the Date: Thursday, April 9, I'm hosting a telephone town hall to answer your questions about #COVID-19, how to keep our community safe &amp; resources to mitigate the virus’s impact. Other topics include #2020Census and voting by mail. Visit https://t.co/uD82ZtxcKR to sign up. https://t.co/MXvtcfcYSG"
1246180833297383433,2020-04-03 21:00:38,"This is shockingly reprehensible. The Strategic National Stockpile is the property of the American people, tens of thousands of whom could die without these life-saving resources and supplies. #COVID19 #SMH

https://t.co/O2ufPuMQ4t"
1246114924641882114,2020-04-03 16:38:44,"The #ChibokGirls are our girls, too. We must #BringBackOurGirls. https://t.co/sV34J4fdXZ"
1246076702083743744,2020-04-03 14:06:51,"This so NOT okay! #COVID19 
https://t.co/SFSSmUlOGz"
1245894702282530816,2020-04-03 02:03:39,The coronavirus pandemic has caused unemployment rates to skyrocket but luckily many companies are still hiring! Visit https://t.co/bvtijGjaRR for more information about employment opportunities in our community. https://t.co/fQG5Qpt0LP
1245803171429126145,2020-04-02 19:59:56,Voting by mail is the best way to preserve the integrity of our elections. I have asked @GovRonDeSantis to put in place a universal vote-by-mail system in our state and set an example for the nation. https://t.co/stsW0g3dDf
1245803081100603400,2020-04-02 19:59:35,"During times like this, no one should have to worry about putting food on the table. That’s why I’m calling on USDA’s @SecretarySonny to approve disaster food benefits for Florida. https://t.co/TfEpbpWPNI"
1245719292609548288,2020-04-02 14:26:38,"For almost six years, 112 families have been hoping and praying—and fearing the worst. #BringBackOurGirls https://t.co/OTyC1xcBRx"
