id,created_at,text
1247233307189874690,2020-04-06 18:42:47,"RT @TheBlackCaucus: To all of our delivery workers on the frontlines, thank you for your service.

#USPS #FedEx #UPS #DHL #delivery https:/…"
1247181852915445763,2020-04-06 15:18:19,Join me tonight for the remote learning telephone town hall. ⬇️ https://t.co/vnJI1ngnGL
1246599091246764032,2020-04-05 00:42:38,"RT @TheBlackCaucus: 52 years ago today, Dr. Martin Luther King, Jr. was fatally shot while standing on the balcony outside his second-story…"
1246435389994401792,2020-04-04 13:52:09,"RT @NYCMayor: To every doctor, nurse and health care professional: we need you.

https://t.co/Ahza9sLZt9 #AskMyMayor https://t.co/W1ibVgk9k9"
1246235215783251969,2020-04-04 00:36:44,NYCHA FAMILIES: https://t.co/zQLjAiXtbQ
1246206547769901056,2020-04-03 22:42:49,"🚨 BROOKLYN PARENTS: Join me, @JRosenworcel, @MarkTreyger718 &amp; NYC educators for a tele town hall to aid you in navigating remote learning while schools are closed due to #COVIDー19. 

Email teamclarke09@gmail.com to submit your questions. 🙏🏾 #FlattenTheCurve #BrooklynStandUp https://t.co/24ocdXhQ9w"
1246174896679510018,2020-04-03 20:37:02,My heart goes out to @NYCComptroller on the passing of his mother from coronavirus. Prayers to him and his family. 🙏🏾 https://t.co/U2A4SK6G1J
1246149686911807491,2020-04-03 18:56:52,"This pandemic is ruthless. @NYCMayor is right— we should come together and ask every available private doctor, nurse and essential health care worker to fight in this war. Our health care workers are true heroes. https://t.co/t3BbYMMZ0c"
1246137642070269958,2020-04-03 18:09:00,"This week I joined @RepHarley on a letter to the @FCC and @TheJusticeDepart to combat the spread of misinformaiton through illegal robocalls during the COVID-19 pandemic. We must fight to protect the American people during this crisis, especially our seniors. https://t.co/ki5uWcERPh"
1246097476932829184,2020-04-03 15:29:24,"Free grab-and-go meals are now available to ANYBODY who wants one at over 400 locations around the city. Meals are available Mon-Fri, 7:30am-1:30pm.
 
Click this link to find a pick-up location near you: https://t.co/duzysSSC2z"
1246084307589840898,2020-04-03 14:37:04,Democrats are working to put #FamiliesFirst as we confront the coronavirus. Learn more about the resources available to you and your family in this toolkit: https://t.co/V59fVxeODQ
1245826527234834434,2020-04-02 21:32:45,"I stand with our LGBTQ+ friends because never is it an appropriate time to weaponize someone’s sexual orientation, especially during a crisis. https://t.co/z3XmDuTMLz"
1245799702874017792,2020-04-02 19:46:09,"The City’s Employee Retention Grant Program will officially stop accepting applications tomorrow, Friday, April 3, 2020, at 5 p.m. More details, including how to apply, here: https://t.co/Yf6A63Sp12"
1245769409756565506,2020-04-02 17:45:47,#SocialDistancing doesn’t mean you can’t claim your tax refund. #IRSFreeFile offers people who made $69K or less in 2019 tax software to do their taxes from a home computer or mobile device. Get started at https://t.co/rP4xbIXKJk #IRS
1245760553961881602,2020-04-02 17:10:35,"RT @nycHealthy: Help slow the spread of #COVID19: Wash your hands, cover your coughs and sneezes and clean frequently touched surfaces ofte…"
1245739348596871176,2020-04-02 15:46:20,"Even in the midst of a global #pandemic, 45 and his administration are moving forward with plans that will increase air pollution from vehicles, especially in vulnerable urban communities. This is putting profits over people’s health, plain and simple.https://t.co/Nbg4vz8XH9"
1245731985705877504,2020-04-02 15:17:04,This is a stressful time for New Yorkers.  Resources are available for New Yorkers by contacting 1-888-NYC-WELL or Texting “WELL” to 65173.  For more information visit: https://t.co/wed7qI3VKS
1245720801321652225,2020-04-02 14:32:38,"RT @NYCImmigrants: To anyone who is undocumented and needs healthcare, we will not turn you away. Your immigration status or ability to pay…"
1245718854246031360,2020-04-02 14:24:53,"An independent, bipartisan, Congressionally-chartered commission to produce a full and complete accounting of the nation’s preparedness and response to the novel coronavirus pandemic is critical. I am proud to cosponsor this important legislation. https://t.co/5WzBxlRhxB"
1245481041667731458,2020-04-01 22:39:54,"RT @BPEricAdams: Want to help ensure Brooklyn gets its fair share of resources, including health care resources? We need you to fill out th…"
1245471409914163205,2020-04-01 22:01:38,FACT: Legal protections ensure that data collected during the #Census is kept confidential and cannot be traced back to any individual. Census data CANNOT be shared with other govt agencies or outside groups. Fill yours out today at https://t.co/Kt4XJrPP7i. #Census2020 #CensusDay https://t.co/sy2K0fB9hg
1245437577299140612,2020-04-01 19:47:12,RT @IRSnews: #IRS reminds you that criminals often take advantage of people wishing to help victims in times of crisis. Stay alert during t…
1245434214704701446,2020-04-01 19:33:50,"Everyday heroes like our postal workers are braving #COVID to make sure the essential businesses in our lives are still humming, including United States mail. I along w/9 NY MOC are asking the Postmaster General to immediately address safety concerns USPS workers are facing. https://t.co/WV6HWc10ht"
1245417771888005121,2020-04-01 18:28:30,".@iamcardib knows what's up: ""The census is about money power and respect for our communities."" 

Let's #MakeBrooklynCount--fill out your #2020Census today! #CensusDay 

https://t.co/Sb2ymytCnJ"
1245409096012124161,2020-04-01 17:54:01,RT @uscensusbureau: Today is Census Day! Help us spread the word about the importance of the #2020Census. Make this image your profile pict…
1245080912108367874,2020-03-31 20:09:56,"Every day someone in our community is assisted by @redcrossny. For more than 100 years, the Red Cross has lifted our community up during the darkest of moments.
Thank you to the #RedCross volunteers in #NY09 for your dedicated service. 🙏🏾"
1244734203629129730,2020-03-30 21:12:14,"RT @NYGovCuomo: I am asking healthcare workers across the country:

If things are not urgent in your own community, please come to New York…"
1244708693930893313,2020-03-30 19:30:52,"Thank you-thank you-THANK YOU to our health care providers and health care workers on this #NationalDoctorsDay and every day for your service. You are true heroes. 

🙏🏾

🙏🏾

🙏🏾

Thank you."
1244701589027332097,2020-03-30 19:02:38,Wishing my friend @NydiaVelazquez a complete and speedy recovery. 🙏🏾 https://t.co/6PcaLj5xKa
1244686583003074565,2020-03-30 18:03:01,Many in Central &amp; South #Brooklyn are concerned about the capacity of our hospitals right now.  Do your part and fill out the #2020Census TODAY so lawmakers know how much $ to set aside for critical services like hospitals and health care in the future. https://t.co/Kt4XJrPP7i
1244668032213028864,2020-03-30 16:49:18,"RT @NYGovCuomo: The president approved four new sites for new temporary medical facilities.

We toured them all yesterday.

The sites will…"
1244395065117683714,2020-03-29 22:44:37,"Your Sunday reminder to STAY HOME! 

#SocialDistancing saves lives."
1244290419560718337,2020-03-29 15:48:48,"RT @CDCgov: Domestic Travel Advisory: Due to extensive community transmission of #COVID19 in New York, New Jersey, and Connecticut, CDC urg…"
1243979336040026113,2020-03-28 19:12:40,"My district is the hardest hit by #COVID19 in BK, but we are prayerful in these uncertain times. 🙏🏾

#NY09’s own ⁦⁦@sunydownstate⁩ is now a COVID-19 only hospital and I’m grateful for the medical professionals whose sacrifices have saved lives. https://t.co/BlrEVTy6TQ"
1243941094854983680,2020-03-28 16:40:42,"I called for 45 to stop making this virus about the 1% and to move forward with the Defense Production Act. He’s finally put this imperative legislation in motion.

True leadership is putting the people you pledged an oath to serve FIRST.  https://t.co/BLASG54tCF"
1243617169306456064,2020-03-27 19:13:33,"The House passing the #CARESact today means constituents in NY-09 &amp; Americans across the country will receive some much needed help during this #pandemic. 

Although it is not a perfect bill, it is necessary. In the face of the virus we cannot wait. https://t.co/3XtNnxG6aW"
1243610846724571141,2020-03-27 18:48:25,"Thank you to the heroes for their selfless sacrifice during this time--our health care workers, first responders, transit workers, grocers, pharmacists, educators and those tending to the needs of our children and most vulnerable. THANK YOU. 

#COVID19 #coronavirus #pandemic"
1243606217802407936,2020-03-27 18:30:02,"NY State COVID-19 Emotional Support Helpline: 844-863-9314

Relaxation hotline: 718-920-2256 (meditation, relaxing music, breathing exercises, etc.)"
1243603599118262272,2020-03-27 18:19:37,"True to form, Donald Trump says one thing and does another. I’m co-sponsoring the Medical Supply Chain Emergency Act to force the President to follow through with the #DefenseProductionActNOW. Our #COVID19 frontline responders can’t go any longer without the supplies they need."
1243584095390765059,2020-03-27 17:02:07,"I wouldn't have supported the CARES Act if there was a Democratic President &amp; Senate, but I must act now to protect my constituents. I'm proud of the positive changes @HouseDemocrats secured in this package and now we must do what’s best for all Americans in the face of #COVID19. https://t.co/zlod0UowdS"
1243533242151600128,2020-03-27 13:40:03,"If you believe an employer is violating COVID19 related labor laws, call 311 &amp; say ""Paid Safe and Sick Leave"" or visit https://t.co/V6IYZSlNQW"
1243317934673539072,2020-03-26 23:24:30,Happy birthday to our fearless leader @SpeakerPelosi! I’m proud to have a Speaker we can depend on and who always has the best interest of the American people at heart- even in times of crisis.
