id,created_at,text
1247259399657345025,2020-04-06 20:26:28,Praying for and wishing the best for @BorisJohnson
1247236718606069762,2020-04-06 18:56:20,There is a clear link between unsanitary 'wet markets' and the creation of novel diseases like #COVID-19. The Chinese Communist Party must change course and implement safer food practices now. https://t.co/qMaQf79AAO
1247188053304762372,2020-04-06 15:42:58,"RT @AlfaFarmers: Keep on keeping on. #StillFarming

Credit: Autauga Farming Co., Autauga County https://t.co/qsPVFpIP2w"
1246450337843642368,2020-04-04 14:51:33,"Thank you to those working at our local grocery stores and drug stores.  I know these stores are very busy and hectic right now. So, please thank these folks when you go to do your shopping. https://t.co/rDGYbxpKaA via @YouTube"
1246224916921364480,2020-04-03 23:55:48,"RT @CBSNews: WWII veteran recovers from coronavirus just in time for 104th birthday: ""I made it"" https://t.co/tlOQzPRglD https://t.co/9yWKp…"
1246186281274675200,2020-04-03 21:22:17,"RT @GovernorKayIvey: You CAN still go get groceries &amp; medicines.  You’re ENCOURAGED to still order food out from your favorite restaurants,…"
1246159883877130252,2020-04-03 19:37:23,We are aware of the problems many local banks are having with the PPP portal.  I’ve spoken directly with many of you. We are reaching out to the Treasury Department to see that this is corrected as soon as possible.
1246062805704421378,2020-04-03 13:11:38,"Thank You Postal Workers, UPS, FedEx employees https://t.co/R17YWnWl6i via @YouTube"
1245795346791440387,2020-04-02 19:28:51,My website has a section dedicated to Coronavirus related Frequently Asked Questions.   There is a lot of useful information there.   https://t.co/YsFuSYFGzx
1245707166109048833,2020-04-02 13:38:27,"RT @yhn: .@MarshaBlackburn touts Huntsville’s HudsonAlpha, Redstone Arsenal roles in bringing pharmaceutical manufacturing back to U.S. 
By…"
1245434162070335488,2020-04-01 19:33:37,"RT @GovernorKayIvey: Thank you, John Parker! #ALcounts https://t.co/EA6HiMu2Lo"
1245433712315109388,2020-04-01 19:31:50,"RT @GovernorKayIvey: I’m excited to participate in @Twitter’s #AskTheGov project tomorrow! 

I’ll be hosting a live Q&amp;A from 12 to 1 p.m. ⏰…"
1245415307575013376,2020-04-01 18:18:42,"Filling out the Census is a lot easier than it was in 1920.  Take some time to fill our your census form, online, by phone or mail. @uscensusbureau @AlabamaCounts  #2020Census 
 https://t.co/AOupPiA5sq via @YouTube"
1245372718054281217,2020-04-01 15:29:28,"RT @GovernorKayIvey: #COVID19 has disrupted life as we know it, including the critical economic role played by AL small businesses. I urge…"
1245322579705049088,2020-04-01 12:10:14,"Happy Census Day!

Census Day is important, because whenever you complete your #2020Census, you should count everyone living (or sleeping) in your home most of the time as of April 1—whether you are related to them or not. Respond now at https://t.co/MitVaCYRSz. @AlabamaCounts https://t.co/Cot25b9F7t"
1245100651060879360,2020-03-31 21:28:22,What does “Safer at Home” mean for Alabama? @ALPublicHealth has great information to help answer frequently asked questions. https://t.co/9fcptN0KCP
1245096591800795142,2020-03-31 21:12:14,Joining me in the Alabama delegation to sign on to this letter are @RepMoBrooks and @RepTerriSewell Thank you.
1245091239143395333,2020-03-31 20:50:58,Today I joined other members of Congress in sending a letter to @HHSGOV to ask for the exact type of testing mentioned in this story from @CBSSUNDAY @CBSNEWS https://t.co/riE63iZBlR via @YouTube
1245017485788807169,2020-03-31 15:57:54,RT @yhn: .@Robert_Aderholt: Alabama ‘holding our own quite well’ through coronavirus — Predicts state economy will ‘hit the ground running’…
1245011332468019200,2020-03-31 15:33:27,"RT @HouseGOP: We’re thankful for the hardworking Capitol Police officers, custodians, IT and support staff, and others on Capitol Hill who…"
1245007101698740225,2020-03-31 15:16:38,"RT @GovernorKayIvey: Availability of high-speed internet has always been vital, but #COVID19 has magnified just how imperative it is that a…"
1244701704286883840,2020-03-30 19:03:06,"RT @jeff_poor: Today on The @JeffPoorShow on Huntsville's 92.5FM/770AM @WVNN (all times CT):

2:30 pm

U.S. Rep. @Robert_Aderholt

3:30 pm…"
1244688732302856192,2020-03-30 18:11:33,"Rural hospitals are in dire need of financial relief. I am urging @SecAzar to prioritize immediate funding for rural hospitals with the money we designated HHS on Friday. Secretary Azar, please put HHS to work to save these hospitals. https://t.co/S1GpWBHDbZ"
1244651796418768896,2020-03-30 15:44:47,Thank you doctors for all you are doing right now.  You are part of the foot soldiers in this current war we are fighting. #NationalDoctorsDay https://t.co/PgWwXBQzKk
1244618546321207296,2020-03-30 13:32:39,"Red Land Cotton in Lawrence County, known for their sheets made with Alabama grown cotton, is now also making masks for healthcare professionals.  Thank you for stepping up to help during this current COVID-19 situation.  https://t.co/ZW1hQhX05b via @YouTube"
1243935155510743041,2020-03-28 16:17:06,"@FunkafideFilth @AlfaFarmers @YouTube Chicken, beef, milk, sweet potatoes, wheat, soybeans, peanuts, corn, tomatoes and on and on."
1243933067431088129,2020-03-28 16:08:49,"People are working hard to keep the grocery stores stocked with food, but that food starts with farmers. Thank you for all you're doing! @alfafarmers https://t.co/zj14PpgUGd via @YouTube"
1243642950191656960,2020-03-27 20:55:59,"Now that @realDonaldTrump has signed the 3rd Coronavirus stimulus bill into law, help will start to flow to millions of Americans.  And @GOPLeader Kevin McCarthy was absolutely instrumental in guiding this bill through Congress.  Thank you!"
1243641645159104516,2020-03-27 20:50:48,A big thank you to @RepKayGranger for all the work she and her staff did on the @HouseAppropsGOP committee on guiding this 3rd stimulus bill through the House.  These efforts will soon bring real help to millions of Americans.
1243635972195188738,2020-03-27 20:28:16,"RT @GovernorKayIvey: Clarification Update:

The amount of funding for our state has not yet been reached; however, we appreciate @Robert_Ad…"
1243631662585569281,2020-03-27 20:11:08,RT @GovernorKayIvey: Thank you @Robert_Aderholt for advocating for broadband funding to be included in the CARES ACT. Increasing broadband…
1243622364581150731,2020-03-27 19:34:11,RT @GOPLeader: @HouseAppropsGOP @Robert_Aderholt Rep. @Robert_Aderholt has long been a champion for rural broadband. He saw right away the…
1243614328944832513,2020-03-27 19:02:15,"RT @GovernorKayIvey: While practicing social distancing, I want to encourage you to support your local restaurants by ordering in or pickin…"
1243603767783759873,2020-03-27 18:20:17,RT @HouseAppropsGOP: Rep. @Robert_Aderholt was laser-focused on ensuring that Congress ramped up funding for rural broadband to help rural…
1243587293694263296,2020-03-27 17:14:50,I’m back in Washington waiting to vote on the phase 3 stimulus. https://t.co/K6hh79kE39
1243509184487923712,2020-03-27 12:04:27,I have been fighting for the past several years to increase access to broadband internet to rural America. I’m proud to say this 3rd stimulus includes hundreds of millions to make sure people in these areas are never cutoff from telehealth or distance learning again. https://t.co/h3Hrbqcbr9
1243290267853168641,2020-03-26 21:34:33,"I'm sorry that Alabama students will not be going back to class, especially for seniors who've had their final year disrupted.  But, these are difficult times and require difficult solutions."
1242934297184686081,2020-03-25 22:00:03,I'm very sorry to hear of this first Coronavirus related death in Alabama.  I know this person's family must be going through a very difficult time.  https://t.co/0PDHOdr8DR
1242873321181655049,2020-03-25 17:57:45,"RT @AlfaFarmers: From sunup to sundown, farmers are working for YOU.

And that hard work resulted in Alabama farmers selling $5.98 billion…"
1242826874113359877,2020-03-25 14:53:12,"With all of the kids home from school, we thought they might enjoy some House Mouse, Senate Mouse.  https://t.co/SIRvYoFt6x"
1242549414725652481,2020-03-24 20:30:40,"As you make plans for dinner tonight, you might want to call a local restaurant and order something to pickup or go through a local drive-thru like we did at lunch today."
1242549411571552257,2020-03-24 20:30:39,"In order to support local restaurants and to make sure there is work for restaurant workers, whether they work for a locally owned business or chain, this Takeout Tuesday is also known as the Great American Takeout.  #GreatAmericanTakeout https://t.co/nyDlrCQgN4"
