id,created_at,text
1247247311845167104,2020-04-06 19:38:26,Attention Small Business Owners: The Paycheck Protection Program went live last Friday and the @SBAgov now has a loan provider search tool to get you started: https://t.co/nEJKe4tOiS
1247246658477477888,2020-04-06 19:35:50,"RT @SBAgov: The #CARESAct has established new programs to help small businesses impacted by #COVID19 including:
1️⃣ Paycheck Protection Pro…"
1247165136839872512,2020-04-06 14:11:54,We've assisted many constituents with #COVID19 international travel issues. We're working with the @StateDept to get Dr. Orakzai and several other constituents home in a difficult environment. https://t.co/m3kzYkotga
1246165350598750209,2020-04-03 19:59:06,"I’ve asked Governor Pritzker to consider them when administering this federal funding. While we hear more about larger cities, our small towns and cities are struggling too."
1246165348958842883,2020-04-03 19:59:06,"Like many of the people living in them, #IL13 small towns &amp; cities are struggling financially because of Coronavirus. In addition to helping the American people, Congress also passed funding to help our small towns &amp; cities. https://t.co/YBICXcFfWx"
1246124996537221123,2020-04-03 17:18:45,"RT @MikeMiletichTV: ""The only way this country is going to get the answers we need is if create a true bipartisan commission and this bill…"
1246124822452736000,2020-04-03 17:18:04,"While our focus now is helping Americans through this pandemic, we're going to need to look at our response, without finger pointing or politics. The only way this country gets answers is if we create a true, bipartisan commission like this bill does. https://t.co/AUsPzf2N1G"
1246074977507557376,2020-04-03 14:00:00,https://t.co/p1mBe2KINp
1245895803182473218,2020-04-03 02:08:01,"Thanks to @Chegg CEO, who already offers this benefit to their employees, for the shoutout on @CNBC. 
The #CARESAct:
✅Defers student loan payments until Sept. 30
✅Delays interest on student loans for six months
✅Allows for businesses to offer a tax-free student loan payment"
1245895801118896130,2020-04-03 02:08:01,"Student loan debt is now the 2nd highest form of consumer debt. The #CARESAct did 3 major things to help people with student debt right now, including a temporary version of my bill (HR 1043) to allow employers to help pay student debt. https://t.co/H12GeXBouK"
1245801881710071809,2020-04-02 19:54:49,RT @IRSnews: DYK what to do if you receive a scam phone call from someone pretending to the #IRS? Hang up and report it! Stay ahead of scam…
1245731553289875456,2020-04-02 15:15:21,https://t.co/fFhrp7TWA7
1245697493284855813,2020-04-02 13:00:00,"ICYMI: Decatur to receive $834,287 in federal relief money https://t.co/ecyfiIy4IB via @heraldandreview"
1245501197089472513,2020-04-02 00:00:00,"ICYMI: Bloomington-Normal, others get coronavirus funding through federal relief money https://t.co/4QrQhwRPDr via @pantagraph"
