id,created_at,text
1247336214870593537,2020-04-07 01:31:42,Republicans are willing to put voters’ lives at risk because they don’t think they can win a fair election. https://t.co/qVDrNDDzHi
1247253131865608193,2020-04-06 20:01:34,Reminder that states wouldn't have to choose between their elections and their health if the Senate passed my bill with @SenAmyKlobuchar to implement #VoteByMail through November. https://t.co/D9Gi90wpHm
1247222502339891202,2020-04-06 17:59:51,"Instead of helping the millions of workers filing for unemployment every week and the thousands of small businesses nationwide that are closing their doors forever, the Trump administration wants to give (another) tax cut to the mega-rich. https://t.co/CNMf3VEKpd"
1247163703595843586,2020-04-06 14:06:12,We are 211 days away from the 2020 election and Mitch McConnell is still refusing to expand #VoteByMail through November so that Americans won’t be forced to choose between their health and exercising their constitutional right to vote. https://t.co/cHwQx8nM21
1246875473738489856,2020-04-05 19:00:53,"Glad our delegation’s bipartisan work with @OregonGovBrown, @OregonOEM &amp; Eastern Oregon leaders produced much-needed flood relief funds for @UmatillaCounty and the region:
https://t.co/bUdUk2ltHd"
1246858608177868801,2020-04-05 17:53:52,"If you know other #OregonWay stories that should be highlighted during the #COVID19 public health crisis, please share in the “replies.”"
1246858508831567874,2020-04-05 17:53:28,Eastern Oregon’s #OrHealthCareHeroes include everybody providing telehealth and curbside service in Wallowa County: https://t.co/qxRnFritDL
1246858303839166464,2020-04-05 17:52:39,Among the standout #ORHealthCareHeroes are @choo_ek &amp; @DrValGriffeth with the #GetMePPE movement: https://t.co/D4G4QFKZCj
1246858106279084032,2020-04-05 17:51:52,Thanks to @OregonState for producing critical #COVID19 test materials that Oregon hospitals need: https://t.co/jrsM73Xbnr
1246857988800786436,2020-04-05 17:51:24,Teamwork is alive and well in Lane County with @Foodforlc partnering with local restaurants to expand a mobile pantry helping to feed people experiencing homelessness: https://t.co/ijqvzhkQp4
1246857733472575488,2020-04-05 17:50:23,"The @umatillaschools &amp; @HeidiWhiteSipe are getting chromebooks, school supplies and food to students &amp; their families as well as arranging for internet access close to students’ homes: https://t.co/fDLzgNfeZE"
1246857405750587392,2020-04-05 17:49:05,"While the #COVID19 battle is round-the-clock business, let’s also take a moment to thank Oregonians putting the #OregonWay into practice by working &amp; volunteering to help their communities during this public health crisis."
1246499077602398209,2020-04-04 18:05:13,ICYMI: https://t.co/bQClAKUDVA
1246499071138947075,2020-04-04 18:05:12,Millions of Americans across the country vote by mail. Donald Trump himself will be using #VoteByMail to vote in the November election. This double standard will put American lives — and our elections — at risk. https://t.co/4DbYb7TIzA
