id,created_at,text
1247291761476669447,2020-04-06 22:35:04,"With the resources announced today, Missouri has received over $13 million through @CDCgov to fight this pandemic. I’ll keep working closely with federal, state, and local officials to ensure our communities have more tools to save lives and limit the spread of this disease."
1247291760377806853,2020-04-06 22:35:03,".@CDCGov just announced that Missouri will receive an additional $3.9 million for coronavirus response efforts. This funding will be used to purchase medical equipment, improve testing, help hospitals meet staffing needs, and more."
1247277111389425670,2020-04-06 21:36:51,RT @SBAgov: 🔖 BOOKMARK THIS: Information about all of SBA's #COVID19 resources in one place. 👇
1247277050311970816,2020-04-06 21:36:36,"If small businesses use #PaycheckProtectionProgram for payroll, mortgage interest, rent, and utilities, that portion of the loan will be forgiven. More info here: https://t.co/vsALFQx2kW"
1247217965134761987,2020-04-06 17:41:49,"Independence residents – the Independence Medical Reserve Team #COVID19 hotline is (816) 325-7033
https://t.co/AS8SRZdAdg"
1247170022776156160,2020-04-06 14:31:19,"RT @GovParsonMO: Today begins the ""Stay Home Missouri"" statewide order until Friday, April 24, 2020.

This is not about any one individual…"
1246173124976168962,2020-04-03 20:30:00,The #PaycheckProtectionProgram is designed to keep small businesses open and workers on the payroll. Learn more here: https://t.co/rm2IhfUL72
1246160023799107585,2020-04-03 19:37:56,RT @KMOV: Iron County florist closes up shop and turns to making masks to help neighbors https://t.co/EHE7FMU9zO #KMOV https://t.co/bGp5Rlt…
1246159963812237312,2020-04-03 19:37:42,RT @GovParsonMO: I cannot emphasize enough how important it is for all citizens to practice social distancing and abide by this - the more…
1246156697007243264,2020-04-03 19:24:43,"Are you eligible to apply for the #PaycheckProtectionProgram? If you are, go to @SBAgov to apply: https://t.co/gNDrDqcbuv https://t.co/RS2uM0WZHz"
1246101590668443648,2020-04-03 15:45:45,RT @AGEricSchmitt: AG Schmitt and @MOHospitals are urging Missourians not to hoard medical supplies to ensure that those on the frontlines…
1246100317479059463,2020-04-03 15:40:41,TODAY is the first day small businesses can apply for the #PaycheckProtectionProgram. The Paycheck Protection Program provides small businesses with funds to pay up to 8 weeks of payroll costs including benefits. Click here for more information &amp; to apply: https://t.co/gNDrDqcbuv https://t.co/WiDXFEhadN
1245803032245202944,2020-04-02 19:59:23,RT @kq2: Staff said they wanted to do their part to make it easier for those on the frontlines of the crisis. https://t.co/JrPY9DKks2
1245802982010224640,2020-04-02 19:59:11,RT @kmbc: Big Brothers Big Sisters makes adjustments during pandemic https://t.co/bWZlCq2TXN
1245802935759572992,2020-04-02 19:59:00,"RT @KCTV5: MUST WATCH: 10-year-old Lee’s Summit kid gets birthday surprise
MORE: https://t.co/nCfmFvtPLx https://t.co/UCaDHfb3Y1"
1245802873256062976,2020-04-02 19:58:45,"RT @mosolions: In order to provide additional WiFi access for MSSU students, faculty &amp; staff, Info. Tech. has identified areas where it is…"
1245802423035277312,2020-04-02 19:56:58,Missouri farmers and ranchers play a vital role in supporting our nation’s food supply chain. That’s why I’m calling on @USDA to work quickly to get emergency funding to @MOCattle producers facing market volatility caused by the #coronavirus pandemic
1245791267734331396,2020-04-02 19:12:38,"Please review the most recent guidelines to flatten the curve, we all have to do our part https://t.co/dOWD4LHdjX"
1245785133447249920,2020-04-02 18:48:16,"Our country is facing a health crisis unlike anything we have ever seen. Americans are understandably concerned about the coronavirus pandemic, but I have no doubt we will rise to this challenge together. https://t.co/n6elm4Cv1x"
1245709607085002755,2020-04-02 13:48:09,RT @SGFChamber: Thank you @RoyBlunt for providing an update on federal relief and urgently needed aid for families and small business. #Goo…
1245423391152263173,2020-04-01 18:50:49,RT @fema: We worked with @HHSgov to create a Supply Chain Stabilization Task Force that is leading a four-pronged approach to securing crit…
1245423303751348233,2020-04-01 18:50:29,"RT @WhiteHouse: The next 30 days are a critical opportunity for America to flatten the curve and get to the other side.

More from @Surgeon…"
