id,created_at,text
1247182985704734722,2020-04-06 15:22:49,"Attention all #GA02 high school students! My office is still accepting entries for this year’s #CongressionalArtCompetition. All entries must be submitted via email! For more information, contact Mrs. Toni Pickel in my Albany office at 229-886-8470.  
https://t.co/hSh47nXvgV https://t.co/fR4IWQirnd"
1245355324720250880,2020-04-01 14:20:21,"Happy Census Day!

Census Day is important. You should count everyone living (or sleeping) in your home as of April 1—whether you are related to them or not. Respond now at https://t.co/XOeT8Lc23s. https://t.co/WT3U0o1wyw"
1245069892509990915,2020-03-31 19:26:09,"The COVID-19 outbreak in GA-02 is concerning to all of us &amp; finding the right information can be difficult. My office has compiled a # of federal, state, &amp; county resources available to Georgians impacted by this crisis. 
https://t.co/ZOdKNbcquo"
1244632237875900417,2020-03-30 14:27:04,"I’m deeply saddened to hear that my longtime friend &amp; the “Dean of the Civil Rights Movement”, Rev. Dr. Joseph E. Lowery has passed. He’ll be remembered for his fierce leadership during the Civil Rights Era &amp; his staunch advocacy for justice &amp; human rights. May he Rest in Power!"
1243596836654505987,2020-03-27 17:52:45,The COVID-19 outbreak has changed our lives &amp; affected every aspect of our nation. We are facing an extreme public health emergency &amp; we have invested billions into helping those who've been hit the hardest by the virus’ impact. https://t.co/JH6LABX5Ho
1243573124886663174,2020-03-27 16:18:32,#ThankYou to the LEOs &amp; medical personnel; retail &amp; transit workers; teachers &amp; child care providers; pharmacists; ag &amp; food service workers/drivers; &amp; sanitation crews working tirelessly &amp; doing their part to help others &amp; serve their communities during this difficult time! https://t.co/XzHQVz9aJA
1240384511558500354,2020-03-18 21:08:07,"I’m thankful to @Phoebe_Putney's response team for their tireless work in treating the growing # of COVID patients in GA02 &amp; surrounding areas. Along w/ the funding bill to address this crisis, &amp; I'll continue to assist in providing resources to all those who've been affected. https://t.co/BelBJroPun"
1238837602725302272,2020-03-14 14:41:15,I am hopeful the #FamiliesFirst bill will increase food security &amp; help Americans through this difficult time. We can save lives if we move quickly. The Senate must pass this bill &amp; send it to the President ASAP!  https://t.co/iBcnDoYqOg
1237750477007314954,2020-03-11 14:41:24,"RT @AppropsDems: At 11 AM, @AppropsDems, led by Ag Chair @SanfordBishop, are conducting oversight of the @US_FDA and considering its FY21 #…"
1237493550020988929,2020-03-10 21:40:28,"Cancelling SNAP benefits for 700,000 during the coronavirus outbreak is cruel &amp; endangers everyone. Do you choose to work &amp; eat or not eat &amp; self-quarantine for 2 weeks? USDA should suspend the rule change until COVID-19 is contained—not push the decision to states #SNAPworks https://t.co/JMG7icPGpY"
1237379779843719168,2020-03-10 14:08:23,HAPPENING NOW: Watch as @AppropsDems &amp; I discuss @USDA &amp; @FDA’s budget request for FY2021 w/ @SecretarySonny. ➡️ https://t.co/7m1YJP2KjS
1235330255134564354,2020-03-04 22:24:18,"After the recent illnesses &amp; deaths from coronavirus, America needed a response to protect our health. I'm pleased w/ the comprehensive funding package, that includes vaccine development, support for state/local govs, &amp; assistance for affected businesses. https://t.co/9Xc4q6fSst"
1234892807296442373,2020-03-03 17:26:03,"Attention all #GA02 high school students! My office is still accepting entries for this year’s #CongressionalArtCompetition. For more information, contact my office at 229-439-8067. https://t.co/a8qN2I8n1P"
1234844493523947523,2020-03-03 14:14:04,"I am proud to join my colleague in Congress, @RepFredUpton, in introducing legislation that would designate July as “National Blueberry Month”! https://t.co/bbFuC4iEjB"
1234589467366785025,2020-03-02 21:20:41,"The month of March marks a time to celebrate one of Georgia’s best snacks —the valuable, versatile, and world-renowned legume that everyone goes nuts over: PEANUTS! #NationalPeanutMonth https://t.co/9kZw3mUcKJ"
1234566708989505542,2020-03-02 19:50:15,"As we kick-off  #NationalKidneyMonth, make sure you monitor your health and take the necessary steps to protect your kidneys by managing your blood pressure! https://t.co/ahptRJe0ej"
1234553789799190533,2020-03-02 18:58:55,"There are 126 women serving in the 116th Congress, &amp; I’m proud to serve alongside them as they continue to make HERstory! #WomensHistoryMonth"
1233097244196380672,2020-02-27 18:31:07,"Attention all #GA02 high school students! My office is now accepting entries for this year’s #CongressionalArtCompetition. For more information, contact my office at 229-439-8067. https://t.co/Ikj4SsPSgh https://t.co/QS0bSCAnPn"
1233055453329940480,2020-02-27 15:45:03,"HAPPENING SOON: Watch as @AppropsDems &amp; I review @OIGatHHS’ work to prevent fraud, waste, &amp; abuse in FDA’s operations ➡️ https://t.co/NNwok3RScU"
1232681905121873920,2020-02-26 15:00:42,"America’s public schools are the foundation of success for young people across this country. That’s why I support the Rebuild America’s School Act, which would invest $100 billion in the physical and digital infrastructure of America’s public schools. https://t.co/yvv3ZFRz22"
1230870723490729984,2020-02-21 15:03:43,"Today at 11 a.m., my office will be hosting a Census Job Fair in the Teacher Education Bldg at MGSU to answer any of your questions about the upcoming Census count &amp; provide resources about part-time jobs w/ the @uscensusbureau. For more info, visit: https://t.co/bbkAVsZCJa https://t.co/oU2uNv3uds"
1230499573388521472,2020-02-20 14:28:54,"Today at 11 a.m., my office will be hosting a Census Job Fair at the Columbus Public Library to answer any of your questions about the upcoming Census count &amp; provide resources about part-time jobs w/ the @uscensusbureau. For more info, visit: https://t.co/bbkAVsZCJa https://t.co/tykzLplbIf"
1229796051214839808,2020-02-18 15:53:21,"Today at 3 p.m., my office will be hosting a Census Job Fair at Albany Technical College to answer any of your questions about the upcoming Census count &amp; provide resources about part-time jobs w/ the @uscensusbureau. For more info, visit: https://t.co/bbkAVsZCJa https://t.co/FhsJ70PZ5B"
1227676579934937107,2020-02-12 19:31:20,"Next week, my office will be hosting a series of Census Job Fairs to answer any of your questions about the upcoming Census count &amp; provide resources about part-time jobs w/ the @uscensusbureau . For more info, visit: https://t.co/XVvITYy3fR https://t.co/oIBYBosaQU"
1225819842252591104,2020-02-07 16:33:19,"My office will be partnering with the @uscensusbureau to host three 2020 Census Job Fairs for constituents interested in earning some extra money while helping their community ahead of the 2020 Census count in April. For more info, visit https://t.co/XVvITYy3fR https://t.co/VG9XKPVUUY"
1225805893469638656,2020-02-07 15:37:54,"I'm proud to join @RepRobWoodall in introducing the FRESH Act, which will increase the safety of our roads &amp; ensure our nation’s perishable goods are safely transported over our nation’s roadways. https://t.co/d7gzC5waoG"
1225107704601022464,2020-02-05 17:23:32,"In honor of #NationalWeatherpersonsDay &amp; #BHM, today we recognize the late Dr. June Bacon-Bercey who, among many firsts, became the 1st American woman to become a TV meteorologist. https://t.co/dCRxtpa9p0"
1224372842671808518,2020-02-03 16:43:28,“Change will not come if we wait for some other person or some other time. We are the ones we’ve been waiting for. We are the change that we seek.” - President Barack Obama #BlackHistoryMonth
1222640020839895041,2020-01-29 21:57:51,"@DeptVetAffairs is accepting apps through 3/17 for their Adaptive Sports Grant Program which offers grants to civic groups providing adaptive sports &amp; therapeutic rec opportunities to Vets &amp; members of the armed forces w/ disabilities. For more info, visit https://t.co/irQB6Tv27k"
1220822134743805953,2020-01-24 21:34:13,"The Congressional Award Medal is the highest Congressional honor for the youth in our nation, &amp; I was honored to give it to Mr. Dawson Ezzell. Middle GA is better because of his hard work in all aspects of his life, &amp; I look forward to seeing what he'll accomplish next. https://t.co/ERvbvStbzO"
1220118206683193344,2020-01-22 22:57:03,"I am truly saddened to hear of the passing of my longtime friend, Mr. Peanut. We must not be jelly of his long and successful life. Though he had many accomplishments, he was often thought of as a nut. The greatest often are. #RIPMrPeanut"
1219257550920699908,2020-01-20 13:57:07,"This MLK Day, let us all honor Dr. King by reflecting on how we can serve our loved ones &amp; communities. Let us rededicate ourselves to the great things our country stands for, &amp; work towards a more peaceful &amp; loving world for ourselves &amp; all of humankind. https://t.co/o97QNQBAtj"
1217562255585357825,2020-01-15 21:40:37,"I was honored to receive the 2019 Wheat Advocate Award from the National Association of Wheat Growers, &amp; I’m proud to lend my continued support to the hardworking wheat growers who contribute tremendously to the agriculture industry. https://t.co/ixB1MefhMg"
1215410851219492864,2020-01-09 23:11:42,"Hopefully cooler heads will prevail before the further use of force, provided that it's in consultation w/ Congress. Read my full statement on the Iran War Powers Res. here: https://t.co/RaYJ0XMtDI"
1215410848845484032,2020-01-09 23:11:42,"While the Pres. has a duty to protect Americans from threats, by using military force when necessary, using it w/o a threat or Congressional approval is not only reckless, it is a violation of the Constitution."
