id,created_at,text
1247345465143820295,2020-04-07 02:08:28,RT @ryanhanrahan: The Q Bridge lit up in red tonight to honor health care workers on the front lines of the COVID-19 pandemic. #nbcct https…
1247333504616214530,2020-04-07 01:20:56,"CAPT Crozier’s fireable “mistake” was protecting his sailors' health &amp; safety. All sailors—in fact, all servicemembers—deserve a commanding officer who puts them first."
1247328314940932098,2020-04-07 01:00:19,"At today’s press briefing, Trump said CAPT Crozier made a “mistake,” &amp; he may “look into it.” Here’s who made a shameful mistake: Modly, Esper &amp; all the Navy brass who aided &amp; abetted them. An IG investigation &amp; Senate hearing should hold them accountable."
1247298800869355523,2020-04-06 23:03:02,Thanks Chase &amp; Sonny for helping kids across CT get ready for online school. https://t.co/K8aQszfBfH
1247278048598261761,2020-04-06 21:40:34,"They deserve nothing less than our wholehearted thanks. One way to do this is abide by their plea “We stay here for you, please stay home for us.” A responsibility we all have to share."
1247278047063146500,2020-04-06 21:40:34,Complete bravery is being shown by our nurses &amp; health care workers. Each day they face the horrors of this virus &amp; fight to save lives. https://t.co/5V7pfoSbQg
1247261975895293954,2020-04-06 20:36:42,I remain deeply concerned about sailors’ safety on the USS Roosevelt— &amp; Navy ships &amp; subs globally. Evacuations &amp; testing must be accelerated to prevent spread &amp; ensure quick recovery. Decisive leadership that prioritizes the health of our men &amp; women in uniform is critical.
1247261975010304001,2020-04-06 20:36:42,Acting Sec. Modly is just that—acting. He has not been confirmed by the Senate for this role. DOD accountability is vital—enforced by the Senate Armed Services Committee in hearings &amp; budget if necessary.
1247231881025933312,2020-04-06 18:37:07,Modly should be removed unceremoniously for these shocking remarks—especially after failing to protect sailors’ safety &amp; health. He has betrayed their trust. DoD IG must immediately launch an investigation. https://t.co/RAZTWit0oU
1247191638956560388,2020-04-06 15:57:13,"Help is vital against the danger of domestic violence—viciously compounded by virus-related stay-at-home requirements. In the 4th relief package, Congress must finally renew VAWA &amp; bolster support for the protection of women &amp; kids at heightened risk. https://t.co/tdCV6SHnS5"
1247175773787770880,2020-04-06 14:54:10,"Snafus &amp; stumbling by the Administration afflict the start of relief package distribution—delayed checks to workers, denials of small business loans, clogged unemployment benefit systems &amp; on &amp; on. We’re seeing it first-hand. Up your game, Trump admin. https://t.co/F50EiK3Qb2"
1246952503268315136,2020-04-06 00:06:58,"To Trump, truthtellers are enemies, watchdogs are adversaries, whistleblowers are villains. Congress must stand up &amp; speak out for them, on both sides of the aisle. https://t.co/GZX6hMYiOb"
1246915764227133442,2020-04-05 21:40:59,"Big banks like BoA need to do the right thing— &amp; fast. Refusing PPP loans to small businesses, just because they haven’t borrowed before, won’t cut it. Perhaps they’ve forgotten their own bailouts.https://t.co/P2M4CpO37M"
