id,created_at,text
1247260215453659136,2020-04-06 20:29:42,"Have you checked out https://t.co/bHxTX6Q9fH yet? Look there for the latest testing site info, applications for small business loans, and more. My office is here for you! Please call my Charleston or DC office if you need assistance. https://t.co/8Ra4YmyRcl"
1247225772928106504,2020-04-06 18:12:51,Small businesses: check out some of your options available through the CARES Act ⬇️ https://t.co/vcqrC85gPa
1247211815639097344,2020-04-06 17:17:23,"On Saturday, I answered several questions from West Virginians about the individual and small business relief. Check out my nearly hour-long Q&amp;A session with @HoppyKercheval here: https://t.co/DanZyrOmfn"
1247190069867433987,2020-04-06 15:50:58,RT @CDCgov: #DYK? CDC’s recommendation on wearing a cloth face covering may help protect the most vulnerable from #COVID19. Watch @Surgeon_…
1247174105964646400,2020-04-06 14:47:32,ICYMI: Learn more about how the CARES Act works to help individuals and small businesses throughout West Virginia. https://t.co/KKw6Ze2dMG
1246888064502333443,2020-04-05 19:50:55,Tag 3 friends and remind them to take their 2020 census! Every person counts! https://t.co/vUsNLkFoHr
1246813197069357057,2020-04-05 14:53:25,RT @claymarsh: It can be tempting to go outside and see friends and family as the weather warms up and the sun shines. But please listen to…
1246769554245562369,2020-04-05 12:00:00,"10 years later, we still remember. Thinking of the families of these miners today. https://t.co/oAgwl0rRte"
1246560970958344198,2020-04-04 22:11:10,"I’m encouraged to see so many small businesses apply for #PPP. If you haven’t checked it out yet, please go talk to your lender! Congress should continue to support this program to save jobs during this uncertain time. https://t.co/Ep561KUbkN"
1246459244674781184,2020-04-04 15:26:56,RT @WVMetroNews: .@SenCapito joins @HoppyKercheval to take your questions on the benefits of the COVID-19 relief bill. WATCH: https://t.co/…
1246235054986199040,2020-04-04 00:36:05,Want an overview of the individual and #smallbiz relief available in the CARES Act? Read my newsletter here: https://t.co/EJjUVtQdAp https://t.co/MrILllJoi0
1246184110835597312,2020-04-03 21:13:39,"RT @AlexHouseThomas: Per @SenCapito's office: @realDonaldTrump has approved a major disaster declaration for West Virginia.

All five of We…"
1246178462890708992,2020-04-03 20:51:13,"GOOD NEWS: @realDonaldTrump just approved @WVGovernor's request for additional federal assistance for West Virginia to meet #coronavirus challenges. Earlier this week, I sent a letter to the president supporting this request. https://t.co/YUpOrrgNWn"
1246141375625736193,2020-04-03 18:23:50,"RT @realDonaldTrump: The Paycheck Protection Program is now available! #CARESAct

Small Business Guidance &amp; Loan Resources: https://t.co/lf…"
1246107414757244928,2020-04-03 16:08:53,Apply with @SBAgov-approved banks &amp; other lenders in your community. Application form is here: https://t.co/NOZ0fL1fQU https://t.co/2p3w0qae2K
