id,created_at,text
1246214528590897152,2020-04-03 23:14:31,"Thank you to the thousands of Alaskans who joined @LisaMurkowski and me last night for a virtual town hall on the #COVID19 pandemic and the economic aid coming to Alaska from the CARES Act. 
https://t.co/yzzBV3KBVw"
1245838269134155776,2020-04-02 22:19:24,"RT @SBAgov: Stay updated on #COVID19 programs and resources for small businesses. Here's how:
👉 Go to: https://t.co/18P7pOPxWI
👉 Get email…"
1245823018456268800,2020-04-02 21:18:48,"@stevenmnuchin1 @USTreasury @SocialSecurity Glad to see this commonsense accommodation made for Social Security beneficiaries. If Alaskans have any questions about their eligibility to receive a payment, please reach out to my team in Anchorage at 907.271.5915."
1245822925267243014,2020-04-02 21:18:26,"Some Alaskans—seniors, #veterans &amp; others—have asked how they will receive a payment since they don’t traditionally file taxes. My colleagues and I wrote @stevenmnuchin1 (https://t.co/EGslOvLPwe) requesting @USTreasury work w/ @SocialSecurity to deliver payments automatically. https://t.co/0280JjQYHb"
1245785705533657088,2020-04-02 18:50:32,"#ICYMI, I joined @JoeSquawk on @SquawkCNBC to discuss the #CARESAct and actions I’m taking in response to Saudi Arabia’s efforts to boost oil production and dramatically lower crude oil prices, which is harming producers in Alaska and across the country. Take a look. 📺 https://t.co/s52FXv0ZX5"
1245468122657820672,2020-04-01 21:48:34,"I’m glad @realDonaldTrump agrees that a bold infrastructure bill should be the centerpiece of a Phase 4 response to the economic challenges caused by #COVID19. It’s a win all around. Our infrastructure is crumbling. Our workers need it. Now more than ever, our country needs it. https://t.co/scxFht0Vky"
1245435766920093707,2020-04-01 19:40:00,"Please join @lisamurkowski and me tomorrow, April 2, from 5:30- 6:30pm AKDT for a virtual town hall to discuss the fight against #COVID19 and the significant federal resources being made available to Alaska families, workers &amp; small business to get us through this global crisis. https://t.co/XphhesBifO"
1245044288418992134,2020-03-31 17:44:24,I'll join @LisaMurkowski on @AKpublicnews Talk of Alaska TODAY at 10:00am AKDT to discuss our work in DC to combat the #COVID19 pandemic. Ask a question at 1.800.478.8255 or talk@alaskapublic.org. Listen live at: https://t.co/eSzjaLKjzz
1244778236476903433,2020-03-31 00:07:13,"I’ll be joining @GovDunleavy, Dr. Anne Zink, @LisaMurkowski &amp; @RepDonYoung for the Governor’s daily press briefing on the #COVID19 pandemic, and our efforts to protect Alaskans and shore up small businesses &amp; sectors of the economy that have been impacted. Tune in at 5pm (AKDT). https://t.co/KwfJBDg8lt"
1244337173832359938,2020-03-29 18:54:35,".@LisaMurkowski, @RepDonYoung &amp; I penned an op-ed regarding our efforts in DC to protect the health &amp; well-being of AKns, the vitality of different sectors of the economy, and the fiscal stability of our state and country amid the #coronavirus pandemic.
https://t.co/gU0X3UGt3x"
1243349143290032130,2020-03-27 01:28:30,"To Alaskans currently trapped overseas—If you have not already, please go to my website (https://t.co/wqUzPnmdFu) and get in touch with us by phone (907.271.5915) or email so that we can track your particular situation and update you as circumstances change."
1243348988922941440,2020-03-27 01:27:53,"I know that there are a number Alaskans in foreign countries, particularly Peru, still trying to get home following #coronavirus travel lockdowns. Getting all Alaskans, particularly minors &amp; those with medical conditions, back to our country is a top priority for me and my team. https://t.co/8pk8ewBWpE"
1243257097309114373,2020-03-26 19:22:45,"We’ve seen neighbors helping neighbors, workers ensuring everybody has access to essentials, health care professionals working all hours, and volunteers serving the most vulnerable in our communities. Together, we will get through this crisis stronger and more resilient. [5/5]"
1243256069717209088,2020-03-26 19:18:40,I want to commend all Alaskans for the way they have handled this disruption to our everyday lives. Every Alaskan has a role to play in helping to stop the spread of the #coronavirus and lessening the impacts on our communities. And every Alaskan is playing a role. [4/5]
1243255899776520195,2020-03-26 19:17:59,Our next crucial task is ensuring this bill is implemented correctly and that the massive federal resources provided actually reach Alaskans struggling to make ends meet. My team and I stand ready to continue to work with state and community leaders to ensure that happens. [3/5]
1243255820218966018,2020-03-26 19:17:40,"Last night, the Senate unanimously passed the #Coronavirus Aid, Relief, and Economic Security (CARES) Act, legislation that will provide major relief to families, small businesses &amp; their employees, and help stabilize our economy and protect jobs. [2/5] https://t.co/6OR1xD2PJA"
1243255382996369410,2020-03-26 19:15:56,"The federal government has an essential role to play in helping hard-working families, keeping Alaskans employed, delivering rapid relief to small businesses, and sending a surge of resources to medical professionals as we confront the #COVID19 pandemic. [1/5]"
1242548097747685377,2020-03-24 20:25:26,@SenatorCarper @VP These two task forces would help the nation avoid making siloed efforts in addressing these critical challenges so that we do not unnecessarily prolong our overall response to the #coronavirus. [3/3]
1242547864380768257,2020-03-24 20:24:30,"Last night, I sent a letter w/ @SenatorCarper &amp; 16 of my colleagues to @VP urging the administration to establish 2 task forces to expedite development of #COVID19 treatments and coordinate innovative solutions to fix medical supply shortages. https://t.co/KKLGyXgiIK [2/3] https://t.co/AEmTwlBQgW"
1242547689121878016,2020-03-24 20:23:49,"With the #COVID19 #coronavirus pandemic spreading in our state and our country, we cannot afford any more delays due to medical supply shortages or barriers to finding safe and effective vaccines or treatments for the disease. [1/3]"
1242259102614642690,2020-03-24 01:17:04,"@lisamurkowski @repdonyoung @DHSgov @POTUS @realDonaldTrump Here’s a link to the letter I sent to President Trump and @DHS_wolf. 
https://t.co/ahnkX4lT4F"
1242258953200979969,2020-03-24 01:16:29,"Hearing from Alaskans, @lisamurkowski, @repDonYoung and I have been pressing @DHSgov &amp; the Trump administration for weeks to delay #REALID deadline, especially in light of #COVID19 pandemic. I wrote @POTUS on March 9. Today, @realDonaldTrump announced that delay is happening. https://t.co/E3qcMtVOBm"
1242252170273185793,2020-03-24 00:49:31,"Moments ago, I spoke on the Senate floor about ongoing negotiations regarding the Phase III #COVID19 #Coronavirus economic aid package.  #Covid19AK
📺https://t.co/lEe86Jn29w"
1242143524319043585,2020-03-23 17:37:48,"@CDCgov @SBAgov For Alaskans looking for more details on @SBAgov #coronavirus disaster assistance, call 1-800-659-2955, e-mail disastercustomerservice@sba.gov, or contact my team at 907.271.5915. [4/4]"
1242143329174859776,2020-03-23 17:37:02,"@CDCgov @SBAgov This assistance, in conjunction with a major economic aid package we’ll be voting on very soon, is intended to get our workers and incredible small business owners through this temporary upheaval related to the #COVID19 pandemic. [3/4]"
1242143131098910722,2020-03-23 17:36:15,"@CDCgov Thankfully, @SBAGov announced some good news this weekend - new availability of low-interest economic disaster loans for Alaska companies impacted by the coronavirus pandemic. https://t.co/8rZ5oZRAR6 [2/4]"
1242142995069140992,2020-03-23 17:35:42,"With the nationwide @CDCgov guidance to avoid large groups and practice social distancing, many Alaska small businesses have been forced, through no fault of their own, to scale back operations and, in some cases, shut down completely. #COVID19 #coronavirus [1/4]"
1241900040928538624,2020-03-23 01:30:17,Here’s a quick update on what’s going on in D.C. #coronavirus #covid19 https://t.co/hcgQbcwdbV
1241521079987900417,2020-03-22 00:24:26,Glad to join Tom Anderson on KVNT “Talk of the Valley” yesterday to give an update on our efforts to combat the #COVID-19 #coronavirus. Take a listen. https://t.co/KRwHa5DXvu
1241093800686243844,2020-03-20 20:06:35,"But Americans making trips across the borders for tourism or recreational purposes will need to suspend their plans for now. If you have questions about these new policies, please reach out to my team at 907.271.5915."
1241093673871454208,2020-03-20 20:06:04,"Senior @DHSgov officials have also stated there may be case-by-case exemptions made for communities, like those in Southeast Alaska, reliant on crossing the border to access essentials."
1241093465062113280,2020-03-20 20:05:15,"It’s important to note, for Alaska, cross-border trade and trucking will be permitted to continue as well as those who are just returning home or crossing for medical reasons, with enhanced screening."
1241093137226960898,2020-03-20 20:03:56,The United States has agreed to temporarily close our international borders with Canada and Mexico to “non-essential” travel beginning at midnight tonight in an effort to prevent the spread of the #COVID19 #coronavirus. https://t.co/EjCvXazAOi
1240796345117671424,2020-03-20 00:24:36,".@StateDept has country-specific info on local quarantine &amp; health regulations, travel restrictions, and embassy contacts for Americans overseas. If you are an Alaskan having challenges returning home (or family), contact my team at 907.271.5915. https://t.co/fFdvaJBoCv"
1240795668907724801,2020-03-20 00:21:54,"The U.S. State Department today issued a Level 4 alert advising Americans NOT to travel internationally for the foreseeable future, while also urging Americans traveling abroad to return home as soon as possible. https://t.co/SSFwhmEeor"
1240767702865674240,2020-03-19 22:30:47,RT @SBAgov: What's the process for applying for an SBA disaster loan and what documentation is required? This fact sheet breaks it down: ht…
1240741744762859534,2020-03-19 20:47:38,I voted to for this “Phase II” package to reduce some of the disruption being experienced by our families and to ensure no one encounters a financial barrier to getting tested for #COVID 19.
1240741520485089280,2020-03-19 20:46:45,"The Families First #Coronavirus Response Act, which we passed yesterday, offers support for many Alaskans who are facing uncertainty related to their pay, leave, nutrition assistance and virus testing as a result of the ongoing pandemic. https://t.co/gxmD9d6kNB"
1240713290612748288,2020-03-19 18:54:34,"Yesterday, I spoke with Stuart @Varneyco on @FoxBusiness about our efforts to help ensure the American energy sector is able weather this uncertain time. [5/5]
https://t.co/yyEFkfVKQT"
1240711614518747136,2020-03-19 18:47:54,"Additionally, I’ve called on the Dept. of @ENERGY to only use domestically-produced oil, including oil from Alaska, to fill the nation’s Strategic Petroleum Reserve. [4/5]
👉 https://t.co/ou7JhNuXpd"
