id,created_at,text
1247176158170546176,2020-04-06 14:55:42,"We need to expand Medicaid for the sake of the people of Alabama, our health care providers, and our economy. We can't afford to wait any longer.

https://t.co/eo39TXfqew"
1246269368012550144,2020-04-04 02:52:26,"I’m glad to finally see Alabama join other states by issuing a stay at home order. This will begin Saturday, April 4 at 5:00 p.m., but I encourage folks to start today. I know it’s a long road ahead of us, but we will get through this together. #SweetHomeStayHome"
1245807096181985281,2020-04-02 20:15:32,"Folks, we are facing a health care crisis here in Alabama. I am urging our state officials to send a clear message to folks by issuing a statewide stay-at-home order, so we can beat this virus and get our economy back on track. https://t.co/EO6JmXcq6A"
1245723125670719489,2020-04-02 14:41:52,"Join me today at 12:00 p.m. CT for a FB livestream with @DrJeanneM, the Director of Infectious Disease at @UABNews. We will be discussing the spread of COVID-19, the new symptom tracker from UAB and the recently passed relief legislation. Tune in here: https://t.co/3q7stDvcLg"
1245479229728395268,2020-04-01 22:32:42,"Thank you to @SeemaCMS for taking action this week to enable hospitals and health care providers in Alabama and across the country to reach more people through tele-health services.

This will be a huge help for strained hospitals in Alabama.

https://t.co/X2sVsjgjvM"
1245406889166471169,2020-04-01 17:45:15,"Make today count, folks! I know we're all stuck at home so I encourage you to fill out the 2020 Census—it only takes a few minutes. Without a proper count, AL could lose a seat in Congress &amp; federal funding. Visit https://t.co/oAkt9uNJOc to get started! #NationalCensusDay https://t.co/T0NrOdYFIG"
1245392746673844224,2020-04-01 16:49:03,"Folks, to beat COVID-19 we’re going to need YOUR help. @UABNews has a new tracker that allows you to report your daily symptoms, which allows their team to track hotspots &amp; help decide where to dedicate resources. It's easy to get started, visit https://t.co/PyD6xrnMlv today!"
1245146547869962241,2020-04-01 00:30:45,"This #EqualPayDay, I am thinking of all the women fighting on the frontlines of this pandemic and working around the clock to keep our families safe. Equal pay is long past due and we must take action to close the wage gap. Equal work deserves equal pay—no question. https://t.co/8Mc4TBh4WI"
1244997107108524033,2020-03-31 14:36:55,RT @NWSBirmingham: A Tornado Watch is in effect for portions of Central Alabama. Stay weather aware and have multiple ways to receive warni…
1244735115076526082,2020-03-30 21:15:52,"Thank you to all the doctors and health care professionals who risk their lives every day on the front lines of this pandemic. Alabama and our nation are eternally grateful for you. So folks, let’s stay home so they can stay safe! #NationalDoctorsDay https://t.co/JNVdRJRNHS"
1243670894830067714,2020-03-27 22:47:02,I know this has been a difficult time for folks and want to make sure you have access to resources and the most up to date info on COVID-19—delivered right to your inbox. Visit https://t.co/0OC2RWMfRm to subscribe today! https://t.co/ukWJTxEBpU
1243604081769316352,2020-03-27 18:21:32,Happening now! https://t.co/R0bFMpV2Yp
1243586269873045510,2020-03-27 17:10:46,It is folks like Rodney Smith Jr. who embody the best of Alabama and show how acts of kindness can make a big impact during a difficult time. Thanks to all who are stepping up to lending a helping hand in their community—we will get through this together! https://t.co/FvgXHGokZf
1243255023892598786,2020-03-26 19:14:30,"Even during a pandemic, home might not always be the safest place for some folks. If you or someone you know needs assistance, please don't hesitate to reach out to national, state and local resources available to help. https://t.co/LXOCPVk3oJ"
1243022868260237312,2020-03-26 03:52:00,"Tonight, the Senate came together to pass a much stronger, bipartisan bill that will get more money to working folks, small businesses, and our health care workers on the front lines—but this won't be our last step.
 
In the meantime, take care of yourselves &amp; each other, folks. https://t.co/uEvtdtP4hE"
1242568908504207371,2020-03-24 21:48:08,"Today, on #NationalAgDay, I want to thank those in the agricultural industry who are ensuring continued access to food, fuel and clothing. Alabamians and folks across the United States depend on the important work you do every day. https://t.co/4jP67BwooG"
