id,created_at,text
1247268235403300864,2020-04-06 21:01:35,"It’s so important to continue following all public health recommendations. Please practice social distancing, keep washing your hands and if you must leave your residence, wear a cloth mask. We all have to work together to get past this crisis. https://t.co/ouazgNGUij"
1247232635597881346,2020-04-06 18:40:07,"The coronavirus pandemic is trapping domestic violence victims with their abusers. If you are in this situation, please know that there is help. The National Network to End Domestic Violence has put together resources to help those in need. https://t.co/yzHIElMDrI"
1247210374916694018,2020-04-06 17:11:40,I want to thank the 146th Airlift Wing of the California National Guard for their work to set up field hospitals in California. Their contributions to combating coronavirus are making a difference between life and death for Californians in need of medical assistance. Thank you!
1247186745382318082,2020-04-06 15:37:46,"RT @CAgovernor: 🏠 California tiene una orden de quedarse en casa y durante este tiempo los servicios esenciales permanecerán abiertos. 

¿C…"
1246905197915525120,2020-04-05 20:59:00,"Peace Corps volunteers’ service has been cut short by the coronavirus. Our bill will ensure these volunteers can access unemployment benefits, health insurance and find new opportunities in support of coronavirus relief efforts. We owe it to these volunteers to help them. https://t.co/b4Y6LHXFot"
1246887608002785280,2020-04-05 19:49:06,"RT @SenFeinstein: Californians can apply for unemployment benefits through @CA_EDD. Part-time, self-employed and “gig workers” are eligible…"
1246884325104254978,2020-04-05 19:36:03,The CDC is now recommending everyone wear a cloth face mask or covering if you have to leave your house. This is not mandatory but encouraged. Learn more here. https://t.co/Qg78WGBpuC
1246546081569222659,2020-04-04 21:12:00,The coronavirus is already putting an incredible strain on our emergency personnel. We shouldn’t burden them more by auctioning off the T-band communications spectrum they use for emergencies. We’re calling for any future coronavirus response legislation to save the T-band. https://t.co/0MKFOhjb7A
1246535260210429952,2020-04-04 20:29:00,"Right now, recipients of SSI and VA benefits won’t automatically get their direct payment from the CARES Act--they'll need to file a tax return first. We’re calling on the administration to change that. Automatic payments would get these vital funds to many Americans quicker. https://t.co/4R4W1azMs0"
1246525207894003713,2020-04-04 19:49:03,"I’m deeply concerned by President Trump’s purge of longstanding and respected officials across the government. In another example of retaliation, President Trump last night fired Michael Atkinson, the intelligence community’s inspector general. https://t.co/gAjnyhZE6z"
1246166696592904198,2020-04-03 20:04:27,RT @SenFeinstein: We can’t let the coronavirus outbreak affect the #2020Census. We’re calling on all Americans to complete their census onl…
1246163562730487813,2020-04-03 19:52:00,I’m calling on the Department of Justice to explain why they overruled the U.S. Attorney’s office that investigated the case and believed Walmart should be held accountable. https://t.co/fkaxY1DuNU
1246163561757409281,2020-04-03 19:52:00,Reporting by @ProPublica shows federal prosecutors were ready to pursue charges against Walmart for refusing to let its pharmacists block opioid prescriptions from suspected “pill mills.” But high-ranking DOJ officials prevented an indictment after being approached by Walmart.
1246130984258584584,2020-04-03 17:42:33,"Individuals who didn’t file a tax return for 2018 or 2019 should file a return for the 2019 tax year now. Most Americans qualify for a direct payment of $1,200 per adult and $500 per child, and filing a return is the only way most will receive it. https://t.co/666lFYtRek"
1246102231096659969,2020-04-03 15:48:18,RT @SenFeinstein: The coronavirus response bill will provide benefits for millions of Americans. We have compiled a list of resources and i…
1246092320312905728,2020-04-03 15:08:55,"The CARES Act is the single-largest economic relief bill in U.S. history. Read my op-ed on how this bill will help millions of struggling Americans make ends meet.
https://t.co/fuS5RFlWDP"
1245851989432467458,2020-04-02 23:13:55,Social Security recipients won’t need to file a tax return to receive direct payments from the federal government as part of the coronavirus CARES Act. Payments will be sent the same way you currently receive Social Security benefits. https://t.co/xUbs35NpJ7
1245817139547779094,2020-04-02 20:55:26,"Californians can apply for unemployment benefits through @CA_EDD. Part-time, self-employed and “gig workers” are eligible for $600 per week even if they don't qualify for normal benefits. Learn more on my website here. 
https://t.co/cudpErY2gF"
1245794043579305985,2020-04-02 19:23:40,"RT @fema: ⚠ Due to the large amount of speculation regarding #COVID19, this is a reminder to rely on OFFICIAL sources for accurate informat…"
1245792015851442180,2020-04-02 19:15:36,"Like so many others, the music industry is hurting right now. Many artist organizations have put together resources for “gig” workers to assist with benefits created under the coronavirus response legislation. See what you might be eligible for here:

https://t.co/iXhK5XieYs"
1245780406814851073,2020-04-02 18:29:29,"During these tough economic times, every little bit helps. This month, Californians will see a credit on their electric and gas bills. It’s a rebate from California’s clean energy program that’s helping provide cleaner energy at a lower cost. 
https://t.co/OHyKalpEGS"
1245769100208594945,2020-04-02 17:44:33,"Even in a best case scenario, our hospitals, clinics, doctors, nurses and support staff are going to be under incredible stress and strain. They really are the heroes in this fight and we must ensure they are equipped with the resources they need.
https://t.co/YmzDfqrC3r"
1245761396404555776,2020-04-02 17:13:56,"The coronavirus response bill orders the Department of Education to suspend payments on student loans held by the federal government through the end of September. No interest will be accrued and no missed payments will be reported to credit bureaus. 
https://t.co/Tu7OStry7z"
1245744102823657479,2020-04-02 16:05:13,"It won’t be the last action by Congress on this crisis, but it will help many Americans get through this emergency. My offices are ready to help workers and employers receive all the benefits they’re entitled to. You can learn more here: https://t.co/exPhOicxtF"
1245744101389189120,2020-04-02 16:05:13,"The coronavirus economic relief bill enacted last week will help millions of families. It expands unemployment benefits, sends direct payments to most Americans, offers a lifeline to small businesses, invests in our health care system and much more. 
https://t.co/fuS5RFlWDP"
1245472759590932480,2020-04-01 22:07:00,The coronavirus law passed last week included a provision that will allow charitable contributions up to $300 even if you don't itemize your taxes next year. This will help you save more money on taxes if you donate to charities. Read more here: https://t.co/rYSOz7wgYl
1245464454722203648,2020-04-01 21:34:00,We can’t let the coronavirus outbreak affect the #2020Census. We’re calling on all Americans to complete their census online at https://t.co/lg8yUVbxrK rather than waiting for a census taker to visit your home. Be sure to complete your form today. https://t.co/HJ49k8sR5h
1245458853074030593,2020-04-01 21:11:44,"Because of the coronavirus pandemic, @CoveredCA has reopened enrollment for health coverage. If you still don’t have insurance, you may want to consider signing up today. 
https://t.co/mWu8aFaru4"
1245441290017349632,2020-04-01 20:01:57,RT @SenFeinstein: La ley nueva que ha pasado el Congreso esta semana incluye nuevo beneficios de seguridad de desempleo. Si has perdido tra…
1245441080281174019,2020-04-01 20:01:07,My thoughts are with the sailors aboard the USS Theodore Roosevelt and their families back home. I appreciate the Navy’s efforts to keep our service members safe. I’m closely following the situation and my office will assist wherever needed.
1245422029953695745,2020-04-01 18:45:25,"Transportation accounts for 40% of emissions in California. In the midst of a respiratory pandemic, I’m glad to see Volvo joining other automakers to make their fleets cleaner. Hopefully more companies will follow their lead. https://t.co/kN1eCCICBB"
1245411960902090754,2020-04-01 18:05:24,"Loans made through the Paycheck Protection Program can be forgiven if certain conditions are met, including maintaining payroll levels. Small businesses and nonprofits should contact their lender to apply. The SBA has more info here: https://t.co/hVwu2GWuVD"
1245411959039819776,2020-04-01 18:05:24,"Key to helping small businesses and nonprofits stay afloat will be the SBA’s Paycheck Protection Program that Congress created in the coronavirus response bill. It provides federally guaranteed loans to employers who keep their employees on the payroll. 

https://t.co/ODIjCptVHm"
1245393538269020160,2020-04-01 16:52:12,"The coronavirus response bill will provide benefits for millions of Americans. We have compiled a list of resources and information on what benefits you could be eligible for under the bill. Visit my website for more information.
https://t.co/exPhOicxtF"
1245377656226529280,2020-04-01 15:49:05,#CensusDay is a good time to fill our your household’s census form. You can complete your #2020Census forms online at https://t.co/lg8yUVbxrK. EVERYONE in the United States needs to be counted. https://t.co/JvBqzOzRuR
1245372811608231936,2020-04-01 15:29:50,RT @CACensus: Today is National Census Day! California is coming together to make sure everyone is counted in the #2020Census. Not sure how…
1245143841910358016,2020-04-01 00:20:00,The IRS says it will give taxpayers a way to submit direct deposit info online so they can get direct payments from the coronavirus stimulus faster. Be sure to monitor https://t.co/TzAnORFGSw for the latest information on the program.
1245112887942639616,2020-03-31 22:17:00,I’m proud to stand alongside the transgender community in their fight for equality. No one should ever be discriminated against because of who they are. Transgender rights are human rights. #TransDayOfVisibility
1245102066718011392,2020-03-31 21:34:00,"Si usted o un familiar que es residente de los Estados Unidos esta fuera del pais y no puede volver a casa, contacta a mi oficina para ayuda. 

https://t.co/gwZMlleE2I"
1245092166390747136,2020-03-31 20:54:39,"The women – nurses, doctors, administrators – fighting the coronavirus are heroes and deserve nothing less than equal pay to what their male counterparts make. Congress needs to make sure these women are compensated fairly.

https://t.co/OipJ2uNyov"
1245092165472092168,2020-03-31 20:54:39,"In this day and age, it’s unacceptable that women only make 82 cents for every dollar that a man makes. We are STILL waiting for the Paycheck Fairness Act to be brought up for a vote in the Senate. It’s commonsense legislation that needs to be passed. #EqualPayDay"
1245089266138562560,2020-03-31 20:43:08,"Schools, colleges and universities are struggling to support students as classrooms shutter. The coronavirus response bill includes more than $30 billion in grants to school districts and higher education institutions to continue providing educational services to students."
1245077101197381632,2020-03-31 19:54:47,Rolling back emissions standards for vehicles and relaxing important monitoring and reporting standards during this pandemic is a serious error. The administration needs to let California’s tailpipe emissions standards continue unimpeded. https://t.co/gAsSi3vYeA
1245060039703957507,2020-03-31 18:47:00,"As California prepares for more coronavirus patients, the state will need more health care professionals to meet the expected demand. If you’re eligible, consider registering with the California Health Corps today.
https://t.co/yyeSBWzBO0"
1245039222735716355,2020-03-31 17:24:17,"California is home to millions of workers who are self-employed, work part-time or are gig-workers. These individuals are now eligible for unemployment benefits under the coronavirus stimulus. Even if you weren’t eligible in the past, you may be now.
https://t.co/NYnfVJ0PqE"
1245020533797912577,2020-03-31 16:10:01,"Tomorrow is Census Day, the day to count everyone living in your home on your census form. With so many of us indoors, now’s a good time to fill out your #2020Census form online at https://t.co/lg8yUVbxrK."
1245007948939702273,2020-03-31 15:20:00,El Congreso a pasado una ley nueva para ayudar a personas afectadas por COVID-19. Informacion sobre beneficios y ayudas nuevas se puede econtrar en mi pagina web. https://t.co/8P44tKBbop
1245002145319006210,2020-03-31 14:56:57,"The global gag rule, aka Mexico City policy, blocks federal funds to overseas groups that provide any abortion-related services or counseling. I’m a proud cosponsor of legislation to REPEAL that policy. Access to abortion shouldn’t be denied because of where you live. #Fight4Her"
1244725563857739777,2020-03-30 20:37:54,I’m glad to see the Trump administration agreed to my request to waive in-person interviews for certain H-2A agricultural visas applicants. This decision will help our food security. https://t.co/3vFPetGIRt
1244715089644736514,2020-03-30 19:56:17,The #USNSMercy and #USNSComfort hospital ships are providing much needed relief to Los Angeles and New York in the fight against the coronavirus. My sincere thanks to all the service members and health care workers on board right now working to save lives. https://t.co/vzxsISKcyZ
1244704999436881920,2020-03-30 19:16:12,Reports that DHS is sending unaccompanied children to countries where they fear violence without any sort of due process are unacceptable. DHS has the ability and capacity to protect these children and @DHS_Wolf needs to fix this immediately. https://t.co/WLmKbbU8Ec
1244696884133969921,2020-03-30 18:43:57,El Departamento de Salud Pública de California tiene recursos en su pagina web en español sobre COVID-19. Pulse aqui para ver las preacauciones que debes seguir para proteger a tu familia. https://t.co/Qa9OMl5K4s
1244688083179708417,2020-03-30 18:08:58,"Individuals who DID NOT file a tax return for 2018 or 2019 should file a return this year, even if you don’t expect to receive a rebate or owe taxes. Filing a return is the ONLY way to receive recovery funds. https://t.co/SCaSHJvvpM"
1244688081728540672,2020-03-30 18:08:58,"The coronavirus response bill includes direct payments – up to $1,200 per adult and $500 per child – to help families get by during this pandemic. Anyone who filed a tax return for 2018 or 2019 will automatically receive money based on the income in their latest tax return."
1244672087089917952,2020-03-30 17:05:25,"The bill also includes $10 billion for emergency grants up to $10,000 that will help with immediate operating costs, and another $17 billion to cover six months of payments for small businesses that already have Small Business Administration loans."
1244672085613522944,2020-03-30 17:05:24,"Small businesses are the backbone of our economy, employing millions of Americans. The coronavirus response bill includes $350 billion in loan forgiveness grants to small businesses so they can hold onto their workers while they pay rent, mortgages and utilities."
1244655818013913090,2020-03-30 16:00:46,"Scammers are trying to take advantage of the coronavirus pandemic with fake cures, fraudulent charities and other scams. Protect yourself and learn more about this problem here.
https://t.co/XiYMAPqhIh"
