id,created_at,text
1247189356433072129,2020-04-06 15:48:08,"It’s critical that any fourth emergency package meet the needs of the American people. Once we are past the #coronavirus threat, we can consider another bipartisan package to further help the economy. https://t.co/UmAdfWWJ9j"
1247179069923430402,2020-04-06 15:07:16,RT @EPWGOP: Chairman @SenJohnBarrasso on @AmericaNewsroom this morning: “When we have the disease behind us &amp; we need to stimulate the econ…
1246163095006953474,2020-04-03 19:50:09,"RT @SenateGOP: 🚨 ATTENTION 🚨

Today is the FIRST DAY small businesses can apply for cash flow assistance under the Paycheck Protection Prog…"
1246096350653157382,2020-04-03 15:24:56,"On my website, you can now access a #COVID19 resource guide with links and critical information for people in Wyoming regarding public health, help for small businesses, unemployment benefits, and other programs available to help during this pandemic. https://t.co/aj5G1sDfkz https://t.co/J4afvYMK7M"
1246084383267840008,2020-04-03 14:37:22,"The #PaycheckProtectionProgram provides eight weeks of cash-flow assistance to small businesses who maintain their payroll during this emergency. There is nothing more pro-worker than keeping workers on payroll, &amp; that is exactly what this program does."
1246084249234653186,2020-04-03 14:36:50,"America’s small businesses are the backbone of our nation, but they face a life-or-death situation in the midst of the #coronavirus. Starting today, small businesses can take part in the #PaycheckProtectionProgram that the #CARESAct established. https://t.co/FjDUkXHAWg"
1245352476578103302,2020-04-01 14:09:02,Wrote in @CSTribune today about why it’s critical that HHS @SecAzar uses funding in #CARESAct to provide immediate financial relief for our rural hospitals in WY and across the country. We cannot stand by and watch rural hospitals become collateral damage in the #coronavirus war. https://t.co/z62V6Pnw7r
1245352244700217344,2020-04-01 14:08:07,RT @CSTribune: These are extraordinarily challenging times for the nation’s hospitals and health-care workers. https://t.co/gA8j4pRxRG
1245154734182477824,2020-04-01 01:03:17,"RT @GovernorGordon: As we see more confirmed cases, its critical we continue to limit public contact as much as possible. Your actions don'…"
1245079985070669825,2020-03-31 20:06:15,"RT @SenateGOP: THANK YOU, @Ford &amp; @GEHealthcare! 🇺🇸🙏

CNBC: ""Ford, GE plan to produce 50,000 ventilators in 100 days""

↓↓"
1245067797866086400,2020-03-31 19:17:49,Just got off the phone with the administrators of Wyoming hospitals with @SenatorEnzi and @RepLizCheney. We are committed to helping these facilities as they protect the health of Wyoming families. https://t.co/yMmFZ0XcR6
1245061246778474503,2020-03-31 18:51:48,"RT @SmallBizCmte: 🚨BREAKING🚨

@USTreasury just released information for #smallbiz and lenders on the #PaycheckProtectionProgram.

Read the…"
1245012949829328896,2020-03-31 15:39:53,"America’s infrastructure is the lifeblood of our economy. At a time when our nation is dealing with an economic crisis from this pandemic, fixing America’s roads and bridges is a great way to create jobs and support businesses."
1245012586682253315,2020-03-31 15:38:26,"We stand ready to answer @realDonaldTrump’s call. In the Senate, we have a bipartisan bill that will invest billions in America’s highways and is ready to go. Our bill will cut red tape so projects can get done better, faster, cheaper, and smarter. https://t.co/lZOsTcpXo3"
1244715065359708160,2020-03-30 19:56:11,"RT @SenateGOP: To America's health care professionals fighting day and night to keep us healthy, strong, and safe: THANK YOU! 🩺💙

#National…"
1244707960514924551,2020-03-30 19:27:57,"At age 27, Dr. Lillian Heath became WY’s 1st female physician when she opened her medical practice in 1893 in Rawlins. She would ride 40 miles on horseback to help the injured &amp; ill in our state. WY is grateful for this trailblazing woman. Photo credit: @CCMuseum https://t.co/ttKg2xSbRY"
1244688512521248770,2020-03-30 18:10:41,"A majority of rural hospitals have ceased performing elective procedures &amp; seeing non-urgent patients. We know the COVID-19 crisis confronting the U.S. must take priority, but some rural hospitals across the country only have days left of cash on hand &amp; need immediate assistance."
1244688411526561802,2020-03-30 18:10:17,"Today @SenatorBennet, @DrPhilRoe, @RepKimSchrier, &amp; I led a letter w/ 122 members of Congress to HHS @SecAzar urging immediate assistance to rural hospitals &amp; clinics. We need to use the funding included in the #CARESAct to sustain rural health providers. https://t.co/p8V0O6EqWM"
1244368140382998530,2020-03-29 20:57:38,"Nellie was the 1st woman elected to the Northern Arapaho Tribal Business Council in 1937, &amp; Maud was a talented entrepreneur who ran the Post Trading Company store &amp; Vernon’s motel. Photo credit of Nellie: @ahcwyo"
1244368071751610369,2020-03-29 20:57:22,"#WomensHistoryMonth celebrates leaders like WY’s Nellie Scott &amp; Maud Clairmont. In the 1940s, Nellie, chairman of the Arapaho Council, &amp; Maud, member of the Shoshone Business Council, showed incredible leadership by testifying before Congress to advocate for their tribes. https://t.co/4SrXK8Lnsb"
1244281751708598274,2020-03-29 15:14:21,"RT @SenateGOP: Today on #VietnamWarVeteransDay, we recognize all of the brave men and women who served our country. 

We thank you for your…"
1243974634728546304,2020-03-28 18:53:59,"Happy to support #Wyoming restaurants &amp; businesses still open for #takeout. Thanks to the owners of Kirby Creek Mercantile in Thermopolis, Hot Springs County Commissioner Phil Scheel &amp; his wife Shurie, for serving me lunch to go today in Bobbi’s hometown. https://t.co/wgMeFE9KhE"
1243943981215612928,2020-03-28 16:52:11,It was an honor to serve alongside him and have his friendship. My prayers are with his family today. https://t.co/yMPuzVkZGL
1243943820263383040,2020-03-28 16:51:32,"Doctor Tom Coburn dedicated his life to others, caring for expectant mothers and delivering thousands of children in his local community. He continued serving his community with distinction in the House of Representatives and as a United States Senator."
1243641135874150406,2020-03-27 20:48:47,"Help is on the way. President @realDonaldTrump just signed the #CARESAct into law. It will provide immediate relief for American families, workers, small businesses, and support health care workers and #Coronavirus patients. https://t.co/1BUn1CA5ok"
1243277896451489792,2020-03-26 20:45:24,RT @JimBridenstine: .@NASASTEM has the resources you need to keep your kids engaged and learning about space! Check out the NASA STEM @ Hom…
1243192085379002368,2020-03-26 15:04:25,"RT @SenateGOP: The CARES Act is phase 3 of the Senate’s work to tackle the coronavirus outbreak.

Phases 1 and 2 have both been signed by @…"
1243023743443783688,2020-03-26 03:55:29,It provides needed funding for health care workers and hospitals caring for #coronavirus patients. It brings direct financial relief to families and small businesses. I urge the House to get this to the president’s desk with all possible speed. https://t.co/SJxPsN8ey3
1243023363817312256,2020-03-26 03:53:58,The #CARESAct is the largest health care and economic rescue package in the history of our country. It is a rescue operation for the American people. https://t.co/EOxs76EqRt https://t.co/Al8U49h4ZK
1242949702292852738,2020-03-25 23:01:16,RT @GovernorGordon: I urge our citizens to stay home whenever possible and go out only when absolutely necessary. This will help Wyoming #S…
1242871879565787139,2020-03-25 17:52:02,"#Coronavirus relief legislation will help our nation overcome this health care &amp; economic crisis. Our country's health care infrastructure &amp; our economic resolve is being tested. We will defeat the coronavirus, &amp; we will be back stronger than ever. https://t.co/nJqxc1rnTf https://t.co/2vJydfkU5Y"
1242846446732402688,2020-03-25 16:10:58,"It’s outrageous that the House wouldn’t vote today if the Senate passes a stimulus package. I want to get a bill to @realDonaldTrump’s desk today. More work will need to be done later to help the economy recover, but this is a good start. https://t.co/Zcb965qUay"
1242593814553952261,2020-03-24 23:27:06,".@SpeakerPelosi came back to Congress with no urgency &amp; no real understanding of the needs of Americans. Republicans are ready to act &amp; to finish this tonight. The American people need relief, &amp; @SpeakerPelosi &amp; @SenSchumer are wasting time that we as a nation don’t have. https://t.co/ekTUGMMOse"
1242574389247381505,2020-03-24 22:09:54,RT @GovernorGordon: Helping your neighbor is the WY way. WY distilleries are banding together to make hand sanitizer to help #slowthespread…
1242498322478370826,2020-03-24 17:07:39,"Americans are doing their part in preventing community spread of #coronavirus, but health care workers &amp; the economy need the resources that are in our bipartisan bill. There is no reason to delay. We must pass this bill now. https://t.co/Wszpvqyutp"
1242485099230375940,2020-03-24 16:15:06,"RT @SenateGOP: Tax breaks for solar panels?

For wind turbines?

Democrats are holding up a rescue mission for the American people over air…"
1242451225758531584,2020-03-24 14:00:30,"You are either helping right now, or hurting. Pelosi’s handpicked partisan ploys are helping no one. She’s hurting American families by prioritizing airplane emissions, same-day voter registration&amp;wind energy tax credits over #coronavirus relief. #StopTheGamesNancy, #PassTheBill"
1242446570576056320,2020-03-24 13:42:00,"RT @SenateGOP: ✅ PHASE 1: Passed March 5
 
✅ PHASE 2: Passed March 18
 
❌ PHASE 3: Delayed by Democrats
 
The American people need action N…"
1242211198822735874,2020-03-23 22:06:43,"We need to make sure when Americans wake up tomorrow, they don't have the same fear about #coronavirus &amp; their family's wellbeing. We need decisive action today. The time for politics is beyond us. We need to vote today, &amp; we need to pass this today. https://t.co/bYdL6g9de7"
1242195778942181387,2020-03-23 21:05:27,"RT @SenateGOP: Conference Chairman @SenJohnBarrasso:

Just read these papers of DEMANDS from Democrats!

THAT'S where the problem is.

We n…"
1242158539646304263,2020-03-23 18:37:28,The package we’ve put together will stabilize our economy &amp; jobs while we all step up to get the coronavirus health crisis past us. The American people need results. The Democrat delay must end now.
1242158467433017353,2020-03-23 18:37:11,"Senate Republicans are on a rescue operation to save our country. We are acting to bring immediate relief to families, small businesses, &amp; those providing care to #coronavirus patients across the country. https://t.co/h4Gh81UP33"
1242065247197900800,2020-03-23 12:26:46,"It’s no time for politics. We need to pass #coronavirus legislation today. The package we're working on would give immediate relief to families &amp; make sure small businesses can keep their employees. The lives &amp; livelihoods of people are at risk, so we must act now. @MorningsMaria https://t.co/9Cz6aSxAJM"
1241913798627336192,2020-03-23 02:24:57,"Tonight, Democrats blocked emergency coronavirus legislation drafted in a bipartisan way, to provide immediate relief for American families. Democrats need to put partisan politics aside and join us in passing emergency funding to help Americans and stabilize our economy now."
1241798142443622401,2020-03-22 18:45:23,"Great conversation about coronavirus and medical efforts to stop the spread. Thanks to @TedCruz for having me on his podcast, #TheVerdict. https://t.co/9DaeRiIovs https://t.co/p0BIA014VK"
1241517882728742912,2020-03-22 00:11:44,"Congress will stop at nothing to assure that America and Americans survive and revive and thrive. We’re working on legislation that will bolster our economy and help small businesses stay viable. Together, we will defeat the #coronavirus. https://t.co/CPK0qS6bV0"
1241506920218976265,2020-03-21 23:28:10,.@SenatorBennet &amp; I introduced the Immediate Relief for Rural Facilities &amp; Providers Act. This bipartisan legislation will help make sure our hospitals &amp; clinics have the resources they need to keep serving patients during this national crisis.
1241506809162207232,2020-03-21 23:27:44,Rural hospitals &amp; health care providers are on the frontlines keeping communities in WY &amp; across the country safe. They are more important than ever as we face an unprecedented pandemic. https://t.co/w4UzRhLLvh
1241488228382920704,2020-03-21 22:13:54,"RT @WyoBizCouncil: SBA loans now avail to Wyo #SmallBiz Apply: https://t.co/j3hNKi4RhI

Please call @wysbdc regionals here: https://t.co/nJ…"
1241474976873689088,2020-03-21 21:21:14,"RT @GovernorGordon: Testing will continue to expand statewide, so we can expect the number of confirmed cases to increase. Please practice…"
1241047383707979778,2020-03-20 17:02:08,"RT @SenateGOP: To the health care workers on the frontlines.

To postal carriers, truck drivers &amp; supermarket employees.

To those staying…"
1240995185808609282,2020-03-20 13:34:43,Spoke to @foxandfriends this morning on how Congress’ coronavirus legislation is a rescue operation for our country. The American people expect Congress to act &amp; to do it in a bipartisan way. We need all hands on deck to deal with &amp; recover from the #coronavirus. https://t.co/hwr24R1l7T
1240723043896430592,2020-03-19 19:33:19,"RT @SenateGOP: ✓ PASSED: The Families First Coronavirus Response Act

Here's what it includes ⤵️

+ Free coronavirus testing

+ Paid sick l…"
1240651635791220737,2020-03-19 14:49:34,RT @GovernorGordon: It's time for Wyomingites to do all we can to slow the spread of COVID-19 in the state. Following the @POTUS social dis…
