id,created_at,text
1247212446902861826,2020-04-06 17:19:54,"Working to support #NDenergy producers &amp; that includes stopping the global oil price war and managing our current supply as the demand has been impacted by COVID-19. I’ve spoke to the Administration about this + getting more petroleum in the SPR, helping producers &amp; taxpayers. https://t.co/be6DzZ4uiV"
1246175460888887297,2020-04-03 20:39:17,This is all about getting this information to our agriculture groups so they can assist their members as well as ensuring the administration has firsthand knowledge of our local needs. Thanks to everyone who jumped on the call with us today.
1246175460138070016,2020-04-03 20:39:17,"After securing nearly $25B in the CARES Act for our farmers &amp; ranchers, I led an online roundtable for #NDag producers today including officials from @USDA, @FSA &amp; @NDagriculture Commissioner Goehring."
1246098613169795074,2020-04-03 15:33:55,"Today’s the first day #SmallBiz can apply for loans under the #PaycheckProtectionProgram. This $350B we secured in the CARES Act is now available for small businesses to keep workers employed, leases paid &amp; help businesses recover. More info here: https://t.co/y6LUoCZIUB https://t.co/LGqixACBhq"
1245840273445289984,2020-04-02 22:27:22,"My statement after speaking with Princess Reema, Saudia Arabia’s Ambassador about ending the global price war ⬇️ https://t.co/3iPQAijOUx"
1245780982629883905,2020-04-02 18:31:46,SS recipients WILL NOT need to file a tax form first. More info on these checks and other CARES Act relief here: https://t.co/y6LUoCZIUB
1245780779122253829,2020-04-02 18:30:57,".@USTReasury announced last night that @SocialSecurity recipients will receive Economic Impact Payments (up to $1,200/per person under the CARES Act) through direct deposit or a paper check, similar to how they’d normally receive their SS benefits."
1245444660622917633,2020-04-01 20:15:20,"I again spoke w/ @Energy @SecBrouillette about putting an end to the global price war as soon as possible &amp; doing all we can to support our domestic energy producers, including #NDenergy, through the current market challenges. https://t.co/DjZSNJaJDo"
1245426232801595392,2020-04-01 19:02:07,"RT @DougBurgum: .@POTUS has granted ND's request for a major presidential disaster declaration, opening up federal assistance for our respo…"
1245425259265785857,2020-04-01 18:58:15,"Along with @SenKevinCramer &amp; @RepArmstrongND, we’d like to thank @POTUS @realDonaldTrump for approving #NorthDakota’s Disaster Declaration issued by Gov. @DougBurgum. We appreciate the President’s leadership &amp; quick approval."
1245379294832013313,2020-04-01 15:55:36,Doing so will ensure they can get their operations back up and running again to quickly restart our economy. Federal &amp; state resources can be found on my website: https://t.co/y6LUoCZIUB
1245379293867388928,2020-04-01 15:55:36,Joined @1MillionCupsND today to update small business owners &amp; entrepreneurs on the assistance provided under the CARES Act. This is about keeping small business employees on payroll &amp; helping self-employed individuals get by while we combat this disease… https://t.co/VamXJmiLNa
