id,created_at,text
1247177364825690112,2020-04-06 15:00:29,"We asked, and @realDonaldTrump extended the #REALID deadline. 

That helps our economy and gives Louisiana officials the chance “to focus on what’s most important right now.”

https://t.co/FOHOYrhT15"
1246900156781527041,2020-04-05 20:38:58,"As we look ahead to next Sunday and remembering Christ's resurrection, Becky and I pray this Palm Sunday brings you hope, encouragement, and comfort in the Lord of love. https://t.co/JRCyVeodNn"
1246188758539677699,2020-04-03 21:32:07,"Oil and gas jobs are at risk because 1. the #coronavirus hurt demand and 2. Russia and Saudi Arabia are fighting like kids in the backseat of a minivan.

It's time for that spat to stop so we can stabilize prices and save jobs. https://t.co/tXj3PePb4Q"
1246152257978105857,2020-04-03 19:07:05,"Great to hear the Trump Administration is meeting with independent oil refiners and producers today.

Louisiana oil and gas jobs help secure America’s energy future. The whole country benefits from those jobs.

https://t.co/KY27FtZAhB"
1246101922668515337,2020-04-03 15:47:04,"Forgivable loans from the #PaycheckProtectionProgram are available now!

Find out how to get 8 weeks of cash-flow aid to pay your workers, save jobs, and sustain businesses.

https://t.co/ciDhwUYzFU https://t.co/tOWxAsc1bz"
1246048049056624640,2020-04-03 12:13:00,"Did you know @USTreasury is offering businesses an employee retention credit for keeping people on payroll? 

The credit is 50% of up to $10,000 in wages.

https://t.co/sY8N20ieGd"
1245893037127016448,2020-04-03 01:57:02,"Louisianians are coping with #coronavirus thanks to our #HeroesInScrubs—We have the best doctors, nurses, and health professionals in the world! https://t.co/rsaPpaOATc"
1245839503618650112,2020-04-02 22:24:18,"Louisiana oil and gas workers need flexibility as we fight the #coronavirus. 

@SenBillCassidy and I are asking @POTUS for critical royalty relief for the independent energy producers who have helped make America energy independent.

https://t.co/ylMxFgMYcn"
1245826748278865921,2020-04-02 21:33:37,"Another Chinese company wildly exaggerated its success while being traded publicly in the U.S.
 
The Holding Foreign Companies Accountable Act would help protect American investors from this kind of flimflam as our people face a host of China’s lies.
 
https://t.co/ExTT5M3u3z"
1245700291149942784,2020-04-02 13:11:08,"Good news for seniors in need of economic relief during tough times: @USTreasury will pay social security recipients $1,200 without making them file tax returns.

https://t.co/NeO5ik5nC3"
1245454428326543360,2020-04-01 20:54:09,"Wondering when and how people will receive direct payments from the IRS?

Find the answers to your questions here: https://t.co/gjEatuDIKw"
1245434471232536577,2020-04-01 19:34:51,"Know a small business with questions about how @SBAgov can help them keep employees on payroll? 

The Paycheck Protection Program provides 8 weeks of cash-flow help to employers who maintain their payroll during the #coronavirus: https://t.co/K5E2ZY5slz https://t.co/ntCQz6BZQy"
