id,created_at,text
1247289057304084482,2020-04-06 22:24:19,"I spoke w/hardworking folks at @LennoxAir in Marshalltown today about #COVID19’s impact on their work. We’re continuing to hear from Iowans across the state about how we can help during this pandemic.
 
Do you have a question or concern? Please reach out: https://t.co/KDdD0xg9nI"
1247270999306973187,2020-04-06 21:12:34,"Just joined a call with members of the Cedar Rapids @EconomicAllianc to walk through the relief packages we passed to support Iowa’s #smallbiz during #COVID19. 

I’m continuing to listen to #Iowa small biz owners and folks from across the state. https://t.co/yd2v5OTaku"
1247257899791003648,2020-04-06 20:20:30,"During this crisis, every American deserves the promise of economic stability, and survivors of domestic violence are no different. 

Read my letter to @IRSnews calling on them to ensure survivors – regardless of their living situation – receive their direct payments. https://t.co/bJZCy2VETr"
1247214906732134405,2020-04-06 17:29:40,"Another company stepping up to the plate! @ValeroEnergy is utilizing their plant in Hartley to produce hand sanitizer for hospitals across Iowa and the country. 
https://t.co/FN66VzKYh2"
1247179717666639872,2020-04-06 15:09:50,"“There is no business model required for doing the right thing."" – James Sears, CEO of Sears Seating in Davenport, who has directed his manufacturing company to produce PPE for health care workers in hospitals in the Davenport area. Thank you!
https://t.co/WUuZrc8VH9"
1246939692400087040,2020-04-05 23:16:04,"Iowans in every part of our state–moms &amp; dads, nurses &amp; doctors, small biz employers &amp; employees, seniors &amp; students, veterans &amp; farmers–will get support from the relief packages Congress passed &amp; @POTUS signed.

We'll get through this together. My column: https://t.co/ENh6EWVC51"
1246858352312926215,2020-04-05 17:52:51,"Even when we face challenging times, it’s inspiring to see Iowans continue to support one another and spread goodwill. If you have a story of you, your family members, your neighbors, etc. helping each other out, I want to hear about it! Share it here: https://t.co/hzfrUg6XLH"
1246544087370563585,2020-04-04 21:04:04,"It’s often in these challenging times when Iowans band together and rise to the occasion, and this pandemic is no different. We’re seeing it all across our state. Iowans are stepping up to help Iowans. I want to hear from you. Share your story ⬇️ 
https://t.co/hzfrUg6XLH"
1246492480192884738,2020-04-04 17:39:00,"Help is on the way for our health care workers who are on the front lines caring for Iowans during #COVID19. Thank you for all that you do!   

Stay safe and stay strong, we’ve got your backs. https://t.co/A5a0IWBqb2"
1246445545159344130,2020-04-04 14:32:30,"This is Iowa, and individuals continue to help one another out in a time of need. ❤️ https://t.co/qtpvBBKWw2"
1246207538267373569,2020-04-03 22:46:45,"With kids out of school, for some parents access to child care is more important than ever. A big thanks to the child care providers who are stepping up—while social distancing and following @CDCgov guidelines—to help parents on the front lines of #COVID19 https://t.co/esPFe0bKJo"
1246186653716221953,2020-04-03 21:23:45,"I’d like to send huge THANK YOU to all the folks at our @SBAgov approved banks &amp; local lenders who are working around the clock to help our #smallbiz get the support they need during these difficult times.
 
We’re all in this together. Stay safe and stay strong."
1246168861789093889,2020-04-03 20:13:04,"As Iowa’s small businesses &amp; local lenders/banks navigate the #PaycheckProtectionProgram, my office is here to help! Don’t hesitate to reach out – we’re in this together.
 
More info is available on my website: https://t.co/lTp2TUs4O0 https://t.co/E02n7hyPDi"
1246141199993503747,2020-04-03 18:23:08,"#Smallbiz in Iowa and across the country: relief is on the way. Working with @POTUS, Congress has provided $350B to help our small businesses pay their bills &amp; keep workers on the payroll.
 
You can apply for these loans TODAY. Visit: https://t.co/ilISi0cK2a https://t.co/dnQ5B9hh4d"
1246123415217602573,2020-04-03 17:12:28,Thank you to all of the DV shelter workers and advocates who are supporting victims during this pandemic—it’s a great reminder to victims: you are never alone.
