id,created_at,text
1246422268898684929,2020-04-04 13:00:00,The nation is in crisis and more than 50 fourth-year med students have stepped up. Proud of these students at the @UnivOfKansas School of Medicine who asked to graduate early to participate in the Kansas Pandemic Volunteer Health Care Workforce. https://t.co/r1cWy4r00V
1246185376655585280,2020-04-03 21:18:41,RT @SenateAgGOP: NEWS: @SenateAgGOP + @SenateAgDems Urge Small Business Administration to Provide #Coronavirus Relief to Farmers &amp; Ranchers
1246133608965976066,2020-04-03 17:52:59,RT @SenateAgGOP: Thank you to the folks #StillFarming. We couldn't survive without you.
1246067976794710016,2020-04-03 13:32:11,"RT @SenateGOP: 🚨 ATTENTION 🚨

Today is the FIRST DAY small businesses can apply for cash flow assistance under the Paycheck Protection Prog…"
1245795268961894402,2020-04-02 19:28:32,I encourage small businesses in need to contact their bank or credit union to apply to this program. Learn more here: https://t.co/LgnzqRhmei
1245795267577856002,2020-04-02 19:28:32,The Paycheck Protection Program delivers much needed relief to Kansas small businesses by providing forgivable loans for businesses that keep employees on their payroll.
1245785887331532802,2020-04-02 18:51:15,I appreciated the opportunity to hear from @stevenmnuchin1 and Dr. Anthony Fauci today and receive an update on their continued efforts to combat the coronavirus.
1245759085808623617,2020-04-02 17:04:45,The IRS is urging taxpayers to be extra cautious of email phishing and scamming attempts as a result of COVID-19. Learn more about precautionary measures here: https://t.co/K0m5CoQ8kp
1245750241145565186,2020-04-02 16:29:37,"RT @SenateAgGOP: “...the science at NBAF will help us to develop those tools that will help predict what will be the next pandemic, what wi…"
1245713835757047808,2020-04-02 14:04:57,.@USTreasury and the #IRS have announced Social Security beneficiaries will receive their Economic Impact Payments the same way they typically receive their benefits. https://t.co/GD2Tmx2CwB
1245452389152407555,2020-04-01 20:46:03,"During this trying time for our nation, I'm proud of the Kansans stepping up to look out for one another. Read about the incredible work Major Bobby Reed from the @BourbonOffice sheriff’s department is doing to help those in need in the Fort Scott area: https://t.co/USRaQWXWbI"
1245386631575752707,2020-04-01 16:24:45,ICYMI: I joined @WIBWNews this morning to discuss the importance of agriculture in our country right now with @GregAkagi. Listen here: https://t.co/Iw83K5Kq2J
1245350208399122433,2020-04-01 14:00:01,We all have to do our part to #FlattenTheCurve. Here are some tips on what you can do from the @CDCgov: https://t.co/LxcfzlknrL
1245301915648438273,2020-04-01 10:48:07,I'm joining @GregAkagi on @WIBWNews at 6:00 a.m. Listen live here: https://t.co/0eq1daCXjv
1245123983881756673,2020-03-31 23:01:05,RT @SenateAgGOP: LISTEN: Chairman @SenPatRoberts talks Ag + #coronavirus at 7am Eastern Tuesday! 🎙
1245092942399881216,2020-03-31 20:57:44,"Working with our local governments is crucial as our state deals with the impacts of the coronavirus. Today, I spoke with members of the @LeagueKSMunis to provide a federal update and hear their concerns. We will get through this together."
1245002796346327042,2020-03-31 14:59:32,I thank the @ksdehq for identifying a need and solution and the @USDA Food and Nutrition Service for reducing barriers to feed more hungry schoolchildren. Read more on child nutrition programs changes in Kansas during COVID-19: https://t.co/0YnKusleHk
1244968509689430018,2020-03-31 12:43:17,I visited with @GovLauraKelly over the weekend and am staying in close touch with local officials as well. It is important that all levels of government and the private sector aggressively work together to meet our health and economic  challenges.
1244767899082010624,2020-03-30 23:26:08,On this #NationalDoctorsDay it’s more important than ever to thank a doctor. In this time of crisis they are on the front lines and we should all take a moment to thank them for what they do today and every day. https://t.co/EGB40xJWqt
1244716966297944064,2020-03-30 20:03:45,"I joined 121 of my colleagues in the Senate and the House today in sending a letter to the Trump administration calling on @HHSgov to support hospitals in our rural communities. During a time like this, we cannot forget the needs of rural areas. https://t.co/d603Avmg8p"
1244624761323491330,2020-03-30 13:57:21,RT @SenateAgGOP: Roberts: The CARES Act provides additional resources for nutrition assistance and supports our nation’s food banks as well…
1244624745783582722,2020-03-30 13:57:18,"RT @SenateAgGOP: Roberts: Protecting farmers &amp; ranchers is a top priority. If you’ve been to a grocery store recently, you know how importa…"
1244623842674454529,2020-03-30 13:53:42,.@realDonaldTrump approved the Kansas disaster declaration to provide recovery efforts in the areas impacted by COVID-19. Learn more here: https://t.co/JcFR2eWlG3
1244617827987922946,2020-03-30 13:29:48,"Ad astra per aspera — to the stars through difficulties. Our state’s motto is something we Kansans live by each and every day, and I can’t think of a time when this motto was truer than it is today.

Read my op-ed in the @KCStar about the CARES Act here: https://t.co/DZHLgNdcN4"
1244276650860326912,2020-03-29 14:54:05,"As our nation endures a public health emergency, some of the new coronavirus laws provide more funding for senior nutrition programs. @HHSGov has started to release $250 million in grants from the Administration for Community Living to help provide meals during this dire time."
1244276649362931712,2020-03-29 14:54:05,"I have championed the Meals on Wheels program for decades and helped in crafting the nutrition measures that will help older Kansans in communities big and small. As Chairman of the Senate Agriculture Committee, I will continue to focus on the needs of the hungry."
1244276647467134976,2020-03-29 14:54:04,"Some good news: Congress passed an updated Older Americans Act that supports Meals on Wheels. It also provides KS grants to support meal services at senior centers, community centers, schools, churches and senior housing complexes. It’s especially helpful to rural Kansans."
1243948420232024066,2020-03-28 17:09:49,"I am sorry to hear the news about Tom Coburn’s passing. He fought the battle against cancer for many years, just as he never stopped fighting for the people of Oklahoma and for our great country. Franki and I send our sympathies to his family."
1243943051745275905,2020-03-28 16:48:29,.@GovLauraKelly announced today a statewide stay-at-home order that begins Monday and lasts until April 19. https://t.co/JbWg3DltXe
1243643954488397825,2020-03-27 20:59:59,"RT @SenAlexander: And the Priority Zoonotic Animal Drug designation program—led by @SenPatRoberts, @SenatorBurr &amp; @SenBobCasey—will allow @…"
1243642535995682816,2020-03-27 20:54:20,"The coronavirus continues to take its toll on the nation and the world and I am proud we finally came together for the good of the country with this bill that delivers necessary assistance to our workers, businesses and families."
1243642535081390080,2020-03-27 20:54:20,"Now that @realDonaldTrump has signed the CARES Act into law, the American people can start to receive much needed relief during this time of crisis. Providing aid to Kansans and Americans across the country is crucial."
