id,created_at,text
1247234711078002689,2020-04-06 18:48:22,"👀 Watch 👀

.@TheFueling in #Tampa is purchasing meals from local restaurants for health care staff fighting the #coronavirus on the front lines. It's great to see the community come together to support #smallbiz and our heroic health care workers! #sayfie #flapol https://t.co/YihJjMGH9Z"
1247221657074388995,2020-04-06 17:56:29,"‼️ICYMI: “the coronavirus outbreak may have brought the Florida GOP senator to his most critical moment yet..As chairman of the usually sleepy Small Business Committee, Rubio has a key position in the country’s response and recovery from the pandemic.” https://t.co/ibkKwMhBwO"
1247209988344418307,2020-04-06 17:10:07,"As our country continues to fight the #coronavirus outbreak, Senator Rubio released information and resources on how Floridians can help reduce its spread and stay protected from infection. #WeWillWin

Learn more here 👇

https://t.co/YonHZALnE9"
1247179530671927297,2020-04-06 15:09:06,"El #ProgramaDeProtecciónDePagoDeCheques sigue brindando un importante alivio para las pequeñas empresas en EE.UU.

Averigüe cómo los préstamos PPP pueden apoyar a su pequeña empresa y cómo solicitarlo aquí 👇

https://t.co/Uyfcm5SOdQ"
1247179380855619585,2020-04-06 15:08:30,"The #PaycheckProtectionProgram continues to offer vital relief for small businesses across the nation.

Find out how #PPPloans can help your #smallbiz and how you can apply below  👇

https://t.co/aV9lDTWHmr"
1247175982236065792,2020-04-06 14:55:00,"📻En Minutos📻: El senador Marco Rubio hablara con 
@RaquelRegalado y @FelixG_41 en @Caracol1260 
 sobre el #COVIDー19 y del #ProgramaDeProtecciónDePagoDeCheques para ayudar a las pequeñas empresas en la #Florida y #EE.UU. https://t.co/DgaGIFPr7q"
1247139419129360387,2020-04-06 12:29:42,"🚨SOON🚨

Sen. Rubio will give an update on the #PaycheckProtectionProgram for #smallbiz on @SquawkCNBC. #SmallBizBigImpact"
1246878641608216576,2020-04-05 19:13:28,El senador Rubio y la señora Rubio se unen a la comunidad cristiana de la #Florida y de los Estados Unidos en celebrar este #DomingoDeRamos al comenzar la celebración de la Semana Santa. https://t.co/InVbWj6Cuh
1246878639691571202,2020-04-05 19:13:28,Senator Rubio and Mrs. Rubio join the Christian community throughout #Florida and the United States in celebrating #PalmSunday as we begin the celebration of Holy Week. https://t.co/9WRzLMyZP7
1246603753718980608,2020-04-05 01:01:10,Senator Rubio and Mrs. Rubio join the @PBCountySherriff family in grieving the loss of Sgt. José Diaz Ayala who sadly passed away from #Covid_19. Thank you for your many years of service Sgt. Ayala. https://t.co/KJGoqQK5yu
1246553890469937157,2020-04-04 21:43:01,Senator Rubio and Mrs. Rubio extend their deepest condolences &amp; prayers to the @browardsheriff’s office and the family of Deputy Shannon Bennett who unfortunately passed away from #Covid_19. https://t.co/udh2NlDWiH
1246496729047994372,2020-04-04 17:55:53,RT @SmallBizCmte: Chairman Rubio releases update on day 1 of the #PaycheckProtectionProgram. More than $5B in forgivable #PPPloans approved…
1246439881917816832,2020-04-04 14:10:00,"🚨SOON🚨 Sen. Rubio will talk about the #PaycheckProtectionProgram on the #SmallBiz Radio Show with @barrymoltz.

Listen live🔽
https://t.co/8T18q6cWTn https://t.co/2GxthFz3yY"
1246198873812545537,2020-04-03 22:12:19,"RT @SmallBizCmte: TODAY: Chairman Rubio, Chairwoman @NydiaVelazquez, and Ranking Member @RepSteveChabot sent a letter to SBA to clarify tha…"
1246192389112451075,2020-04-03 21:46:33,RT @SmallBizCmte: @TallyMacShack &amp; Register’s Meat Co. created a program to help #Tallahassee #Florida #smallbiz impacted by #coronavirus.…
1246188996084011009,2020-04-03 21:33:04,.@FEMA has announced it will reimburse @MyFDOT more than $9 million for debris removal as a result of #HurricaneMichael.
1246188931122630663,2020-04-03 21:32:48,.@FEMA has announced it will reimburse the #CityofChattahoochee more than $1.5 million for electrical system repairs damaged by #HurricaneMichael.
1246188869411889153,2020-04-03 21:32:34,.@FEMA has announced it will reimburse @FLSERT more than $34 million for emergency protective measures as a result of #HurricaneMichael.
1246188791146176513,2020-04-03 21:32:15,.@FEMA has announced it will reimburse #StJohnsCounty more than $12.6 million for emergency berm repairs as a result of #HurricaneMichael.
1246153048772280321,2020-04-03 19:10:13,"Tras 7 meses injustamente tras las rejas, el coordinador de la #UNPACU @jdferrer junto a los activistas José Pupo Chaveco, Fernando González y Roilán Zárraga fueron excarcelados. Ellos NUNCA tuvieron que haber sido encarcelados, su único crimen es oponerse al régimen de #Cuba. https://t.co/rNEgZVEwlb"
