id,created_at,text
1247315787016175618,2020-04-07 00:10:32,"I’ve been urging President Trump to pick ONE PERSON, a senior military officer, to lead both production and distribution of critical medical supplies.

When he was just asked who that person was today? He said many people were in charge.

That’s the point. We need one."
1247312307383926784,2020-04-06 23:56:42,"If President Trump is saying that America’s governors are telling him he’s doing a good job, he should read the front page of the New York Times this morning."
1247309999438737410,2020-04-06 23:47:32,"President Trump:

If things are going so well with the distribution of critical medical supplies, why are there complaints from one end of America to the other?"
1247243226207092743,2020-04-06 19:22:12,"BREAKING: I'll appoint Bharat Ramamurti to the Congressional Oversight Commission.

He served with @SenWarren on banking and economic policy.

He's shown he knows how to fight for the American people to hold corporations and the Trump admin accountable.

https://t.co/WnvywdVgIL"
1247196545260363776,2020-04-06 16:16:42,"If you’re a gig worker, a part-time worker, self-employed, or a freelancer, I want you to know that you are covered by the new coronavirus response bill.

Because Senate Democrats fought to increase and expand unemployment insurance.

WATCH: https://t.co/IXSxZ2Risz"
1247171570289774594,2020-04-06 14:37:28,"Lives are at risk.

Medical workers don’t have critical supplies or hazard pay. Unemployment is soaring.

But the Trump administration wants to deliver huge tax cuts to the wealthiest few?

That’s ridiculous. Absolutely not. https://t.co/eX36n1vQs6"
1247159458205257729,2020-04-06 13:49:20,RT @apalmerdc: Playbook SCOOP: Chuck Schumer had a call with WH COS Mark Meadows last night &amp; pushed White House to fully invoke DPA and na…
1247152189396705280,2020-04-06 13:20:27,"Last night, I spoke with the WH Chief of Staff

I urged him to have Pres. Trump appoint a senior military officer to lead gov-wide production &amp; distribution of critical medical supplies

Lives are at stake

I suggested:
Gen. Paul Selva
Adm Sandy Winnefeld
Vice Adm Mark Harnitchek https://t.co/CDiRuM8opX"
1246986396843282433,2020-04-06 02:21:39,"President Trump hates when people say what he doesn’t want to hear: The truth.

Our country is a better place because of patriots like Michael Atkinson. https://t.co/IllDomiEMy"
1246901364732702723,2020-04-05 20:43:46,"Inspector General Michael Atkinson told me in a letter in March that it was a “a searing time for whistleblowers.”

In America, patriots speak truth to power.

President Trump has turned that inside out.

When you tell the truth, he fires you.

https://t.co/0C7MiyXJqj"
1246878964049641479,2020-04-05 19:14:45,"Thanks for having me on, @Alyssa_Milano! Senate Democrats fought for the coronavirus response bill to help people and families and our health care system. Listen: https://t.co/XsN8dRgBWU"
1246860084577284099,2020-04-05 17:59:44,"Lives are at stake nationwide.

We cannot rely on a patchwork of uncoordinated voluntary efforts for critical medical supplies.

I will keep urging Pres. Trump to appoint a senior military officer with a background in logistics to lead government-wide production and distribution."
1246831340592521220,2020-04-05 16:05:31,"President Trump could sign an executive order TODAY giving hazard pay to our frontline federal workers hazard pay.

These are brave people on the frontlines of this fight.

If he doesn’t, we’ll do everything we can to make sure frontline workers get the hazard pay they deserve."
1246617522637504512,2020-04-05 01:55:53,"I spoke to Inspector General Michael Atkinson tonight, thanked him for his service, and told him that history will remember him as a hero and those who retaliated against him as scoundrels."
1246589758266052612,2020-04-05 00:05:33,"I’m heartbroken by the loss of FDNY Deputy Chief Inspector Syed Rahman. 22 years on the job. Service at Ground Zero. Father of four. NYC is in his debt. I’m praying for him, his family, and for all public servants we have lost and everyone we have lost. https://t.co/LPx73T3n0t"
1246568066932248579,2020-04-04 22:39:21,"“A searing time for whistleblowers”

That’s what Michael Atkinson told me in a letter in March.

In America, patriots like him speak truth to power. And that’s why President Trump fired him.

https://t.co/0C7MiyXJqj"
1246517595848814593,2020-04-04 19:18:48,"In America, patriots speak truth to power.

President Trump has turned that inside out.

When you tell the truth, he fires you.

https://t.co/pJBwSaydda"
1246504269207031810,2020-04-04 18:25:51,"RT @CNNnewsroom: “There's all too familiar a pattern in this administration,” Senate Minority Leader Chuck Schumer says about President Tru…"
1246495482517622785,2020-04-04 17:50:56,"President Trump could sign an executive order right now to give hazard pay to our frontline federal workers hazard pay

If he doesn’t, we’ll do everything we can to make sure frontline workers get the hazard pay they deserve

These are brave people on the frontlines of this fight"
1246484751248130048,2020-04-04 17:08:17,"Lives across the country are at stake. We can't rely on a patchwork of uncoordinated voluntary efforts for critical medical supplies.

I'm continuing to urge Pres. Trump to appoint a senior military officer with a logistics background to lead gov-wide production and distribution."
