id,created_at,text
1247268218202357763,2020-04-06 21:01:30,More resources are now available for Alabamians as we work to combat the effects of #COVID19! @GovernorKayIvey just launched #ALTogether – a site focused on providing additional information &amp; assistance for those who need it. https://t.co/PosdJTh8Ii
1246611103884414976,2020-04-05 01:30:22,Big thanks to @SBAgov and @USTreasury for working overtime to help our local #Alabama banks. Proud #smallbiz in our state and across the nation can officially apply for the #PaycheckProtectonProgram for assistance during this unprecedented time. @AlabamaBankers https://t.co/q7hTIMW0nj
1246185175714869248,2020-04-03 21:17:53,"Pleased @GovernorKayIvey is working to keep the people of Alabama safe and healthy. As I’ve said, if we want to end this crisis, we must do everything in our power to stop the spread of the virus. Everyone has a critical role to play. Please stay home, and please stay safe. https://t.co/d8JGxHN90x"
1245807659690995713,2020-04-02 20:17:46,Here’s another example of Alabamians working to fight this pandemic &amp; help those suffering from it - A group of @AuburnU engineers has come up with an innovative way to treat #COVID19 patients by turning CPAP machines into ventilators. https://t.co/udPOFGcsXD
1245748023315042310,2020-04-02 16:20:48,"RT @USTreasury: We know you have many questions about #COVID19. For the latest information, rely on official sources:
 
For health info: ht…"
1245747283653689346,2020-04-02 16:17:51,"RT @SRCC: .@SenShelby: “Congress needed to act urgently &amp; boldly. After an unsettling &amp; partisan start to 2020, Congress was able to cast a…"
1245460477431472130,2020-04-01 21:18:12,Proud to see @Hyundai @HopeonWheels is granting funding for #COVID19 drive-thru testing to 11 children's hospitals - one of them being @ChildrensAL. The hospital will receive a $200K grant to provide a safe &amp; efficient way for children w/ risk factors to get the care they need. https://t.co/FzLiAOfYDy
1245397183886766082,2020-04-01 17:06:41,"RT @marcorubio: This Friday 3 April #SmallBusiness can start applying for &amp; receiving payroll money under #PaycheckProtectionProgram 

Foll…"
1245396599926329345,2020-04-01 17:04:22,"RT @SRCC: .@SenShelby: “This historic package will rush assistance to American workers, families, businesses, and health care providers, de…"
1245379868512202753,2020-04-01 15:57:53,"RT @uscensusbureau: At a time when we're all keeping a little distance, we can still come together. Respond to the #2020Census online today…"
1245154033725251585,2020-04-01 01:00:30,It's of the utmost importance that Alabamians have access to the best resources to help fight this pandemic &amp; receive proper care. Please visit my website for links to resources that’ll help AL utilize the funds from #CARESAct &amp; other COVID-19 legislation: https://t.co/CAbsiUWfVq
1245100722439495680,2020-03-31 21:28:39,"During this global pandemic, we have to continue looking ahead, focusing on our promising future yet to come. I am confident that we will overcome this unprecedented trial, as we have countless others throughout history, emerging stronger on the other side.https://t.co/iaKVorZxow"
1245095743301521408,2020-03-31 21:08:52,"AL’s main marine research center, @DISeaLab, is providing a unique opportunity for students, teachers, &amp; the public to learn about all aspects of coastal &amp; marine life. Despite schools being closed due to COVID-19, this is an experience everyone can enjoy. https://t.co/lwXgLZ2RSh"
1245065612851888130,2020-03-31 19:09:08,"Every American has a critical role to play in saving our country from this pandemic. Please stay home, and please stay safe. https://t.co/iaKVorZxow"
1245065611576774658,2020-03-31 19:09:08,"If we want to end this crisis, we must also do everything in our power to stop the spread of the virus. We must control the one thing we can: our own actions. We must all do our part to flatten the curve by following the guidelines from our nation’s leading health officials."
1245033735986327560,2020-03-31 17:02:28,They are facing this catastrophe head-on and prioritizing our collective health and safety over their own. These are the unspoken heroes of the Coronavirus pandemic. https://t.co/iaKVorZxow
1245033735260639233,2020-03-31 17:02:28,"Amidst this public health and economic crisis, we must remember and salute those who continue to serve our nation. Health care professionals, researchers, policeman, firefighters, truck drivers, grocery store clerks, and other members of society are still out there working hard."
1245016080675897344,2020-03-31 15:52:19,"During this unprecedented time, I recognize that it is my duty as your senator to do everything in my power to help this great country and her people - whether that’s by providing resources and assistance or finding ways to ensure our safety. https://t.co/iaKVorZxow"
1244995508160126976,2020-03-31 14:30:34,RT @LeeWSFA: A Tornado Watch is in effect for everyone shaded in yellow. Stay weather-aware today. https://t.co/1z4OwpxQrq
1244700142877450243,2020-03-30 18:56:54,Helpful resources from @BusinessDefense to help combat COVID-19: https://t.co/QrP8TvywP8
1244685103818838017,2020-03-30 17:57:08,More good news: UAB was selected to participate in @NIH sponsored clinical trials in testing of the #UAB drug discovery #Remdesivir to help treat hospitalized patients with COVID-19. Proud we're working to fight this epidemic in #AL. @UABnews https://t.co/R0T3kjRdfy
1244678625435299842,2020-03-30 17:31:23,"RT @HHSGov: Thank you to all the doctors and healthcare professionals who work night and day to care for those in need, especially during t…"
1244674986180296704,2020-03-30 17:16:56,"RT @MGMAdvertiser: ""Congress’ efforts will help pave the way back to a normal life for all Americans,"" Alabama Sen. Richard Shelby writes.…"
1244645992575709184,2020-03-30 15:21:43,Read my op-ed in the @MGMAdvertiser on the current Coronavirus emergency facing our nation: https://t.co/iaKVorZxow
1244253406430212097,2020-03-29 13:21:43,"RT @SBAgov: Times are tough for small businesses across the country. SBA, our district and regional offices, and resource partners are here…"
1244000392071073792,2020-03-28 20:36:20,"Saddened to hear of the death of my former colleague, Senator Tom Coburn of Oklahoma. Annette and I offer our condolences to his wife, Carolyn, and their entire family during this time."
