id,created_at,text
1247260426930466816,2020-04-06 20:30:33,"This is not how we treat a commander looking out for the safety and health of his crew. Captain Crozier is a hero.
 
I joined @SenBlumenthal in calling for an immediate DoD IG investigation into Captain Crozier's removal. https://t.co/L5CcLDXtHy"
1247195478774743041,2020-04-06 16:12:28,"RT @SenateBanking: Former @CFPB Director @RichCordray: How the CFPB has failed to protect consumers during the COVID-19 Crisis.

https://t.…"
1247187199835111424,2020-04-06 15:39:34,RT @RichCordray: The CFPB has fundamentally misread the situation consumers are facing during the #COVID19 pandemic and needs to change gea…
1246456111525285888,2020-04-04 15:14:29,"Another example of Trump’s post-impeachment retribution tour. Taking his frustration out on the Inspector General, an independent apolitical entity, is completely unacceptable. https://t.co/I4VtHLOEKy"
1246149511199838209,2020-04-03 18:56:10,"Veterans and SSI recipients should not have to file a tax return to get their stimulus checks.
 
@SenatorHassan @SenatorBennet @SenBooker and I are leading our colleagues in calling on Treasury to remove this unnecessary hurdle 👇 https://t.co/um0xBtSwE9"
1246086859949854722,2020-04-03 14:47:13,RT @CRLONLINE: Kudos to @SenSherrodBrown @RonWyden @SenWarren @SenateBanking for Calling On Mnuchin To Ensure That Direct Payments Go To Ha…
1245846208918290432,2020-04-02 22:50:57,"Yesterday, if not for a court’s injunction, the Trump Administration’s cruel rule to take food assistance away from hundreds of thousands of Americans would have gone into effect. 

USDA should drop it’s appeal - too many families are hurting. 

https://t.co/xztsvbPREF"
1245817605354643457,2020-04-02 20:57:17,"RT @UFCW: We must take care of the millions of American workers on the front lines of the #coronavirus outbreak.

Thanks to @SenSherrodBrow…"
1245771061695840256,2020-04-02 17:52:21,"RT @AlexMillerNews: .@SenSherrodBrown is calling for the government to offer pandemic pay-- time and a half-- for workers (orderlies, food…"
1245720344322850819,2020-04-02 14:30:49,"UPDATE: This is the right move from Treasury.

@SenatorHassan and I led our colleagues in calling for this change. This will make a big difference in getting seniors and those with disabilities their stimulus checks. https://t.co/OcynJexuhG"
1245423341185490945,2020-04-01 18:50:38,RT @SenatorHassan: Congress made it clear in the #COVID19 CARES Act that Social Security beneficiaries should automatically get cash assist…
1245405608691597312,2020-04-01 17:40:10,"Read our letter here: 

https://t.co/U4NOVFvAi0"
1245405453913382912,2020-04-01 17:39:33,"The IRS shouldn't be making it any harder for seniors and those with disabilities to get direct cash payments.
 
@SenatorHassan and I led a group of 41 senators calling on the Trump Admin to get CARES Act cash directly to Social Security beneficiaries. https://t.co/kmSaTHKH5s"
1245376130842050567,2020-04-01 15:43:02,Reminder: the census is still happening and it’s easier than ever to fill out from home with zero contact. It’s as simple as heading to https://t.co/t6szD2XrRR. #CensusDay https://t.co/ymuCjKWiAX
1245342150230933515,2020-04-01 13:28:00,"RT @SBAgov: 🚨SCAM ALERT!🚨 

There have been reports of scams about #COVID19 Economic Injury Disaster Loans. Reminder:
📅There's no immediate…"
1245185265217437697,2020-04-01 03:04:36,".@ATT and @CWAUnion are leading by example. Taxpayer money should not be funneled into executive pay; corporations should use it to invest in workers.

https://t.co/kUkBb2LKWX"
1245168622772903936,2020-04-01 01:58:28,"Have you signed up for my newsletter? It's the only way to get my coronavirus updates in your inbox. I'll be sending out important information for all Ohioans tomorrow - don't miss it.

https://t.co/U6lDVIU0HW"
1245101181048893440,2020-03-31 21:30:29,"Yes. We can do this, Ohio. 

https://t.co/dRNaCGwtwo"
1245084111515123716,2020-03-31 20:22:39,"President Trump continues to attack clean air protections, even during a global respiratory illness pandemic. 

By the Administration's own analysis two years ago, this rollback will lead to more air pollution deaths across the country. 

https://t.co/GrzI2bu7ET"
1245057774867951618,2020-03-31 18:38:00,We need to take care of our workers on the frontlines. I’m calling on the Administration to implement Pandemic Premium Pay of time and a half wages for all hours worked. https://t.co/orOiXYfbnM
1245051541976952834,2020-03-31 18:13:14,"RT @cheddar: .@SenSherrodBrown on coronavirus economic aid: “In case any of my colleagues haven’t noticed, there are people everywhere in t…"
1244767078155984896,2020-03-30 23:22:52,RT @CWAUnion: Thank you @SenSherrodBrown for pushing GE to do the right thing and use highly-skilled IUE-CWA members to produce ventilators…
1244732901457113098,2020-03-30 21:07:04,"The economy is about people – it’s made up of workers making their companies successful, entrepreneurs starting businesses, families supporting their communities. If we lose sight of that, we lose sight of our common humanity and the dignity of all work.

https://t.co/uOdX5aUZCG"
1244705887287214081,2020-03-30 19:19:43,"I stand in solidarity with the workers of Whole Foods, Instacart, and Amazon’s warehouses. ✊

As they put their own health at risk to serve others, their safety is paramount. That means paid sick days, hazard pay, and worker protection standards for essential businesses."
1244689679854850050,2020-03-30 18:15:19,"My deepest gratitude to all of our heroic doctors, including those working around the clock on the frontlines of this crisis.
 
Take a moment to read some of their stories. It's our duty to get them the protective equipment they need. #NationalDoctorsDay

https://t.co/edU8YWAAhx"
1244454929567285249,2020-03-30 02:42:30,"This is exactly what my plan to mobilize American manufacturing addresses - the shortage of domestic PPE production.

I’ll be introducing this legislation soon and hope Congress will move quickly to get it passed.

https://t.co/OgpvvbymXd https://t.co/irOGZz3iB9"
1244013882202603526,2020-03-28 21:29:56,"Tom Coburn was always an advocate for public health. Twenty years ago in the House, he and I teamed up to fight tuberculosis outbreaks in the U.S. and around the world. 

His strong voice would be especially useful today. My prayers are with his family.

https://t.co/sZS127svrf"
1243959969587908608,2020-03-28 17:55:43,"I will be joining @GovMikeDeWine's COVID-19 update today by phone to talk about the coronavirus stimulus package. 

Tune in at 2:00PM via Facebook, YouTube, TV, and more. 👇 https://t.co/D5AEEjcYKn"
1243945457296060416,2020-03-28 16:58:03,"RT @GovMikeDeWine: Today's 2 pm briefing will include an update from @SenSherrodBrown by phone. 

Check your local media or: 
📺 TV: Ohio's…"
1243937762102915072,2020-03-28 16:27:28,"""We've come too far, marched too long, prayed too hard, wept too bitterly, bled too profusely and died too young, to let anybody turn back the clock on our journey to justice.""

Wise words from Rev. Joseph Lowery as we reflect on and honor the life of a civil rights hero. https://t.co/2gvcnRapqb"
1243935011809775617,2020-03-28 16:16:32,RT @RandyLudlow: Daily presser on #coronavirus at 2 p.m. today with @SenSherrodBrown calling in. Our @hollyzachariah covering today. Give h…
1243920207304949766,2020-03-28 15:17:42,"RT @SenateBanking: The President is not above the law. 

He is accountable to Congress and we will do everything we can to ensure the money…"
1243570097123405831,2020-03-27 16:06:30,"General Motors sold Lordstown. If the President cared about its former workers, he would know that.
 
Instead of throwing a tantrum on Twitter, why don’t you just invoke the DPA? https://t.co/YXdl5kKBbg"
1243347881169489920,2020-03-27 01:23:29,"We are better than this. As a people, we do not let tough times divide us - we come together. 

Let’s be able to look back after this crisis and know that we acted with dignity and solidarity, not fear and prejudice."
1243347880175439873,2020-03-27 01:23:29,"A gentle reminder to all to be kind to each other and stick to the facts, not prejudice.
 
Asian-Americans are part of the fabric of our country, but too many have expressed fear for their safety in the face of more racist harassment, verbal abuse, and physical assaults."
1243194339049771010,2020-03-26 15:13:22,"While our bill didn’t make it into the final package, this issue isn't going away. I’ll keep fighting with @brianschatz to make sure families don't take an unfair hit to their credit during this crisis. https://t.co/LOmjS1798N"
1243171245597827072,2020-03-26 13:41:36,"To all of our healthcare workers on the frontlines, workers delivering packages, or working our grocery stores, pharmacies, and other essential stores:
 
Thank you for everything you're doing. I'm fighting to get you the relief you need. https://t.co/f1M7niTGQE"
1243023226529349632,2020-03-26 03:53:26,"Now our job is to hold the Trump Administration accountable. If President Trump uses this crisis as an opportunity for more Wall Street giveaways, Americans won't stand for it."
1243023225715593216,2020-03-26 03:53:25,"But the fight's not over. We still have much work to do over the coming months to help people get back on their feet.
 
People all across the country still need help with their mortgages and rent payments, paying their student loan debt, and protecting their credit scores."
1243023224792928262,2020-03-26 03:53:25,"And we secured wins to hold corporations accountable: 

- eliminated a $3 billion bailout for big oil
- eliminated a ""secret bailout"" provision that would allow bailouts to corporations to be kept secret for six months 
- prohibited airlines from stock buybacks and CEO bonuses."
1243023224054702081,2020-03-26 03:53:25,"As part of our negotiations, we've ensured that:
 
- billions in resources are going to our hospitals and health care systems immediately
- unemployment insurance is expanded
- cities and counties get the funding they need
- people won't be thrown out of their homes"
1243023223173926912,2020-03-26 03:53:25,"From the beginning, my priority was to get help directly to Ohioans. Now after hard-fought negotiations, this bill does that.
 
It's not perfect, but we've made this a better deal for workers, hospitals, and our communities.

https://t.co/zKxcMbNWYB"
1242943539689947136,2020-03-25 22:36:47,"As Dr. Acton pointed out in today, it's NOT just the elderly who get severely sick. 

Young people around the country are requiring hospitalization, sometimes in the ICU. Please encourage everyone you know to be safe. #InThisTogetherOhio

https://t.co/HCeZ6Z7HpS"
1242936186538205188,2020-03-25 22:07:34,RT @crookedmedia: NEW: Sen. @SherrodBrown calls for networks to stop airing Trump's live Coronavirus press conferences. Full interview on T…
1242924315995144194,2020-03-25 21:20:24,"RT @RollingStone: Ohio Senator Sherrod Brown is good and mad, and fighting to stop a coronavirus bailout that stiffs working people https:/…"
1242893587207131137,2020-03-25 19:18:17,"No one is ASKING to be laid off, and if you think they are, you clearly haven’t talked to any workers. 

Increasing unemployment insurance benefits isn’t a “drafting error”. It’s a critical safety net to make sure workers and their families can weather this storm. https://t.co/aZ7e3tM6ty"
1242854489071157248,2020-03-25 16:42:55,RT @GovMikeDeWine: Have you seen these? Our team has reached out to well-known Ohioans to ask them to record messages letting their followe…
1242835092789223424,2020-03-25 15:25:51,"On Friday, @SenBooker @SenatorMenendez @SenSanders and I pressed Amazon on its workplace safety practices. Amazon’s failure to keep workers safe puts the entire country at risk.

https://t.co/OIWf8mvYQy"
1242835091925147651,2020-03-25 15:25:51,"Just last week, workers warned that Amazon wasn't doing enough to protect them. They were right.
 
All workers – at Amazon and across the country – should be able to take paid sick days if they feel the need to self-quarantine.

https://t.co/tKJz9JMb00"
1242521453410557952,2020-03-24 18:39:34,"RT @GovMikeDeWine: When people are dying and people don't feel safe, the economy is not going to come back. We have to #FlattenTheCurve so…"
1242498375108476930,2020-03-24 17:07:51,"This is dangerous. The President should not be sending conflicting messages to Americans. 

The best thing we can do for our economy is to save lives and stop this virus. All Ohioans should continue to follow the stay-at-home order from Governor DeWine.

https://t.co/K8L0Nk7lKM"
1242270758749036545,2020-03-24 02:03:23,RT @SenBooker: Millions of Americans are being pushed to the financial brink right now &amp; can't afford to be chased down by relentless debt…
1242206030731325440,2020-03-23 21:46:11,"RT @Obamacare: From free preventative care, to coverage for 20 million Americans, protections for pre-existing conditions &amp; access to vacci…"
1242166974953783299,2020-03-23 19:10:59,The money we put into businesses should be for the workers and their communities - not for their executives. The McConnell plan is nothing more than a corporate bailout. https://t.co/2ZqsU1rE93
