id,created_at,text
1247288801380175872,2020-04-06 22:23:18,"Sad to hear that ""Mr. Tiger"" Al Kaline has passed away. He wasn't just an amazing baseball player - he was an amazing person. I was so pleased to join him at the 2018 Governor's Fitness Award Gala where he was honored. Sending my love to his family and all Tiger fans. https://t.co/RYw5UCbkgl"
1247253272441823234,2020-04-06 20:02:07,"MI residents will receive direct payments, but the law left behind 17- and 18-year-olds, college students, &amp; dependent adults. This is unfair and needs to be changed. @SenGaryPeters &amp; I announced a new bill to fix this.
https://t.co/lfrJkbhfDF"
1246920963582840833,2020-04-05 22:01:39,"We need to be doing everything we can to protect the people working on the frontlines in this crisis. While they're putting themselves at risk to help others, they need to have the personal protective equipment they need. Now! https://t.co/BTPoRHicNk"
1246781554447310849,2020-04-05 12:47:41,Please join our fight. Michigan needs you! https://t.co/BiizihJbQR
1246428016034615297,2020-04-04 13:22:51,"The #CARESAct addresses the major public health crisis and economic challenges that Michigan is facing because of the #coronavirus crisis. I worked with my colleagues to put Michigan families, workers, business, and health care providers first. https://t.co/m6bsdZNZlK"
1245461740520984578,2020-04-01 21:23:13,".@SBAgov is providing small businesses &amp; nonprofits impacted by #coronavirus loans to help keep employees on the payroll &amp; to pay rent and utility bills. These essential costs for the first 8 weeks of the loan can be forgiven. For more information, visit https://t.co/gTbgJzZ4R6."
1245414570459639810,2020-04-01 18:15:46,RT @GRChamber: We back West MI businesses and employees. Learn more and find resources to help you through the COVID-19 crisis at https://t…
1245385860981444608,2020-04-01 16:21:42,The #CARESAct expanded unemployment insurance to include more workers impacted by the coronavirus crisis. Everyone receiving unemployment insurance will get an additional 13 weeks of benefits and an extra $600 each week through July 30. More information: https://t.co/ygIKmnfVxa.
1245365680481939456,2020-04-01 15:01:30,"If it’s true that critical medical supplies in the United States are being sold overseas during this pandemic that is outrageous. @RealDonaldTrump, this needs to stop now! https://t.co/yJiUMc8pZo"
1245342196074717185,2020-04-01 13:28:11,"Thank you, @GM and all of our talented, dedicated Michigan workers! https://t.co/cTTjfBb2gP"
1245127944315572224,2020-03-31 23:16:49,"Grateful for those in Bay County stepping up to help right now. Thank you, @DowNewsroom!
https://t.co/bmlbwuxePx"
