id,created_at,text
1247320685979918336,2020-04-07 00:30:00,"Hosting a telephone town hall on Tuesday, April 7 to discuss how we're working to protect the physical and economic health of North Carolinians as we all work together to combat the #coronavirus pandemic.

Listen Live: https://t.co/EjMmqN1Q7U https://t.co/BjzlM3hBdJ"
1247295833277640704,2020-04-06 22:51:14,"RT @SenateVA: Chairman @JerryMoran: I get to work on a daily basis on behalf of our Nation’s heroes, our military veterans. Today, I want t…"
1247252738943193099,2020-04-06 20:00:00,"TODAY at 4:40 pm
Telephone Town Hall with @NCEmergency Director Sprayberry
Topic: #COVID19NC Response

Listen Live: https://t.co/EjMmqNjrwu

For additional information, visit https://t.co/k3fTcghkwN https://t.co/E7YB4gfefo"
1247239950153723904,2020-04-06 19:09:11,"""There’s a lot of resources out there. We’re encouraging businesses to take advantage, trying to do everything that we can to make sure that they can make payroll."" 

Watch my full interview with @WRAL ⬇️
https://t.co/r1yDwiPFxk"
1247211463493791745,2020-04-06 17:15:59,"RT @SBAJovita: “This is a game-changer for us,” said @bittyandbeaus owner in NC. This #smallbiz received capital from their #locallender vi…"
1247185564652179457,2020-04-06 15:33:04,"Today at 4:40 pm, I'll hold my 14th telephone town hall, joined by @NCEmergency Director Sprayberry to discuss the response to #coronavirus and efforts to protect the physical and economic health of North Carolinians.

Listen live at https://t.co/cICRU5sHjN https://t.co/DuhjY2iRzP"
1247161267766341632,2020-04-06 13:56:32,RT @TheWilsonTimes: Sen. Thom Tillis: #Coronavirus relief checks coming; help available for small businesses https://t.co/rtfq5ZZ5AZ
1246852601859248130,2020-04-05 17:30:00,"Forgivable loans are now available for small businesses through the #PaycheckProtectionProgram, a program to provide 8-weeks of cash-flow assistance to small businesses who maintain payroll during the #coronavirus pandemic. 

More from @USTreasury ⬇️
https://t.co/BF7mcKKTuy"
1246555386431275008,2020-04-04 21:48:58,"RT @ncdhhs: We know it's hard to keep up with #COVID19NC. Here's a wrap-up of the week, including the #StayHome Order that went into effect…"
1246495924194590721,2020-04-04 17:52:41,"RT @ncdhhs: During #COVID19NC, volunteers are needed to supplement NC's health care workforce. Register to volunteer at https://t.co/wJL71d…"
1246465613385674753,2020-04-04 15:52:15,Helpful information from the @Surgeon_General on making your own protective face covering. #COVID19 https://t.co/vGMtC03IxU
1246438623894851585,2020-04-04 14:05:00,"TODAY at 11:00 am 
Telephone Town Hall
Topic: #Coronavirus Pandemic

Listen Live: https://t.co/EjMmqN1Q7U

For additional information on relief checks and resources for business owners, visit https://t.co/k3fTcgyVol https://t.co/QTxvKhVefC"
1246233521976250368,2020-04-04 00:30:00,"Hosting a telephone town hall on Saturday, April 4 to discuss how we're working to protect the physical and economic health of North Carolinians as we all work together to combat the #coronavirus pandemic.

Listen Live: https://t.co/EjMmqN1Q7U https://t.co/Ulg9HylfHt"
1246218166889578497,2020-04-03 23:28:59,"Information from @ncdhhs
https://t.co/4c7HO14Z04
For COVID-19 questions, dial 2-1-1 or 888-892-1162
Sign up for updates by texting COVIDNC to 898211
*ONLY call 9-1-1 if you're experiencing an emergency. #COVID19NC https://t.co/efZqvWfXNn https://t.co/loMxv1VTRk"
1246217372442284037,2020-04-03 23:25:49,"RT @ncdhhs: NC #StayAtHome Order says:
✔️ Can go out for essential work, to take care of others, get food, seek medical care
✔️ On necessar…"
1246166547787321354,2020-04-03 20:03:52,"As many North Carolinians are asked to work and learn remotely, having access to reliable internet is more important than ever. To help ensure access, @BroadbandIO  compiled a list of new and existing free or affordable services from vendors in NC.
https://t.co/IOMka024pu"
1246132707286896640,2020-04-03 17:49:24,"Fantastic news, my office stands ready to help any North Carolinian who needs assistance with the federal government during these uncertain times. Contact me at https://t.co/v0damuRE0E or 704-509-9087. https://t.co/56Y6zl3QFP"
1246114570281914374,2020-04-03 16:37:19,"Forgivable loans are now available for small businesses through the #PaycheckProtectionProgram, which is a program to provide 8-weeks of cash-flow assistance to small businesses who maintain payroll during the #coronavirus pandemic. More from @SBAgov⬇️
https://t.co/3Q01CntMac"
1246059878046564353,2020-04-03 13:00:00,"TODAY at 10:00 am 
Telephone Town Hall
Topic: #Coronavirus Pandemic

Listen Live: https://t.co/EjMmqN1Q7U

For additional information on relief checks and resources for business owners, visit https://t.co/k3fTcgyVol https://t.co/4rzX1FQQ9a"
1245886234531991554,2020-04-03 01:30:00,"Hosting a telephone town hall to discuss how we're working to protect North Carolinians as we all work together to combat the #coronavirus pandemic.

Listen Live: https://t.co/EjMmqN1Q7U

For more information on relief checks and resources for businesses: https://t.co/N7NekLLoT9 https://t.co/q4fkjhj97U"
1245847689746698240,2020-04-02 22:56:50,"#Coronavirus Resources (4/4)

@IRSnews: https://t.co/J97b4wYWnC
File a free tax return: https://t.co/3izKuAJ8g2
Beware of scams: https://t.co/cJDCWWR5vC"
1245847687745937408,2020-04-02 22:56:50,"Resources (3/4)
As we work to slow the spread of #coronavirus, I recognize the challenges social isolation can present. There are resources available to help.  

https://t.co/yPFnDJUb0j
https://t.co/TvuAwJBKRh
https://t.co/ifp5JiisMc
@ndvh: https://t.co/fiNKOtKc2s https://t.co/rFjwMOCby2"
1245847686336532480,2020-04-02 22:56:49,"Resources (2/4)
Information from @ncdhhs: https://t.co/4c7HO1mzRC
For COVID-19 questions, dial 2-1-1 or 888-892-1162
Sign up for updates by texting COVIDNC to 898211
*ONLY call 9-1-1 if you're experiencing an emergency. #COVID19NC https://t.co/ZBloAIVVjR"
1245847685279690757,2020-04-02 22:56:49,"Resources (1/4)
I want to ensure North Carolinians have information about the resources that are available to them as we combat the #coronavirus pandemic:

Individuals &amp; Small Businesses
https://t.co/rIggJsiSE6

FAQ
https://t.co/7VtCB30rNz

Email Me
https://t.co/mrPGIRpSdr"
1245831415901675520,2020-04-02 21:52:10,RT @IRSnews: Social Security beneficiaries who are not typically required to file tax returns will not need to file to receive an economic…
1245791072531419137,2020-04-02 19:11:52,"@jeffmccrary60 @USTreasury @stevenmnuchin1 Jeff, Thanks for your tweet and willingness to help your fellow North Carolinians during this time. 

Please email my office at https://t.co/8vtnHq4aXg"
1245786567232368642,2020-04-02 18:53:57,"RT @ndvh: Given the spread of #COVID_19, we’ve taken steps to keep our staff safe. We’re still here 24/7. Call 1-800-799-7233, or if you’re…"
1245769605139832832,2020-04-02 17:46:33,RT @ncdhhs: .@ncdhhs has partnered with the NC Child Care Resource and Referral to launch a hotline to help critical workers find child car…
