id,created_at,text
1247286247044927492,2020-04-06 22:13:09,"On Friday, @SBAgov began taking small business loan applications. Read this week’s #HoosierHighlights newsletter for more details on how to apply: https://t.co/luGRl5htLa https://t.co/DtMiDuQfVx"
1247262045847851009,2020-04-06 20:36:59,"As we face school closures and challenging economic times, I joined a bipartisan group of Senators calling for dedicated broadband funding for low-income families and Hoosier students in any future #coronavirus relief packages: https://t.co/G3Jib6nODt"
1246860156652212224,2020-04-05 18:00:01,Small businesses in northern Indiana are helping each other out by launching an online directory of businesses to help people #shoplocal during this public health crisis. Check it out: https://t.co/J4UaOthjC7
1246799756749406208,2020-04-05 14:00:01,#ICYMI: Now is the time to start holding China accountable for their role in the coronavirus pandemic. Learn more via @93WIBC’s coverage:  https://t.co/ipkg0l6LeR
1246482667392110595,2020-04-04 17:00:01,Congratulations to Jordan Bayles of Terre Haute on being selected to serve on the Taxpayer Advocacy Panel. I am proud that this Hoosier will help to improve the Internal Revenue Service over the next year. https://t.co/baAvSEZ1KO
1246463494553243652,2020-04-04 15:43:49,Hoosier farmers need more tools to combat uncertainty related to #coronavirus. I sent a letter with 42 bipartisan Senators requesting flexibility and increased access to farm loans and credit. https://t.co/5Y29Z8yUqf
1246422269632475136,2020-04-04 13:00:01,"I continue to update my website with the most current information on #coronavirus. Check it out for the most recent guidance from local, state, and federal agencies on this public health emergency. https://t.co/uSSyyrhplb"
1246195776063025152,2020-04-03 22:00:00,.@USTreasury and @SBAgov have released guidance on the #PaycheckProtectionProgram - check it out here: https://t.co/hoaDjwySIj.
1246188224369786883,2020-04-03 21:30:00,"China aspires to use #coronavirus to its advantage and expand its global influence. Instead of accepting this outcome, now is time to invest in America and our future. If we do, I believe we can emerge from this pandemic stronger and more secure. 
https://t.co/3emMqOgYZq"
1246180674291277830,2020-04-03 21:00:00,"My team has been working non-stop to help Hoosiers in the midst of this pandemic, including families like the Vellingers. I’m grateful for my staff’s service and all the Congressional staffers who have been working so diligently during this crisis. https://t.co/TNoOgeF2Mc"
1246167157655736320,2020-04-03 20:06:17,Just released a new fact-sheet as part of my coronavirus relief toolkit. New information on how the #CARESAct supports students and higher education here: https://t.co/X46oCjAJuD
1246142925530107912,2020-04-03 18:30:00,"Everyday Hoosier first responders are putting themselves at risk to keep their communities safe. Today through April 7, Fort Wayne will be lighting up the Martin Luther King Jr. Memorial Bridge to honor their service. https://t.co/SNp5Zte1SN"
1246133430598938624,2020-04-03 17:52:16,"RT @SenateGOP: 🚨 ATTENTION 🚨

Today is the FIRST DAY small businesses can apply for cash flow assistance under the Paycheck Protection Prog…"
1246127871409733640,2020-04-03 17:30:11,"On Saturday, thousands of people will tune in to IndyCar's virtual racing event televised on @NBCSports. In light of the #coronavirus, it's great to see companies adapting to allow people to stay safe and continue to watch their favorite drivers compete. https://t.co/szPLf9hVSr"
1246095660161605633,2020-04-03 15:22:11,Additional information from @USTreasury is also available here: https://t.co/hoaDjwhhQL.
1246089739679215617,2020-04-03 14:58:39,Today is the first day small businesses can apply for loans under the #PaycheckProtectionProgram made available from the #CARESAct. More on this program here: https://t.co/HWO1ZjkmTU https://t.co/G3D2fVwDEj
1245818286081802241,2020-04-02 21:00:00,"I want to thank the @INFarmBureau for their donation to one of #Indiana’s largest food banks, @GleanersFBIndy. Their donation will go directly to helping Hoosiers during this time of uncertainty. https://t.co/PkiaHuIlZ6"
1245803187698905090,2020-04-02 20:00:00,These two Indy brothers are using their 3D printers to make face shields for hospital workers and first responders. It’s inspiring to see Hoosiers stepping up to help others during this time #coronavirus. More in the @IndyStar: https://t.co/su25833cQX
1245780340641337345,2020-04-02 18:29:13,"There are countries, like China, who see #coronavirus as an opportunity to exploit our public health crisis through disinformation, grabbing market shares around the world &amp; stealing intellectual property. #ICYMI: I joined @Varneyco to discuss my proposal to prevent this &amp; more. https://t.co/P561tOA9mf"
1245722656231567360,2020-04-02 14:40:00,SOON: I'm joining @Varneyco on @FoxBusiness at 11 a.m. I'll be discussing the work we must do to ensure the US is in a position to lead after #coronavirus.
1245705039701610497,2020-04-02 13:30:00,Learn more about my #coronavirus relief toolkit via the @muncie_journal: https://t.co/UQ47HfIRG4
1245701558190452737,2020-04-02 13:16:10,"More evidence that we must not only hold China accountable, but go on offense against the Chinese Communist Party as it seeks to spread disinformation and use #coronavirus to its advantage. https://t.co/bRvJNaZN0M"
1245478547260497921,2020-04-01 22:30:00,ICYMI: Eli Lilly is expanding their drive-thru testing to essential workers and vulnerable seniors. https://t.co/I3BQZ3OMar
1245470997613932546,2020-04-01 22:00:00,"#ICYMI: I joined a bipartisan, bicameral letter calling for immediate support for rural hospitals. They are confronting tough choices during this public health emergency and need all the help they can get to continue serving our rural communities.  https://t.co/cZHeVGsQpp"
1245455899940044803,2020-04-01 21:00:00,"To provide food for children in their community, a Cass County school will be hosting a food drive every Tuesday from 10 am – 2 pm. Many students depend on their food from school &amp; these efforts will help make a difference. https://t.co/LktyH3ok9Y"
1245437023873167360,2020-04-01 19:45:00,I’ll be joining @WOWOpatmiller with @WOWOFORTWAYNE at 4 pm EST to discuss #coronavirus response efforts for Hoosiers. Tune in to hear more: https://t.co/ilMFjfqBI7
1245429474516242432,2020-04-01 19:15:00,It’s heartening to see Jay County REMC stepping up in the face of COVID-19 to offer free Wi-Fi to students facing limited internet connectivity at a time when e-learning is more important than ever. https://t.co/mPX9BxO5EN
1245343165051219973,2020-04-01 13:32:02,The Chinese Communist Party’s early decisions enabled the #coronavirus to grow from a local issue to a global pandemic. Now the CCP’s propaganda arm is working overtime to make you forget all about it. https://t.co/uHvo78fmQ8
1245158330722586624,2020-04-01 01:17:34,Good news: @SBAgov &amp; @USTreasury are hard at work getting the Paycheck Protection Program started &amp; mobilizing funds to help our small businesses. https://t.co/BnMHRWnNDc
1245127014362820613,2020-03-31 23:13:08,Read more in my @dcexaminer column: https://t.co/304KlvDNP1
1245127013532303364,2020-03-31 23:13:08,"These approaches will remain important but if America is to lead the world in the 21st century, we must go on offense, just as we did in the 20th century.
 
This is why I’m proposing that we invest in America’s industries of the future as part of our economic recovery initiative."
1245127012840361985,2020-03-31 23:13:07,"Until now, the U.S. has primarily focused on defensive countermeasures to thwart aggression by the Chinese Communist Party: blocking Huawei, tightening export controls, and improving foreign investment rules."
1245127011032391680,2020-03-31 23:13:07,"As we navigate this global health crisis, the Chinese Communist Party is working hard to use the crisis to its advantage by extending its influence over the world’s economy. It is imperative that America not be outflanked."
1245093513689092096,2020-03-31 21:00:01,Everything you need to know about the upcoming recovery rebate payments here: https://t.co/INfzuyG7N1
1245078575021244423,2020-03-31 20:00:39,RT @SenateAgGOP: We're celebrating women in ag during #WomensHistoryMonth! Meet PJ Jonas from Indiana who raises dairy goats and is dedicat…
1245056094407450624,2020-03-31 18:31:19,"The @INDOT has announced a Virtual Job Fair on April 16 for more than 1,000 construction and related positions. Interested Hoosiers can register here: https://t.co/MvLaO2b6xJ"
1245048214497005568,2020-03-31 18:00:00,We took decisive action to address #coronavirus by passing the #CARESAct last week. Read more on how it will help Hoosiers and lessons we learned from the 2008 recession. https://t.co/glbTCCq95e
1245039664836358144,2020-03-31 17:26:02,Started this morning speaking with @SteveWLBC about #coronavirus relief and the health care workers and first responders who are protecting all of our families. https://t.co/r35yhTrXq9
1244991745093521409,2020-03-31 14:15:37,The Chinese Communist Party’s troubling behavior surrounding #coronavirus shows that we need a National Innovation Strategy to meet the challenges of this moment and avoid being outflanked by China. More in my op-ed for @dcexaminer: https://t.co/304KlvDNP1
1244746229512200194,2020-03-30 22:00:02,"As we navigate this public health crisis, my team is standing by a ready to assist Hoosiers. Check out this week’s #HoosierHighlights newsletter to learn more about the resources available in my #coronavirus relief toolkit: https://t.co/yjIggvqvqd https://t.co/xrbPckorMx"
1244724253938847745,2020-03-30 20:32:42,RT @muncie_journal: U.S. Senator Todd Young Releases Coronavirus Assistance Toolkit - https://t.co/FzhDi1e6HE
1244719329981214720,2020-03-30 20:13:08,"Medical technology company Medtronic, with facilities in Indiana, just announced they will share the design plans for one of their ventilators to help rapidly accelerate the manufacturing of this life-saving device. 
https://t.co/HlzaSSQcPx"
1244707671359598592,2020-03-30 19:26:49,Wrote a letter with more than 30 Senators urging the @FTC to protect Hoosier seniors from coronavirus-related scams. Read it here: https://t.co/tW2MhYmamb
1244678597488660487,2020-03-30 17:31:17,This weekend I released a toolkit to highlight some of the major ways the #CARESAct is working for Hoosiers. More here:  https://t.co/zBCn8cX7GT
1244633321977647104,2020-03-30 14:31:22,#ICYMI: I joined @IBAtweet to discuss the latest on #coronavirus and how the #CARESAct will provide much-needed assistance to Hoosiers as we continue to address this pandemic. https://t.co/2GL5orPBXS https://t.co/frPwrhe4Lf
1244278141524246528,2020-03-29 15:00:01,"#ICYMI: The #CARESAct was designed to help Hoosier families, workers, job creators, healthcare heroes, patients, &amp; everyone who has suffered through no fault of their own. Learn more via @fwbusiness: https://t.co/XxxTsGAUiG"
1244004511145955328,2020-03-28 20:52:42,Help is on the way. My office just released a comprehensive #coronavirus assistance toolkit to help Hoosiers navigate relief measures available in the #CARESact. 🛠 View the toolkit here: https://t.co/x2l1ixyQo4
1243957160545042434,2020-03-28 17:44:33,"Saddened by the loss of former Senator Tom Coburn. America has lost a patriot, earnest public servant, and vigilant defender of individual rights and freedoms. My prayers are with his family."
1243946178938634241,2020-03-28 17:00:55,Check out my website for more frequently asked questions: https://t.co/bL4iNDP5z9
1243946177713909762,2020-03-28 17:00:54,#ICYMI: This week I spoke with @kpcnews about small business loan relief for Hoosiers. Learn more: https://t.co/MvEHQjCUk8
1243893101002883074,2020-03-28 13:30:00,Broadband access for Hoosier students &amp; teachers and telehealth for seniors is critical as we navigate #coronavirus. My bipartisan bill would protect and support the small broadband providers supplying internet in our communities. https://t.co/T4tXSqx8Kf
1243659061431803905,2020-03-27 22:00:00,.@govholcomb has just released an interactive map to help Hoosiers seeking food assistance. https://t.co/nkK5491mE5
1243647515553140742,2020-03-27 21:14:08,"President Trump has just signed the #CARESact into law &amp; help is on the way to Hoosiers. I applaud @POTUS, @VP, Dr. Fauci, Dr. Birx, and all of our nation’s leaders who brought us together to provide critical relief in this time of need."
1243643958799904769,2020-03-27 21:00:00,"As the son of a small business owner, I know how vital job creators are to our communities. Excellent to see @Google contributing $800 million+ to support small businesses and crisis response. https://t.co/xhzJGdp3qH"
1243621544296939533,2020-03-27 19:30:56,For answers to your questions on small business relief (and other coronavirus information) see my website for more info: https://t.co/bL4iNDP5z9
1243621542849916931,2020-03-27 19:30:55,Many small businesses in Indiana have questions about how the #CARESact will help them. I discussed some of the details with @wbaaradio: https://t.co/TLUjQN2S3x
1243614788321755136,2020-03-27 19:04:05,Do your part to protect your community from #coronavirus. #INThisTogether https://t.co/0GWFssKWEn
1243606211641180162,2020-03-27 18:30:00,"“We need to behave with that measure of boldness if we're going to get beyond this quickly so we can restore our economic growth and start resuming life as normal.” Read more via @JGfortwayne: 
https://t.co/rEbN3m0nSi"
1243595224372346880,2020-03-27 17:46:21,Just announced: @GM and @MyVOCSN have teamed up to manufacture lifesaving ventilators at General Motors’ Kokomo plant. Hoosiers are working hard to help our healthcare professionals &amp; everyone on the front lines. #INThisTogether https://t.co/X6LK1VqhoF
1243583503666761733,2020-03-27 16:59:46,Many are wondering what kind of relief payments are coming to rank-and-file Hoosiers as part of the #CARESAct. A list of frequently asked questions is available on my website: https://t.co/bL4iNDP5z9
1243541777795211265,2020-03-27 14:13:58,"RT @KHBlakeslee: ICYMI: Why were the #stimuluspackage negotiations such a  challenge? What if you are unemployed? 

@SenToddYoung answers s…"
1243348693933346819,2020-03-27 01:26:43,"As the #coronavirus spreads, Houthi authorities in Yemen must stop restricting humanitarian assistance from reaching Yemeni citizens ahead of a Friday deadline. https://t.co/Jkai5ApkCJ"
1243296672106582029,2020-03-26 22:00:00,"#ICYMI: With so many students and teachers turning to online alternatives, e-learning is more vital than ever. Learn more about my bill to support small internet providers across #Indiana during the #coronavirus pandemic via @953MNC: https://t.co/19751JdWgq"
1243285345862590464,2020-03-26 21:15:00,The #CARESact will provide much needed relief for Hoosiers. @WGNNews shares more. https://t.co/khSZWQFwhi
