id,created_at,text
1247322699489214464,2020-04-07 00:38:00,"Please pray for Boris Johnson’s recovery and for our great ally, the UK, to swiftly triumph over the China virus. https://t.co/jwVQOeBT5h"
1247266481399832576,2020-04-06 20:54:36,"Our people must have confidence that they’re safe to go back to work, go shopping, &amp; so forth before we can get the economy back on its feet. Our focus should be policies that will make them safe &amp; thus instill that confidence. https://t.co/B5LVZTOuVE"
1247262561181020160,2020-04-06 20:39:02,"Useful perspective: it’s the virus, more than any government order, that’s causing business closures &amp; job losses. Arrest spread of virus, develop drugs &amp; preventive techniques, &amp; then open up gradually based on local/state conditions. https://t.co/QXWWRsAMSg"
1247150441546297344,2020-04-06 13:13:30,"I encourage you to watch Queen Elizabeth’s latest speech. Her first address to the British people was *eighty years ago* at the outset of World War II. As in that crisis, even with many tough days ahead, we will pull through this crisis together. https://t.co/HcWJRoUFoP"
1246199109918302209,2020-04-03 22:13:15,"There are rumors spreading that churches and other religious groups aren’t eligible for emergency loans under the #PaycheckProtectionProgram. 

Let me clear that up: Churches &amp; religious groups ARE eligible. The bill applies to all non-profits equally. 

https://t.co/afiUeAYxf5"
1246131515244896257,2020-04-03 17:44:39,"In honor of Dr. Li, our bill seeks to punish foreign officials responsible for suppressing information about international health crises, including the China virus. https://t.co/VqwfxGebzq"
1245846068346191873,2020-04-02 22:50:24,"W/ record numbers of Americans filing for unemployment, our focus should be getting Americans back to work, not bringing in additional foreign labor. DHS should continue the hold on additional H-2B visas until we know Americans have the jobs they need. https://t.co/vFVI017xDz"
1245792430991040513,2020-04-02 19:17:15,"10M workers lost their jobs over the last two weeks because of the China virus—25 times the pre-pandemic average.

The CARES Act will help with emergency aid. Please help those in need where you can, however you can.

Let’s get through this together. https://t.co/peMT8uVL2a"
1245774674841210882,2020-04-02 18:06:42,"China’s fraud extends well beyond its Wuhan virus coverups. 

My EQUITABLE Act would have protected Americans from Chinese deception by requiring all Chinese companies traded on American exchanges to follow the same US regulations as every other nation. 

https://t.co/sDzWbRiUr5"
1245454491400445959,2020-04-01 20:54:24,"Everyone is struggling to get through the devastating China virus, and Arkansas’s ranchers are no exception. Today, I sent a sent a letter with 143 of my colleagues to Secretary Perdue asking for swift assistance from the CARES Act for our @ArkCattlemen.
https://t.co/qsV6RZnt49"
1245408645552246784,2020-04-01 17:52:14,"The IRS is forcing people on social security to file a tax return before they receive China virus relief.                   

Extremely disappointed to see the IRS directly contradicting the CARES Act, blocking aid to our seniors."
1245151593500217350,2020-04-01 00:50:48,Good for @TuckerCarlson for bringing attention to a study by *Chinese* scientists about the origins of the China virus. Not what you’ll hear from MSM. https://t.co/5zOJPOv2pu
1244994638202707969,2020-03-31 14:27:07,"Today @USTreasury published resources for businesses applying for payroll support.

Those resources may be found here:

https://t.co/leGPTG8lTx"
1244970692606603264,2020-03-31 12:51:58,ICYMI: My interview with @AmericaNewsroom on the U.S. response to the China Coronavirus. https://t.co/DhDzVkIUkO
1244675242003496963,2020-03-30 17:17:57,Useful analysis about how we will ultimately beat back the virus and get our economy back on its feet. https://t.co/WgaXbiHTOq
1244642600637923329,2020-03-30 15:08:14,"To help hospitals during the fight with the China virus, the Centers for Medicare and Medicaid Services accelerated its advance payment program for the duration of the pandemic.

You can find more information here:
 
https://t.co/j3aZTkmG8k"
1244291019451105280,2020-03-29 15:51:11,"A *single mortuary* in Wuhan reportedly ordered more urns in two days than the Chinese Communist Party has reported total deaths in the whole country. 

I’m sure you’re shocked by evidence of Chinese lies. https://t.co/FUOhZ5JYpr"
1244250808801202177,2020-03-29 13:11:24,"China just shut down movie theaters nationwide *after* reopening them. 

Sound to you like they have pandemic under control? Me neither.

China is still lying. https://t.co/dDMsyZNBVZ"
1244237427084079104,2020-03-29 12:18:14,If you're a small business owner looking for help navigating the new small business programs you can also visit the @SBAgov website for more information. https://t.co/r9yQOlJVxK
1244041952619909122,2020-03-28 23:21:29,"I’m closely monitoring the tornadoes in Northeast Arkansas, and my staff and I stand ready to assist the people of Craighead County as they face both the coronavirus and these deadly storms."
1243992318878920705,2020-03-28 20:04:15,"How does income level affect China virus relief, and how soon can you expect that relief? 

For Arkansans with questions about relief for individuals, this guide can help answer your questions. 

https://t.co/wyetRklFu2"
1243980605576134656,2020-03-28 19:17:43,"The Centers for Disease Control and Prevention (CDC) provides daily updates on the Wuhan virus with guidance for health providers and local public health officials. 

Those updates can be found here:

https://t.co/UybRxioxSJ"
1243944837512146944,2020-03-28 16:55:35,The CARES act also provides a check in the form of a tax rebate to the vast majority of Americans. Information about those tax rebates can be found be here: https://t.co/wyetRklFu2
1243940179846389762,2020-03-28 16:37:04,"The CARES act will provide emergency funding to steer our economy through the outbreak of the China Virus. If you're a small business owner looking for help navigating new loan programs, my office is here to help. Visit this link for  more information: https://t.co/HTcDRN6UNJ"
1243605111739424768,2020-03-27 18:25:38,"The National Highway Traffic Safety Administration has launched a website with helpful resources for Emergency Medical Services (EMS) personnel fighting on the front lines of the China virus. 

The information may be found here: 

https://t.co/RytaYXHaxz"
1243602018448691200,2020-03-27 18:13:20,"USDA Rural Development has launched a China virus resource page.

For information on Rural Development loan payment assistance, application deadline extensions, and more, click the link below: 

https://t.co/7qYWXE2rtE"
1243585116041027586,2020-03-27 17:06:11,If you’re an Arkansas veteran experiencing difficulty with the VA hospital system or your VA benefits please contact my staff for assistance by phone or email. https://t.co/e7ljdZdJDZ
1243575470534377481,2020-03-27 16:27:51,"Do you own a small business or lend to them? 

Here is an important summary of small business related aid in the CARES Act, the phase III China virus relief bill. https://t.co/3lkyOxkWKw"
1243532731960692736,2020-03-27 13:38:01,"For rural Arkansans, telehealth options are more important now than ever. 

This toolkit explains how telehealth can be used to provide care remotely, as well as what’s covered through public and private insurance. https://t.co/mHKBpqrbnc"
1243278309661773825,2020-03-26 20:47:02,"We need to use every option at our disposal to combat the China virus.

Today I sent a letter to the president asking him to support Governor Hutchinson's request for increased flexibility in using Medicaid to fight the virus. https://t.co/JHOcQPBq8c"
