id,created_at,text
1247316290018172929,2020-04-07 00:12:32,"And the last corporate giveaway isn’t enough. Here they go again.
https://t.co/DKjiqvw2rh"
1247287346774638592,2020-04-06 22:17:31,We need to know: who put this in to the bill; at who’s request; and for what purpose? How does it relate to coronavirus?
1247271612631724033,2020-04-06 21:15:00,"Next time Republicans complain about extraneous stuff in #COVID bills, remember this: someone stuck a $170 BILLION tax giveaway, ""an easy-to-overlook provision,"" into our CARES bill.  
https://t.co/q8fDuLLTeY"
1247237988649783308,2020-04-06 19:01:23,"Grateful to @cvshealth for this partnership, doubling RI’s testing capacity. https://t.co/pxfwZJOJs3"
1247213828020076554,2020-04-06 17:25:23,"""Confusion"" and ""stumbles"" are what you get when a corrupt anti-science anti-government ideology proliferates like its own virus through government.  

That crooked ideology has got to go.  
https://t.co/eKoxYCTVAI"
1247181620144156673,2020-04-06 15:17:24,"Listen up, Mr. President. Here’s some good advice from @SenDuckworth – someone who knows a thing or two about action under pressure.
https://t.co/6g0VTk6xfq"
1247162331609608193,2020-04-06 14:00:45,"May we long remember, and treat their service accordingly. Thanks, @RuthMarcus, for this reminder."
1247162186730024961,2020-04-06 14:00:11,"Everybody who thinks they’re so damned important can take a reality check from health care workers, sanitation workers, maintenance workers, food deliverers, grocery &amp; pharmacy clerks, police, firefighters &amp; EMTs— all the people who #COVID shows really keep our communities going. https://t.co/OKXmTnxuyD"
1247158407653724161,2020-04-06 13:45:10,"The “Capitalist Tool” connects the dots. Yup, that’s still coming at us.  
https://t.co/csXQiriH38"
1246899155416616960,2020-04-05 20:34:59,https://t.co/xw2TnUcAWf
1246859296543031296,2020-04-05 17:56:36,...and an inspector general who told the truth to protect his country. Disgraceful. https://t.co/zS2d7kyZjw
1246807227601768449,2020-04-05 14:29:42,"Who gets fired in this administration? A captain who told the truth to protect his crew...
https://t.co/mXBuvLOjti"
1246543867119370240,2020-04-04 21:03:12,Spoke with @RISEIUcouncil frontline health care professionals today. They risk their health every day they go work. I will continue to push the Trump administration to strategically distribute PPE to every state. We must prioritize the health of the heroes treating COVID patients
1246501166990663680,2020-04-04 18:13:31,"Smells to high heaven. 
https://t.co/bEBPDZEPfl"
1246467941761273858,2020-04-04 16:01:30,"Oh, and look at this: big donors behind the scheme like’em young, for longer capture. What does that tell you about the real motives behind their court-capture scheme? 
https://t.co/FPBTIMpvF6"
1246459741934665730,2020-04-04 15:28:55,"Of course Mitch McConnell would do this. The highest priority of the big donors behind him is capture of the Court. Nothing will stand in their way.  
https://t.co/pQWy0HWp97"
1246187921805316096,2020-04-03 21:28:48,"Big thanks to the Patriots and Kraft family for remembering their loyal Rhode Island fans with 100,000 Covid masks! (Yes, sad it had to come to private efforts like this, but well done cutting through the chaos, and we can sure use the masks.) 
https://t.co/mohpxxxnW5"
1246185456557006848,2020-04-03 21:19:00,"Another from the Dept of Saying It Out Loud: “This will be extremely devastating to Republicans and conservatives in Georgia,” Ralston, a Republican from Blue Ridge, said…“Every registered voter is going to get one… This will certainly drive up turnout.”
https://t.co/RU1qFp9JOr"
1246185261815521281,2020-04-03 21:18:14,"Trump just comes out and says it: The GOP is hurt when it’s easier to vote. Democrats “had levels of voting” in their stimulus proposal, Trump said, “that if you ever agreed to it, you'd never have a Republican elected in this country again.”
https://t.co/GTXTW8S8vZ"
1246147868060274689,2020-04-03 18:49:38,"Looks like they do.
https://t.co/sRbtesEaFK"
1246135055145148417,2020-04-03 17:58:43,"RT @peterbakernyt: More than 100,000 Americans are expected to die after a slow initial government response to the coronavirus pandemic and…"
