id,created_at,text
1247244542170054657,2020-04-06 19:27:26,More inspiring examples of Kentuckians helping Kentuckians: Colleges and universities across the Commonwealth are stepping up to make and donate protective equipment for front line health care workers. https://t.co/v158YFNFr7
1247208728861999104,2020-04-06 17:05:07,"Federal, state, and local officials in Kentucky are working overtime together to assist those in need. And citizens across the Commonwealth are stepping up and finding creative ways to pitch in and help others.

United we stand, divided we fall. https://t.co/Y9V0aFPW86"
1246530849304174595,2020-04-04 20:11:28,RT @realDonaldTrump: America owes our very hard working food supply workers so much as they produce and deliver high quality food for us du…
1246190527453806595,2020-04-03 21:39:09,"The most important thing that we can do for our nation’s small businesses &amp; their employees is to provide them resources to weather this storm. That’s exactly why the Senate wrote and passed the CARES Act.
https://t.co/H9Dk98ASzk https://t.co/2Mz3RSFHdf"
1246162846880354306,2020-04-03 19:49:09,"Senate Republicans are closely tracking the implementation of our historic CARES Act as the Administration puts it into effect for the American people. We are committed to supporting American workers, families, and small businesses as our nation confronts this historic emergency."
1246159275141013507,2020-04-03 19:34:58,I’m glad Speaker Pelosi is again standing down from efforts to use this crisis to push unrelated left-wing priorities. The latest proposal had been a massive tax-code giveaway for wealthy people in blue states that was instantly panned by economists across the spectrum.
1246081323489525760,2020-04-03 14:25:13,I am proud that President Trump’s search took him outside the Beltway and into the Bluegrass. Judge Walker is a brilliant and fair jurist who reveres the Constitution. He’s a leading light in a new generation of federal judges. https://t.co/1j3GYhvosc
1246081061601370114,2020-04-03 14:24:10,"Judge Justin Walker, @POTUS’s choice to serve on the U.S. Court of Appeals for the D.C. Circuit, is an outstanding legal scholar. President Trump has chosen a rising Kentucky star to refresh a crucial federal court. My statement: https://t.co/Ls6TNAQl27"
1245827910331752453,2020-04-02 21:38:14,"Every American is feeling the effects of the coronavirus. It’s a national health &amp; economic emergency that demanded action. I’m proud that the biggest rescue package in history, led by Senate Republicans, will help workers &amp; families respond. https://t.co/VCXGc2xeNG"
1245778381419024385,2020-04-02 18:21:26,"I’m grateful to Kentuckians who are stepping up to show compassion and resolve. It’s because of stories like this that we will make it through this. We are all in this together, even if we have to stand six feet apart. https://t.co/QmOCA65Ps6"
1245404302090350592,2020-04-01 17:34:58,"House Democrats are still trying to use this crisis to push unrelated pet priorities.
 
Last week: Carbon regulations.
 
Now? A tax giveaway for wealthy people in blue states, panned by economists across the spectrum.
 
This is a crisis. Let's act like it. https://t.co/okeS98rSkc"
1245375813551357954,2020-04-01 15:41:46,I made sure the historic CARES Act did not leave states like Kentucky behind. I am glad the first federal funds are already starting to flow to local governments to help Kentuckians weather this health crisis and economic emergency. https://t.co/o5DiB1URVE
1245347398513295360,2020-04-01 13:48:51,ICYMI🎙: I joined @GuyBensonShow with @FoxNews to discuss the CARES Act. This was the third coronavirus bill that we've passed and the biggest one by far. It was crafted by a Republican majority in the Senate and approved without a single dissenting vote. https://t.co/aY2IqrafoV
1245070004439187456,2020-03-31 19:26:35,TUNE IN 🎤: I will be joining @GuyBensonShow with @FoxNews at ~3:35PM. https://t.co/HC2JtVXHgB
1245043052416303110,2020-03-31 17:39:30,"ICYMI🎤: I joined @hughhewitt today to discuss the Senate’s historic 96-0 vote to pass the Coronavirus Aid, Relief, and Economic Security (CARES) Act.
 
America is facing a national emergency. I’m proud the Senate stepped up to equip our national response. https://t.co/kOPrpWB9tJ"
1244697184186126336,2020-03-30 18:45:08,"Today is #NationalDoctorsDay. Thank you to our American heroes who wear scrubs and masks. Who rush toward the sick, wash their hands until they bleed, and work around the clock to heal our loved ones. We salute doctors along with nurses and all of our healthcare professionals."
1244648837274382338,2020-03-30 15:33:01,"From bourbon and spirits to hand sanitizer. I am proud of our great #Kentucky distillers and all of our job creators who are stepping up to help their neighbors during this emergency.
https://t.co/FhtjfJcnSc"
1243954556389769216,2020-03-28 17:34:12,"The Senate mourns our friend Tom Coburn. Seventy-two years was far too few for someone this brilliant, this tireless, and this dedicated to serving others. We stand in prayer with his beloved wife Carolyn and the entire Coburn family. My full statement: https://t.co/gNSp5KSc0E"
1243674210712641541,2020-03-27 23:00:12,"It was an honor to join @POTUS at the White House today for the signing of the CARES Act. 

The American people needed this rescue package. They needed it quickly. And the Senate delivered, 96-0. It's a proud moment for our country. https://t.co/jk33y5D5lg"
1243637711703019527,2020-03-27 20:35:10,".@POTUS just signed the CARES Act. The Senate's bold legislation is now law.

It will get emergency cash to families and small businesses and surge resources to doctors, nurses, hospitals, and the race for new treatments and vaccines. #WeAreAllInThisTogether"
1243628065713946624,2020-03-27 19:56:51,"ICYMI 🎤: I joined @FocusFamily to discuss how the Senate’s historic CARES Act will put emergency cash into the hands of American families who need it the most. 

As our nation battles this virus, let’s continue to pray for one another, for all of our families, &amp; for our country. https://t.co/H9bb5K15ad"
1243588315389087753,2020-03-27 17:18:53,"RT @McConnellPress: .@SenateMajLdr McConnell: Once again, the troops at @FortCampbell are there when we need them, whether it’s overseas or…"
1243583388931502080,2020-03-27 16:59:19,RT @SRCC: The CARES Act is a rescue operation for the American people. https://t.co/UJFF0SKpVC
1243559620880273409,2020-03-27 15:24:52,"ICYMI📺: Last night, I joined @marthamaccallum with @FoxNews to discuss the Senate’s historic response to the coronavirus, which will rush much needed aid to our brave medical professionals and relief to families and small businesses. https://t.co/eN5sCeBLBU"
1243226339769024517,2020-03-26 17:20:32,RT @McConnellPress: .@SenateMajLdr Mitch McConnell applauds Senate passage of the CARES Act. The measure will rush assistance to American w…
1243032581576286208,2020-03-26 04:30:36,"The Senate just pivoted from one of the most divided periods in recent memory to passing the largest rescue package in American history. And we passed it unanimously.
 
Americans deserved this outcome. I am proud the Senate stepped up."
1242886553988468738,2020-03-25 18:50:20,"Our nation will meet a lot of new heroes — from first responders to grocery clerks to delivery drivers. Most of all, we'll meet a whole lot of heroes in scrubs working to heal the sick. When our nation comes through this, it will be because American heroes won this fight. https://t.co/3RVAJNuLo1"
1242690673800855552,2020-03-25 05:51:59,"At last, we have a deal.
 
After days of intense discussions, the Senate has reached a bipartisan agreement on a historic relief package for this pandemic. 

We’re going to pass this legislation later today."
1242546639736365057,2020-03-24 20:19:38,"Small businesses, working families, and medical responders across our country need help now.

That's why the Senate is working non-stop on a bipartisan agreement on bold, urgent relief.
 
We can’t afford to waste another moment.
https://t.co/nBgbq6mIa2 https://t.co/3TisLO4hKg"
1242179066024857601,2020-03-23 19:59:02,"Every day, this economic crisis deepens and more Americans lose their jobs.
 
Senate Democrats are blocking emergency loans to small businesses, direct checks for Americans, and even a huge expansion of unemployment benefits during the emergency. https://t.co/UdotiiXXcX"
1242158911748268034,2020-03-23 18:38:57,"These are just some of the unrelated demands Senate Democrats have used to slow relief for workers and families:
 
✖️ Tax credits for solar and wind energy
✖️ Special treatment for Big Labor
✖️ Airlines' emissions standards
 
This is a crisis. Why is only one side acting like it? https://t.co/MRfnXT1HJ2"
1241929925923397634,2020-03-23 03:29:02,"Our nation cannot afford this game of chicken. We cannot afford the cynical partisanship.

This is a national emergency. Not a partisan opportunity.

Doctors, nurses, small business employees, laid-off Americans, and vulnerable seniors need help right now. https://t.co/zXPqodt8ZI"
1241890195676573696,2020-03-23 00:51:10,"The American people expect us to act. If we fail, it will be because Senate Democrats are continuing to dither while the country expects bold, bipartisan action. https://t.co/23pFHoDtCl"
1241753730921291777,2020-03-22 15:48:54,"This morning I hosted a meeting with congressional leadership and Sec. Mnuchin. It is time to come together, finalize the results of our bipartisan discussions, and get the CARES Act to the President’s desk. https://t.co/HierUIlNVC"
1241538134699057157,2020-03-22 01:32:12,"The past two days of intense bipartisan talks are very close to a resolution. An update on the Coronavirus Aid, Relief, &amp; Economic Security Act: https://t.co/KHB2RJhkJx"
1241495687012978695,2020-03-21 22:43:32,"More Americans are being laid off every day. More small businesses are being forced to shed payroll every day. Our nurses and doctors need key supplies.
 
Nobody should view this as political opportunity for either side. This is a national emergency.
 
It is time to come together"
1241460610078052354,2020-03-21 20:24:09,"Kentucky’s state motto is “United we stand, divided we fall.” I’m inspired by all the Kentuckians who are stepping up to serve their neighbors and showing Washington how it’s done.
 
United we stand — even if we have to stand six feet apart for a few weeks. https://t.co/Vsysj34wv1"
1241447662328709120,2020-03-21 19:32:42,RT @SRCC: @SenatorCollins on the CARES Act: https://t.co/gnbxLbgatd https://t.co/JlPnv7MQ3P
1241439165117579265,2020-03-21 18:58:56,"Small businesses, working families, and medical responders across this country have made it clear: They need help now.
 
That's why the Senate is working toward a bipartisan agreement on bold, urgent relief."
1241411416818700292,2020-03-21 17:08:40,RT @SRCC: Senate Majority Whip @SenJohnThune on the CARES Act: https://t.co/gnbxLbgatd https://t.co/y2K5YMOWUl
1241169962183655425,2020-03-21 01:09:13,"Laid-off workers cannot wait. Struggling Main Street businesses cannot wait. Our hospitals and health centers cannot wait.
 
This crisis is moving fast.
 
The Senate is here, we are working, and we need to deliver."
1241154878753341440,2020-03-21 00:09:17,Senate Republicans’ CARES Act would continue to push resources to the front lines of the medical battle against this virus. https://t.co/7IXE0VYMXS
1241138905044393985,2020-03-20 23:05:48,"Our Senate proposal would provide the quickest possible access to desperately-needed liquidity for small businesses across our nation.
 
A rapid injection of cash to help small businesses survive this crisis and help workers continue to get paid. https://t.co/R8vD1ha87A"
1241123597416108032,2020-03-20 22:04:59,"The CARES Act would deliver direct financial help. Senate Republicans want to put cash in Americans’ hands.
 
No tangled Washington process. No piles of forms for laid-off workers or families to fill out.
 
Money for hardworking families. From the middle class on down. Period. https://t.co/kBXeAirqxr"
1241117877173968897,2020-03-20 21:42:15,"RT @SecretarySonny: To the heroes in the U.S. food supply chain, we salute you. https://t.co/3wIUuNtUpb"
1241101073160581124,2020-03-20 20:35:29,It's our job to step in and help people through this global pandemic. https://t.co/0rs8YASQqR
1241085934034190336,2020-03-20 19:35:19,"The nation’s needs and expectations are clear. Workers, families, small businesses, and the foundations of our economy itself need swift action. And in the Senate, swift means bipartisan.
 
We’re going to stay until we get this done."
1241075595188088832,2020-03-20 18:54:14,"Yesterday, I introduced the CARES Act: Senate Republicans’ bold plan to help combat the health and economic challenges of the coronavirus.
Urgent bipartisan discussions are continuing on all four components. 

The Senate is here, we are working, and we need to deliver. https://t.co/fHJpPYfCue"
1241061388178644992,2020-03-20 17:57:47,"Senate Republicans and @POTUS have a common goal: to get relief to American workers, families, &amp; small businesses as rapidly as possible.
 
We’re going to stay at this until we can pass a bipartisan bill out of the Senate. https://t.co/1xo81BygT7"
1241038185200783361,2020-03-20 16:25:35,"Senate Republicans’ proposal, the Coronavirus Aid, Relief, and Economic Security Act, will get cash assistance in the hands of individuals and families and rush urgent relief for small businesses and their employees: https://t.co/TelCeFrYDs"
1240817876879245312,2020-03-20 01:50:09,"📺TUNE IN: I will be joining @DanaBashCNN ~10:00PM ET to discuss Senate Republicans’ Coronavirus Aid, Relief, and Economic Security Act. https://t.co/xFtSxbL4rL"
1240754803044757505,2020-03-19 21:39:31,"The Senate is not going anywhere until we act. Senate Republicans are here and ready to work with our Democratic colleagues and the Administration to get results as soon as possible.

Let’s get this done for the country. https://t.co/E8ZSyDrISN"
1240754742428565507,2020-03-19 21:39:17,"The Coronavirus Aid, Relief, &amp; Economic Security Act proposes bold action on four urgent priorities:

1. Direct financial help for Americans 
2. Relief for small businesses &amp; their employees
3. More stability for our economy
4. More support for patients &amp; healthcare professionals"
1240746871309688834,2020-03-19 21:08:00,"Fundamentally, we have to beat back this virus.

Our proposal will go even further to remove barriers to care, speed innovation, fund the hospitals &amp; health centers that will treat patients, &amp; expand healthcare workers’ access to the tools they need, including respirator masks. https://t.co/NFahKmmu0j"
1240743971082682376,2020-03-19 20:56:29,"Senate Republicans want to put cash in the hands of the American people to help during this uniquely uncertain time. No tangled Washington process. No piles of forms for laid-off workers or families to fill out. 

Money for people. From the middle class on down. Period. https://t.co/cA2PKhmO80"
1240739071120506882,2020-03-19 20:37:01,We are crafting a major plan to help small business survive this crisis and help workers continue to get paid. A rapid injection of cash to help small businesses through this turmoil. Let’s help small businesses and workers endure this and emerge from it ready to thrive. https://t.co/qP3TdUBIFM
1240723320879841281,2020-03-19 19:34:25,"We know our economy won’t bounce back to normal tomorrow. An underlying medical reality is driving this disruption. This about immediately helping workers, families, small businesses, and positioning us to thrive on the other side.

America is strong and we will beat this virus. https://t.co/XUpMCEdhGP"
1240694309789130754,2020-03-19 17:39:09,"The American people are strong. The American people will win this fight against the coronavirus.

The Senate’s job is to give them the tools to make that happen.

And we are not leaving until we do our job."
1240684597622562817,2020-03-19 17:00:33,"This crisis is moving fast. Our health system is under strain and our economy is hurting. It is critical that we act swiftly and boldly to stabilize our economy, preserve Americans’ jobs, get money to workers and families, &amp; keep up our fight on the health front."
1240384001954787332,2020-03-18 21:06:05,"The Senate just passed the Families First Coronavirus Response Act. It is on its way to @POTUS's desk.

The Senate is already working on additional bigger and bolder legislation to combat this crisis. And we are not going to leave until we pass it. https://t.co/5Q25HC0w7G"
1240309847616356353,2020-03-18 16:11:26,"The Senate majority's bold proposal will put forward an historic injection of liquidity and access to credit for American small businesses — with minimal new bureaucracy, so the assistance can flow as fast as possible.
 
The Senate is not going to leave small business behind. https://t.co/B2prmurcAR"
1240306183103229953,2020-03-18 15:56:52,"Many American small businesses are in enormous jeopardy. For the sake of public health, local officials are winding down their commerce. We need to help them through this extraordinary period so they can continue to make payroll and keep the United States of America in business. https://t.co/itM4SppMjP"
1240300867213017090,2020-03-18 15:35:45,"The Senate is going to vote on the House’s proposal. I will support it. But it does not help enough Americans and, crucially, it adds even more uncertainty for small businesses. It will make it all the more urgent for the Senate to pass bold legislation to help small businesses. https://t.co/R0DjHKBLrI"
1240295110828589056,2020-03-18 15:12:52,"All of us have seen our daily lives transformed in what feels like the blink of an eye. But we are all in this together. Our nation faces a serious challenge. But together, we can take bold steps to combat it. https://t.co/9cl3KHjJQu"
1240020462022918147,2020-03-17 21:01:31,"Yesterday, my home state of #Kentucky reported its first #COVID19-related death. Our thoughts are w/the family, friends, &amp; neighbors in Bourbon County who are mourning. I am continuing to stay in close touch w/@GovAndyBeshear on treatment &amp; containment efforts in the Bluegrass. https://t.co/Bl9VtNrjt3"
1239995412230082563,2020-03-17 19:21:58,"It is my intention that the Senate will not adjourn until we have passed significant and bold new steps, above and beyond what the House passed, to help our strong nation and our strong underlying economy weather this storm."
1239974248547889156,2020-03-17 17:57:53,"RT @SenateGOP: At approximately 2:00pm, @senatemajldr will speak LIVE to the press regarding the Senate's bold and bipartisan action to com…"
1239963712066211842,2020-03-17 17:16:01,"RT @SRCC: MCCONNELL: “This is not a time for fear or panic. It is a time to follow the facts, listen carefully to the experts, and take pre…"
1239942135056683008,2020-03-17 15:50:16,"The Senate is continuing urgent talks on additional legislation to address three major priorities:

1. More direct assistance for American workers &amp; families.

2. Secure our economic foundation &amp; our small businesses.

3. Further support for medical professionals. https://t.co/SZYxnD1jml"
1239932188969369603,2020-03-17 15:10:45,"At every level, the coronavirus outbreak is testing our nation and our institutions. We cannot afford partisan politics as usual.
 
This week, the Senate must continue to take bold and bipartisan action."
1239684389522542594,2020-03-16 22:46:05,"Senate Republicans believe the proposal the House is still processing can only be the beginning of Congress’s work to protect our economy &amp; stand with the American people.

We'll need further bold steps to support Americans, secure the U.S. economy, &amp; ready our healthcare system. https://t.co/NGDQslbETa"
1239663307356811265,2020-03-16 21:22:18,"The Senate is still waiting for the House to finish processing their coronavirus legislation and transmit their final version to us.
 
Senators on both sides are eager to act quickly to support American workers, families, and small businesses."
1239661376425144320,2020-03-16 21:14:38,"The Senate is committed to meeting these uncertain times with bold, bipartisan solutions.

We stand with American workers &amp; families. We stand with businesses. We stand with our public health experts &amp; front-line medical professionals.

Together, we will get through this."
1239377620346822657,2020-03-16 02:27:05,My statement on the urgent priorities before the Senate this week and beyond: https://t.co/vUiiqrqEdZ
1238691217711513600,2020-03-14 04:59:34,My statement on President Trump’s actions today and the House-passed coronavirus legislation: https://t.co/3Bb9XYH8Jh
1238231958129442818,2020-03-12 22:34:38,".@SenatorFischer’s bipartisan PREP Act would expand medical professionals’ access to vitally-needed respirators and create certainty for mask manufacturers. It is not controversial. The Senate could have passed it today.

But Senate Democrats refused to let it move forward. https://t.co/OFMgOdC2eq"
1238152886980395009,2020-03-12 17:20:26,"Notwithstanding the scheduled state work period, the Senate will be in session next week. I am glad talks are ongoing between the Administration and Speaker Pelosi. I hope Congress can pass bipartisan legislation to continue combating the coronavirus and keep our economy strong."
1238113288975761411,2020-03-12 14:43:05,"Fortunately, we do not need to choose between Speaker Pelosi’s first draft and doing nothing. I am glad the Administration is continuing talks. The Senate is ready to consider a bipartisan, bicameral package if House Democrats return to the table &amp; work with the President's team."
1238113287063117824,2020-03-12 14:43:05,"Unfortunately, Speaker Pelosi’s first draft from late last night was off-base. It does not focus immediate relief on affected Americans. It proposes new bureaucracy that would only delay assistance. It wanders into policy areas that are not related to the pressing issues at hand."
1238113285586763777,2020-03-12 14:43:04,"I applaud Sec. Mnuchin and the Administration for engaging in bipartisan talks with Speaker Pelosi. Following the billions in health funding we approved last week, the Senate is ready and eager to consider bipartisan policies to mitigate the economic impact of the coronavirus."
1237872870920835073,2020-03-11 22:47:45,My home state of Kentucky currently has eight confirmed coronavirus cases. I applaud the efforts of state and local leaders who are working together with federal officials to proceed carefully and intelligently. https://t.co/ooizhHtRLM
1237854398505578503,2020-03-11 21:34:21,I strongly support the FISA legislation that just passed the House by a wide bipartisan majority. It will reauthorize vital tools for our national security while implementing reforms to address the abuses we saw in 2016. Our full joint statement: https://t.co/pWrz7YsAuN
1237804450418491396,2020-03-11 18:15:52,Election security has come a long way since the passivity &amp; failures of the Obama administration in 2016. But this work is not finished. We must stay vigilant — all of us. Federal leaders. State &amp; local elections officials. We all have a part to play in protecting our democracy. https://t.co/lqXsiojhPy
1237756436354150404,2020-03-11 15:05:05,Congress has acted proactively by providing billions in funding to health leaders as they combat this virus on the front lines. I am confident we can bring the same bipartisan energy to any steps that prove necessary to support our strong &amp; healthy U.S. economy. https://t.co/KhUln8Wslb
1237485225791406081,2020-03-10 21:07:23,"We have not had a major update of our energy laws in over a decade. Let’s not squander this opportunity. Let’s get this done. The American people deserve this commonsense, bipartisan legislation. https://t.co/eSZ8KlDnzt"
1237444334506643460,2020-03-10 18:24:54,"This coronavirus poses a challenge, no question. But our nation is strong, we are well equipped, and we have overcome far greater challenges before.

As the @VP put it yesterday: “We’re all in this together.” https://t.co/YOJSivKuaw"
1237398868486225920,2020-03-10 15:24:14,"I encourage all my Senate colleagues to attend today’s briefing on election security. A subject this serious demands some bipartisanship and unity. Let’s keep the focus on fighting against foreign interference, not fighting each other."
1237391198328745984,2020-03-10 14:53:45,"The time is now for all Americans to engage in basic common-sense measures, and for Americans at heightened risk to take additional precautions. The experts’ detailed recommendations for individuals, families, and employers are available online at https://t.co/DqOklcURnW."
1237142095023964160,2020-03-09 22:23:55,Officials in my home state of Kentucky are currently monitoring four confirmed coronavirus cases. I spoke to the Governor this morning and will continue to stay in close touch to make sure that Kentucky — and all 50 states — have what they need and know Congress has their back. https://t.co/XjdM9Y6GjW
1237130170101891072,2020-03-09 21:36:31,"The Green New Deal is 100% the wrong way to think about American energy dominance. Fortunately, the legislation before the Senate now gets it right: The bipartisan American Energy Innovation Act. https://t.co/vNN9wejKuW"
1237112823009992704,2020-03-09 20:27:36,"Congress is making sure our health experts &amp; leaders have the funding they need to combat the coronavirus. We passed nearly $8B in supplemental funding. These surge resources will help public health leaders, researchers, &amp; state and local governments work to protect Americans."
1236061134429597696,2020-03-06 22:48:34,"I hope we can restore the bipartisan consensus that has served our nation, Israel, and the world so well. But we need to fight for it. #AIPAC2020 https://t.co/uXh2gT46oZ"
1236033246271594497,2020-03-06 20:57:44,"I’ve worked my whole career to stand against anti-Semitism. We must denounce it wherever it emerges. 

This is a responsibility that all Americans must share. https://t.co/uqdSWfkEK3"
1235993596756664320,2020-03-06 18:20:11,Thank you @KYFB for coming to Washington. It’s an honor to work in the Senate on behalf of #Kentucky farm families. https://t.co/FEPWdrzAbx
1235960032312913932,2020-03-06 16:06:49,"In a time of intense partisanship, Republicans &amp; Democrats came together in a matter of days, reached an agreement with the administration, and just signed into law a bipartisan, bicameral response to help healthcare professionals combat the coronavirus. https://t.co/AVxlZlbBRu"
1235769901677260800,2020-03-06 03:31:18,📺 TUNE IN: I will be joining @foxnewsnight with @ShannonBream ~11:00PM ET to discuss coronavirus funding and Senator Schumer's attack on SCOTUS. @FoxNews https://t.co/xTgYO7KDuJ
1235700184698548226,2020-03-05 22:54:16,Independence from political passions is the cornerstone of the judiciary in this country. It has almost been a century since the last time Democrats threatened to pack the Supreme Court b/c they wanted different rulings. History still judges that disgraceful episode to this day https://t.co/dFmiTKmQWo
1235658873543028736,2020-03-05 20:10:07,The left-wing campaign against the federal judiciary did not begin yesterday. There is a clear record of Democrats threatening the judicial independence of the Supreme Court: https://t.co/rRnl5jupFw https://t.co/t4etGUKili
1235626781333434368,2020-03-05 18:02:36,"Every time Democrats try to threaten sitting justices, we are reminded exactly why the Framers gave them life tenure and salary protection. Republicans are absolutely and unshakably committed to the core constitutional principle of an independent federal judiciary. https://t.co/beZ7VmICsk"
1235602221775101954,2020-03-05 16:25:00,"Contrary to what the Democratic Leader has tried to claim, he very clearly was not addressing Republican lawmakers. The minority leader of the United States Senate threatened two associate justices of the U.S. Supreme Court. Period. https://t.co/DZJb5qW7yO"
1235273573679456260,2020-03-04 18:39:04,I’m grateful to @SenCoryGardner &amp; Senator @SteveDaines for their strong leadership on securing funding for conserving our land and water. https://t.co/X4EVzENtW7
