id,created_at,text
1247282680573673473,2020-04-06 21:58:59,RT @RedCross: Did you know that you can practice social distancing and still donate blood? Here's why: https://t.co/vhfYiHGVQ9 #donateblood…
1247215190640386050,2020-04-06 17:30:48,"News that thousands of recorded Zoom calls are viewable online is more evidence the company has emphasized ease of use over user privacy and safety.

Today, I urged @zoom_us to take action so we can all keep connecting virtually with greater confidence.
 
https://t.co/1mrCmFrgQt"
1246550831803006978,2020-04-04 21:30:52,"Took a walk around our neighborhood wearing our homemade masks.

Check out @CDCgov’s new guidance on how we should all protect ourselves and our communities by wearing cloth masks – including directions on how to make your own ➡️ 
https://t.co/aXARn1xV0A #Masks4All #DoingMyPartCO https://t.co/cK1LOf9ZKl"
1246291894130421761,2020-04-04 04:21:57,"In the middle of a global pandemic, the president is consumed with settling old scores. By firing the inspector general for doing his job, Trump is further undermining our institutions - including the independence of the IC - and diminishing the most vibrant democracy on Earth. https://t.co/2JSGONCWBV"
1246259356729032705,2020-04-04 02:12:39,"Mr. President, we’ve had vote by mail in Colorado for years. We don’t have fraud.
 
But we do have the second highest turnout in America. 
 
https://t.co/SAaa8379Xm"
1246231173485006853,2020-04-04 00:20:40,"@SenCoryGardner @USTreasury Our letter also calls on @USTreasury to make clear that allocated funds can cover a broad range of responses by state, tribal, and local governments to the pandemic, like backfilling shortfalls in state and local revenues. See our letter ⬇️ https://t.co/joTn4Hp9Pt"
1246230526115053569,2020-04-04 00:18:05,@SenCoryGardner That's why we're urging @USTreasury to issue guidance consistent with the intent of Congress: local governments in small towns – which face staggering budget shortfalls just like big cities – must also receive the emergency support they need.
1246230064431280134,2020-04-04 00:16:15,"@SenCoryGardner We also pushed for small and rural communities to receive their fair share of the coronavirus relief funding. The CARES Act stipulates that only communities with over 500,000 residents can apply directly for funding, which risks shortchanging smaller communities."
1246229368575320067,2020-04-04 00:13:29,"Today, @SenCoryGardner and I called on the administration to ensure that the $150B for state, tribal, and local governments in the CARES Act comes with the flexibility they need to meet immense fiscal challenges."
1246198567359873024,2020-04-03 22:11:06,"@SenToomey To put it simply - my mask protects you, and your mask protects me #Masks4All https://t.co/3wbYpHO6sy"
1246197925610389512,2020-04-03 22:08:33,"To be clear, N95 or surgical masks should be reserved for frontline health care workers.
 
But this is one small but important thing we can do to protect our communities.
 
That's why @SenToomey and I have been pushing for this clarification."
1246197763232194560,2020-04-03 22:07:54,"This is the right move. 

It's still critical for everyone to stay home and practice social distancing, but when you absolutely have to go out, DIY masks can help #FlattenTheCurve. https://t.co/oe0nqPKrNL"
1246188122855084032,2020-04-03 21:29:36,"Thanks @GovofCO for urging Coloradans to wear cloth masks if they must leave their homes.
 
This simple step can help #FlattenTheCurve, which is why I've been calling on the @CDCgov to clarify its guidance for all Americans ➡️https://t.co/m0xAFhjkTI #Masks4All https://t.co/Z44HFdZxt4"
1246176633855324163,2020-04-03 20:43:57,"@USTreasury Joined @SenSherrodBrown,  @SenatorHassan, and @SenBooker in leading our colleagues in calling on Treasury to remove this unnecessary hurdle ⬇️
https://t.co/6RiNWWPjtm"
1246176357119295491,2020-04-03 20:42:51,"Just as @USTreasury acted to ensure those on Social Security and Disability will receive cash payments without having to jump through hoops, the same must be done for those receiving Supplemental Security Income (SSI) and Veterans benefits."
1246137063914852354,2020-04-03 18:06:42,"@USDOL @USTreasury Until Labor and Treasury act, contractors/gig workers/self-employed can’t get benefits. And all workers won’t get the extra $600 per week in emergency benefits or the additional 13 weeks of support. It's time for the administration to stop dragging their feet."
1246136859140542465,2020-04-03 18:05:53,"The @USDOL and @USTreasury need to get guidance to states IMMEDIATELY so they can put in place expanded unemployment benefits.

People need these new benefits NOW and states can’t implement the new program until they get guidance."
1246079255777345536,2020-04-03 14:17:00,"Deeply saddened by the passing of Deputy Hopkins and our thoughts are with his loved ones, the El Paso County Sheriff’s Office, and Colorado’s law enforcement community. We’re forever grateful for his service. https://t.co/HQJ9asrL6l"
1245894631176486914,2020-04-03 02:03:22,"This is a step forward, but this outdated and discriminatory ban should be lifted entirely to allow healthy individuals to donate blood. 

The need is only amplified in times of crisis when donations are needed the most.

https://t.co/T6xL0ohnPE"
1245829887639924736,2020-04-02 21:46:06,"Native communities in Colorado and across the U.S. are facing unique challenges as we fight this pandemic. We secured funding to help tribes in the #COVID19 relief bill, but more must be done to support these communities and stop the #CoronavirusIndianCountry outbreak. https://t.co/iR5UV59W7b"
1245798334226407424,2020-04-02 19:40:43,".@C4HCO's special enrollment period in response to #COVID19 has been extended to April 30.
 
If you're uninsured, or you've lost coverage due to COVID-19, you can sign up for health insurance with phone and virtual appointments. For more info ➡️https://t.co/yWg8XwsFJJ"
1245758938559270912,2020-04-02 17:04:10,"The most important thing all of us can do is to #StayHome and practice social distancing.

But when we must go out, wearing a homemade mask can help #FlattenTheCurve. #Masks4All
 
https://t.co/x4x7yPPoJS"
1245748349099270144,2020-04-02 16:22:05,"It’s disappointing that in a $2 trillion relief package we couldn't do more to help schools and libraries buy mobile hotspots and Wi-Fi devices for the 12 million students without internet at home. This has to be a priority in any new package we consider. 
https://t.co/1hAvsGKqeg"
1245550550315200513,2020-04-02 03:16:07,"Pleased to announce that @DIRECTV is now broadcasting Denver's @KDVR for subscribers in La Plata County.

It's perhaps more important than ever for Coloradans to have access to in-state news, and I applaud both parties for working to make this happen.
https://t.co/TpJxJI4rLC"
