id,created_at,text
1247311340558901248,2020-04-06 23:52:52,"This National Public Health Week is a reminder that we must keep working to expand access to affordable #healthcare, including #mentalhealth. This is particularly important in the midst of the #COVID19 pandemic. #NPHW https://t.co/bPX6GVMBHd"
1247267067155234816,2020-04-06 20:56:56,"Thanks to the #CARESAct, WA state &amp; local law enforcement agencies are now eligible for more than $16.6 million in funding that can help address local needs and be used to purchase PPE &amp; other critical medical items. Application &amp; more info from USDOJ at: https://t.co/YsKQzy2An6"
1247191168758120454,2020-04-06 15:55:20,"The CARES Act provides critical relief to Tribal governments impacted by the #COVID19 pandemic. As the administration implements this law &amp; deploys critical funding it must respect Tribal sovereignty &amp; engage in meaningful, robust, &amp; rapid government-to-government consultation."
1246194763298156544,2020-04-03 21:55:59,"Washington, beware of scammers exploiting the #COVID19 crisis for personal gain. Here are common scams to watch for - visit https://t.co/PX3qmoVGqu for more info. https://t.co/DXeNbp5PcZ"
1246169301750513665,2020-04-03 20:14:48,"More than $52 million for affordable housing funds is coming to Washington from the #COVID19 CARES Act - 31 cities and counties in Washington, in addition to the state, will get this funding. More info ➡️https://t.co/z7siwsRxOv https://t.co/tKCeUfslyI"
1245492725530722306,2020-04-01 23:26:20,"RT @GovInslee: Washington: I need 10 minutes of your time. 

The Census helps WA get the national resources and representation we need. Tod…"
1245469304201584649,2020-04-01 21:53:16,Watch @SesameStreet explain how to make your family count &amp; help support your neighborhood by filling out the #Census2020 🙂 #CensusDay2020 https://t.co/d01Crmq5QU
1245382370284449792,2020-04-01 16:07:49,"Washingtonians, have you completed your census form? Full participation is critical for our future, and it’s fast &amp; easy to complete online or by phone or mail. #CensusDay2020 #Census2020

➡️ https://t.co/Vnh6AxFnZN"
1245376410912522245,2020-04-01 15:44:08,"The waiver would provide needed flexibilities to respond to the #COVID19 outbreak, protect Washingtonians, and limit the spread of this disease.

https://t.co/uqrPMruveV"
1245376409884930051,2020-04-01 15:44:08,I joined a bipartisan group of my WA colleagues to urge @CMSgov to grant our state’s waiver request to establish a #COVID19 Disaster Relief Fund &amp; help residents access necessary testing &amp; treatment.
1245152629732380674,2020-04-01 00:54:55,"Who you are should never be grounds for discrimination or hatred. Together, we must continue fighting for a more inclusive future. #TransDayofVisibility #TDOV https://t.co/GwR0khbBf1"
1245106337203261441,2020-03-31 21:50:58,"Improving fuel economy standards has spurred American innovation &amp; made our automakers more competitive internationally, while benefiting families by reducing transportation costs in the long term. Lowering these standards moves us in the wrong direction.

https://t.co/k0dU8vuXpk"
1245106336070881282,2020-03-31 21:50:58,"Injecting uncertainty into the economy with this short-sighted action will degrade public health, pollute our environment, and negatively impact job growth. https://t.co/JmtJT0DnHj"
1244734861916753924,2020-03-30 21:14:51,"RT @KCPubHealth: #SocialDistancing measures appear to be making a difference in slowing the spread of #COVID-19 in @KingCountyWA, but those…"
1244656323729465344,2020-03-30 16:02:46,Today I want to thank all our doctors - particularly those on the front line of this #COVID19 crisis - who are working around the clock &amp; doing everything they can to help keep Washingtonians safe. #NationalDoctorsDay https://t.co/LC6oCXkyMh
1244333543125385217,2020-03-29 18:40:09,"The #2020Census is underway, and full participation is critical to our democracy and our communities. No communities should feel intimidated or disenfranchised – the Census is confidential and does not include a citizenship question. Washington, it’s time to #GetCounted https://t.co/08xi2YbMVU"
1243936290107797504,2020-03-28 16:21:37,We must ensure that Americans have access to life-saving blood transfusions in the midst of the #COVID19 outbreak.
1243936287712780289,2020-03-28 16:21:36,"The #COVID19 pandemic has spurred a nationwide shortage of donated blood, but @US_FDA continues to enforce a discriminatory donor deferral policy. I urged FDA to update its blood donor policies in favor of ones that are grounded in science &amp; allow all healthy Americans to donate. https://t.co/4SvgbQB2bh"
1243929173720260608,2020-03-28 15:53:20,"Glad to see the #COVID19 relief package signed into law. This relief is desperately needed &amp; will help our state respond to this crisis.

Resources &amp; information on how this bill helps Washingtonians⬇️

https://t.co/ZMhdTkq4Tl"
1243647660084658178,2020-03-27 21:14:42,"We have already seen layoffs and fishing season closures, and it’s crucial that we support fishermen and ensure they have access to emergency grants &amp; other assistance as they face the unprecedented challenges of this pandemic."
1243647658666967041,2020-03-27 21:14:42,"Thousands of fishermen in the Pacific Northwest &amp; across the nation will now have access to funding and other forms of financial relief from @NOAA. 

https://t.co/ySbvOGZDpD"
1243597453263241216,2020-03-27 17:55:12,"I asked @DeptofEd to provide clear guidance to districts and lead agencies to ensure that students with disabilities receive appropriate education during the #COVID19 crisis.

https://t.co/v4oMCivi7j"
1243597451493347328,2020-03-27 17:55:12,"As schools close and transition to online instruction to help control the spread of #COVID19, I’m concerned about the impact of these closures on students with disabilities. 

https://t.co/QCGyKp774e"
1243579334838935552,2020-03-27 16:43:12,https://t.co/Mm0hYGBF7A
