id,created_at,text
1247206426604376065,2020-04-06 16:55:58,".@WSmallwood28 is right: we’re all in this together.
 
We must stay home, Delaware – it can save lives.
 
#StayHomeDE #FlyEaglesFly https://t.co/7FHalwymgA"
1246918576591851521,2020-04-05 21:52:09,"We all have a part to play, Delawareans.

For the safety of ourselves, our family members, our neighbors, and the most vulnerable among us, please stay home.

Together, we can help #FlattentheCurve https://t.co/336tGRu4L9"
1246573761035472904,2020-04-04 23:01:59,"RT @JohnCarneyDE: How can you help this weekend?  Stay home. 

If you are a business or nonprofit that has supplies to offer in support of…"
1246479473542914050,2020-04-04 16:47:19,"RT @DrBiden: Today, the USS DE is commissioned. Her crew of courageous Sailors will carry the steadfast strength of my home state wherever…"
1246461386353491969,2020-04-04 15:35:27,"I salute the sailors serving aboard the #USSDelaware and their loved ones who support them in their mission. We are thrilled to officially welcome you all to the First State’s military family!

Today, even from afar, the First State is proud. #USSDelaware https://t.co/D2utnsArVC"
1246461384327643139,2020-04-04 15:35:26,"For our small state, the @USS_Delaware is more than a @USNavy submarine. It is a testament to the duty, dedication and sacrifices of the brave men and women, and those who — for more than 200 years — served their country in defense of the people of Delaware and our great nation."
1246461382553411584,2020-04-04 15:35:26,"When I learned the @USS_Delaware was initially postponed due to health concerns related to #COVID19, I sat down with @Nick_Ciolino to talk about how this vessel came to bear the “Delaware” moniker. Listen here: https://t.co/9yAIOGOuHg"
1246461379789365255,2020-04-04 15:35:25,"In November 2019, it was my great honor to be the key note speaker at the Change of Command ceremony for the @USS_Delaware in Norfolk, Virginia! https://t.co/ETXVvxCOKL"
1246461376597458945,2020-04-04 15:35:24,"Back in October 2018, I attended the christening ceremony of the @USS_Delaware with @DrBiden and @JohnCarneyDE.
 
We honored a new generation of sailors preparing to take USS Delaware through its sea trials and protect our democracy. https://t.co/armstYyRjc"
1246461374026452992,2020-04-04 15:35:24,"But first, a little history. Did you know that Delaware’s naval history dates back to the Revolutionary War?
 
The Delaware Bay, just off the coast of Lewes, served as the staging ground for the Continental Navy’s first marine mission in 1776."
1246461371933491200,2020-04-04 15:35:23,"Still, the first @USNavy ship to be named after the First State since 1923, the @USS_Delaware, has been commissioned today for active service and will soon begin to patrol the seas in defense of our nation out of the Port of Wilmington. 
 
That is worth celebrating."
1246461370276753408,2020-04-04 15:35:23,"THREAD: For so many involved in the planning of @USS_Delaware, today has been a long time coming. Because of the #COVID19 pandemic our state, our nation, and the world is facing – today’s ceremony was not the one we had hoped for."
1246194685472837633,2020-04-03 21:55:40,"🚨Are you a small business owner in Delaware?🚨
 
Starting today, you can sign up for the Paycheck Protection Program for direct relief to help pay your employees and bills. For more information, visit the page below and please help spread the word! https://t.co/fALcve2Z1W"
1246182686387044357,2020-04-03 21:08:00,".@USPS delivers life-saving drugs, critical packages to homes and businesses, mail ballots, medical equipment, and #COVID19 testing kits.
 
It is essential infrastructure.
 
Congress allocated $10 billion for @USPS. Now, @USTreasury must release it. Read our letter ⬇️ https://t.co/aUSebP57Gs"
1246178852117917696,2020-04-03 20:52:45,RT @SenatorBennet: Just as @USTreasury acted to ensure those on Social Security and Disability will receive cash payments without having to…
1246172431447982082,2020-04-03 20:27:15,"My colleagues and I are urging @USTreasury to automatically send direct cash payments to millions of low-income veterans, seniors, and people with disabilities.
 
They shouldn't have to file tax returns first. They need the money now for food, rent, and bills. https://t.co/TsEwjqyuDn"
1246132373865070593,2020-04-03 17:48:04,"Meanwhile, the #COVID19 infection rate climbs and we continue to lose more Americans every day from the virus.
 
Mr. President, please meet this moment with the seriousness and the urgency it deserves. The country is counting on you."
