id,created_at,text
1247341327647465473,2020-04-07 01:52:01,"A powerful and plainly persuasive dissent from Justice Ginsberg: “Either [voters] will have to brave the polls, endangering their own and others’ safety. Or they will lose their right to vote, through no fault of their own.”
https://t.co/EeZq0ebJ4l"
1247160675618762752,2020-04-06 13:54:10,RT @VTStateParks: It's looking to be a beautiful sunny day to grab a breath of fresh air. Help us keep parks open and keep the following in…
1247110926484090880,2020-04-06 10:36:29,"Thanks to the dedicated men and women of the Vermont National Guard, and their families, and their employers. As always, the Guard never lets us down, and we will not let our Guard down. https://t.co/PjlkZ2CkXU"
1246777783407214592,2020-04-05 12:32:42,"RT @HALOTrustUSA: ""Mine Awareness Day provides a moment to reflect on the significant progress... to address this war legacy issue.""

This…"
1246359496898863104,2020-04-04 08:50:34,RT @arunendranaraya: The United Nations' International Day for Mine Awareness and Assistance in Mine Action is observed on April 4 each yea…
1246210537291157505,2020-04-03 22:58:40,"As COVID-19 spreads, including in our nation’s detention facilities, @ICEgov needs a comprehensive plan—adhering to CDC guidance &amp; best practices—to contain it, FAST. Vulnerable detainees who pose no public safety risk should be released. Read my letter w/ @PattyMurray: https://t.co/aTaDWuesXb"
1246059569266163713,2020-04-03 12:58:46,"RT @VTNationalGuard: Airmen of the @158FighterWing constructed a surge site at the @cv_expo in Essex Jct, VT. The site will primarily utili…"
1245728882810118145,2020-04-02 15:04:44,"COVID-19 is affecting Vermonters and all Americans in nearly every way. Please check out the most recent update to our #Coronavirus page for a detailed list of links, resources and guidance: https://t.co/UpLKaqvC7a"
1245683914213068801,2020-04-02 12:06:03,"RT @LetsGrowKids: When federal funding is at stake, it's especially important for us to ensure that every kid counts. Please do your part a…"
1245583671840501762,2020-04-02 05:27:43,"So proud of Vermont teens boosting morale, celebrating Spirit Week!  #vtwegotthis!"
1245460690846076928,2020-04-01 21:19:02,"RT @uvmvermont: This is Patrick Gym as you've probably never seen it.

#UVM staff, Benoit Electric and @VTNationalGuard's 40th Army Band co…"
1245371842455572481,2020-04-01 15:25:59,thank you https://t.co/EEvbO6zxBs
1245344604049887239,2020-04-01 13:37:45,"Wow! An 80-Tweet birthday card, illustrated, and with so many great memories. You must have spent days on this. Thanks so much... https://t.co/lAVunexShh"
1245093888634826752,2020-03-31 21:01:30,Today @JusticeOIG found the FBI routinely fails to disclose all relevant evidence in FISA cases. @SenMikeLee and I are working to fix this &amp; other issues. There’s an opportunity for real reform when the Senate takes up FISA in the weeks ahead &amp; I hope our colleagues will join us. https://t.co/5b7nDptavA
1245064830266028032,2020-03-31 19:06:02,#IRS and @USTreasury announce that the distribution of economic impact payments under our legislation will begin in the next three weeks. Some who aren’t typically required to file taxes will need to submit a return to get it. https://t.co/OxgEfq3NPe
1245020611950379021,2020-03-31 16:10:19,#IRS and @USTreasury announce that the distribution of economic impact payments under our legislation will begin in the next three weeks with no action required for most people. https://t.co/OxgEfq3NPe
1245006548415459329,2020-03-31 15:14:26,RT @ChuckGrassley: Transparency brings acctability but DoD wants neither Ridiculous proposal 2classify entire DoD future spending plan whic…
1244774810984611840,2020-03-30 23:53:36,"RT @sarahmargon: .@SenatorLeahy, ranking on appropriations &amp; long-standing democracy &amp; human rights champion tweeted it: https://t.co/Mc8a2…"
1244724942660395008,2020-03-30 20:35:26,"The @DeptofDefense wants to stop producing an unclassified version of future spending plans? Not on my watch. As Vice Chairman of Senate Appropriations &amp; longtime transparency champion, I'm not going to let the military hide its spending plans from the taxpayers who fund them. https://t.co/KrV6qe2fSI"
1244711878485512193,2020-03-30 19:43:32,It is predictable that authoritarians like Prime Minister Orban exploit humanitarian emergencies to further repress civil liberties and tighten their grip on power.  Freedom of expression is essential in times of crisis. https://t.co/FihbMvxgnJ
1244632170070769666,2020-03-30 14:26:48,"RT @VTNationalGuard: #Coronavirus or not, the #AmericanRedCross needs blood, and the VTNG is ready to help anyway that we can. We filled ev…"
