id,created_at,text
1247288991839399941,2020-04-06 22:24:03,"Thank you, Christopher and Erin, for working to produce the face masks first responders need to stay safe as they work on the frontlines of this pandemic. Your actions are making a difference in this fight. https://t.co/CPfqJRy6AF"
1247281028072460290,2020-04-06 21:52:25,"Greatly appreciate the work of Dean Kamen and everyone at DEKA Research for delivering personal protective equipment to Granite State health care providers as they combat the COVID-19 pandemic.
https://t.co/5Q1QDtNRd9"
1247276962151792640,2020-04-06 21:36:15,"#COVID_19 is especially dangerous for seniors, which means we need to do more to bring health care to them. I’m calling on @CMSgov to increase access to in-home services for Medicare beneficiaries to better protect their health and well-being during this pandemic. https://t.co/YAqKSgIYef"
1247258889877413888,2020-04-06 20:24:26,Just finished filling out the Census—it’s easy &amp; can be done online at https://t.co/Od4IZoqCXP or by calling 844-330-2020. I encourage Granite Staters to #GetCounted and help ensure your community gets the representation and funding it deserves. #2020CensusChallenge https://t.co/Epcd3Qa7f2
1246444374088732674,2020-04-04 14:27:51,The Paycheck Protection Program launched yesterday to help small businesses keep employees on payroll &amp; stay financially afloat during COVID-19. Important that the administration provide better guidance to lending institutions. My letter w/ NH Delegation: https://t.co/eLRJPWwmAQ
1246165183350935554,2020-04-03 19:58:26,Glad that the State’s disaster declaration was just approved – I made it clear to the administration that this request needed to be quickly approved. This will allow the State to access the emergency funding I fought for in the latest COVID-19 legislation.
1246154778259992581,2020-04-03 19:17:06,"Across the country, the brave men and women of the National Guard are deploying to assist on the frontlines of the COVID-19 pandemic. The federal government needs to continue to cover the full costs incurred on these troops for their activation. https://t.co/nFYEuaUbqK"
1246143646778429443,2020-04-03 18:32:52,"I’m glad Isabel from Hanover is safe and back in New Hampshire. My office helped her and a group of 15 other students return home from Peru, where they were stuck amidst the country’s COVID-19 response. I’ll continue to help Granite Staters stranded abroad. https://t.co/CsZ9TPzpDi"
1246106612663824385,2020-04-03 16:05:42,Colleges and universities across New Hampshire are working in tandem with Granite State businesses and communities to help produce personal protective equipment our health care providers need to keep themselves safe. Grateful for their efforts in the fight against COVID-19. https://t.co/qkIxaaybD0
1245825151645736961,2020-04-02 21:27:17,"During this pandemic, millions of Americans are relying on the Lifeline program now more than ever to telework, access health care and reach loved ones in case of emergencies. Lifeline service providers need to expand internet access for users to help them stay connected. https://t.co/dWh5dUEF7N"
1245802153098305538,2020-04-02 19:55:53,"Thank you, Katie and Angela, for your hard work in sewing protective masks for health care providers in the North Country. Actions like yours are making a difference in the fight against COVID-19. 
https://t.co/b2yTrtlJw6"
1245785958101983234,2020-04-02 18:51:32,"First responders work tirelessly on the frontlines of the COVID-19 pandemic, despite the great risk and isolation from their families. We can never thank them enough for their sacrifices to keep us safe. 
https://t.co/hMDHRfahqW"
1245780829680394241,2020-04-02 18:31:09,"RT @Zachary_Cohen: “If we can keep the programs funded, we can keep them going, &amp; that’s what we need to do in the short term, &amp; look at th…"
1245777432428392449,2020-04-02 18:17:39,"It shouldn’t take a pandemic to underscore the urgent need to reauthorize #VAWA &amp; help provide safety for DV survivors. Additional #COVID19 legislation must include aid to help survivors, who are particularly vulnerable right now, &amp; obstruction on #VAWA reauthorization MUST END. https://t.co/qnJElGND2m"
