id,created_at,text
1247350379357986817,2020-04-07 02:27:59,RT @kyrstensinema: This is a big deal for small biz and nonprofits!!! Often the largest monthly expense they face. This is great news for o…
1247327480291250177,2020-04-07 00:57:00,AZ small businesses: have questions on emergency loans? Learn more about the CARES Act and how to apply. ⬇️ https://t.co/klsBkyhGmF
1247309864566571009,2020-04-06 23:47:00,Apoye estos negocios locales al ordenar comida para llevar o de entrega: https://t.co/VPoV0EqVAf
1247309864482885638,2020-04-06 23:47:00,"Support these local businesses by ordering take-out or delivery: 
https://t.co/VPoV0EIwYP"
1247277585723265024,2020-04-06 21:38:44,We're working across the aisle to make sure veterans and Arizonans with disabilities on SSI can easily access rebate checks. https://t.co/tbWFyzBL7H
1247265321213407233,2020-04-06 20:50:00,FEMA needs to waive Tribal communities’ portion of cost for the federal coronavirus response. https://t.co/fv9Zrjk8k5
1247240910125096961,2020-04-06 19:13:00,"Questions about what coronavirus means for 2019 tax filing?
Visit https://t.co/2cDGQu555D for up-to-date information. https://t.co/3kupbxV7Jy"
1247209956228595712,2020-04-06 17:10:00,.@CMSgov &amp; @HHSgov must allow Arizona seniors to receive treatments for chronic conditions at home during the coronavirus outbreak. https://t.co/x5pvOIS4ZM\
1247192341481263105,2020-04-06 16:00:00,Revise estos actos de bondad a través del valle: https://t.co/dfZ8ZteBYI
1247192340193628162,2020-04-06 16:00:00,"Check out these amazing acts of kindness throughout the Valley: 
https://t.co/dfZ8ZteBYI"
1246943953473200128,2020-04-05 23:33:00,Los arizonenses que han perdido ingresos debido al coronavirus pueden solicitar para asistencia de renta a través del Programa de Asistencia de Desalojos de @AZHousing. Más información ➡️: https://t.co/1GeF8BNkQw
1246943953372327936,2020-04-05 23:33:00,Arizonans who have lost income due to coronavirus can apply for rental assistance through the @AZHousing’s Rental Eviction Assistance Program. More info ➡️: https://t.co/1GeF8BvJrW
1246932429190737920,2020-04-05 22:47:12,RT @kyrstensinema: 🚨 For those who’ve been arguing the coronavirus isn’t serious enough to close businesses or order #stayathome - here’s y…
1246830959145684997,2020-04-05 16:04:00,"Increíble investigadores científicos de @Uarizona están desarrollando una prueba que puede detectar el coronavirus en personas sin síntomas. ¡Gracias por su compromiso en frenar el brote!
https://t.co/S2xuhWaRdc"
1246830959053410307,2020-04-05 16:04:00,"Amazing @Uarizona researchers are developing a test that can detect coronavirus in people without symptoms. Thank you for your commitment to stopping the spread!  
https://t.co/S2xuhWaRdc"
1246796481618567169,2020-04-05 13:47:00,"On Gold Star Spouses Day, we honor those Americans who have lost husbands and wives in service to our country."
1246603963115474947,2020-04-05 01:02:00,"For help about health coverage during the coronavirus outbreak, visit: https://t.co/AQX9Cy3h5X https://t.co/RwvOvoJSaD"
1246576280897818626,2020-04-04 23:12:00,"Aquí hay 100 cosas que puede hacer mientras practica el distanciamiento social. Quédese en casa para #AplanarLaCurva.
https://t.co/ZfhhpbyhYq"
1246576280679657473,2020-04-04 23:12:00,"Here are 100 things you can do while social distancing. Stay home and #flattenthecurve. 
https://t.co/ZfhhpbyhYq"
1246548053630152704,2020-04-04 21:19:50,"This is great news for Arizona. It’ll bring more resources to our state as we fight this virus, save lives and protect Arizona’s economy. 

 #StayAtHome #FlattenTheCurve https://t.co/kbQXxm7M99"
1246528717536595969,2020-04-04 20:03:00,"Social distancing works. By staying home and away from others, we’re all doing our part to #flattenthecurve. https://t.co/yACGq1fnPI"
1246502041519882242,2020-04-04 18:17:00,".@NASA lanzó #NASAenCasa (#NASAatHome), una herramienta en la red para los estudiantes de K-4 donde pueden disfrutar de actividades STEM.
https://t.co/cFp05Ho1e9"
1246502041498857473,2020-04-04 18:17:00,".@NASA launched #NASAatHome, an online tool for K-4 students to enjoy STEM activities. 
https://t.co/cFp05Ho1e9"
1246427550651305986,2020-04-04 13:21:00,"Today, we honor the legacy of Dr. Martin Luther King, Jr. who died 52 years ago."
1246229495574642693,2020-04-04 00:14:00,"El Dr. Ben Reeser de Arizona creó un dispositivo para proteger a los trabajadores de salud del coronavirus. Para donar y ayudar a nuestros trabajadores de salud y socorristas valientes, visite: https://t.co/aShVl3XFiG
https://t.co/l1pf8zjwUg"
1246229495498989568,2020-04-04 00:14:00,"Incredible Arizona Dr. Ben Reeser created a device to protect health care workers from contracting coronavirus. To donate and help our brave health workers and first responders, visit: https://t.co/aShVl3G3U6
https://t.co/l1pf8zB7LO"
1246216334389784576,2020-04-03 23:21:42,RT @Arizona_DPS: Thank you to our incredible dispatchers &amp; call takers! They’re a lifeline for troopers on the road statewide &amp; a source of…
1246190226189373440,2020-04-03 21:37:57,"Just now: @dougducey clarifies his executive order. By tmrw 5 pm, closing these non-essential businesses to follow CDC guidance re: social distancing and #stayathome:

Barbers, Cosmetology, Hairstyling, Nail, Aesthetic, &amp; Tanning salons, Tattoo parlors, Spas, Massage parlors"
1246189426574835713,2020-04-03 21:34:47,RT @SenatorSinema: Voluntarios increíbles están haciendo máscaras en sus casas para los trabajadores de salud. Mire este vídeo tutorial: (h…
1246189410074406913,2020-04-03 21:34:43,RT @SenatorSinema: Incredible volunteers are making homemade masks for health workers. Watch this video tutorial (https://t.co/6pyykNNvq1)…
1246188223526625280,2020-04-03 21:30:00,We all should stay home as much as possible. Social distancing is the best tool we have to fight this pandemic. https://t.co/OJUvbSme7s
1246187178486571008,2020-04-03 21:25:51,So grateful to work with Arizona defense leaders and companies who are stepping up to help in the fight against the coronavirus. https://t.co/sStnF7obiG
1246154249773264896,2020-04-03 19:15:00,"Medical experts, doctors, and health care providers including @DignityHealthAZ are highlighting the importance of social distancing to help #flattenthecurve. https://t.co/AgXF6Fs4It"
1246137892210118661,2020-04-03 18:10:00,.@AZTourismNews creó una página web para conectar a los trabajadores de la industria turística a empleos. Encuentre empleos disponibles inmediatos aquí: https://t.co/QUmLC0OMTg
1246137892101066759,2020-04-03 18:10:00,".@AZTourismNews set up a website to connect displaced tourism industry workers with open jobs. Find immediate job openings here: 
https://t.co/QUmLC0OMTg"
1246120276078649344,2020-04-03 17:00:00,"Our website – https://t.co/HZWAXR3594 – has coronavirus resources. Arizonans can find information on tax filing, health insurance, unemployment, small businesses, and more. https://t.co/bqpoUw0x0K"
1246106498058588160,2020-04-03 16:05:15,The administration must quickly implement the CARES Act to provide relief to rural Arizona hospitals and providers. https://t.co/oKbxd4W9oH
1246096875196829697,2020-04-03 15:27:01,"RT @kyrstensinema: Gov @dougducey must update his exec order ASAP. 

His website still says “barber shops and salons” are essential busines…"
1246065005189005313,2020-04-03 13:20:22,"We’re hearing directly from local leaders to make sure they get the health resources, food assistance, and small business support needed to fight coronavirus.
https://t.co/7r2pcgMiAT"
1245850750007246848,2020-04-02 23:09:00,"¡Gracias, @ohsobrewerygilbert, por proveer al sistema de hospitales de Banner Health con 100 galones de desinfectante de mano!
https://t.co/J99hy5UWk1"
1245850749990404096,2020-04-02 23:09:00,"Thank you, @ohsobrewerygilbert, for providing the Banner Hospital system with 100 gallons of hand sanitizer! https://t.co/J99hy5DkVr"
1245813756333944837,2020-04-02 20:42:00,.@BrooklynBedding de AZ hace camillas y mascarillas protectoras para ayudar a los trabajadores de salud con los pacientes del coronavirus. Oficiales de salud: contacten a Brooklyn Bedding aquí (https://t.co/waGVcLgYB1) si necesitan camillas de hospitales. https://t.co/b4gst3qz87
1245813756141154308,2020-04-02 20:42:00,"Arizona’s @BrooklynBedding makes hospital beds and protective masks to help health care workers care for coronavirus patients. Health officials: contact Brooklyn Bedding here (https://t.co/waGVcLyzZB) if you’re in need of hospital beds.
https://t.co/b4gst3IawH"
1245811536490369030,2020-04-02 20:33:11,The administration needs to implement the CARES Act quickly to support Tribal communities. https://t.co/WuZVindNWc
1245781292626644992,2020-04-02 18:33:00,"We all need to stay home to protect ourselves, our loved ones, and our community. https://t.co/SL57et7Tjn"
1245759146659590149,2020-04-02 17:05:00,"For up-to-date coronavirus information, all Arizonans should listen to government scientists and specialists; they are experts and will help you stay safe, healthy, and calm. Be on the look-out for scams: https://t.co/EiDQMgV8ST"
1245759146659471360,2020-04-02 17:05:00,"Para información actualizada sobre el coronavirus, todos los arizonenses deben escuchar a los científicos y especialistas del gobierno; ellos son los expertos y le ayudarán a mantenerse a salvo, saludable y tranquilo. Manténgase alerta sobre las estafas:
https://t.co/EiDQMhcJKr"
1245741344229855234,2020-04-02 15:54:15,"Following our pressure, the Treasury Department announced it will follow the law and make sure all AZ Social Security beneficiaries automatically receive their cash payment. https://t.co/ztcbPAS2fX https://t.co/Den6172xjk"
1245716596636581888,2020-04-02 14:15:55,"RT @AnnaTovarAZ: Social Security recipients will automatically get stimulus checks, Treasury says in reversal. Thankful to @SenatorSinema⁩…"
1245714956416356352,2020-04-02 14:09:24,We’re leading the AZ delegation in urging the President to grant a Major Disaster Declaration for Arizona. https://t.co/IIyeVItrjM
1245516297800044544,2020-04-02 01:00:00,We’re telling the IRS to follow the law. It must make cash payments available to AZ Social Security recipients who don’t file taxes. https://t.co/sEVMD1mzJr
1245469991056662534,2020-04-01 21:56:00,.@arizonapbs is showing educational programming for students temporarily learning at home. https://t.co/V7t4NceJbI
1245469990892920833,2020-04-01 21:56:00,".@arizonapbs está dando programación educativa para los estudiantes que están aprendiendo en casa temporalmente.
https://t.co/V7t4Ncwk3g"
1245467700345831425,2020-04-01 21:46:54,"Dueños de empresas pequeñas: soliciten al Programa de Protección de Cheques de Pago para apoyar a sus negocios y mantener a sus trabajadores empleados durante esta emergencia de salud pública. Encuentre un prestamista local aprobado aquí ⬇️

https://t.co/Sw9MjAvJtF"
1245467323747708928,2020-04-01 21:45:24,Tuvimos llamadas con docenas de organizaciones sin fines de lucro y socorristas de AZ para contestar preguntas sobre el CARES Act y escuchar cómo podemos ayudar a los que están en la frente de esta pandemia. Gracias por trabajar para mantener a los arizonenses sanos y saludables.
1245466989419794432,2020-04-01 21:44:04,We hosted calls today with dozens of AZ nonprofits and first responders to answer questions about the CARES Act and hear how we can help those on the frontlines of this pandemic. Thank you for working to keep Arizonans safe and healthy.
1245455042699767808,2020-04-01 20:56:36,"Small business owners: apply for the Paycheck Protection Program to support your businesses and keep your workers employed during this public health emergency. Find an approved local lender here ⬇️
https://t.co/Sw9MjAvJtF"
1245444599268749316,2020-04-01 20:15:06,Cuidadores: aquí encontrarán recursos útiles del @AARP para ayudarlos a protegerse y a quienes cuidan. https://t.co/ARvzBrngzA
1245443315090112512,2020-04-01 20:10:00,Caregivers: here are helpful resources from @AARP to help protect yourself and those you care for. https://t.co/FkYclJTsTf
1245411355064229888,2020-04-01 18:03:00,Health care providers like @BannerHealth agree: social distancing is the most effective way to slow the spread of the virus. https://t.co/gYxRgaRDUw
1245384175890268161,2020-04-01 16:15:00,Watch out for these seven coronavirus scams targeting businesses: https://t.co/rCiMKD6yyZ
1245384175584075778,2020-04-01 16:15:00,"Manténgase alerta, estas siete estafas del coronavirus están dirigidas a los negocios: https://t.co/rCiMKD6yyZ"
1245364962442305537,2020-04-01 14:58:39,"Because we pressed @FCC, they are extending the deadline for health care providers to apply for rural health care and telehealth resources, allowing Arizona health care providers on the front lines to focus on fighting coronavirus in their communities. https://t.co/dSHMN6oyTR"
1245350203567177728,2020-04-01 14:00:00,Social distancing is the # 1 way to #flattenthecurve. We all need to do our part and stay home. https://t.co/KuQhWnpydJ
1245138811547353090,2020-04-01 00:00:00,La nueva iniciativa de “mindfulness” de @ASU une a las personas para conectarse en la red mientras practican el distanciamiento social. Aprenda más: https://t.co/eDQtWzs77E
1245138810364723200,2020-04-01 00:00:00,.@ASU’s new mindfulness initiative brings people together online to connect and engage while social distancing. Learn more: https://t.co/eDQtWzawg6
1245122155831906304,2020-03-31 22:53:49,RT @AZChamber: Our thanks to @SenatorSinema for joining our chamber and participants across the state in a web-conference today to discuss…
